property_id,property_name,automobile_dealership_gross,source_eui_kbtu_ft,energy_star_certification_5,multifamily_housing_number_4,ice_curling_rink_gross_floor,aquarium_gross_floor_area,medical_office_gross_floor,energy_star_certification_4,retail_store_gross_floor,investment_in_energy_projects,parent_property_name,other_gross_floor_area_ft,office_weekly_operating_hours,race_track_gross_floor_area,office_computer_density_number,nyc_building_identification,percent_better_than_national,costar_property_id,municipally_supplied_potable_1,total_ghg_emissions_metric,fuel_oil_5_6_use_kbtu,weather_normalized_site_1,office_gross_floor_area_ft,site_eui_kbtu_ft,estimated_savings_from_energy_1,supermarket_grocery_gross,multifamily_housing_number_3,investment_in_energy_projects_1,multifamily_housing_total,casino_gross_floor_area_ft,hospital_general_medical_15,percent_of_total_electricity,national_median_source_eui,college_university_number,metered_areas_energy,fast_food_restaurant_gross,data_center_cooling_equipment,hospital_general_medical_11,energy_star_certification_1,retail_store_number_of_walk,data_center_pdu_output_site,transportation_terminal,energy_star_certification,natural_gas_use_kbtu,municipally_supplied_potable,medical_office_weekly,borough
1954047,Fisher - 299 Park Avenue,Not Available,265.3,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,65.55,Not Available,2.32907,1036223,1.5,Not Available,Not Available,11688.6,Not Available,25981788.1,343485,108.9,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,261.3,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
1548095,RIVERDALE (1798),Not Available,266.2,No,Not Available,Not Available,Not Available,Not Available,Not Available,157011,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,2109471,Not Available,Not Available,Not Available,1180.8,Not Available,3535283.3,Not Available,100.8,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,7,Not Available,Not Available,Not Available,3775394.1,Not Available,Not Available,BRONX
2636842,210 11th Avenue South,Not Available,129.7,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,40,Not Available,2.24659,1012378,-12.3,Not Available,17.17,629.1,Not Available,786774.5,67213,76.1,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,148.1,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8660.4,Not Available,Not Available,MANHATTAN
2450175,565 5th Ave,Not Available,264.8,No,Not Available,Not Available,Not Available,Not Available,Not Available,15998,0,Not Applicable: Standalone Property,Not Available,67.03,Not Available,1.7675,Not Available,4.9,Not Available,Not Available,2830.1,Not Available,6899254.5,310129,103.9,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,252.3,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2630807,163 Ocean Avenue,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,3114586,Not Available,Not Available,Not Available,Not Available,Not Available,361500.8,Not Available,Not Available,0,Not Available,Not Available,0,84,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN
2383263,111 Barrow Street,Not Available,95.8,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,8000,Not Available,Not Available,Not Available,1010405,Not Available,Not Available,Not Available,273.8,Not Available,629572,Not Available,43.9,0,Not Available,Not Available,0,41,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1831115.6,Not Available,Not Available,MANHATTAN
2050632,Mount Sinai - Roosevelt,Not Available,485.9,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1082718;1813279;1085140,6.3,Not Available,Not Available,16732.8,Not Available,27518891.2,Not Available,228.7,0,Not Available,Not Available,0,Not Available,Not Available,100,Not Available,457.3,Not Available,Whole Building,Not Available,Not Available,1.32001,Not Available,Not Available,Not Available,Not Available,Not Available,928687.1,Not Available,Not Available,MANHATTAN
2630946,1001 Avenue of the Americas,Not Available,200.4,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,40,Not Available,2.46954,1015255,-16.5,Not Available,15.73,1601.8,Not Available,3576723.9,217854,82.1,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,239.9,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2633397,LL84 135 West 50th St.,Not Available,256.7,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,71.01,Not Available,3.72296,1022708,-12.2,Not Available,38.03,7086.4,Not Available,16872806.1,803125,104.5,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,292.3,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8267500,Not Available,Not Available,MANHATTAN
1069082,51 Madison,Not Available,222.8,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,65.66,Not Available,5.38489,1016880,-29.8,Not Available,Not Available,13211.3,Not Available,22744272.9,1358801,102.7,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,317.1,Not Available,Whole Building,Not Available,Not Available,Not Available,01/08/2014,Not Available,Not Available,Not Available,"2013, 2012, 2011, 2010, 2009, 2008, 2007",0,Not Available,Not Available,MANHATTAN
1733452,CW Glorious Sun 505 Park Avenue,Not Available,126.5,No,Not Available,Not Available,Not Available,Not Available,Not Available,14722,0,Not Applicable: Standalone Property,Not Available,55,Not Available,3.30658,Not Available,-59.7,Not Available,19.17,742.4,Not Available,2677353,211699,40.3,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,314.3,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2386534,250 East 87th Street,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,9750,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1048799,Not Available,Not Available,Not Available,Not Available,0,2145567.6,Not Available,Not Available,0,Not Available,Not Available,0,257,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2612590,1445 SHORE PKWY PLPM,Not Available,114.1,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,3336454,Not Available,Not Available,Not Available,386.3,Not Available,410566,Not Available,76.2,0,Not Available,Not Available,0,263,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5129920.8,Not Available,Not Available,BROOKLYN
2363861,Irving Cancer Research Center,Not Available,753.8,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Columbia University Medical Center,49223,168,Not Available,1.74793,1062989,409.3,Not Available,Not Available,6872.7,Not Available,13832437.4,221977,377.4,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,148.1,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55843689.6,Not Available,Not Available,
2539064,Winter- 3 E 28th St,Not Available,151.1,No,Not Available,Not Available,Not Available,Not Available,Not Available,6408,0,Not Applicable: Standalone Property,Not Available,50,Not Available,5.6781,1016898,-39,Not Available,63.32,337.2,Not Available,550325,48960,78.2,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,247.8,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,3122,Not Available,Not Available,MANHATTAN
2387307,196 East 75th Street,Not Available,226.6,No,3,Not Available,Not Available,Not Available,Not Available,8137,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1043090,Not Available,Not Available,Not Available,2339.4,27009943.5,1040406.6,Not Available,180.5,0,Not Available,Not Available,0,134,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,296033.3,Not Available,Not Available,MANHATTAN
