manhattan_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_year_built,comparable_rental_1_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_total_units,comparable_rental_1_full_market_value,manhattan_cooperatives_comparable_properties_full_market_value,bin,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_market_value_per_sqft,latitude,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_2_gross_sqft,manhattan_cooperatives_comparable_properties_building_classification,comparable_rental_2_address
1-01369-0031,1910.0,44.9,1930,1-01469-0029,0.25,26.0,2670000,2460000,,0.85,221.0,,41.0,MIDTOWN EAST,12276.0,C6-WALK-UP,"{'latitude': '40.630282343486', 'longitude': '-74.024017207861', 'human_address': '{""address"": ""442 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01213-0009,1926.0,21.27,1929,1-01210-0012,0.65,61.0,7140000,7670000,,0.15,88.0,,24.0,UPPER WEST SIDE (79-96),76193.0,D4-ELEVATOR,"{'latitude': '40.629612150649', 'longitude': '-74.033321842043', 'human_address': '{""address"": ""147 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01186-0087,1927.0,48.5,1910,1-01200-0005,0.55,83.0,17100000,9500000,,0.65,238.0,,35.0,UPPER WEST SIDE (59-79),70144.0,D4-ELEVATOR,"{'latitude': '40.625222163224', 'longitude': '-74.038357910149', 'human_address': '{""address"": ""51 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02084-0050,1930.0,18.96,1900,1-02079-0029,0.15,18.0,865000,427000,,0.25,71.0,,16.0,HARLEM-UPPER,14828.0,C6-WALK-UP,"{'latitude': '40.826641607035', 'longitude': '-73.946580456968', 'human_address': '{""address"": ""1760 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01555-0018,1910.0,42.0,1920,1-01555-0034,0.2,20.0,1890000,1590000,,0.0,206.0,,37.0,UPPER EAST SIDE (79-96),9265.0,C6-WALK-UP,"{'latitude': '40.618391178383', 'longitude': '-74.032143675204', 'human_address': '{""address"": ""332 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00498-0018,1920.0,38.8,1909,1-00504-0031,0.25,60.0,4140000,5660000,1007580.0,0.25,190.0,40.723478,34.0,SOHO,38880.0,D4-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01562-0038,1930.0,37.5,1930,1-01562-0036,0.0,12.0,1460000,1400000,,0.0,175.0,,36.0,UPPER EAST SIDE (79-96),8345.0,C6-WALK-UP,"{'latitude': '40.624708418376', 'longitude': '-74.026925288099', 'human_address': '{""address"": ""420 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01571-0008,1920.0,41.0,1901,1-01585-0036,0.0,80.0,1760000,6910000,,0.2,201.0,,31.0,UPPER EAST SIDE (79-96),48600.0,D4-ELEVATOR,"{'latitude': '40.777521216827', 'longitude': '-73.944980262217', 'human_address': '{""address"": ""530 89 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01519-0046,1938.0,52.0,1941,1-01517-0043,0.65,51.0,15800000,10200000,,0.1,253.0,,35.0,UPPER EAST SIDE (79-96),64272.0,D4-ELEVATOR,"{'latitude': '40.62316151649', 'longitude': '-74.039623167392', 'human_address': '{""address"": ""16O 89 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01145-0007,1910.0,36.6,1910,1-01117-0024,0.0,28.0,2040000,2060000,,0.5,171.0,,38.0,UPPER WEST SIDE (59-79),9415.0,C6-WALK-UP,"{'latitude': '40.641143692466', 'longitude': '-74.024975038971', 'human_address': '{""address"": ""15A 64 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01237-0005,1914.0,23.69,1920,1-01248-0037,0.25,54.0,4730000,3600000,,0.2,98.0,,20.0,UPPER WEST SIDE (79-96),47067.0,D4-ELEVATOR,"{'latitude': '40.622681683255', 'longitude': '-74.031242408026', 'human_address': '{""address"": ""302 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02087-0031,1920.0,11.74,1910,1-02079-0055,0.6,22.0,659000,408000,1062299.0,0.5,33.0,40.822213,12.0,HARLEM-UPPER,17013.0,C6-WALK-UP,"{'latitude': '40.827769997496', 'longitude': '-73.947728210829', 'human_address': '{""address"": ""554 148 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00889-0015,1955.0,34.5,1957,1-00891-0039,0.0,131.0,49900000,23800000,,0.15,161.0,,34.0,MURRAY HILL,96102.0,D4-ELEVATOR,"{'latitude': '40.596376902376', 'longitude': '-73.993534896939', 'human_address': '{""address"": ""165 35 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00637-0077,1924.0,37.6,1911,1-00592-0082,0.45,52.0,2130000,6520000,1012010.0,0.45,175.0,40.734728,35.2,GREENWICH VILLAGE-WEST,38214.0,D0-ELEVATOR,"{'latitude': '40.732959231243', 'longitude': '-74.001816816007', 'human_address': '{""address"": ""129 WASHINGTON PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00620-0058,1960.0,40.3,1900,1-00589-0011,0.15,26.0,1390000,1870000,1011208.0,0.25,197.0,40.734781,38.4,GREENWICH VILLAGE-WEST,9293.0,C6-WALK-UP,"{'latitude': '40.731250519387', 'longitude': '-74.002572246512', 'human_address': '{""address"": ""32 CORNELIA STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01863-0048,1910.0,20.87,1900,1-01861-0060,0.1,15.0,713000,844000,,0.1,78.0,,21.0,UPPER WEST SIDE (96-116),9130.0,C6-WALK-UP,"{'latitude': '40.800769220434', 'longitude': '-73.9644751506', 'human_address': '{""address"": ""172 107 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01252-0041,1930.0,27.0,1910,1-01253-0007,0.35,30.0,3270000,2920000,,0.05,112.0,,22.0,UPPER WEST SIDE (79-96),30960.0,D4-ELEVATOR,"{'latitude': '40.617701921156', 'longitude': '-74.032771209029', 'human_address': '{""address"": ""321 94 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01039-0057,1921.0,36.8,1910,1-01129-0047,0.15,42.0,4260000,4470000,,1.4,171.0,,33.0,MIDTOWN WEST,26910.0,D4-ELEVATOR,"{'latitude': '40.63205523324', 'longitude': '-74.037085739379', 'human_address': '{""address"": ""22 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01378-0001,1962.0,31.3,1916,1-01418-0011,1.0,152.0,16600000,23500000,1041015.0,0.4,146.0,40.766946,41.2,UPPER EAST SIDE (59-79),105282.0,D4-ELEVATOR,"{'latitude': '40.641470081803', 'longitude': '-74.024005935119', 'human_address': '{""address"": ""225 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02108-0039,1913.0,18.13,1923,1-02133-0013,0.2,30.0,1470000,1460000,1062507.0,0.95,68.0,40.832483,18.0,WASHINGTON HEIGHTS LOWER,21735.0,C6-WALK-UP,"{'latitude': '40.845778878595', 'longitude': '-73.935376160706', 'human_address': '{""address"": ""574 176 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01383-0001,1991.0,31.4,1949,1-01532-0004,0.8,179.0,32700000,45200000,1041250.0,1.0,146.0,40.769802,39.1,UPPER EAST SIDE (59-79),222000.0,D4-ELEVATOR,"{'latitude': '40.779301295413', 'longitude': '-73.953631141677', 'human_address': '{""address"": ""1533 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01840-0029,1930.0,23.61,1930,1-01839-0029,0.4,124.0,13100000,14800000,1000000.0,0.05,98.0,40.782295,19.68,MANHATTAN VALLEY,115776.0,D4-ELEVATOR,"{'latitude': '40.796251200206', 'longitude': '-73.9613929558', 'human_address': '{""address"": ""431 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01493-0001,,26.5,1912,,0.3,,16200000,20600000,1046660.0,,110.0,40.778246,30.4,UPPER EAST SIDE (79-96),,D4-ELEVATOR,
1-01237-0017,1923.0,24.7,1920,1-01142-0064,0.45,320.0,24600000,29900000,1033308.0,1.0,102.0,40.790302,23.0,UPPER WEST SIDE (79-96),235400.0,D4-ELEVATOR,"{'latitude': '40.777466678473', 'longitude': '-73.98195079238', 'human_address': '{""address"": ""2054 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02060-0058,1926.0,12.08,1926,1-02069-0014,0.15,24.0,1000000,565000,,0.45,33.9,,12.0,HARLEM-UPPER,23256.0,D4-ELEVATOR,"{'latitude': '40.829834200239', 'longitude': '-73.940599965473', 'human_address': '{""address"": ""87 ST NICHOLAS PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01524-0044,1938.0,52.0,1928,1-01517-0043,0.9,51.0,15800000,10200000,,0.35,253.0,,35.0,UPPER EAST SIDE (79-96),64272.0,D4-ELEVATOR,"{'latitude': '40.62316151649', 'longitude': '-74.039623167392', 'human_address': '{""address"": ""16O 89 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01678-0001,1947.0,18.81,1961,1-01760-0001,0.55,914.0,47800000,35200000,1081081.0,1.55,70.0,40.791363,16.76,HARLEM-EAST,714600.0,D4-ELEVATOR,"{'latitude': '40.813205491061', 'longitude': '-73.937254417253', 'human_address': '{""address"": ""2225 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00796-0001,1920.0,36.2,1938,1-00768-0077,0.5,25.0,3220000,9780000,1014742.0,0.2,169.0,40.74231,33.8,CHELSEA,22506.0,D4-ELEVATOR,"{'latitude': '40.600992872365', 'longitude': '-74.008088902234', 'human_address': '{""address"": ""274 19 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02230-0001,1920.0,14.49,1925,1-02222-0017,0.3,89.0,3360000,3270000,1064874.0,0.3,49.0,40.868536,14.0,INWOOD,72643.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""530 207 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01195-0018,1929.0,30.2,1930,1-01208-0029,0.3,174.0,35000000,39100000,,0.65,141.0,,29.0,UPPER WEST SIDE (79-96),323690.0,D4-ELEVATOR,"{'latitude': '40.790891552976', 'longitude': '-73.965314037952', 'human_address': '{""address"": ""350 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00422-0044,1900.0,43.1,1900,1-00281-0031,0.3,14.0,1420000,731000,1005614.0,0.65,212.0,40.722934,39.0,LOWER EAST SIDE,6385.0,C6-WALK-UP,"{'latitude': '40.873337880794', 'longitude': '-73.911571077503', 'human_address': '{""address"": ""66 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01549-0018,1962.0,36.8,1971,1-01516-0013,0.3,123.0,34600000,23000000,,0.35,171.0,,32.0,UPPER EAST SIDE (79-96),151184.0,D4-ELEVATOR,"{'latitude': '40.780344508967', 'longitude': '-73.95493515862', 'human_address': '{""address"": ""1290 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00331-0120,1963.0,28.5,1949,1-00872-0035,1.45,242.0,27700000,55100000,1076783.0,1.45,118.0,40.714413,25.0,LOWER EAST SIDE,236064.0,D4-ELEVATOR,"{'latitude': '40.734901766826', 'longitude': '-73.986006734732', 'human_address': '{""address"": ""166 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01508-0038,,29.9,1973,,0.4,,17800000,18700000,1047479.0,,139.0,40.774747,28.9,UPPER EAST SIDE (79-96),,D4-ELEVATOR,
1-01409-0001,1961.0,30.9,1960,1-01511-0033,0.65,94.0,21800000,22100000,1043073.0,0.4,144.0,40.772551,32.0,UPPER EAST SIDE (59-79),147534.0,D4-ELEVATOR,"{'latitude': '40.776576349664', 'longitude': '-73.955609650142', 'human_address': '{""address"": ""1450 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01509-0051,,74.0,1928,,0.7,,39600000,14700000,,,365.0,,29.0,UPPER EAST SIDE (79-96),,D4-ELEVATOR,
1-01450-0001,,29.9,1966,,0.65,,17800000,20300000,1045135.0,,139.0,40.770844,34.0,UPPER EAST SIDE (59-79),,D4-ELEVATOR,
1-00759-0068,1962.0,36.2,1936,1-00885-0051,0.85,48.0,3220000,3960000,,1.0,169.0,,35.0,FASHION,20660.0,D0-ELEVATOR,"{'latitude': '40.658074964642', 'longitude': '-74.001636044993', 'human_address': '{""address"": ""150 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01119-0036,1926.0,33.9,1918,1-01150-0041,0.7,64.0,12000000,20600000,1000000.0,0.65,157.0,40.782295,35.0,UPPER WEST SIDE (59-79),114696.0,D4-ELEVATOR,"{'latitude': '40.629778856145', 'longitude': '-74.034205340369', 'human_address': '{""address"": ""120 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01350-0020,,37.3,1928,,1.1,,13200000,12500000,,,174.0,,30.0,MIDTOWN EAST,,D4-ELEVATOR,
1-00344-0173,1920.0,35.4,1925,1-00350-0012,0.3,17.0,2270000,2310000,1004125.0,0.1,164.0,40.719253,34.4,LOWER EAST SIDE,12200.0,C6-WALK-UP,"{'latitude': '40.721607104208', 'longitude': '-73.98465114984', 'human_address': '{""address"": ""271 HOUSTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00386-0020,1920.0,28.6,1923,1-00405-0015,0.4,20.0,1100000,529000,,0.4,118.0,,27.4,ALPHABET CITY,9730.0,C6-WALK-UP,"{'latitude': '40.663489494399', 'longitude': '-73.979843312045', 'human_address': '{""address"": ""514 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01497-0046,1966.0,66.0,1917,1-01448-0001,0.3,66.0,18600000,8180000,,0.75,323.0,,29.3,UPPER EAST SIDE (79-96),56980.0,D4-ELEVATOR,"{'latitude': '40.769606603937', 'longitude': '-73.957750036571', 'human_address': '{""address"": ""1404 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01483-0028,1963.0,38.4,1962,1-01527-0028,0.55,182.0,34200000,26200000,,0.65,188.0,,28.9,UPPER EAST SIDE (59-79),189612.0,D4-ELEVATOR,"{'latitude': '40.775119447977', 'longitude': '-73.953748053541', 'human_address': '{""address"": ""1571 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01583-0015,1994.0,37.0,1960,1-01573-0022,0.4,274.0,47800000,47800000,,0.4,173.0,,32.0,UPPER EAST SIDE (79-96),347118.0,D4-ELEVATOR,"{'latitude': '40.780218603883', 'longitude': '-73.94419725359', 'human_address': '{""address"": ""1775 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01522-0030,,44.1,1928,,0.9,,8440000,6210000,,,216.0,,35.0,UPPER EAST SIDE (79-96),,D4-ELEVATOR,
1-00573-0062,1930.0,35.7,1926,1-00548-0001,0.45,272.0,16200000,6380000,,0.25,167.0,,33.1,GREENWICH VILLAGE-CENTRAL,218985.0,D4-ELEVATOR,"{'latitude': '40.730881797355', 'longitude': '-73.995413643159', 'human_address': '{""address"": ""1 UNIVERSITY PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02002-0057,1926.0,11.48,1905,1-01988-0123,0.15,36.0,963000,934000,,0.15,32.3,,11.89,HARLEM-WEST,41358.0,D4-ELEVATOR,"{'latitude': '40.819780766658', 'longitude': '-73.952329670411', 'human_address': '{""address"": ""520 136 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00867-0033,1950.0,39.1,1940,1-00866-0035,0.3,160.0,21400000,20100000,,0.05,192.0,,34.0,MURRAY HILL,153398.0,D4-ELEVATOR,"{'latitude': '40.748580454892', 'longitude': '-73.980394965269', 'human_address': '{""address"": ""40 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01456-0026,1964.0,29.2,1960,1-01427-0028,0.55,149.0,22500000,22700000,1045286.0,0.6,136.0,40.760316,29.3,UPPER EAST SIDE (59-79),166432.0,D4-ELEVATOR,"{'latitude': '40.769273854786', 'longitude': '-73.957992853519', 'human_address': '{""address"": ""1393 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01056-0042,1940.0,33.6,1910,1-01054-0036,0.25,52.0,3280000,2720000,,0.1,156.0,,29.0,CLINTON,21840.0,D4-ELEVATOR,"{'latitude': '40.760217681951', 'longitude': '-73.991321727925', 'human_address': '{""address"": ""637 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00909-0015,1920.0,46.0,1962,1-00860-0015,0.45,13.0,8970000,7320000,,0.4,226.0,,35.0,MURRAY HILL,34545.0,D4-ELEVATOR,"{'latitude': '40.745342895587', 'longitude': '-73.98471171101', 'human_address': '{""address"": ""118 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01491-0016,1961.0,66.0,1925,1-01548-0036,0.3,75.0,18600000,9080000,1046434.0,0.65,323.0,40.776585,32.0,UPPER EAST SIDE (79-96),62990.0,D4-ELEVATOR,"{'latitude': '40.623257567556', 'longitude': '-74.030289733146', 'human_address': '{""address"": ""334 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01399-0013,1929.0,41.0,1927,1-01517-0050,1.1,98.0,16300000,12700000,1042355.0,1.2,201.0,40.765457,33.0,UPPER EAST SIDE (59-79),80351.0,D4-ELEVATOR,"{'latitude': '40.781207858115', 'longitude': '-73.95431462642', 'human_address': '{""address"": ""1329 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01200-0031,1926.0,32.7,1927,1-01164-0005,0.5,265.0,30800000,27700000,1000000.0,0.8,152.0,40.782295,28.0,UPPER WEST SIDE (79-96),218851.0,D4-ELEVATOR,"{'latitude': '40.633839715308', 'longitude': '-74.028206090454', 'human_address': '{""address"": ""253 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00775-0022,1910.0,35.5,1939,1-00716-0062,0.35,40.0,3720000,9880000,,0.45,165.0,,33.9,CHELSEA,19100.0,D4-ELEVATOR,"{'latitude': '40.657811001406', 'longitude': '-73.984605224436', 'human_address': '{""address"": ""448 19 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01484-0023,1910.0,44.9,1910,1-01451-0005,0.6,20.0,2670000,2260000,,0.35,221.0,,36.0,UPPER EAST SIDE (59-79),12260.0,C6-WALK-UP,"{'latitude': '40.630745223439', 'longitude': '-74.027923884475', 'human_address': '{""address"": ""303 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01058-0025,1920.0,37.2,1901,1-01053-0012,0.15,20.0,1680000,1470000,,0.25,173.0,,31.0,CLINTON,9855.0,C6-WALK-UP,"{'latitude': '40.649745745118', 'longitude': '-74.007375750848', 'human_address': '{""address"": ""447 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01542-0019,1974.0,37.0,1961,1-01568-0021,0.15,385.0,47800000,64200000,,0.5,173.0,,32.0,UPPER EAST SIDE (79-96),315710.0,D4-ELEVATOR,"{'latitude': '40.777547617456', 'longitude': '-73.945941938327', 'human_address': '{""address"": ""1673 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01385-0037,,31.2,1928,,0.6,,26500000,33300000,1041333.0,,145.0,40.770553,37.1,UPPER EAST SIDE (59-79),,D4-ELEVATOR,
1-00475-0046,1920.0,36.2,1900,1-00504-0031,0.35,60.0,7470000,4880000,1083492.0,0.25,169.0,40.722605,30.0,SOHO,38880.0,D0-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02054-0018,1920.0,15.66,1926,1-02033-0026,0.25,16.0,894000,592000,1061168.0,0.35,53.0,40.827796,16.01,HARLEM-CENTRAL,12787.0,C6-WALK-UP,"{'latitude': '40.796472446683', 'longitude': '-73.823088462082', 'human_address': '{""address"": ""205 147 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01492-0037,1929.0,69.0,1916,1-01517-0050,0.2,98.0,26700000,12700000,1046628.0,0.45,339.0,40.776744,34.0,UPPER EAST SIDE (79-96),80351.0,D4-ELEVATOR,"{'latitude': '40.781207858115', 'longitude': '-73.95431462642', 'human_address': '{""address"": ""1329 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00628-0017,1930.0,40.4,1900,1-00617-0021,0.8,53.0,9020000,8380000,1011690.0,0.2,198.0,40.739502,35.3,GREENWICH VILLAGE-WEST,43280.0,D0-ELEVATOR,"{'latitude': '40.668641069776', 'longitude': '-73.990352246007', 'human_address': '{""address"": ""221 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01908-0001,1910.0,16.73,1910,1-01922-0020,0.7,44.0,1930000,1340000,,0.4,63.0,,16.73,HARLEM-CENTRAL,39953.0,D4-ELEVATOR,"{'latitude': '40.803520265128', 'longitude': '-73.953169451263', 'human_address': '{""address"": ""215 116 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01209-0049,1950.0,29.7,1964,1-00906-0006,1.9,44.0,3760000,2190000,,3.65,138.0,,26.0,UPPER WEST SIDE (79-96),24640.0,D4-ELEVATOR,"{'latitude': '40.599905865484', 'longitude': '-74.001888890704', 'human_address': '{""address"": ""209 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00799-0035,1920.0,30.5,1958,1-00885-0063,0.15,13.0,3580000,11200000,,0.7,142.0,,28.5,CHELSEA,10300.0,D4-ELEVATOR,"{'latitude': '40.743751095595', 'longitude': '-73.98163602967', 'human_address': '{""address"": ""157 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01365-0020,1972.0,31.1,1951,1-01314-0021,0.35,276.0,41900000,64400000,1040645.0,0.7,144.0,40.758571,30.4,MIDTOWN EAST,387761.0,D4-ELEVATOR,"{'latitude': '40.74881427862', 'longitude': '-73.972957572087', 'human_address': '{""address"": ""747 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02066-0054,1920.0,11.74,1926,1-02068-0011,0.1,21.0,659000,442000,,0.1,33.0,,12.0,HARLEM-UPPER,21060.0,C6-WALK-UP,"{'latitude': '40.829606902863', 'longitude': '-73.942290458068', 'human_address': '{""address"": ""447 153 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02238-0011,1936.0,16.83,1937,1-02241-0002,0.4,43.0,2700000,2260000,1064953.0,0.1,63.0,40.867513,15.0,INWOOD,42874.0,D4-ELEVATOR,"{'latitude': '40.868064379705', 'longitude': '-73.922946274038', 'human_address': '{""address"": ""55 COOPER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01341-0044,1948.0,31.2,1959,1-00925-0060,0.8,70.0,11100000,9510000,,1.45,145.0,,34.0,MIDTOWN EAST,56310.0,D4-ELEVATOR,"{'latitude': '40.600996593515', 'longitude': '-74.006848454447', 'human_address': '{""address"": ""304 20 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00905-0026,1965.0,45.5,1963,1-00928-0040,0.25,213.0,32500000,17300000,1019791.0,0.15,224.0,40.738647,33.0,GRAMERCY,153800.0,D4-ELEVATOR,"{'latitude': '40.658591389224', 'longitude': '-73.991924495047', 'human_address': '{""address"": ""320 23 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01055-0045,1920.0,37.2,1910,1-01053-0012,0.25,20.0,1680000,1580000,,0.1,173.0,,31.0,CLINTON,9855.0,C6-WALK-UP,"{'latitude': '40.649745745118', 'longitude': '-74.007375750848', 'human_address': '{""address"": ""447 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01345-0038,1900.0,36.6,1910,1-01144-0040,0.15,13.0,1550000,1280000,,1.7,171.0,,35.0,MIDTOWN EAST,7400.0,C6-WALK-UP,"{'latitude': '40.634114118054', 'longitude': '-74.032743383713', 'human_address': '{""address"": ""118 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01122-0023,1927.0,48.5,1928,1-01200-0005,0.2,83.0,17100000,6940000,,0.9,238.0,,34.0,UPPER WEST SIDE (59-79),70144.0,D4-ELEVATOR,"{'latitude': '40.625222163224', 'longitude': '-74.038357910149', 'human_address': '{""address"": ""51 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00520-0029,1920.0,36.2,1962,1-00504-0031,0.1,60.0,7470000,7900000,,0.15,169.0,,36.0,SOHO,38880.0,D4-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01842-0025,1900.0,18.22,1920,1-01847-0061,0.15,20.0,516000,304000,,0.35,68.0,,16.28,MANHATTAN VALLEY,8915.0,C6-WALK-UP,"{'latitude': '40.803133703591', 'longitude': '-73.956446899549', 'human_address': '{""address"": ""302 114 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02053-0086,1920.0,16.01,1920,1-02036-0005,0.2,25.0,692000,580000,1061151.0,0.3,54.0,40.825938,16.01,HARLEM-CENTRAL,16885.0,C6-WALK-UP,"{'latitude': '40.826137986699', 'longitude': '-73.938855280736', 'human_address': '{""address"": ""28 MACOMBS PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02110-0076,1910.0,14.02,1920,1-02118-0042,0.25,23.0,766000,552000,,0.25,43.7,,13.5,WASHINGTON HEIGHTS LOWER,19208.0,C6-WALK-UP,"{'latitude': '40.834249871403', 'longitude': '-73.941022646826', 'human_address': '{""address"": ""2002 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01146-0008,1910.0,32.4,1923,1-01247-0010,0.4,73.0,6220000,6640000,,0.65,151.0,,30.0,UPPER WEST SIDE (59-79),40937.0,D4-ELEVATOR,"{'latitude': '40.624010201093', 'longitude': '-74.029215846118', 'human_address': '{""address"": ""355 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
