longitude,nta,nocrim_n,school_year,register,nypd_site_code,latitude-schools_in_building
-73.986542,Lower East Side                                                            ,19.0,2016 - 17,783.0,603.0,40.711549-Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION
-73.884063,Cypress Hills-City Line                                                    ,0.0,2016 - 17,996.0,221.0,40.681268-P.S. 108 Sal Abbracciamento
-73.945042,Bedford                                                                    ,,2016 - 17,394.0,92.0,40.698869-P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION
-73.946641,Bedford                                                                    ,,2016 - 17,231.0,205.0,40.697152-Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION
-73.946108,East Williamsburg                                                          ,0.0,2016 - 17,1040.0,230.0,40.71466-P.S. 131 Brooklyn
-73.933319,East Harlem North                                                          ,,2016 - 17,959.0,559.0,40.798884-Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION
-73.938843,Crown Heights North                                                        ,6.0,2016 - 17,539.0,3.0,40.675612-William E. Grady Career and Technical Education Hi
-74.017818,Battery Park City-Lower Manhattan                                          ,0.0,2016 - 17,613.0,546.0,40.70644-P.S./I.S. 217 Roosevelt Island
-73.939722,Bushwick South                                                             ,,2016 - 17,886.0,197.0,"40.712184-PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION"
-73.955569,Central Harlem South                                                       ,,2016 - 17,281.0,619.0,40.807843-Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION
-73.845091,Forest Hills                                                               ,0.0,2016 - 17,753.0,1106.0,40.725098-NEW HEIGHTS ACADEMY CHARTER SCHOOL(MN)
-73.894747,East New York (Pennsylvania Ave)                                           ,,2016 - 17,466.0,1458.0,40.667456-Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
-73.935765,Stuyvesant Heights                                                         ,2.0,2016 - 17,315.0,158.0,40.693161-P.S. 081 Thaddeus Stevens; P.S.004 | 990 DEKALB AVENUE
-73.985953,Seagate-Coney Island                                                       ,0.0,2016 - 17,509.0,7.0,40.577208-P.S. K721 - Brooklyn Occupational Training Center
-73.940468,Washington Heights South                                                   ,,2016 - 17,387.0,617.0,40.845469-P.S. 171 Patrick Henry |  Central Park East II |  19 EAST 103 STREET CONSOLIDATED LOCATION
-73.910276,Bushwick South                                                             ,4.0,2016 - 17,1222.0,26.0,40.688387-Success Academy C harter School- Cobble Hill | Digital Arts and Cinema Technology High School |Boerum Hill School for International Studies |284 BALTIC STREET CONSOLIDATED LOCATION
-73.869469,East New York                                                              ,0.0,2016 - 17,612.0,97.0,40.675766-P.S. 158 Warwick
-73.999646,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,4.0,2016 - 17,1643.0,661.0,40.748818-P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION
-73.960254,Prospect Heights                                                           ,,2016 - 17,164.0,1383.0,40.674406-P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION
-73.996292,Seagate-Coney Island                                                       ,1.0,2016 - 17,668.0,950.0,40.574607-P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION
-73.979308,Lower East Side                                                            ,5.0,2016 - 17,540.0,1061.0,40.718895-P.S. 020 Anna Silver
-73.982455,Gramercy                                                                   ,,2016 - 17,195.0,550.0,40.738548-47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION
-73.936159,Washington Heights South                                                   ,,2016 - 17,423.0,1069.0,40.839305-M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION
-73.937696,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,,2016 - 17,209.0,10.0,40.594124-Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION
-73.787192,South Jamaica                                                              ,4.0,2016 - 17,1836.0,638.0,40.69719-I.S. 5 - The Walter Crowley Intermediate School
-73.935963,Stuyvesant Heights                                                         ,,2016 - 17,244.0,63.0,40.681896-Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION
-73.824303,Co-op City                                                                 ,,2016 - 17,296.0,404.0,40.864676-Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION
-73.854131,Corona                                                                     ,0.0,2016 - 17,1122.0,849.0,40.74056-P.S. 011 Kathryn Phelan
-73.977904,Lower East Side                                                            ,0.0,2016 - 17,567.0,621.0,40.719598-P.S. 183 Robert L. Stevenson
-73.919594,Ocean Hill                                                                 ,4.0,2016 - 17,385.0,54.0,40.673073-Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION
-73.973292,Upper West Side                                                            ,6.0,2016 - 17,687.0,543.0,40.795157-The Lexington Academy
-73.959031,Crown Heights South                                                        ,0.0,2016 - 17,130.0,1062.0,40.665035-P.S. 319
-73.911705,Brownsville                                                                ,6.0,2016 - 17,516.0,1141.0,40.665878-Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION
-73.992953,Clinton                                                                    ,10.0,2016 - 17,1291.0,534.0,40.765184-The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION
-73.939407,Bushwick South                                                             ,2.0,2016 - 17,619.0,162.0,40.705204-P.S. 145 Andrew Jackson
-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,7.0,2016 - 17,598.0,279.0,40.697339-Cobble Hill School of American Studies
-73.971376,Fort Greene                                                                ,,2016 - 17,410.0,58.0,40.690765-P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION
-73.944789,Hamilton Heights                                                           ,2.0,2016 - 17,277.0,701.0,40.829832-P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter 
-73.961476,Williamsburg                                                               ,,2016 - 17,232.0,56.0,40.706023-P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION
-73.982027,Gramercy                                                                   ,,2016 - 17,390.0,578.0,40.735161-P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION
-73.946716,Central Harlem South                                                       ,1.0,2016 - 17,362.0,1054.0,40.80247-P.S. 146 Ann M. Short
-73.982314,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,6.0,2016 - 17,492.0,123.0,40.701343-P.S. 306 Ethan Allen
-73.983031,Gramercy                                                                   ,,2016 - 17,268.0,562.0,40.732447-P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION
-73.916082,West Concourse                                                             ,4.0,2016 - 17,615.0,409.0,40.842495-The School of Science and Applied Learning
-74.006862,Sunset Park West                                                           ,,2016 - 17,486.0,1037.0,40.651977-I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION
-73.973132,West Brighton                                                              ,,2016 - 17,503.0,28.0,40.582533-I.S. 303 Herbert S. Eisenberg | Coney Island Preparatory Public Charter School |Rachel Carson High School for Coastal Studies |  521 WEST AVENUE CONSOLIDATED LOCATION
-73.958794,Clinton Hill                                                               ,,2016 - 17,203.0,86.0,"40.692642-Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION"
-73.95855,Erasmus                                                                    ,22.0,2016 - 17,1919.0,138.0,40.649787-Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION
-73.921631,East Concourse-Concourse Village                                           ,,2016 - 17,697.0,446.0,40.82316-South Bronx Preparatory: A College Board School |  M.S. 223 The Laboratory School of Finance and Tech |  360 EAST 145 STREET CONSOLIDATED LOCATION
-73.930672,Washington Heights North                                                   ,4.0,2016 - 17,256.0,633.0,40.86079-P.S. 149 Sojourner Truth
-73.988019,Clinton                                                                    ,1.0,2016 - 17,178.0,549.0,40.761448-P.S. 015 Roberto Clemente
-73.922732,Rugby-Remsen Village                                                       ,0.0,2016 - 17,285.0,1423.0,40.643889-BROOKLYN URBAN GARDEN CHARTER SCHOOL (BS)
-73.924833,Stuyvesant Heights                                                         ,,2016 - 17,204.0,124.0,40.688419-P.S. 309 The George E. Wibecan Preparatory Academy |Excellence Girls Charter School |794 MONROE STREET CONSOLIDATED LOCATION
-73.927481,Bushwick South                                                             ,,2016 - 17,295.0,85.0,"40.70069-I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION"
-73.98138,Lower East Side                                                            ,,2016 - 17,247.0,687.0,40.72438-P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION
-73.948625,Greenpoint                                                                 ,5.0,2016 - 17,1116.0,227.0,40.719819-John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION
-73.983056,Lower East Side                                                            ,0.0,2016 - 17,672.0,533.0,40.71925-P.S. 184m Shuang Wen
-73.979287,Park Slope-Gowanus                                                         ,,2016 - 17,654.0,138.0,40.669629-Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION
-73.953281,North Side-South Side                                                      ,,2016 - 17,114.0,15.0,40.721981-Frances Perkins Academy | Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION
-73.79562,Baisley Park                                                               ,1.0,2016 - 17,1077.0,914.0,40.678296-P.S. 120 Queens
-73.973132,West Brighton                                                              ,3.0,2016 - 17,2025.0,28.0,40.582533-I.S. 303 Herbert S. Eisenberg | Coney Island Preparatory Public Charter School |Rachel Carson High School for Coastal Studies |  521 WEST AVENUE CONSOLIDATED LOCATION
-73.946374,East Flatbush-Farragut                                                     ,,2016 - 17,333.0,101.0,40.648215-The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION
-73.894747,East New York (Pennsylvania Ave)                                           ,,2016 - 17,,1458.0,40.667456-Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
-73.920109,Rugby-Remsen Village                                                       ,1.0,2016 - 17,191.0,280.0,40.658295-Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION
-73.988288,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,0.0,2016 - 17,228.0,1332.0,40.687466-The Fresh Creek School
-74.013542,Battery Park City-Lower Manhattan                                          ,,2016 - 17,412.0,589.0,40.716668-P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION
-73.900161,Fordham South                                                              ,,2016 - 17,319.0,390.0,40.859752-The Forward School |  The Young Scholars Academy of The Bronx |  School of Diplomacy |  3710 BARNES AVENUE CONSOLIDATED LOCATION
-73.729982,Cambria Heights                                                            ,0.0,2016 - 17,945.0,859.0,40.685492-P.S. 173 Fresh Meadows
-74.013542,Battery Park City-Lower Manhattan                                          ,,2016 - 17,281.0,589.0,40.716668-P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION
-73.989337,Chinatown                                                                  ,,2016 - 17,352.0,654.0,"40.716778-Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION"
-73.965613,Morningside Heights                                                        ,,2016 - 17,246.0,613.0,40.802917-M.S. 328 - Manhattan Middle School for Scientific |WHIN Music Community |  401 WEST 164 STREET CONSOLIDATED LOCATION
-73.904901,Brownsville                                                                ,,2016 - 17,115.0,247.0,40.659966-Riverdale Avenue Community School | Riverdale Avenue Middle School |  76 RIVERDALE AVENUE CONSOLIDATED LOCATION
-73.948625,Greenpoint                                                                 ,,2016 - 17,323.0,227.0,40.719819-John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION
-73.986015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,690.0,148.0,"40.694926-George Westinghouse Career and Technical Education|City Polytechnic High School of Engineering, Archi|105 TECH PLACE CONSOLIDATED LOCATION"
-73.833776,Co-op City                                                                 ,,2016 - 17,875.0,501.0,40.87302-P.S. X176 |  P.S. 178 - Dr. Selman Waksman |  850 BAYCHESTER AVENUE CONSOLIDATED LOCATION
-73.967574,Upper West Side                                                            ,,2016 - 17,211.0,587.0,40.789526-P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION
-73.960059,Lenox Hill-Roosevelt Island                                                ,,2016 - 17,459.0,1367.0,40.765359-Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION
-73.94441,East Harlem South                                                          ,4.0,2016 - 17,1449.0,591.0,40.79564-M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION
-73.91079,Canarsie                                                                   ,2.0,2016 - 17,393.0,75.0,40.635553-I.S. 068 Isaac Bildersee
-73.965541,Prospect Heights                                                           ,,2016 - 17,346.0,52.0,40.678297-P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION
-73.936049,Crown Heights South                                                        ,7.0,2016 - 17,1489.0,24.0,40.663701-J.H.S. 220 John J. Pershing
-73.95427,Greenpoint                                                                 ,0.0,2016 - 17,593.0,204.0,40.726587-P.S. 031 Samuel F. Dupont
-73.976905,Fort Greene                                                                ,24.0,2016 - 17,3418.0,13.0,40.688834-James Madison High School
-74.144297,Port Richmond                                                              ,0.0,2016 - 17,575.0,1110.0,40.631523-P.S. 018 John G. Whittier
-73.927051,Washington Heights North                                                   ,,2016 - 17,409.0,709.0,40.855954-George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION
-73.943652,Stuyvesant Heights                                                         ,,2016 - 17,368.0,209.0,40.696733-P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION
-73.929076,Prospect Lefferts Gardens-Wingate                                          ,,2016 - 17,127.0,166.0,40.65843-East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION
-73.882715,Belmont                                                                    ,,2016 - 17,455.0,448.0,"40.855698-H.E.R.O. High (Health, Education, and Research Occ |  Mott Haven Community High School |  Samuel Gompers Career and Technical Education High |  New Visions Charter High School for the Humanities455 SOUTHERN BLVD CONSOLIDATED LOCATION"
-73.958794,Clinton Hill                                                               ,2.0,2016 - 17,710.0,86.0,"40.692642-Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION"
-73.989672,Borough Park                                                               ,,2016 - 17,1160.0,101.0,40.627029-The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION
