facility_name,multifamily_home_dishwasher,warehouse_unrefrigerated_5,total_green_power_purchased,census_tract,hotel_floor_area_of_full,number_of_staffed_beds,data_center_gross_floor_area,k_12_school_presence_of,current_site_pdu_input_energy,other_weekly_operating_hours,multifamily_home_percent_1,natural_gas_use_therms,other_space_type_name,energy_use_alerts,data_center_annual_it_energy,residence_halls_dormitories_2,fuel_oil_2_use_kbtu,metering_configuration,diesel_2_use_kbtu,parking_non_enclosed_floor,senior_care_facility_gross,parking_gross_floor_area,service_and_product_provider,swimming_pool_size,weather_normalized_site_eui,hospital_gross_floor_area,house_of_worship_presence,office_weekly_operating_hours,temporary_data_flag_fuel_1,k_12_school_pc_density,bank_financial_institution_5,hospital_number_of_buildings,indoor_water_use_kgal,warehouse_unrefrigerated_1,k_12_school_high_school_y,hotel_floor_area_of_gym,full_time_equivalent_fte,senior_care_facility_number_2,medical_office_gross_floor,office_pc_density,retail_weekly_operating_hours,target_site_energy_intensity,retail_number_of_walk_in,temporary_data_flag_district_2,hotel_presence_of_cooking,number_of_mri_machines,total_avoided_ghg_emissions,bank_financial_institution,county,current_direct_ghg_emissions,other_gross_floor_area_sq,hotel_average_occupancy
Heller- 15,,,,1502.0,,,,,,53.0,,,Other,,,,,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,62.6,,,59.0,,,8.0,,,,,,,,,3.3,,0.0,,,,,,5067.0,NEW YORK,,4293.0,
594 Broadw,,,,43.0,,,,,,,,5.0,,Data > 120 days old<br>,,,,No Selection Made,,,,,US Energy Group,,85.1,,,143.0,,,,,,,,,,,,3.65,,0.0,,,,,,,NEW YORK,203.81,,
Samson - 1,23.0,,,13.0,,,,,,,5.0,,,,,,,No Selection Made,,,,,,,77.0,,,,No,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,241.87,,
259 West 10th LLC,,,,75.0,,,,,,,,35526.0,,,,,,No Selection Made,,,,,,,101.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,189.0,,
Propp Comp,,,,45.0,,,333.0,,,154.0,,70263.2,Restaurant/Cafeteria,,0.0,,,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,124.3,,,48.0,No,,,,,,,,,,,3.4,79.0,0.0,1.0,,,,,,NEW YORK,602.29,21385.0,
Pinnacle -,0.0,,,31.0,,,,,,,4.0,212568.2,,,,,,No Selection Made,,0.0,,54918.0,,,130.2,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,1130.86,,
277 Broadw,,,,21.0,,,,,,0.0,,,Other,Data > 120 days old<br>,,,,No Selection Made,,,,,Bright Power,,74.9,,,56.0,No,,9.0,,1830.8,,,,,,,3.19,,0.0,,,,,,3400.0,NEW YORK,341.81,37728.0,
Gold - 50,0.0,,,1402.0,,,,,,,11.0,,,,,,8499439.26,No Selection Made,,0.0,,12040.0,,,94.2,,,65.0,,,,,,,,,,,,2.2,,0.0,,,,,,,NEW YORK,625.28,,
14-22 Leon,31.0,,,33.0,,,,,,,10.0,26600.3,,,,,,No Selection Made,,,,,,,71.8,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,141.51,,
176 Broadway,73.0,,,1502.0,,,,,,,19.0,2759.6,,,,,,Whole Facility Energy Consumption,,,,,American Utility Consultants,,75.3,,,,,,25.0,,,,,,,,,,49.0,0.0,0.0,,,,,13100.0,NEW YORK,642.77,,
