ownerstreetaddress,tenantpostcode,tenantstreetname,routetoelevators,noofbicycleaccomodate,locationofentrances,ownerzipcode,regularhoursofoperation,census_tract,dobdevicenumber,floorsuiterequested,tenantnotificationexcept
1114 Avenue of the Americas,10036,Avenue of the Americas,Through the loading dock area to the first floor frieght elevator. Caution should be used as this is an active loading area,,Bike entrance will be through the Building loading dock located on 43rd Street only,10036,8:00AM to 6:00PM  Monday through Friday Except Holidays when building services are suspened.,96.0,,4th Floor,1999-01-31T00:00:00.000
One MetroTech Center,10018,8th Ave.,"Enter at 40th Street Loading Dock, sign in at the Loading Dock Security Office and take the Loading Dock Service Elevator to the Cellar Level. Follow the main corridor to the Tower Service Elevators and take the Tower Service Elevators to tenant premises.",,Entrance/Exit at 40th Street Loading Dock,11201,"Monday through Friday, 8:00 am to 6:00pm, excluding Building Holidays.",113.0,,21st Floor,
444 Madison Avenue,10022,Madison Avenue,,,,10022,,102.0,,21,
225 Liberty Street,10080,World Financial Center,,,Corner of West Street and Liberty Street,10281,,31703.0,,Floor 7,1999-01-31T00:00:00.000
450 West 33rd Street,10001,West 33rd Street,,,,10001,,103.0,,7th Floor8th Floor10th Floor,
1212 Ave of the Americas,10036,Avenue of the Americas,,,,10036,,96.0,,1901,
2 World Financial Center,10281,World Financial Center,,,,10281,,31703.0,,C1 Level,1999-01-31T00:00:00.000
810 Seventh Avenue,10019,Seventh Avenue,The freight elevator is located at the botttom of the parking garage ramp on 52nd street between 7th Avenue and Broadway,,The loading dock/parking garage entrance is located on 52nd street between 7th Avenue and Broadway,10019,8am-5pm,131.0,,2005,
501 Fifth Ave,10019,West 52nd Street,Freight entrance and Freight elevator of 333 W52nd St,,Freight entrance and Freight elevator of 333 W52nd St,10017,"The freight elevator is run 24 hours a day, 7 days a week",133.0,,"Floor 8, Suite 805",
551 MADISON AVE,10022,MADISON AVENUE,,,,10022,,102.0,,GRD,
689 Fifth Avenue,10022,Fifth Avenue,"To access the street freight, cyclists shall check in with Lobby Security. The security officer will contact building personnel to direct and grant access to the street freight car. Cyclists will take the outside street elevator to the basement level,then shall be directed to the inside freight (#3) elevator which can be taken to the applicable tenant floor.",,All bicycles are to enter and exit the Building via the sidewalk freight(street) elevator located on 54th St. No bicycle shall be permitted to enter or exit through the building lobby or via passenger elevators,10022,"Access only during normal freight elev.hours 8AM-5PM,Monday-Friday,excluding holidays.",102.0,,5,1999-01-31T00:00:00.000
330 Madison Avenue,10017,Madison Avenue,,,,10017,,94.0,1P26745,2nd Floor21st Floor35th Floor,2011-02-17T00:00:00.000
611Broadway,10012,Broadway,,,,10012,,5501.0,,suite 801,1999-01-31T00:00:00.000
112 W 34th St,10120,W 34th ST,,,,10120,,101.0,,Saffie Touray,
1251 Avenue of the Americas,10020,Avenue of the Americas,,,,10025,,125.0,,21st Floor,
120 Fifth Avenue,10011,Fifth Avenue,Lobby signs posted,,Freight elevator,10011,,54.0,,2 and 4-10,
767 5th Avenue,10153,5th Avenue,,,,10153,,11202.0,,14th floor,
