requestid,indexnumber,tenantname,dateofelevator,tenantbuildingnumber,tenantcity,alternateparkinglocation,dateofrequest,tenantstatecode,alternateparkingdescription,dateofbuilding,iscartop,requestdateofentry,ownerstatecode,tenantfloor,methodofelevator
2300,BIB16000052,World Food Programme,,733,New York,,,NY,,,,,NY,23rd Floor,
1953,BIB14000202,Marex Spectron,,360,New York,,2014-09-05T00:00:00.000,NY,,,,2014-09-05T00:00:00.000,NY,3,
1887,BIB14000136,McKinsey & Company,,875,New York City,,,NY,,,,2014-07-09T13:54:57.000,NY,5th,
2490,BIB17000018,Eli Casdin,,1350,New York,,,NY,,,,,NY,2405,
2038,BIB15000014,Abacus Group LLC,,655,New York,,,NY,,,,,NY,Suite 816,
786,bib11000059,Jaffe and Asher LLP,,600,New York,,2011-04-11T00:00:00.000,NY,,,,2011-04-11T00:00:00.000,NY,9,
14,BIB09000014,NYC Housing Authority,,250,New York,,2009-12-11T00:00:00.000,NY,,,,2009-12-11T00:00:00.000,NY,10th FL,
721,BIB10000644,Morgan Stanley,,787,New York,,2010-12-01T00:00:00.000,NY,,,,2010-12-01T00:00:00.000,NY,3rd Annex,
2786,BIB18000164,UHY Advisors,,1185,New York,,,NY,,,,,NY,38,
1946,BIB14000195,BOA  Merrill Lynch,,225,New York,,2014-08-29T00:00:00.000,NY,,,,2014-08-29T00:00:00.000,NY,41,
1116,BIB12000054,"SPUR STUDIO,LLC",,611,New York,,2012-03-22T00:00:00.000,NY,,,,2012-03-22T00:00:00.000,NY,704,
630,BIB10000553,Bon Bebe,,112,New York,,2010-07-29T00:00:00.000,NY,,,,2010-07-29T00:00:00.000,NY,1908,
881,BIB11000154,UBS/Nespresso,,101,New York,,2011-06-21T00:00:00.000,NY,,,,2011-06-21T00:00:00.000,NY,22,
1715,BIB13000270,Anderson Productions Ltd (APL),,55,New York,,,NY,,,,2013-09-23T16:52:04.000,NY,800,
2214,BIB15000187,Cohen & Steers,,280,New York,,,NY,,,,,NY,10,
191,BIB10000114,Andre Poehlker,,122,New York,,2010-03-04T00:00:00.000,NY,,,,2010-03-04T00:00:00.000,NY,1512,
557,BIB10000480,The Vidal Partnership,,228,New York,,2010-06-21T00:00:00.000,NY,,,,2010-06-21T00:00:00.000,NY,11th Floor,
591,BIB10000514,GLG Inc.,,390,New York,,2010-07-12T00:00:00.000,NY,,,,2010-07-12T00:00:00.000,NY,20,
2780,BIB18000158,Atlantic Pacific Capital,,444,New York,,,NY,,,,,NY,34th floor,
908,BIB11000181,UBS/Nespresso,,101,New York,Storage for all permitted bicycles will be provided in a fully locked and secured room directly off the loading dock platform of 101 Park Avenue.,2011-07-07T00:00:00.000,NY,"On the loading dock, the employee must show his or her ID to the security guard in the security office adjacent to the ramp. After doing so, the security guard will escort the emplyee and bicycle to the locked bicycle room for storage.",,,2011-07-07T00:00:00.000,NY,22,
2016,BIB14000265,Test,2012-12-22T00:00:00.000,55,NY,Test,,NY,Test,2012-12-22T00:00:00.000,Yes,,AZ,7,2
946,BIB11000219,"Hudson Advisors, LLC - Lone Star USA, LLC",,888,New York,,2011-08-08T00:00:00.000,NY,,,,2011-08-08T00:00:00.000,NY,11th Floor,
1826,BIB14000075,R4 Capital LLC,,780,New York,,,NY,,,,2014-05-30T10:37:50.000,NY,10,
2201,BIB15000174,"Pzena Investment Management, LLC",,320,New York,,,NY,,,,,NY,8,
2026,BIB15000002,Kim McMillin,,156,New York,,,NY,,,,,NY,300,
1649,BIB13000204,The Wallace Foundation,,5,New York,,,NY,,,,2013-07-12T08:53:52.000,NY,7 th floor,
2488,BIB17000016,"Arnold & Porter Kaye Scholer, LLP",,250,New  York,,,NY,,,,,NY,C2,
2612,BIB17000140,Vedanta Capital/NSR Partners,,250,New York,,,NY,,,,,NY,Suite 13D,
2694,BIB18000072,Maren Bush,,250,New York,,,NY,,,,,NY,501,
1654,BIB13000209,Shearman & Sterling,,599,New York,,,NY,,,,2013-07-19T12:29:43.000,NY,1202,
1740,BIB13000295,"Value Line, Inc",,485,New York,,,NY,,,,2013-11-12T11:23:18.000,NY,9,
