bx_westchester_unionport,bk_gravesend,qn_rego_park,bk_brighton_beach,qn_briarwood_jamaica_hills,mn_manhattanville,bk_williamsburg,mn_washington_heights_south,bx_university_heights_morris,mn_stuyvesant_town_cooper,qn_maspeth,mn_gramercy,qn_east_flushing,si_stapleton_rosebank,bk_starrett_city,bin,street_address_mailing_address,qn_glendale,qn_middle_village,bx_north_riverdale_fieldston,bx_hunts_point,boroughs_served,si_rossville_woodrow,bx_highbridge,qn_springfield_gardens_north,mn_murray_hill_kips_bay,mn_west_village,city,longitude,bx_soundview_castle_hill,bk_crown_heights_south,mn_east_harlem_north,mn_lincoln_square,interest_areas,bk_east_new_york_pennsylvania,qn_pomonok_flushing_heights,nta,bk_kensington_ocean_parkway
,,,,,,,,,,,,,,,4000000.0,Oak Ridge / One Forest Park,,,,,QN,,,,,,Woodhaven,-73.852566,,,,,"Arts and culture, Children and youth related, Environment and sustainability, Recreation",,,park-cemetery-etc-Queens,
,,,,,,,,,,,,,,,1066031.0,85 Broad Street,,,,,All Boroughs,,,,,,New York,-74.011559,,,,Lincoln Square,Employment and workforce development,,,Battery Park City-Lower Manhattan,
,,Rego Park,,Briarwood-Jamaica Hills,,,,,,Maspeth,,East Flushing,,,3054892.0,185 Hall Street #815,Glendale,Middle Village,,,BK,,,Springfield Gardens North,,,Brooklyn,-73.965678,,,,,Children and youth related,,Pomonok-Flushing Heights-Hillcrest,Clinton Hill,
,,,,,,,Washington Heights South,University Heights-Morris Heights,,,,,,,1000027.0,"1 Whitehall Street, 17th Floor",,,,,All Boroughs,,,,,,New York,-74.013164,,,,,"Children and youth related, Education and literacy, Environment and sustainability, Public Space Management",,,Battery Park City-Lower Manhattan,
,,,,,,,,,,,,East Flushing,,,1087193.0,2-26 E 120th Street,,,,,"MN, BX, QN",,,,,,New York,-73.944541,,,East Harlem North,,"Employment and workforce development, Faith-based, Human services, Emergency Food Program/Counseling",,,East Harlem North,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,,3 Washinton Square Village Suite 1F,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"MN, QN",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,Senior Services,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,,Kensington-Ocean Parkway
,,,,,,,Washington Heights South,,,,,,,,2097309.0,"250 Bedford Park Blvd West, Carman Hall, Room 337",,,,,BX,,,,,West Village,The Bronx,-73.89286,,,,,Student engagement in community service learning,East New York (Pennsylvania Ave),,Van Cortlandt Village,
,,,,,,,,,,,,,,,5000034.0,50 Bay street,,,,,SI,,,,,,Staten Island,-74.075766,,,,,Children and youth related,,,West New Brighton-New Brighton-St. George,
,,,,Briarwood-Jamaica Hills,,,,,,,,,,,3001229.0,146 Smith Street,,,,,BK,,,,,,Brooklyn,-73.990412,,,,,"Arts and culture, Children and youth related",,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,
,,,,,,,,,,,,,,,,PO Box 1624,,,,,MN,,,,,,New York,,,,East Harlem North,,"Children and youth related, Environment and sustainability, park/open space",,,,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,4029679.0,35-41 80 St.,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,QN,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Jackson Heights,-73.886468,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,Environment and sustainability,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Jackson Heights,Kensington-Ocean Parkway
,,,,Briarwood-Jamaica Hills,,,,,,,,,,,1083624.0,"520 8th Ave, Suite 201C",,,,,"BK, MN, BX",,,Springfield Gardens North,,,New York,-73.992417,,,,,"Arts and culture, Children and youth related, Education and literacy, Health and medicine",,,Midtown-Midtown South,
,,,,,,,,,,,,,,,3064646.0,177 Kent Street,,,,,"BK, MN",,,,,,Brooklyn,-73.953502,,,,,"Immigrants and/or refugees, Senior Services",,,Greenpoint,
,,,,,,,,,,,,,,,1015858.0,1270 Broadway Ste 501,,,,,All Boroughs,,,,,,New York,-73.988097,,,,,"Advocacy and organizing, Arts and culture, Children and youth related, LGBTQIA+, Women's issues",,,Midtown-Midtown South,
Westchester-Unionport,,Rego Park,,Briarwood-Jamaica Hills,Manhattanville,,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,,4085200.0,68-52 fresh pond road,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,QN,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Ridgewood,-73.895681,Soundview-Castle Hill-Clason Point-Harding Park,,East Harlem North,Lincoln Square,Senior Services,,Pomonok-Flushing Heights-Hillcrest,Ridgewood,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,4536836.0,"3027 30th Street, 2A",Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"MN, BX, QN",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Astoria,-73.922752,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Education and literacy, Emergency management and disaster response, Human services, Immigrants and/or refugees",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Astoria,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,4439444.0,207-08 Hollis Ave.,,,,,All Boroughs,,,,,,Queens Village,-73.749889,,,,,"Advocacy and organizing, Human services, Community outreach, education, and awareness",,,Queens Village,
,,,,,,,,,,,,,,,3057479.0,80 Hanson Place #604,,,,,"BK, MN, BX, QN",,,,,,Brooklyn,-73.974421,,Crown Heights South,,,"Advocacy and organizing, Arts and culture",,,Fort Greene,
,,,,,,,,,,,,,,,3189617.0,3001 WEST 37TH STREET,,,,,BK,,,,,,Brooklyn,-74.002509,,,,,Senior Services,,,Seagate-Coney Island,
,,,,,,Williamsburg,,,,,,,,,,21 Bloomingdale Road,,,,,All Boroughs,,,,,,White Plains,,,,,,"Health and medicine, Mental Health",,,,
,,,,,,,,,,,,East Flushing,,,2101002.0,1 Bronx River Parkway,,,,,BX,,,,,,The Bronx,-73.87133,,,,,Environment and sustainability,,Pomonok-Flushing Heights-Hillcrest,park-cemetery-etc-Bronx,
,,,,,,,,,,,,,,,1075379.0,221 West 107 Street,,,,,MN,,,,,,New York,-73.966593,,,,,"Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Human services, Senior Services",,,Morningside Heights,
,,,,,,,,,,,,,,,,1200 Prospect Avenue,,,,,All Boroughs,,,,,,Westbury,,,,,,Health and medicine,,,,
,,,,,,,,,,,,,,,1083268.0,625 8th Ave,,,North Riverdale-Fieldston-Riverdale,,"BK, MN, SI, QN",,,,,,New York,-73.990565,,,,,Support active and retired military,,,Clinton,
,,,,,,,,,,,,,,,1000813.0,"50 Broadway, 25th Floor",,,,,All Boroughs,,,,,,New York,-74.012761,,,,,Education and literacy,,,Battery Park City-Lower Manhattan,
,,,,,,,,,,,,,,,4134830.0,29-01 216th Street,,,,,All Boroughs,,,,,,Bayside,-73.770182,,,,,"Children and youth related, Health and medicine",,,Bayside-Bayside Hills,
,,,,,,,,,,,,,,,1063501.0,4111 BROADWAY,,,,,MN,,,,,,New York,-73.938763,,,,,Senior Services,,,Washington Heights South,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,3029665.0,10 Grand Army Plaza,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,BK,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Brooklyn,-73.969069,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Homeless and shelter, Immigrants and/or refugees, People with disabilities, Senior Services",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,park-cemetery-etc-Brooklyn,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1003224.0,227 Madison Street,,,,,MN,,Highbridge,,,,New York,-73.988417,,,,,Health and medicine,,,Lower East Side,
,,,,,,,,,,,,,,,1000813.0,"50 Broadway, Suite 1301",,,,,"MN, BX",,,,,,New York,-74.012761,,,,,Homeless and shelter,,,Battery Park City-Lower Manhattan,
,Gravesend,,,,,,,,,,,,,,4191928.0,85-09 107 street,,,,,QN,,Highbridge,,,,Richmond Hill,-73.842155,,,,,Emergency management and disaster response,,,Richmond Hill,
,,,,,,Williamsburg,Washington Heights South,,Stuyvesant Town-Cooper Village,,,,Stapleton-Rosebank,,,71-28 Roosevelt,,,,Hunts Point,QN,,Highbridge,,,,Jackson Heights,,,Crown Heights South,East Harlem North,,"Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Immigrants and/or refugees, Senior Services",East New York (Pennsylvania Ave),,,
,,,,,,,,,,,,,,Starrett City,,PO BOX 380439,,,,,All Boroughs,,,,,,Brooklyn,,,,,,"Children and youth related, Faith-based, Homeless and shelter, Immigrants and/or refugees, Strengthening isolated families",East New York (Pennsylvania Ave),,,
,,,,Briarwood-Jamaica Hills,,,,,,,,,,,5000035.0,56 Bay Street,,,,,SI,,,Springfield Gardens North,,,Staten Island,-74.075704,,,,,"Advocacy and organizing, Health and medicine, Human services",,Pomonok-Flushing Heights-Hillcrest,West New Brighton-New Brighton-St. George,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,1004177.0,"79 Clinton Street, Suite 17",Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"BK, MN, BX, QN",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,-73.985209,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Arts and culture, Children and youth related, Environment and sustainability, Justice-related",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Lower East Side,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1001394.0,1 Centre Street,,,,,All Boroughs,,,,,,New York,-74.004181,,,East Harlem North,,Introducing travelers to New York City,,,Chinatown,
Westchester-Unionport,,,,,,,,University Heights-Morris Heights,,,,,,,1088795.0,150 Greenwich Street,,,North Riverdale-Fieldston-Riverdale,Hunts Point,"BK, MN, SI, QN",,Highbridge,,,,New York,-74.012524,Soundview-Castle Hill-Clason Point-Harding Park,,,,"Employment and workforce development, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues",,,Battery Park City-Lower Manhattan,
,,,,,,,,University Heights-Morris Heights,,,,East Flushing,,,3106612.0,720 East New York Avenue,Glendale,Middle Village,,,BK,,,,,,Brooklyn,-73.938916,,Crown Heights South,,,Senior Services,East New York (Pennsylvania Ave),,Prospect Lefferts Gardens-Wingate,
,,,,,,,,,,,,,,,3044164.0,795 Lexington Avenue,,,,,"BK, QN",,,,,,Brooklyn,-73.92901,,,,,Emergency Food and Social Services,,,Stuyvesant Heights,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,4433386.0,10-25 41st Avenue,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,QN,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Long Island City,-73.945328,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Human services, Immigrants and/or refugees, Legal services, Senior Services",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Queensbridge-Ravenswood-Long Island City,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,3337638.0,"126 10th Street, A",,,,,All Boroughs,,,,,,Brooklyn,-73.99332,,,,,"Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Homeless and shelter, People with disabilities, Senior Services",,,Park Slope-Gowanus,
,,,,,,,,,,,,,,,4116411.0,138-52 Elder Avenue,,,,,"BK, MN, BX, QN",,,,,,Flushing,-73.823828,,,,,Senior Services,,,Flushing,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,3002244.0,191 Joralemon Street,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"BK, QN",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Brooklyn,-73.991785,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Faith-based, Health and medicine, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, Justice-related, Legal services, People with disabilities, Senior Services, Women's issues",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Brooklyn Heights-Cobble Hill,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,3071908.0,565 Bushwick Ave,,,,,BK,,Highbridge,,,,Brooklyn,-73.935359,,,,,"Advocacy and organizing, Children and youth related, Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, Legal services, Senior Services, Women's issues",,,Bushwick South,
,,,,,,,,,,,,,,,2013811.0,2501 Grand Concourse  3rd Floor Suite 333,,,,,BX,,,,,,The Bronx,-73.89695,,,,,"Human rights, Human services, Veterans Homeless",,,Bedford Park-Fordham North,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,,3535 Union St,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,"MN, QN",Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Flushing,-73.827953,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Advocacy and organizing, Employment and workforce development, Immigrants and/or refugees",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Flushing,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,4100745.0,130-30 31st Avenue,,,,,QN,,,,,,Flushing,-73.838638,,,,,"Children and youth related, Education and literacy, Faith-based",,,College Point,
,,,,,,,,,,,,,,,3348859.0,47 Vandalia Ave,,,,Hunts Point,BK,,Highbridge,,,,Brooklyn,-73.88676,,,,,Senior Services,,,Starrett City,
,,,,,,,,,,,,,,,4188935.0,85-12 101st Avenue,,,,,"BK, QN",,,,,,Ozone Park,-73.854296,,,,,"Advocacy and organizing, Faith-based, Human services, Food insecurities",,,Woodhaven,
,,,,,,,,,,,,,,,4541906.0,8-13 Astoria Blvd,,,,,All Boroughs,,,,,,Astoria,-73.932136,,,,,"Health and medicine, Behavioral Health / Substance Abuse",,,Old Astoria,
,,,,,,,,,,,,,,,1017603.0,445 Fifth Avenue,,,,,"MN, SI, BX",,,,,,New York,-73.981864,,,,,"Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Immigrants and/or refugees, LGBTQIA+, Senior Services",,,Murray Hill-Kips Bay,
,,,,,,,,,,,,,,,3013917.0,475  53 Street,,,,,BK,,,,,,Brooklyn,-74.012767,,,,,Senior Services,,,Sunset Park West,
,,,,,,,Washington Heights South,,,,,,,,1082757.0,"253 Broadway, 8th Floor",,,,Hunts Point,All Boroughs,,,,,,New York,-74.007063,,Crown Heights South,East Harlem North,,Employment and workforce development,,,SoHo-TriBeCa-Civic Center-Little Italy,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,1012843.0,"460 W. 34th St., 15th Floor",Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,-73.998578,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,Health and medicine,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Hudson Yards-Chelsea-Flatiron-Union Square,Kensington-Ocean Parkway
,,,,,,Williamsburg,,,,,,,,,,PO Box 7093,,,,,MN,,,,,,New York,,,,,,"Advocacy and organizing, Civic engagement (voting, voter registration), Homeless and shelter, Human services, Community-based",,,,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,1068261.0,590 Avenue of the Americas,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,-73.9955,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Children and youth related, Education and literacy, Employment and workforce development, Human services, People with disabilities",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Hudson Yards-Chelsea-Flatiron-Union Square,Kensington-Ocean Parkway
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,,"One Liberty Plaza, 11th Floor",Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,New York,,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,Employment and workforce development,East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,,Kensington-Ocean Parkway
,,,Brighton Beach,,,,,,,,,,,,3000172.0,165 Cadman Plaza East,,,,,All Boroughs,,,,,,Brooklyn,-73.98987,,Crown Heights South,,,Emergency management and disaster response,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Kensington-Ocean Parkway
,Gravesend,,,,,,,,,,,,,,4431694.0,107-24 Corona Avenue,,,,,QN,,,,,,Corona,-73.855705,,,,,Senior Services,,,Corona,
,,,,,,,,,,,,,,,1015060.0,305 7th Avenue,,,,,"BK, MN, BX",,,,,,New York,-73.993655,,,,,"Employment and workforce development, Human services, Justice-related, Foster Care",,,Midtown-Midtown South,
,,,,,,,Washington Heights South,,,,,,,,4117390.0,45-25 Kissena Boulevard,,,,,QN,,,,,,Flushing,-73.820331,,,,,"Health and medicine, Human rights, Human services, Immigrants and/or refugees, People with disabilities, Senior Services",,,East Flushing,
,,,,,,,,,,,,,,,1015222.0,463 Seventh Avenue,,,,,All Boroughs,,,,,,New York,-73.990057,,,,,"Employment and workforce development, Health and medicine, Homeless and shelter, Human services, People with disabilities",,,Midtown-Midtown South,
