address_1,enclosed_mall_gross_floor,number_of_buildings,last_modified_date_property_2,hospital_general_medical,property_gfa_calculated_2,strip_mall_gross_floor_area,data_center_ups_output_meter,parking_completely_enclosed,data_center_it_source_energy,municipally_supplied_potable_2,national_median_source_eui,city,supermarket_grocery_number_1,data_center_it_site_energy,last_modified_date_electric,municipally_supplied_potable,multifamily_housing_gross,natural_gas_weather_normalized_1,wholesale_club_supercenter,weather_normalized_source,metered_areas_energy,community_board,bank_branch_gross_floor_area,_2nd_largest_property_use,financial_office_weekly,green_power_onsite_and_offsite,alert_energy_meter_has_gaps,data_center_ups_system,national_median_total_location,data_center_national_median,estimated_values_energy,multifamily_housing_number_2,senior_living_community_living,district_hot_water_use_kbtu,financial_office_number_of_1,water_use_all_water_sources,retail_store_gross_floor,target_energy_star_score,borough,kerosene_use_kbtu,hospital_general_medical_7,electricity_weather_normalized,medical_office_number_of_1,k_12_school_gross_floor_area,senior_living_community_gross,percent_of_recs_retained
1665 East 7th Street,Not Available,1,2023-04-27T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2172.3,167.8,Brooklyn,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,49644,0.7,Not Available,107.8,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,369.9,Not Available,Yes,0,Not Available,Not Available,Not Available,2172.3,Not Available,90,BROOKLYN,Not Available,Not Available,163730.4,Not Available,Not Available,Not Available,Not Available
1-3 Hope St/153-155 Roebling St,Not Available,1,2023-04-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,26165,Not Available,Not Available,2,Whole Property,,Not Available,Not Available,Not Available,0,Ok,Not Available,93.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,5519,Not Available,Not Available,Not Available,Not Available
46-01 67 Street,Not Available,1,2022-12-15T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,153.8,Queens,Not Available,Not Available,2023-03-17T00:00:00.000,Not Available,62500,0,Not Available,112.1,Whole Property,402.0,Not Available,Not Available,Not Available,0,Ok,Not Available,293.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,721650.3,Not Available,Not Available,Not Available,Not Available
1306 38th ave,Not Available,1,2022-10-04T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,129.9,78.5,Long Island City,Not Available,Not Available,2023-03-20T00:00:00.000,Not Available,Not Available,Not Available,Not Available,70.3,Whole Property,401.0,Not Available,Not Available,Not Available,0,Ok,Not Available,80.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,129.9,Not Available,Not Available,QUEENS,Not Available,Not Available,144025,Not Available,Not Available,Not Available,Not Available
3725 Henry Hudson Parkway,Not Available,1,2020-02-26T00:00:00.000,Not Available,5000,Not Available,Not Available,5000,Not Available,3114.9,121.7,Bronx,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,116424,57.3,Not Available,95.2,Whole Property,208.0,Not Available,Medical Office,Not Available,0,Ok,Not Available,634.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,3114.9,Not Available,Not Available,BRONX,Not Available,Not Available,446654,0,Not Available,Not Available,Not Available
43-46 51st St,Not Available,1,2022-05-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1253,117,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,80171,0.2,Not Available,79.7,Whole Property,402.0,Not Available,Not Available,Not Available,0,Ok,Not Available,328.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,1253,Not Available,Not Available,QUEENS,Not Available,Not Available,509171.9,Not Available,Not Available,Not Available,Not Available
107-40 Queens Blvd,Not Available,1,2020-03-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8412.9,108.2,Queens,Not Available,Not Available,2023-04-11T00:00:00.000,Not Available,199884,0.9,Not Available,113.5,Whole Property,406.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,1049.8,Not Available,No,0,Not Available,Not Available,Not Available,8412.9,7336,90,QUEENS,Not Available,Not Available,447770.5,Not Available,Not Available,Not Available,Not Available
1001-1011 Brighton Beach Avenue,Not Available,1,2022-09-08T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1631.3,120,Brooklyn,Not Available,Not Available,2023-04-11T00:00:00.000,Not Available,Not Available,0.4,Not Available,236.5,Whole Property,313.0,Not Available,Office,Not Available,0,Ok,Not Available,186.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,1631.3,34512,Not Available,BROOKLYN,Not Available,Not Available,940817.9,Not Available,Not Available,Not Available,Not Available
517 Lexington Ave.,Not Available,1,2020-02-26T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4393,195.3,New York,Not Available,Not Available,2023-02-15T00:00:00.000,Not Available,Not Available,0.5,Not Available,164.2,Whole Property,106.0,Not Available,Not Available,Not Available,0,Ok,Not Available,610.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,4393,Not Available,Not Available,MANHATTAN,Not Available,Not Available,990399,Not Available,Not Available,Not Available,Not Available
125 Ocean Parkway,Not Available,1,2022-05-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4990.3,110.4,Brooklyn,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,100849,0.6,Not Available,84.8,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,492.2,Not Available,No,0,Not Available,Not Available,Not Available,4990.3,Not Available,90,BROOKLYN,Not Available,Not Available,259873,Not Available,Not Available,Not Available,Not Available
89-31 161 Street,Not Available,1,2023-01-27T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1535.5,173.4,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,1.5,Not Available,109.1,Whole Property,412.0,Not Available,Not Available,Not Available,0,Ok,Not Available,510.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,1535.5,Not Available,Not Available,QUEENS,Not Available,Not Available,461441.8,Not Available,Not Available,Not Available,Not Available
155 East 76th Street,Not Available,1,2020-06-19T00:00:00.000,Not Available,21283,Not Available,Not Available,21283,Not Available,5161.6,118.1,New York,Not Available,Not Available,2023-03-27T00:00:00.000,Not Available,190314,0.5,Not Available,92.8,Whole Property,108.0,Not Available,Parking,Not Available,0,Ok,Not Available,955.1,Not Available,No,30,Not Available,Not Available,Not Available,5161.6,Not Available,90,MANHATTAN,Not Available,Not Available,811229.4,0,Not Available,Not Available,Not Available
332 ROGERS AVE,Not Available,1,2022-05-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122.6,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,94315,0.6,Not Available,93.1,Whole Property,309.0,Not Available,Not Available,Not Available,0,Ok,Not Available,501.9,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,312466.1,Not Available,Not Available,Not Available,Not Available
557 Atlantic Avenue,Not Available,1,2020-03-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4236.8,142.3,Brooklyn,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,76526,0.5,Not Available,134.5,Whole Property,302.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,519.2,Not Available,No,0,Not Available,Not Available,Not Available,4236.8,18344,90,BROOKLYN,Not Available,Not Available,772531.9,Not Available,Not Available,Not Available,Not Available
1330 Fifth Avenue,Not Available,1,2020-03-31T00:00:00.000,Not Available,12173,Not Available,Not Available,12173,Not Available,Not Available,127.2,New York,Not Available,Not Available,2023-04-13T00:00:00.000,Not Available,93245,0.4,Not Available,106.3,Whole Property,110.0,Not Available,Parking,Not Available,0,Ok,Not Available,538.9,Not Available,Yes,0,Not Available,Not Available,Not Available,Not Available,Not Available,90,MANHATTAN,Not Available,Not Available,731733.9,Not Available,7942,Not Available,Not Available
"20 SEAGIRT BLVD, 20-23",Not Available,3,2020-04-16T00:00:00.000,Not Available,29254,Not Available,Not Available,29254,Not Available,19892.2,113.4,Far Rockaway,Not Available,Not Available,2023-04-23T00:00:00.000,Not Available,338713,0.4,Not Available,50.2,Whole Property,,Not Available,Parking,Not Available,0,Ok,Not Available,1878.7,Not Available,No,0,Not Available,Not Available,Not Available,19892.2,Not Available,90,,Not Available,Not Available,147266,Not Available,Not Available,Not Available,Not Available
289 Empire Boulevard,Not Available,1,2015-04-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3332.5,136.6,Brooklyn,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,75494,0.9,Not Available,127.4,Whole Property,309.0,Not Available,Not Available,Not Available,0,Ok,Not Available,465,Not Available,No,Not Available,Not Available,Not Available,Not Available,3332.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,258100.8,Not Available,Not Available,Not Available,Not Available
580 St. Nicholas Ave,Not Available,1,2022-03-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,141.3,New York,Not Available,Not Available,2023-03-24T00:00:00.000,Not Available,60078,0.1,Not Available,65.9,Whole Property,110.0,Not Available,Not Available,Not Available,0,Ok,Not Available,279.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,357395.1,Not Available,Not Available,Not Available,Not Available
2320 Kings Hwy,Not Available,1,2021-04-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2368.3,91.9,Brooklyn,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,56924,0.6,Not Available,84.6,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,239.8,Not Available,No,0,Not Available,Not Available,Not Available,2368.3,Not Available,90,BROOKLYN,Not Available,Not Available,112122.3,Not Available,Not Available,Not Available,Not Available
"3110 48 AVENUE, Queens, New York, NY, USA",Not Available,1,2020-05-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,357.6,Not Available,New York,Not Available,Not Available,2023-03-21T00:00:00.000,Not Available,Not Available,0,Not Available,60,Whole Property,402.0,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,357.6,Not Available,Not Available,QUEENS,Not Available,Not Available,426260.7,Not Available,Not Available,Not Available,Not Available
224 West 30th Street,Not Available,1,2022-03-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2169.4,194,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0,Not Available,80.8,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,1177.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,2169.4,Not Available,Not Available,MANHATTAN,Not Available,Not Available,852628.7,Not Available,Not Available,Not Available,Not Available
5-7 Mercer St,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,Manhattan,Not Available,Not Available,2023-04-26T00:00:00.000,Not Available,25460,Not Available,Not Available,47.8,Whole Property,102.0,Not Available,Not Available,Not Available,0,Ok,Not Available,90.8,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,127312.3,Not Available,Not Available,Not Available,Not Available
119 Columbia Heights,Not Available,1,2023-02-24T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,101,157.2,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,47.1,Not Available,97.5,Whole Property,302.0,Not Available,Not Available,Not Available,0,Ok,Not Available,329.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,101,Not Available,Not Available,BROOKLYN,Not Available,Not Available,261199,Not Available,Not Available,Not Available,Not Available
"530 Briar Place,",Not Available,1,2020-04-09T00:00:00.000,Not Available,1125,Not Available,Not Available,1125,Not Available,Not Available,129.7,Queens,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,44809,100.6,Not Available,147.8,Whole Property,414.0,Not Available,Parking,Not Available,0,Ok,Not Available,259.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,197738,Not Available,Not Available,Not Available,Not Available
2 West Street,Not Available,1,2022-03-30T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17311,164.3,New York,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,253053,64.3,Not Available,126.8,Whole Property,101.0,Not Available,Multifamily Housing,Not Available,0,Ok,Not Available,3769.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,17311,Not Available,Not Available,MANHATTAN,Not Available,Not Available,3488269.7,Not Available,Not Available,Not Available,Not Available
1417 Grand Concourse,Not Available,1,2021-03-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,120.4,Bronx,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,33492,4.5,Not Available,43.7,Whole Property,204.0,Not Available,Not Available,Not Available,0,Ok,Not Available,130.4,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,136743,Not Available,Not Available,Not Available,Not Available
998 Amsterdam Ave,Not Available,1,2023-04-27T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,162,New York,Not Available,Not Available,2023-04-27T00:00:00.000,Not Available,16632,0,Not Available,29.1,Whole Property,107.0,Not Available,Not Available,Not Available,0,Ok,Not Available,85.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,47094.6,Not Available,Not Available,Not Available,Not Available
230 East 79th Street,Not Available,1,2020-01-28T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5013.9,129.9,New York,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,86731,0,Not Available,149.3,Whole Property,108.0,Not Available,Office,Not Available,0,Ok,Not Available,539,Not Available,No,0,Not Available,Not Available,Not Available,5013.9,Not Available,90,MANHATTAN,Not Available,Not Available,449500.9,Not Available,Not Available,Not Available,Not Available
116 West 29th Street,Not Available,1,2019-11-26T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88.9,New York,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,74468,0.2,Not Available,43.6,Whole Property,105.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,314.7,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,13900,90,MANHATTAN,Not Available,Not Available,202571.3,Not Available,Not Available,Not Available,Not Available
"39-17 MAIN STREET, 11354",Not Available,1,2022-04-11T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,864.9,138.9,New York,Not Available,Not Available,2023-03-11T00:00:00.000,Not Available,Not Available,0,Not Available,148.6,Whole Property,407.0,Not Available,Not Available,Not Available,0,Ok,Not Available,142.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,864.9,Not Available,Not Available,QUEENS,Not Available,Not Available,401459.9,Not Available,Not Available,Not Available,Not Available
2503 Ocean Avenue,Not Available,1,2022-01-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,128.5,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,29943,49.4,Not Available,95.1,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,157.9,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,135759.9,Not Available,Not Available,Not Available,Not Available
37-68 97th Street,Not Available,1,2023-02-06T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4064.9,115.3,Queens,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,64200,0.5,Not Available,110.5,Whole Property,403.0,Not Available,Not Available,Not Available,0,Ok,Not Available,333.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,4064.9,Not Available,Not Available,QUEENS,Not Available,Not Available,278308.6,Not Available,Not Available,Not Available,Not Available
215 East 164th Street,Not Available,1,2021-07-28T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11569.4,108.7,Bronx,Not Available,Not Available,2022-04-07T00:00:00.000,Not Available,135202,Not Available,Not Available,Not Available,Whole Property,204.0,Not Available,Not Available,Not Available,0,Ok,Not Available,635,Not Available,No,Not Available,Not Available,Not Available,Not Available,11569.4,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
480 Nostrand Avenue,Not Available,1,2022-03-24T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5072.5,129.3,Brooklyn,Not Available,Not Available,2023-03-20T00:00:00.000,Not Available,28500,1,Not Available,145.8,Whole Property,303.0,Not Available,Not Available,Not Available,0,Ok,Not Available,165.8,Not Available,No,3,Not Available,Not Available,Not Available,5072.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,114216.6,Not Available,Not Available,Not Available,Not Available
2401 Davdison Avenue,Not Available,1,2022-05-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,115.6,Bronx,Not Available,Not Available,2023-04-25T00:00:00.000,Not Available,63108,Not Available,Not Available,Not Available,Whole Property,,Not Available,Not Available,Not Available,0,Ok,Not Available,312.6,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 East 11 Street,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6791.6,118.2,Manhattan,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,67227,0.8,Not Available,309.4,Whole Property,103.0,Not Available,Not Available,Not Available,0,Ok,Not Available,282.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,6791.6,Not Available,Not Available,MANHATTAN,Not Available,Not Available,1605334.8,Not Available,Not Available,Not Available,Not Available
260 West 39th Street,Not Available,1,2020-03-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,864,178.2,New York,Not Available,Not Available,2023-04-03T00:00:00.000,Not Available,Not Available,0,Not Available,80.6,Whole Property,105.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,1409.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,864,9000,90,MANHATTAN,Not Available,Not Available,802372.3,Not Available,Not Available,Not Available,Not Available
16 West 39th Street,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,165,Manhattan,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,Not Available,Not Available,90,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,383.3,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,183335,Not Available,Not Available,Not Available,Not Available
79-06 35 Ave,Not Available,1,2020-03-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5002.6,112.1,Queens,Not Available,Not Available,2023-04-09T00:00:00.000,Not Available,101650,0.5,Not Available,76.5,Whole Property,403.0,Not Available,Not Available,Not Available,0,Ok,Not Available,497.1,Not Available,No,0,Not Available,Not Available,Not Available,5002.6,Not Available,90,QUEENS,Not Available,Not Available,265821.6,Not Available,Not Available,Not Available,Not Available
934 East 181st Street,Not Available,1,2021-03-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3634.5,150.6,Bronx,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,33996,0.8,Not Available,132.1,Whole Property,206.0,Not Available,Not Available,Not Available,0,Ok,Not Available,216.4,Not Available,No,0,Not Available,Not Available,Not Available,3634.5,Not Available,Not Available,BRONX,Not Available,Not Available,186527.7,Not Available,Not Available,Not Available,Not Available
215 Varick Avenue,Not Available,1,2023-02-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0.2,Not Available,797.6,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,2194452.8,Not Available,Not Available,Not Available,Not Available
176 Grand Street,Not Available,1,2021-04-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,157,New York,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,20,Not Available,55.1,Whole Property,102.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,233.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10000,Not Available,MANHATTAN,Not Available,Not Available,141167.5,Not Available,Not Available,Not Available,Not Available
164-20 Highland Avenue,Not Available,1,2016-05-10T00:00:00.000,Not Available,10000,Not Available,Not Available,0,Not Available,8174,148.5,Queens,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,115312,78.5,Not Available,122.3,Whole Property,408.0,Not Available,Parking,Not Available,0,Ok,Not Available,748.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,8174,Not Available,Not Available,QUEENS,Not Available,Not Available,480743.6,Not Available,Not Available,Not Available,Not Available
556 West 22 Street,Not Available,1,2022-01-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,129.7,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,23.6,Not Available,171.8,Whole Property,104.0,Not Available,Not Available,Not Available,0,Ok,Not Available,127.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,455381,Not Available,29600,Not Available,Not Available
557 Avenue Z,Not Available,1,2020-03-11T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6800.5,121,Brooklyn,Not Available,Not Available,2022-07-15T00:00:00.000,Not Available,104261,0.9,Not Available,93.6,Whole Property,313.0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,649.6,Not Available,No,0,Not Available,Not Available,Not Available,6800.5,Not Available,90,BROOKLYN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
9602 4 Ave,Not Available,1,2020-03-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5662,124.1,Brooklyn,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,80918,0.9,Not Available,131.7,Whole Property,310.0,Not Available,Not Available,Not Available,0,Ok,Not Available,451,Not Available,No,0,Not Available,Not Available,Not Available,5662,Not Available,90,BROOKLYN,Not Available,Not Available,288346.1,Not Available,Not Available,Not Available,Not Available
110-21 73 Rd,Not Available,1,2020-03-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2803.7,98.9,Queens,Not Available,Not Available,2023-04-04T00:00:00.000,Not Available,107000,0.6,Not Available,84.2,Whole Property,406.0,Not Available,Not Available,Not Available,0,Ok,Not Available,468.5,Not Available,No,0,Not Available,Not Available,Not Available,2803.7,Not Available,90,QUEENS,Not Available,Not Available,278666.7,Not Available,Not Available,Not Available,Not Available
2120 Atlantic Avenue,Not Available,1,2023-07-11T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,217.7,145.1,Brooklyn,Not Available,Not Available,2023-07-12T00:00:00.000,Not Available,Not Available,0.3,Not Available,133.9,Whole Property,316.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,144.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,217.7,14410,Not Available,BROOKLYN,Not Available,Not Available,315209.3,Not Available,Not Available,Not Available,Not Available
"61-56 SPRINGFIELD BLVD, 11364",Not Available,1,2022-04-07T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2445.4,115.9,New York,Not Available,Not Available,2023-03-21T00:00:00.000,Not Available,Not Available,0.7,Not Available,248.4,Whole Property,411.0,Not Available,Not Available,Not Available,0,Ok,Not Available,118,Not Available,No,Not Available,Not Available,Not Available,Not Available,2445.4,Not Available,Not Available,QUEENS,Not Available,Not Available,502162.6,Not Available,Not Available,Not Available,Not Available
220 east 134th Street,Not Available,1,2018-04-30T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,158.3,Bronx,Not Available,Not Available,2023-02-03T00:00:00.000,1619.8,Not Available,0.3,Not Available,82.4,Whole Property,201.0,Not Available,Not Available,Not Available,0,Ok,Not Available,229.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,1619.8,Not Available,Not Available,BRONX,Not Available,Not Available,223434,Not Available,Not Available,Not Available,Not Available
57 Lincoln Rd,Not Available,1,2020-07-24T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3476.8,119.5,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,83461,0.6,Not Available,106.8,Whole Property,309.0,Not Available,Not Available,Not Available,0,Ok,Not Available,411.8,Not Available,No,0,Not Available,Not Available,Not Available,3476.8,Not Available,Not Available,BROOKLYN,Not Available,Not Available,413565.5,Not Available,Not Available,Not Available,Not Available
40-04 Bowne St,Not Available,1,2020-05-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7692.8,118.1,Queens,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,82898,0.7,Not Available,117.6,Whole Property,407.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,475,Not Available,No,0,Not Available,Not Available,Not Available,7692.8,9727,Not Available,QUEENS,Not Available,Not Available,381563.6,Not Available,Not Available,Not Available,Not Available
580 Broadway,Not Available,1,2020-03-13T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,199.7,New York,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,Not Available,0,Not Available,103.9,Whole Property,102.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,992.6,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,10000,90,MANHATTAN,Not Available,Not Available,1266588.8,Not Available,Not Available,Not Available,Not Available
1777 Ocean Pkwy,Not Available,1,2020-07-24T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5947.6,116.1,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,78750,0.5,Not Available,88.8,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,390,Not Available,No,0,Not Available,Not Available,Not Available,5947.6,Not Available,Not Available,BROOKLYN,Not Available,Not Available,276435.8,Not Available,Not Available,Not Available,Not Available
36-19 167th Street,Not Available,1,2020-04-20T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2639.9,108.5,Flushing,Not Available,Not Available,2023-04-08T00:00:00.000,Not Available,75509,0.6,Not Available,95.4,Whole Property,407.0,Not Available,Not Available,Not Available,0,Ok,Not Available,364.2,Not Available,No,0,Not Available,Not Available,Not Available,2639.9,Not Available,90,QUEENS,Not Available,Not Available,215522.7,Not Available,Not Available,Not Available,Not Available
