building_id_espm,address_1,hotel_number_of_rooms,bank_financial_institution_2,senior_care_facility_number,current_weather_normalized,senior_care_facility_total,house_of_worship_weekly,k_12_school_walk_in_refrig,residence_halls_dormitories,hotel_percent_cooled,parking_open_floor_area_w,bin_unique_building_identifier,supermarkets_grocery_number_2,retail_exterior_entrance,senior_care_facility_average,retail_cash_register_density,temporary_data_flag_fuel,eligibility_for_energy_star,residence_halls_dormitories_1,last_modified_date,office_office_air_conditioned,office_gross_floor_area_sq,supermarkets_grocery_presence,fuel_oil_56_use_kbtu,total_floor_space_sq_ft,warehouse_unrefrigerated_3,temporary_data_flag_fuel_2,other_number_of_pcs,difference_from_national_1,k_12_school_open_weekends,national_median_source_eui,retail_pc_density,senior_care_facility_number_4,temporary_data_flag_natural,bank_financial_institution_1,approval_date_last_energy,temporary_data_flag,water_use_alerts,medical_office_percent_cooled,multifamily_home_number_of_1,temporary_data_flag_district,warehouse_unrefrigerated_6,address_2,senior_care_facility_number_1,k_12_school_percent_cooled,nta,postcode,current_total_source_energy
2564792,40 Mercer Street,,2.46,,206.1,,,,,,0.0,,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T09:56:19.000,,,,,169614.0,,,,,,,,,No,100.0,,No,,,41.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,34800876.7
2701800,518-534 West 26th street,,,,121.8,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-04T14:57:40.000,,,,,218019.0,,,10.0,-12.2,,139.0,,,,,,No,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10001,26611313.5
2791370,555 Broadway,,,,272.8,,,,,,,1007576,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-03-29T14:03:28.000,100.0,200005.0,,,217968.0,,,,1.1,,268.2,0.2,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,59123600.1
2815467,308 EAST 8 STREET,,,,102.0,,,,,,,1085478,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T22:10:21.000,,,,,97000.0,,,,,,,,,No,,,No,,,80.0,,,,,,Lower East Side,10009,9731973.3
2598016,175 West 12th Street,,,,170.6,,,,,,,1067315,,1.0,,1.7,No,Not Eligible: Rating must be 75 or above,,2012-04-06T03:22:50.000,,,,,170857.0,,,0.0,,,,0.73,,No,,,No,,100.0,214.0,,,,,,West Village,10011,29520646.2
2804239,552 - 556 Broadway,,,,242.3,,,,,,,1079955,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T09:42:52.000,100.0,54978.0,,,79978.0,,,,11.2,,220.3,0.2,,No,,,No,,100.0,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,19596522.1
2680992,26 Broadway,,3.98,,183.4,,,0.0,,,,1000811,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-12T09:19:11.000,100.0,422979.0,,33894719.3,686571.0,,No,21.0,-16.3,1.0,218.2,,,No,100.0,,No,,,,,,,,100.0,Battery Park City-Lower Manhattan,10004,125414962.8
2978053,503-511 Broadway,,,,183.9,,,,,,,,,1.0,,0.48,No,Not Eligible: Rating must be 75 or above,,2012-04-23T10:38:52.000,100.0,53500.0,,,178500.0,,,15.0,44.8,,127.0,0.12,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,32827090.6
1439342,120 Broadway,,,,209.8,,,,,,,1001026,,,,,,Eligible,,2012-04-23T14:18:40.000,100.0,1878140.0,,,1878140.0,,,,-32.0,,313.6,,,No,,2010-10-21T13:09:44.000,No,,,,No,,,,,Battery Park City-Lower Manhattan,10271,400462698.9
2699151,55 Fifth Avenue,,,,257.8,,,,,,,1009373,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-19T11:52:14.000,100.0,189732.0,,,189732.0,,,,-13.9,,292.0,,,No,,,No,,,,No,,,,,West Village,10003,47684437.2
2673567,90 Broad Street,,,,153.8,,,,,,,1-00010-0016,,1.0,,0.16,,Eligible,,2012-04-05T13:58:26.000,77.26,355305.0,,,380788.0,,,,-26.7,,210.2,0.0,,,,2011-07-05T20:24:49.000,No,,,,No,,,,,Battery Park City-Lower Manhattan,10004,58639796.4
3128606,1 York St,,,,93.2,,,,,,,1002736;1812036;1808821,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T13:28:06.000,,,,,92431.0,,,,,,,,,No,,,No,,,33.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,8617404.2
2967081,102-30 67th Ave.,,,,,,,,,,,4051256,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T10:56:06.000,,,,,,,,,,,,,,,,,,Less than 1 year of data<br>,,,,,,,,Forest Hills,11375,
2805787,295 Lafayette,,,,161.4,,,,,,,1007941,,,,,No,Not Eligible: Default space values used,,2012-04-30T19:23:27.000,100.0,179374.0,,,179374.0,,,,-40.4,,270.9,,,No,,,No,,,,,,,,,,10012,28946463.2
2731035,505 Greenwich Street,,,,165.4,,,,,,,1086554,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-09T10:55:59.000,100.0,1245.0,,,163188.0,,,,,,,,,No,,,No,,,104.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,26998721.8
3128232,290 6th Avenue,,,,165.7,,,,,,,1008725,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T15:40:52.000,,,,5382571.0,54924.0,,No,,,,,,,No,,,No,,,65.0,,,,,,West Village,10014,9159440.6
2647324,77 Bleecker St,,,,191.2,,,,,,,1084804;1077824;1077826;1084761,,1.0,,1.89,No,Not Eligible: Rating must be 75 or above,,2012-04-23T15:43:19.000,100.0,6001.0,,,196919.0,,,,,,,1.89,,No,,,No,,,250.0,,,,,,West Village,10012,37647691.6
2741634,150 Ludlow Street,,,,82.2,,,,,,,1005372,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T12:36:36.000,,,,,40400.0,,,,,,,,,,,,No,,,53.0,,,,,,Chinatown,10002,3195846.8
2921362,9 Washington Mews,,,,,,,,,,,1078083,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T03:24:43.000,,,,,2739.0,,,,,,,,,,,,No,,,,,,,,,West Village,10003,
2816242,42 Broadway,,,,,,,,,,,1000812,,,,,,Not Eligible: Current period ending over 120 days,,2012-04-30T16:58:31.000,,,,,,,,,,,,,,,,,,,,,,,,,,Battery Park City-Lower Manhattan,10004,
2679476,25 Montgomery Street,,,,157.4,,,,,,,1083402;1083403,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:04.000,,,,,136070.0,,,,,,,,,,,,No,,,141.0,No,,,,,Lower East Side,10002,21237233.2
2637874,105 Norfolk Street,,,,173.8,,,,,,,1087502,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T17:01:40.000,,,,,50563.0,,,,,,,,,No,,,No,,,32.0,,,,,,Chinatown,10002,8788803.2
2785324,233 Broadway,,,,205.5,,,,,,0.0,1087167,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-27T11:54:32.000,81.24,818533.0,,,900134.0,,,,-14.9,,240.9,,,,,,No,,,,Yes,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10279,184394112.2
2490869,55 W 13th St,,,,593.7,,,,,,,1009722,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-22T10:26:43.000,,,,,80000.0,,,1000.0,146.1,,244.0,,,No,,,No,There is no water use for the time period specified.,,,,,,,,West Village,10011,48045923.2
2672673,720 Greenwich Street,,,,109.7,,,,,,0.0,1011843,,,,,No,Not Eligible: Rating must be 75 or above,,2012-04-26T03:20:28.000,,,,,149324.0,,,,,,,,,No,,,No,,,159.0,,,,,,West Village,10014,16087937.0
2721895,317-27 East 13th St,,,,151.2,,,,,,,1006535,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-17T15:15:40.000,,,,,97723.0,,,12.0,,,,,,No,,,No,,,124.0,No,,,,,East Village,10003,14613371.8
2214222,61 Broadway,,5.33,,185.7,,,,,,,1000808,,,,,,Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.,,2012-04-26T12:33:40.000,100.0,641371.0,,,650000.0,,,,-42.2,,319.0,,,,100.0,2011-12-07T11:30:23.000,No,,,,No,,,,,Battery Park City-Lower Manhattan,10006,119786371.0
2679431,35 Montgomery Street,,,,157.4,,,,,,,1003215,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:05.000,,,,,136070.0,,,,,,,,,,,,No,,,145.0,No,,,,,Lower East Side,10002,21237233.2
2430721,68 Trinity,,,,187.6,,,,,,,1001032,,1.0,,0.15,,Not Eligible: Rating must be 75 or above,,2012-03-05T15:56:33.000,100.0,210987.0,,,255406.0,,,,-16.0,,223.4,0.05,,No,,,No,,,,No,,,,,,10006,47921856.0
2654691,377 Rector Place,,,,130.0,,,,,,,1000061,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-03-20T08:06:26.000,,,,10690389.56,199141.0,,No,,,,,0.2,,,,,No,,,239.0,,,,,,Battery Park City-Lower Manhattan,10280,26018554.5
2776186,One Fifth Avenue,,,,143.7,,,,,,,1008847,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T09:28:05.000,,,,,253793.0,,,6.0,,,,,,No,,,No,,100.0,189.0,,,,,,,10003,36929927.3
2660702,71 Nassau St,,,,180.1,,,,,,,1001215,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T14:06:31.000,,,,,82675.0,,,,,,,,,No,,,No,,,52.0,,,,,,Battery Park City-Lower Manhattan,10038,14888087.3
2685991,200 Eleventh Avenue,,,,214.2,,,,,,,1087613,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:26.000,,,,,57189.0,,,,,,,,,No,,,No,,,16.0,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10011,12097615.3
2679770,66 Leonard Street,,,,162.0,,,,,,0.0,1001877,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:22:13.000,,,,,123325.0,,,,,,,0.2,,No,,,No,,,47.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,19905626.1
2714816,285 Lafayette Street,,,,173.0,,,,,,,1007931,,1.0,,0.14,No,Not Eligible: Rating must be 75 or above,,2012-04-24T17:58:16.000,,,,,110925.0,,,,,,,2.09,,No,,,No,,,31.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,19146421.0
3122081,101 Lafayette St.,,,,178.8,,,,,,,1002356,,1.0,,0.18,,Not Eligible: Rating must be 75 or above,,2012-04-30T00:41:31.000,55.0,45500.0,,,56345.0,,,,9.0,,164.0,0.12,,,,,Yes,,100.0,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,10074352.9
2952794,579 Broadway,,,,80.2,,,,,,,1007953,,1.0,,0.3,No,Not Eligible: Rating must be 75 or above,,2012-04-24T15:31:31.000,100.0,800.0,,,112342.0,,,,,,,0.2,,No,,,No,There is no water use for the time period specified.,,12.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,9100882.3
3120516,610 Broadway,,,,0.0,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,,,,,,0.0,,,,,,,,,No,,,No,,,,,,,,,West Village,10012,19959591.8
2737848,99 E 4th St,,,,122.4,,,,,,,1006221,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T13:18:32.000,100.0,8018.0,,4264981.73,75782.0,,No,,,,,,,No,,,No,,,66.0,,,,,,East Village,10003,9356581.8
2643455,47-15 48th Street,,,,,,,,,,,QBL - 4-02286-0011,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-25T11:39:08.000,,,,,,,,,,,,,,,,,,,,,,,,,,Hunters Point-Sunnyside-West Maspeth,11377,
2916494,100 Lafayette Street,,,,,,,,,,,1002329,,1.0,,1.72,,Not Eligible: Rating must be 75 or above,,2012-04-26T15:38:46.000,100.0,41903.0,,,59449.0,,,8.0,,,164.0,3.44,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,
2703041,66 3rd Ave,,,,294.3,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-20T13:50:24.000,,,,,55079.0,,,,218.7,,94.0,,,No,,,No,,,,,,,,,East Village,10003,16500205.0
2817326,546 Broadway Ave,,,,,,,,,,,1007564,,,,,,Not Eligible: Rating must be 75 or above,,2012-05-25T12:22:54.000,,,,,,,,,,,,,,,,,,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,
2705349,15 East 11th St.,,,,,,,,,,,P2#10207,,,,,,Not Eligible: Current period ending over 120 days,,2012-03-21T12:47:30.000,,,,,,,,,,,,,,,,,,,,,,,,,,West Village,10003,
2802861,69 West 9th Street,,,,160.8,,,,,,0.0,1009504,3.0,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T23:38:45.000,,,1.0,7304530.37,107651.0,,No,,,,,,,No,,,No,,,120.0,,,,,,West Village,10011,17512147.6
2689243,80 Maiden Lane,,,,25221.8,,,,,,,1001015,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-23T18:31:45.000,100.0,527605.0,,,527605.0,,,,8569.3,,302.9,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10038,13854465064.0
2737843,55 Liberty Street,,,,98.3,,,,,,,1001084,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T17:51:04.000,,,,,167448.0,,,,,,,0.2,,No,,,No,,,87.0,No,,,,,Battery Park City-Lower Manhattan,10005,15793081.9
2592008,72 ANN STREET,,,,80.1,,,,,,,BIN# 1001280,,,,,,Eligible,,2012-04-27T12:37:51.000,100.0,587831.0,,,587831.0,,,,-74.2,,310.1,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10038,47106080.2
2590245,One North End Ave.,,31.33,,356.6,,,,,,,1085502,,,,,,Eligible,,2012-04-19T11:05:16.000,100.0,545769.0,,,622439.0,,,,-28.5,,501.1,,,No,100.0,,No,,,,No,,,,,,10282,222993360.1
2831998,8 Stone Street,399.0,,,,,,,,100.0,,1087618,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T14:33:47.000,,,,,144833.0,,,,,,169.0,,,No,,,No,,,,,,,,,Battery Park City-Lower Manhattan,10004,
2714836,16 Hudson St,,,,125.1,,,,,,,1077399,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-25T18:40:07.000,,,,,94332.0,,,,,,,,,No,,,No,,,25.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,12009658.0
2873013,195 Broadway,,,,183.0,,,,,,,1001227,,,,,,Eligible,,2012-04-24T17:35:28.000,78.27,1159931.0,,,1166100.0,,,2.0,-26.4,,243.2,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10007,208899992.4
2831087,278 CHERRY STREET - LAGUARDIA HOUSES,,,,75.8,,,,,,,1003211,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:17:42.000,,,,,108552.0,,,,,,,,,No,,,No,,,148.0,,,,,,,10001,8229095.6
3115565,393 West Broadway,,,,86.0,,,,,,,1007312,,1.0,,0.28,,Not Eligible: Rating must be 75 or above,,2012-04-26T16:00:10.000,,,,,65340.0,20.0,,14.0,,,,0.28,,No,,,No,,,13.0,,1.0,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,5403792.2
3103266,505 Greenwich St,,,,190.8,,,,,,,,,1.0,,0.0,,Not Eligible: Rating must be 75 or above,,2012-04-17T08:22:43.000,,,,,151547.0,,,,,,,0.0,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,28339225.7
2831102,373 E 8 ST PLP LOWER EAST,,,,120.0,,,,,,,1084876;1085092;1802041,,,,,,Not Eligible: Rating must be 75 or above,,2012-06-18T10:18:49.000,,,,,69610.0,,,,,,,,,No,,,No,,,58.0,,,,,,Lower East Side,10001,8354301.4
2825644,33 Washington Square West,,,,85.8,,,,182714.0,,,1008875,,,,,,Not Eligible: Current period ending over 120 days,100.0,2012-04-25T14:23:09.000,,,,,182714.0,,,,-55.1,,191.1,,,No,,,No,,,,,,,,,West Village,10011,15683919.2
2706034,190 Allen Street,141.0,,,184.4,,,,,90.0,,Part of a condominium,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-19T15:12:43.000,,,,,109858.0,,,,11.7,,169.0,,,,,,No,,,,,,,,,Chinatown,10002,20739336.3
2669259,450 N End Av,,,,177.8,,,,,,,1085459,2.0,,,,,Not Eligible: Rating must be 75 or above,,2012-04-23T16:20:05.000,,,1.0,,188216.0,,,,,,,,,No,,,No,,,150.0,,,,,,Battery Park City-Lower Manhattan,10282,33403187.1
3115971,"80 John Street, NYC 10038",,,,204.1,,,,,,0.0,1001115,,0.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-24T21:36:09.000,,,,,136175.0,,,14.0,,,,0.2,,No,,,No,,,147.0,No,,,,,Battery Park City-Lower Manhattan,10038,28767621.4
2805503,66 First Ave,,,,126.5,,,,,,,1077557;1077558;1077559;1077560;1077561;1801901;1811664;1811665;1811666;1811667;1811668;1811669;1811670;1811671;1811672;1811673;1811674,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-25T11:04:30.000,,,,,858068.0,,,,,,,,,No,,,No,,,859.0,,,,,,East Village,10009,110287049.7
3114466,400 Chambers Street,,,,143.5,,,,,,0.0,1085774,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-21T18:28:55.000,,,,,458073.0,,,1.0,,,,,,No,,,No,Overlapping meter entries<br>,,396.0,,,,,,Battery Park City-Lower Manhattan,10282,65467195.7
3115559,25 North Moore Street,,,,93.6,,,,,,,1002160,,1.0,,0.42,,Not Eligible: Rating must be 75 or above,,2012-04-26T15:45:27.000,,,,,130094.0,,,2.0,,,,0.0,,No,,,No,,,36.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,12033971.0
2731531,55 Thompson,,,,79.5,,,,,,,1088605;1007369,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-03-21T16:19:38.000,,,,,106005.0,,,,,,,0.2,,No,,,No,Less than 1 year of data<br>,,39.0,,,,,,,10013,8732515.6
3122361,79 Laight Street,,,,116.3,,,,,,,1002815,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T09:33:40.000,,,,,100984.0,,,,,,,,,No,,,No,,,33.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,11716263.4
2383290,115 East 9th Street,,,,133.0,,,,,,0.0,1008962,,1.0,,0.11,,Not Eligible: Rating must be 75 or above,,2012-04-28T14:17:34.000,,,,13469246.99,241940.0,,No,1.0,,,,0.67,,No,,,No,,,250.0,,,,,,East Village,10003,32711578.0
3115527,116 West 14th Street,,,,159.5,,,,,,,1010640,,1.0,,0.26,No,Not Eligible: Rating must be 75 or above,,2012-04-23T17:39:46.000,,,,,51736.0,,,,,,,0.26,,No,,,No,,,17.0,,,,,,West Village,10011,8243209.3
2787895,131 Broome Street,,,,134.7,,33.0,0.01,,,0.0,1077598;1077609;1088330;1088770,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T15:08:31.000,,,,,249000.0,,,,,0.0,,0.2,,,,,Yes,,,200.0,,,,,100.0,Lower East Side,10002,33529637.7
2680661,532 Broadway,,,,341.5,,,,,,,1007560,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T11:15:53.000,100.0,45250.0,,1617256.16,50000.0,,No,,111.3,,164.0,0.2,,,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,17326639.6
2921344,5 Washington Mews,,,,1.6,,,,,,,1078079,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-24T03:22:27.000,,,,,2739.0,,,,,,,,,No,,,No,,,,,,,,,West Village,10003,4319.1
1943396,3041 Broadway,,,,,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-21T18:23:29.000,,,,,,,,,,,,,,,,,,,,,,,,,,Morningside Heights,10027,
2746854,50 Broad Street,,,,202.4,,,,,,,1000820,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-19T11:25:54.000,40.15,203008.0,,,205940.0,,,,24.1,,164.0,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10004,41926405.6
2812116,52 Broadway,,,,196.5,,,,,,,1000814,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T12:19:40.000,100.0,384831.0,,,384831.0,,,,-25.2,,260.7,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10004,75081144.2
2919967,301-309 East 11th Street,,,,116.8,,,,,,,1079353;1082513,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-19T08:58:11.000,,,,,33120.0,,,,,,,,,No,,,No,,,35.0,,,,,,East Village,10003,3911137.6
2903091,513 West 26th Street,,,,107.6,,,,,,,1080319,,,,,,Not Eligible: Temporary energy meter values used,,2012-04-30T22:40:12.000,100.0,102075.0,,,102075.0,,,,-58.6,,252.8,,,No,,,Yes,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10001,10685417.1
2544329,122 Greenwich Avenue,,2.17,,192.5,,,,,,,1011095,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T23:44:51.000,,,,,87608.0,,,,,,,,,No,100.0,,No,,,33.0,,,,,,West Village,10011,17072312.3
2739916,315 Spring St,,,,,,,,,,,1010358,,,,,No,Not Eligible: Rating must be 75 or above,,2012-04-30T13:16:36.000,100.0,59650.0,,,59650.0,,,,,,164.0,,,,,,No,,,,,,,,,,11367,
3122521,60 5th Avenue,,,,,,,,,,,1009620,,,,,,Not Eligible: Current period ending over 120 days,,2012-04-27T14:10:57.000,,,,,,,,,,,,,,,,,,,,,,,,,,West Village,10011,
2736303,376 Broadway,,,,,,,,104895.0,,,,,,,,,Not Eligible: Rating must be 75 or above,80.0,2012-04-27T13:01:12.000,,,,,104895.0,,,,,,121.0,,,,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,
3120437,370 Canal Street,369.0,,,275.4,,,,,100.0,,1801392,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T17:06:31.000,,,,,162315.0,,,,7.1,,257.2,,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,44701064.7
2638848,35 East 9th Street,,,,128.2,,,,,,,1009101;1009093,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-23T14:41:20.000,,,,8699964.83,137524.0,,No,,,,,,,No,,,No,,,93.0,,,,,,West Village,10003,17857186.3
2782299,26 Beaver St.,,,,122.1,,,,,,,1085816,,,,,No,Not Eligible: Rating must be 75 or above,,2012-05-03T11:11:40.000,100.0,2000.0,,,54091.0,,,,,,,,,No,,,No,,,20.0,,,,,,Battery Park City-Lower Manhattan,10004,6831665.9
2817363,145 Hudson St,,,,159.7,,,,,,,1002803,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-30T15:01:03.000,100.0,57751.0,,8278333.72,104018.0,,No,,-2.6,,164.0,0.2,,No,,,No,,,21.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,16613224.2
3234066,477 Broadway,,,,111.5,,,,,,,1007050,,1.0,,0.16,,Not Eligible: Rating must be 75 or above,,2012-07-24T17:27:31.000,0.0,25260.0,,,75780.0,,,2.0,-13.1,,127.0,0.16,,No,,,No,,,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,8364043.3
2737757,136 Waverly Place,,,,142.7,,,,,,,1010249,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-27T16:17:38.000,,,,4335289.17,103984.0,,No,,,,,0.2,,No,,,No,,,76.0,,,,,,West Village,10014,15244192.1
2977542,195 Chrystie Street,,,,128.4,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-29T03:15:43.000,100.0,74250.0,,,74250.0,,,,-21.7,,164.0,,,,,,No,,,,,,,,,Chinatown,10002,9532345.6
2564412,56 Pine Street,,,,209.7,,,,,,,1001009,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T13:32:53.000,,,,,86839.0,,,,,,,,,,,,No,,,92.0,No,,,,,Battery Park City-Lower Manhattan,10005,18100691.2
2544333,311 West Broadway,,,,187.8,,,,,,0.0,1087488,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T10:20:25.000,,,,,128614.0,,,,,,,,,No,,,No,,,67.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,24153051.2
2796479,75 Maiden Lane,,,,18022.0,,,,,,,1001112,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-02T16:59:45.000,100.0,155026.0,,,155026.0,,,,5944.9,,274.5,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10038,2572393634.0
2630987,45 Broadway,,,,251.5,,,,,,,1000804,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-25T16:59:55.000,100.0,368315.0,,,368315.0,,,,-7.8,,274.3,,,,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10006,93181999.4
2740673,165 Christopher St,,,,119.8,,,,,,,1011980,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T17:56:54.000,,,,9015293.85,165436.0,,No,,,,,,,No,,,No,,,214.0,,,,,,West Village,10014,20213593.5
2787350,80 Rutgers Slip,,,,175.0,,,,,,,1084418,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-27T16:22:15.000,,,,,83905.0,,,,,,,,,No,,,No,,,109.0,,,,,,Lower East Side,10002,14390908.3
2797282,83 Maiden Lane,,,,147.0,,,,,,,1001111,,1.0,,0.19,,Eligible,,2012-03-08T17:30:29.000,100.0,136764.0,,,155714.0,,,,-44.5,,267.7,0.19,,No,,,No,,,,No,,,,,Battery Park City-Lower Manhattan,10038,23153906.2
2679722,150 Nassau Street,,,,129.8,,,,,,0.0,1087756,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:21:52.000,,,,,152941.0,,,,,,,0.2,,,,,No,,,125.0,No,,,,,Battery Park City-Lower Manhattan,10038,19490696.8
2732419,169 Hudson Street,,,,152.0,,,,,,,1002844,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-02T14:52:14.000,,,,,75338.0,,,,,,,0.2,,No,,,No,,,12.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10013,11530679.2
2560562,666 GREENWICH STREET,,,,154.4,,,,,,0.0,BIN# 1010421,6.0,,,,No,Not Eligible: Rating must be 75 or above,,2012-03-22T17:23:44.000,100.0,55660.0,1.0,,647567.0,,,,,,,,,No,,,No,,,479.0,,,,,,West Village,10014,99028781.4
2870866,535 West 38 Street,,,,125.4,,,,,,0.0,1012524,,,,,,Not Eligible: Rating must be 75 or above,,2012-03-05T18:44:37.000,,,,,41476.0,,,,30.6,,96.0,,,No,,,No,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10018,5202920.0
2681935,30 Wall St,,,,223.7,,,,,,,1001019,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-25T10:01:35.000,66.35,96245.0,,,138880.0,,,15.0,37.7,,164.0,,,,,,No,,100.0,,No,,,,,Battery Park City-Lower Manhattan,10005,31373157.3
2646463,140 East 14th Street,,,,213.3,,,,470432.0,,,1085790,2.0,,,,,Not Eligible: Rating must be 75 or above,100.0,2012-04-24T03:32:54.000,,,1.0,,486454.0,,,,2.3,,206.9,,,No,,,No,,,,,,,,,East Village,10003,102932508.7
2684330,88 Greenwich Street,,,,155.0,,,,,,,1000794,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T11:12:24.000,100.0,26683.0,,,365666.0,,,,,,,0.2,,No,,,No,,,458.0,,,,,,Battery Park City-Lower Manhattan,10006,55564518.7
