address_1,supermarkets_grocery_gross,bank_financial_institution_4,medical_office_number_of,chilled_water_other_kbtu,longitude,council_district,hotel_room_density,community_board,difference_from_national,other_water_use_kgal,senior_care_facility_workers,multifamily_home_government,year_s_labeled,multifamily_home_gross_floor,house_of_worship_gross_floor,retail_walk_in_refrig_density,fuel_oil_4_use_kbtu,house_of_worship_pc_density,warehouse_unrefrigerated_4,senior_care_facility_number_3,parking_weekly_hours_of_access,current_water_period_ending,medical_office_weekly,senior_care_facility_total_1,multifamily_home_resident,chilled_water_electric_driven,supermarkets_grocery_number_1,multifamily_home_number_of,supermarkets_grocery_percent,rating,electricity_use_kbtu,swimming_pool_months_in_use,hospital_maximum_number_of,parking_enclosed_floor_area,hotel_workers_density,target_rating_1_100,swimming_pool_indoor_outdoor,bank_financial_institution_3,chilled_water_engine_driven,residence_halls_dormitories_4,multifamily_home_laundry_1,current_total_ghg_emissions,residence_halls_dormitories_3,supermarkets_grocery_weekly,national_average_pue,space_use_alerts,retail_gross_floor_area_sq,year_built
165 Charles Street,,,,,-74.009461,3.0,,102.0,,,,0.0,,90734.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,15.0,,0.0,3050799.74,,,,,0.0,,,,,58.0,505.68,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1673.0,2005.0
55 Morton Street,,,,,-74.005791,3.0,,102.0,,,,0.0,,40180.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,1237191.2,,,,,0.0,,,,,,466.96,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1900.0
157 Rensen Street,,,,,,,,,,,,,,,,,,,,,,2011-09-30T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1988.0
56 7th Avenue,,,,,-73.999874,3.0,,102.0,,,,0.0,,142593.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,20.0,,0.0,3238430.26,,,,,0.0,,,,,0.0,883.46,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",5084.0,1931.0
25 E 13th Street,,,,,-73.992863,2.0,,102.0,-12.0,,,,,,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,0.0,2925858.24,,,,,0.0,,,,,,443.14,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1950.0
310 Greenwich Street / 40 Harrison Street,,,,,,,,,,,,0.0,,1039841.0,,0.0,,,,,112.0,2200-01-01T00:00:00.000,,,No specific resident population,,,39.0,,0.0,18702338.68,,,233000.0,,0.0,,,,,0.0,8164.64,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",73059.0,1975.0
13 W 13 St,,,,,-73.994872,3.0,,102.0,,,,0.0,,95115.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,1576504.36,,,,,0.0,,,,,0.0,436.56,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",5200.0,1962.0
214 Sullivan St,,,,,-74.000065,1.0,,102.0,-95.4,,,,,,,,,,,,,2011-11-30T00:00:00.000,,,,,,,,0.0,50715.97,,,,,0.0,,,,2.0,,9.58,1.0,,,,,1911.0
62 Cooper Square,,,,,-73.990969,2.0,,102.0,,,,0.0,,94918.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,13.0,,0.0,5530015.04,,,,,0.0,,,,,28.0,891.06,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Weekly operating hours is much lower than normal for Andrews Retail.<br> Less than 50% of the Total Floor Space can be benchmarked.<br>",26240.0,1920.0
95 Christopher Street,,,,,-74.004442,3.0,,102.0,,,,0.0,,132817.0,,0.1,,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,16.0,,0.0,3362065.38,,,,,0.0,,,,,1.0,1126.55,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Weekly operating hours is much lower than normal for BREAD, INC.- ST #1 (VACATED 5/31/11).<br> Less than 50% of the Total Floor Space can be benchmarked.<br>",3968.0,1930.0
3 Sheridan Square,11150.0,,,,-74.002201,3.0,,102.0,,,,0.0,,146982.0,,,,,,,168.0,2012-02-29T00:00:00.000,,,No specific resident population,,5.0,15.0,20.0,0.0,5847549.49,,,10200.0,,0.0,,,,,0.0,856.39,,119.0,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1958.0
22 Cortlandt Street,,,,,-74.010897,1.0,,101.0,6.4,,,,,,,0.0,,,,,,2011-12-31T00:00:00.000,,,,,,,,44.0,57126433.6,,,,,0.0,,,,,,5363.46,,,,Using default values for Space Use attributes.<br>,80712.0,1973.0
236 East 13th Street,,,,,-73.986776,2.0,,103.0,,,,0.0,,49129.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,1455961.82,,,,,0.0,,,,,0.0,560.09,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",4283.0,1992.0
335 Greenwich Street,,,,,-74.010559,1.0,,101.0,,,,0.0,,51508.0,,,4298157.29,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,13.0,,0.0,994564.52,,,,,0.0,,,,,20.0,413.63,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1929.0
557 Broadway,,,,,-73.998138,1.0,,102.0,20.6,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,24.0,13851559.92,,,,,0.0,,,,,,1431.87,,,1.82,Using default values for Space Use attributes.<br>,,
50 Murray Street,,,,,-74.009548,1.0,,101.0,,,,0.0,,620552.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,23.0,,0.0,30986724.15,,,,,0.0,,,,,0.0,4335.69,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1967.0
281 11th Avenue,,,,,-74.004663,3.0,,104.0,76.7,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,170012.64,,,,,0.0,,,,,,237.53,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1970.0
114 Liberty Street,,,,,-74.012235,1.0,,101.0,,,,0.0,,60218.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,11.0,,0.0,2448119.21,,,,,0.0,,,,,12.0,380.49,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Weekly operating hours is much lower than normal for Andrews Retail.<br> Less than 50% of the Total Floor Space can be benchmarked.<br>",100.0,1900.0
14 Prince Street,,,,,-73.994033,1.0,,102.0,,,,0.0,,92000.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,1254161.61,,,,,0.0,,,,,0.0,267.58,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",3000.0,1960.0
25 E 13th Street,,,,,-73.992863,2.0,,102.0,-12.0,,,,,,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,0.0,2925858.24,,,,,0.0,,,,,,443.14,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1950.0
350 Hudson Street,,,,,-74.007274,3.0,,102.0,-26.5,,,,,,,0.39,5048868.16,,,,,2200-01-01T00:00:00.000,,,,,,,,75.0,19531269.78,,,,,0.0,,,,,,2215.52,,,1.82,Weekly operating hours is much lower than normal for  Vacant.<br>,7773.0,1929.0
257 Clinton St,,,,,-73.986704,1.0,,103.0,,,,1.0,,273601.0,,,,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,19.0,,0.0,5226973.34,,,0.0,,0.0,,,,,0.0,3231.88,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1978.0
62 ESSEX ST - SEWARD PRK ENT BLDG 1,,,,,,,,,,,,0.0,,376859.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,22.0,,0.0,9617789.76,,,,,0.0,,,,,0.0,3008.04,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1973.0
67 Wall Street,,,,,-74.008342,1.0,,101.0,,,,0.0,,318334.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,25.0,,0.0,12614164.0,,,,,0.0,,,,,0.0,2066.82,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1921.0
72 COLUMBIA ST B18 BARUCH,,,,,-73.980268,2.0,,103.0,,,,0.0,,140963.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,23.0,,0.0,2881092.8,,,,,0.0,,,,,0.0,270.5,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1977.0
530-542 W 27th St.,,,,,-74.003642,3.0,,104.0,-70.4,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,452383.74,,,,,0.0,,,,,,78.79,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1920.0
47-05 48th Street,,,,,-73.917297,26.0,,402.0,,,,,,,,,,,,,,2011-03-31T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1922.0
140 Broadway,,,,,-74.010626,1.0,,101.0,-0.7,,,,,,,,,,,,,2011-08-31T00:00:00.000,,,,,,,,50.0,72251271.27,,,,,75.0,,,,,,15518.13,,,1.82,,,1967.0
410 West 13th Street,,,,,-74.006427,3.0,,102.0,-2.7,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,3602323.64,,,,,0.0,,,,,,370.55,,,,Using default values for Space Use attributes.<br>,29729.0,2010.0
124-128 Bleeker St,29005.0,,,,-73.998293,1.0,,102.0,64.1,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,100.0,0.0,6297951.49,,,,,0.0,,,,,,740.89,,168.0,,,,1966.0
363 West 16th Street,,,,,-74.003244,3.0,2.4,104.0,162.1,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,1.0,13538816.0,,,,0.42,0.0,,,,,,2122.57,,,,,,1969.0
40 Rector Street,,,,,-74.014814,1.0,,101.0,-0.2,,,,,,,,,,,,,2010-11-30T00:00:00.000,,,,,,,,50.0,21535752.26,,,,,0.0,,,,,,3891.0,,,,,,1921.0
408 Broadway,,,,,-74.002255,1.0,,101.0,-24.9,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,73.0,2497468.69,,,,,0.0,,,,,,271.51,,,,,10000.0,1915.0
635 EST 12TH ST.- CAMPUS PLAZA BLD #1,,,,,,,,,,,,0.0,,303090.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,17.0,,0.0,1730500.16,,,,,0.0,,,,,0.0,251.42,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1979.0
637 E 5 ST PLP LOWER E S II,,,,,-73.980782,2.0,,103.0,,,,0.0,,193140.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,3.0,,0.0,,,,,,,,,,,0.0,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1988.0
2 South End Avenue,,,,,-74.017656,1.0,,101.0,,,,0.0,,132184.0,,0.0,,,,,112.0,2200-01-01T00:00:00.000,,,No specific resident population,,,9.0,,0.0,6295378.84,,,15560.0,,0.0,,,,,0.0,1099.2,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",17453.0,1988.0
246 Greene Street,,,,,-73.995057,1.0,,102.0,-61.0,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,949900.8,,,,,0.0,,,,,,137.36,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1892.0
79 Washington Square East,,,,,-73.996399,1.0,,102.0,-91.0,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,100.0,341882.4,,,,,0.0,,,,83.0,,38.37,0.0,,,,,1894.0
19 East Second Street,,,,,-73.991233,2.0,,103.0,,,,0.0,,83734.0,,,,,,,,2200-01-01T00:00:00.000,,,Dedicated Student,,,14.0,,0.0,2696844.8,,,,,0.0,,,,,0.0,549.42,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2001.0
94 East 4th Street,,,,,-73.988924,2.0,,103.0,,,,0.0,,72000.0,,,,,,,,2011-12-31T00:00:00.000,,,,,,9.0,,0.0,3198345.95,,,,,0.0,,,,,0.0,514.07,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1997.0
557 Broadway,,,,,-73.998138,1.0,,102.0,20.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,24.0,13888076.72,,,,,0.0,,,,,,1434.8,,,1.82,Using default values for Space Use attributes.<br>,,1992.0
401 W. 22nd Street,,,,,-74.002007,3.0,,104.0,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0
7-11 East 13th Street,,,,,-73.993592,2.0,,102.0,,,,0.0,,89878.0,,,,,,,,2012-03-31T00:00:00.000,,,No specific resident population,,,5.0,,0.0,3278840.66,,,,,0.0,,,,,0.0,553.15,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1928.0
505 LaGuardia Place,,,4.0,,-73.999282,1.0,,102.0,,,,0.0,,232459.0,,,,,,,,2011-12-31T00:00:00.000,65.0,,Dedicated Senior/Independent Living,,,30.0,,0.0,8325351.65,,,,,0.0,,,,,0.0,781.65,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1966.0
66 Avenue A,,,,,-73.984591,2.0,,103.0,,,,0.0,,52265.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,1447820.78,,,,,0.0,,,,,,503.15,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",5590.0,1938.0
365 BROADWAY,,,,,-74.003521,1.0,,101.0,,,,0.0,,0.0,,0.0,,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,Weekly operating hours is much lower than normal for 68 FRANKLIN ST.<br> Weekly operating hours is much lower than normal for 365 BROADWAY.<br> Weekly operating hours is much lower than normal for 367 BROADWAY.<br> Less than One Full Year of Space Attrib,0.0,1900.0
240 MADISON AVE LA GUARDIA,,,,,-73.981333,4.0,,105.0,,,,0.0,,1058212.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,16.0,,0.0,,,,,,,,,,,0.0,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1957.0
598 BROADWAY,,,,,-73.997085,1.0,,102.0,-27.4,,,0.0,,19404.0,,0.0,,,0.0,,,2200-01-01T00:00:00.000,,,,,,5.0,,0.0,3616891.23,,,,,0.0,,,,,5.0,356.34,,,1.82,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>",11088.0,1904.0
270 Greenwich Street,60000.0,1.24,,,-74.011229,1.0,,101.0,,,,0.0,,618587.0,,0.0,,,,,168.0,2011-12-31T00:00:00.000,,,,,30.0,,80.0,0.0,47703060.33,,,56914.0,,0.0,,54.0,,,,6692.52,,112.0,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",90182.0,2006.0
174 Hudson Street,,,,,-74.00815,1.0,,101.0,4.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,45.0,3799330.24,,,,,0.0,,,,,,356.71,,,,,,1910.0
55 Wall Street,,,,,-74.009165,1.0,,101.0,,,,0.0,,193371.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,9.0,,0.0,16634446.55,,,,,0.0,,,,,0.0,4655.95,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",81145.0,1836.0
5-11 University Place,,,,,-73.995364,1.0,,102.0,-67.7,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,3166063.04,,,,,0.0,,,,305.0,,394.64,1.0,,,"""Other"" space types must be <=10% of Total Floor Space.<br>",,1962.0
6 Washington Mews,,,,,-73.996114,1.0,,102.0,,,,0.0,,2676.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,,,,,,,,,,,,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1939.0
90 Franklin Street,,2.28,,,-74.005004,1.0,,101.0,,,,0.0,,98891.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,,,0.0,3494423.68,,,,,0.0,,65.0,,,,656.2,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1985.0
1 Chase Manhattan Plaza,,1.21,,,-74.009591,1.0,,101.0,7.7,,,,,,,0.0,,,,,168.0,2012-02-29T00:00:00.000,,,,,,,,42.0,178469436.8,,,40000.0,,0.0,,111.0,,,,29600.3,,,1.82,,25000.0,1961.0
61 W 9 Street,,,,,-73.99847,3.0,,102.0,,,,0.0,,55627.0,,,,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,11.0,,0.0,1125184.91,,,,,0.0,,,,,0.0,462.23,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1926.0
330 Spring Street,,,,,-74.009705,3.0,,102.0,,,,0.0,,76172.0,,,,,,,,2011-10-31T00:00:00.000,,,No specific resident population,,,13.0,,0.0,3630465.39,,,,,0.0,,,,,80.0,645.45,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2005.0
250 Mercer Street,,,,,-73.995378,1.0,,102.0,,,,0.0,,315000.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,42.0,,0.0,7743923.63,,,,,0.0,,,,,20.0,2112.1,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",31000.0,1890.0
4-6 Washington Place,,,,,-73.994155,1.0,,102.0,-75.5,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,6581065.6,,,,,0.0,,,,,,618.11,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1971.0
299 Broadway,,,,,-74.005591,1.0,,101.0,-47.5,,,,,,,,,,,,,2011-11-30T00:00:00.000,,,,,,,,91.0,8908110.8,,,,,0.0,,,,,,1387.06,,,,,,1904.0
195 Hudson Street,,,,,-74.008034,1.0,,101.0,,,,0.0,,83968.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,8.0,,0.0,1675863.17,,,,,0.0,,,,,27.0,382.6,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1920.0
600 Broadway,,,,,-73.997049,1.0,,102.0,123.6,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,2.0,10934211.21,,,,,0.0,,,,,,1240.76,,,,Using default values for Space Use attributes.<br>,,1900.0
86 Trinity Place,,,,,-74.01239,1.0,,101.0,506.4,,,,,,,,,,,,,2010-12-31T00:00:00.000,,,,,,,,1.0,1302019.2,,,,,0.0,,,,,,8690.36,,,,,,1921.0
535 West 22nd Street,,,,,-74.005756,3.0,,104.0,,,,0.0,,113358.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,2581267.74,,,,,0.0,,,,,30.0,422.0,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1930.0
511-541 W 25th Street,,,,,-74.004132,3.0,,104.0,-59.3,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,4750973.24,,,,,0.0,,,,,,453.2,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>",,1917.0
555 Broadway,,,,,-73.998174,1.0,,102.0,1.0,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,49.0,16666313.2,,,,,0.0,,,,,,1735.99,,,,Using default values for Space Use attributes.<br>,17963.0,
125 East 12 Street,,,,,-73.989424,2.0,,103.0,,,,0.0,,60266.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,2060953.77,,,,,0.0,,,,,42.0,440.43,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using temporary values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1910.0
561 Broadway,,,,,-73.998063,1.0,,102.0,-41.9,,,0.0,,41600.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,12.0,,0.0,1021130.15,,,,,0.0,,,,,21.0,394.32,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",8000.0,1902.0
33 Fifth Avenue,,,,,-73.995544,2.0,,102.0,,,,0.0,,65029.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,16.0,,0.0,1332518.58,,,,,0.0,,,,,20.0,461.9,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1924.0
85 8th Avenue,,,,,-74.002385,3.0,,104.0,,,,0.0,,55797.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,2386284.56,,,,,0.0,,,,,0.0,502.92,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1973.0
"430 West 34th Street, NYC 10001",,,,,-73.997354,3.0,,104.0,,,,0.0,,114778.0,,,,,,,,2012-02-29T00:00:00.000,,,No specific resident population,,,18.0,,0.0,2164894.33,,,,,0.0,,,,,0.0,823.53,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1965.0
65 Bleecker St.,,,,,-73.995173,1.0,,102.0,-26.1,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,75.0,5781829.64,,,,,0.0,,,,,,966.33,,,1.82,,9400.0,1898.0
175 West 13th Street,,,,,-73.999264,3.0,,102.0,,,,0.0,,133355.0,,0.0,,,,,,2012-01-31T00:00:00.000,,,No specific resident population,,,20.0,,0.0,2459843.54,,,,,0.0,,,,,0.0,921.5,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1920.0,1961.0
210 Lafayette Street,,,,,-73.997633,1.0,,102.0,,,,0.0,,63762.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,11.0,,0.0,3507222.1,,,,,0.0,,,,,52.0,746.49,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",11943.0,2005.0
841-853 Broadway,,,,,-73.990896,2.0,,102.0,-16.5,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,65.0,15678168.71,,,,,0.0,,,,,,1716.27,,,,Using default values for Space Use attributes.<br>,,1913.0
10 Downing Street,,,6.0,,-74.002825,3.0,,102.0,,,,0.0,,103644.0,,0.0,693452.5,,,,,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,6.0,,0.0,4562342.59,,,,,0.0,,,,,0.0,485.56,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",12107.0,1941.0
135 William Street,,,,,-74.006648,1.0,,101.0,,,,0.0,,62462.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,16.0,,0.0,2412284.0,,,,,0.0,,,,,0.0,286.21,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1905.0
233 Broadway,,,,,-74.007892,1.0,,101.0,-23.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,72.0,46924060.51,,,,,0.0,,,,,,6314.09,,,,Using default values for Space Use attributes.<br>,,1913.0
160-170 Varick Street,,,,,-74.005617,3.0,,102.0,-43.2,,,,2011.0,,,,3136599.13,,,,,2200-01-01T00:00:00.000,,,,,,,,90.0,20373624.34,,,,,0.0,,,,,,2146.21,,,1.82,Weekly operating hours is much lower than normal for Vacant.<br>,,1983.0
516 W 34th Street,,,,,-74.000119,3.0,,104.0,-18.2,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,67.0,19523546.5,,,,,0.0,,,,,,2265.06,,,1.82,,,1933.0
