building_classification_3,neighborhood,address_3,market_value_per_sqft,estimated_expense_2,distance_from_condo_in_miles_1,neighborhood_1,estimated_expense_3,net_operating_income_3,gross_sqft_3,year_built_2
D1  -ELEVATOR,UPPER WEST SIDE (59-79),236-240 WEST 64 STREET,325.96,2684270.0,0.47,UPPER WEST SIDE (59-79),777203.0,1743865.0,42102.0,1987.0
,MIDTOWN WEST,,356.81,2944038.0,0.31,MIDTOWN WEST,,,,1987.0
D1  -ELEVATOR,CHELSEA,434 WEST 19 STREET,332.17,313309.0,0.18,CHELSEA,342720.0,897750.0,21000.0,1900.0
D3  -ELEVATOR,FLATIRON,20 EAST 22 STREET,357.1,474537.0,0.1,FLATIRON,111953.0,459690.0,10512.0,1907.0
C4  -WALK-UP,HARLEM-CENTRAL,232 WEST 122 STREET,262.38,100162.0,0.05,HARLEM-CENTRAL,150670.0,382233.0,12350.0,1910.0
,ASTORIA,,88.93,193775.0,0.51,ASTORIA,,,,2002.0
D1  -ELEVATOR,UPPER WEST SIDE (59-79),9 WEST 64 STREET,285.8,304139.0,0.05,UPPER WEST SIDE (59-79),268454.0,728077.0,21528.0,1937.0
D1  -ELEVATOR,GREENWICH VILLAGE-CENTRAL,136 WEST 4 STREET,263.6,702088.0,0.56,GREENWICH VILLAGE-CENTRAL,350474.0,677571.0,20874.0,1900.0
D9  -ELEVATOR,UPPER EAST SIDE (79-96),165 EAST 89 STREET,283.2,267000.0,0.2,UPPER EAST SIDE (79-96),674654.0,1732342.0,49680.0,1995.0
D1  -ELEVATOR,MURRAY HILL,221 EAST 33 STREET,308.37,985680.0,0.19,MURRAY HILL,559961.0,1348239.0,35508.0,1920.0
D1  -ELEVATOR,UPPER WEST SIDE (79-96),20 WEST 87 STREET,259.98,105997.0,0.17,UPPER WEST SIDE (79-96),239496.0,545643.0,17046.0,1930.0
