expense_per_sqft_1,gross_sqft_1,full_market_value_2,neighborhood_2,expense_per_sqft_2,gross_income_per_sqft_2,full_market_value,building_classification_1,building_classification,boro_block_lot_1,address_1,net_operating_income_1,expense_per_sqft,distance_from_condo_in_miles
10.34,58325,17593000.0,UPPER EAST SIDE (59-79),13.2,52.19,42567999,D3  -ELEVATOR,R4  -ELEVATOR,1-01439-0042,320 EAST 65 STREET,2393074,10.34,0.05
16.21,48972,15112000.0,UPPER WEST SIDE (79-96),16.33,41.18,20376000,D1  -ELEVATOR,R9  -CONDOPS,1-01205-0022,5 WEST 91 STREET,1202752,16.33,0.18
16.63,9110,1734000.0,SOHO,17.24,51.76,13046000,C1  -WALK-UP,R9  -CONDOPS,1-00489-0007,67 SULLIVAN STREET,314569,16.63,0.25
11.83,71890,2321000.0,UPPER WEST SIDE (59-79),14.65,49.06,12895004,D1  -ELEVATOR,R4  -ELEVATOR,1-01126-0038,10 WEST 74 STREET,3308378,14.65,0.19
16.04,11967,21862000.0,EAST VILLAGE,15.88,36.24,1933001,D1  -ELEVATOR,R4  -ELEVATOR,1-00470-0005,160 MOTT STREET,246281,16.04,0.19
14.74,30999,36517000.0,CIVIC CENTER,13.99,52.28,10067001,D6  -ELEVATOR,R4  -ELEVATOR,1-00134-0011,33 WARREN STREET,1151613,14.74,0.05
13.66,41603,15825000.0,MURRAY HILL,13.52,47.46,13651995,D6  -ELEVATOR,R4  -ELEVATOR,1-00892-0049,156 EAST 37 STREET,1356258,13.66,0.13
15.66,47820,1788000.0,KIPS BAY,14.92,46.36,49913008,D6  -ELEVATOR,R4  -ELEVATOR,1-00935-0053,312 EAST 30 STREET,1509199,15.66,0.25
13.11,22506,7097000.0,CHELSEA,14.37,48.3,39040002,D1  -ELEVATOR,R4  -ELEVATOR,1-00768-0077,274 WEST 19 STREET,827995,14.37,0.09
13.87,24131,18513000.0,UPPER EAST SIDE (59-79),13.84,46.89,6409007,D1  -ELEVATOR,R4  -ELEVATOR,1-01471-0015,427 EAST 76 STREET,771951,14.76,0.0
9.06,186802,76684000.0,MIDTOWN EAST,8.68,46.02,47226001,D6  -ELEVATOR,R4  -ELEVATOR,1-01410-0033,177 EAST 75 STREET,7042436,8.68,0.0
14.68,14025,12097000.0,UPPER WEST SIDE (59-79),17.83,62.06,203341001,D1  -ELEVATOR,R4  -ELEVATOR,1-01184-0025,312 WEST 73 STREET,614015,17.83,0.43
16.23,243802,89446000.0,UPPER EAST SIDE (59-79),18.64,57.44,71046005,D6  -ELEVATOR,R4  -ELEVATOR,1-01422-0048,210 EAST 68 STREET,10112907,22.33,0.29
14.48,26300,5285000.0,LOWER EAST SIDE,14.69,62.15,8461999,D3  -ELEVATOR,R4  -ELEVATOR,1-00309-0022,51 LUDLOW STREET,1246620,14.69,0.2
17.97,15972,951000.0,MIDTOWN EAST,15.05,40.93,1678000,C1  -WALK-UP,RR  -CONRENT,1-01323-0034,234 EAST 50 STREET,410001,15.85,0.15
9.27,23106,2805000.0,HARLEM-CENTRAL,9.53,24.25,6813997,D1  -ELEVATOR,R4  -ELEVATOR,1-01828-0042,230 WEST 113 STREET,347514,9.53,0.22
11.97,49680,6279000.0,UPPER EAST SIDE (79-96),11.67,47.0,32365000,D9  -ELEVATOR,R4  -ELEVATOR,1-01518-0031,165 EAST 89 STREET,1743271,11.67,0.39
18.48,14944,5967000.0,GREENWICH VILLAGE-WEST,18.02,57.89,4449000,D1  -ELEVATOR,R9  -CONDOPS,1-00611-0051,12 CHARLES STREET,579379,18.58,0.09
15.21,53500,8010000.0,GREENWICH VILLAGE-WEST,16.0,47.52,35542993,D5  -ELEVATOR,R4  -ELEVATOR,1-00634-0047,337 WEST 11 STREET,1758010,16.47,0.17
18.03,11400,11997000.0,SOHO,10.03,53.8,32132996,D1  -ELEVATOR,R4  -ELEVATOR,1-00502-0014,114 THOMPSON STREET,526794,18.03,0.27
12.61,98808,4043000.0,MIDTOWN EAST,12.37,45.89,66105002,D3  -ELEVATOR,R4  -ELEVATOR,1-01362-0012,20 BEEKMAN PLACE,3211260,12.37,0.15
10.05,9938,7997000.0,UPPER EAST SIDE (59-79),10.19,33.15,4921000,D1  -ELEVATOR,RR  -CONRENT,1-01347-0122,351 EAST 54 STREET,189518,7.61,0.35
9.86,134300,12761000.0,MOTT HAVEN/PORT MORRIS,9.11,22.77,33148999,D1  -ELEVATOR,RR  -CONRENT,2-02314-0010,271 EAST 138 STREET,1022023,10.23,0.33
10.41,47106,2306000.0,HARLEM-EAST,12.83,36.39,20196001,D3  -ELEVATOR,R4  -ELEVATOR,1-01639-0057,138 EAST 112 STREET,1204501,12.83,0.41
6.89,130500,4852000.0,PARKCHESTER,5.36,14.51,86159983,D1  -ELEVATOR,R4  -ELEVATOR,2-03925-0018,1565 THIERIOT AVENUE,1070100,8.46,0.27
11.16,143604,22252000.0,MANHATTAN VALLEY,13.68,34.14,22381000,D3  -ELEVATOR,R9  -CONDOPS,1-01890-0015,865 WEST END AVENUE,1918549,12.22,0.48
9.43,17200,2013000.0,BEDFORD PARK/NORWOOD,9.7,20.67,1386993,C1  -WALK-UP,R2  -WALK-UP,2-03349-0041,3135 DECATUR AVENUE,186964,9.43,0.88
6.96,40250,2070000.0,WILLIAMSBRIDGE,7.54,23.7,8539000,C1  -WALK-UP,RR  -CONRENT,2-04825-0080,680 EAST 224 STREET,663723,6.33,0.48
12.61,71890,2321000.0,UPPER WEST SIDE (59-79),12.24,45.5,17722000,D1  -ELEVATOR,R9  -CONDOPS,1-01126-0038,10 WEST 74 STREET,2283945,13.34,0.18
15.44,36720,11881000.0,UPPER EAST SIDE (79-96),14.38,40.28,37458982,D3  -ELEVATOR,R4  -ELEVATOR,1-01527-0009,219 EAST 81 STREET,1023019,16.01,0.05
13.63,65692,8214000.0,UPPER EAST SIDE (79-96),12.96,49.35,12513002,D3  -ELEVATOR,R4  -ELEVATOR,1-01521-0007,115 EAST 92 STREET,2350460,13.63,0.0
11.64,41423,3655000.0,CHELSEA,11.42,48.68,14290998,D1  -ELEVATOR,R4  -ELEVATOR,1-00797-0074,160 WEST 22 STREET,1509868,11.64,0.2
13.02,10785,4829000.0,LOWER EAST SIDE,11.78,43.98,6761002,D3  -ELEVATOR,R4  -ELEVATOR,1-00274-0014,75 MONROE STREET,331962,13.02,0.0
15.08,13580,53222000.0,UPPER EAST SIDE (59-79),16.71,46.1,19773000,D3  -ELEVATOR,R9  -CONDOPS,1-01390-0009,7 EAST 75 STREET,411746,16.16,0.05
6.86,124888,1951000.0,BATHGATE,6.49,17.27,5840000,D1  -ELEVATOR,RR  -CONRENT,2-03024-0080,385 EAST 184 STREET,1323812,6.12,0.55
9.56,134703,7038000.0,RIVERDALE,9.67,18.18,2473998,D1  -ELEVATOR,R4  -ELEVATOR,2-05780-0940,3900 GREYSTONE AVENUE,1177304,8.73,0.87
18.47,41898,10287000.0,UPPER EAST SIDE (59-79),17.62,46.7,74682000,D1  -ELEVATOR,R9  -CONDOPS,1-01424-0029,226 EAST 70 STREET,1235991,13.92,0.15
12.32,14031,2805000.0,HARLEM-CENTRAL,12.53,35.74,2814001,D1  -ELEVATOR,R4  -ELEVATOR,1-01924-0004,2196 FREDRICK DOUGLASS BLVD,325519,12.93,0.11
