unique_squirrel_id,geocoded_column,tail_flags,eating,:@computed_region_sbqj_enih,highlight_fur_color,indifferent,x,chasing,approaches,location,y,date,above_ground_sighter,age,:@computed_region_92fq_4b7q,combination_of_primary_and,other_activities
15E-PM-1008-01,"{'type': 'Point', 'coordinates': [-73.9686304581526, 40.7773631337117]}",False,True,13,,True,-73.9686304581526,False,False,Above Ground,40.7773631337117,10082018,4,Adult,19,Gray+,
20A-PM-1017-01,"{'type': 'Point', 'coordinates': [-73.97006916295742, 40.7828893645197]}",False,False,13,Cinnamon,True,-73.9700691629574,False,False,Ground Plane,40.7828893645197,10172018,FALSE,Adult,19,Gray+Cinnamon,
22G-AM-1018-05,"{'type': 'Point', 'coordinates': [-73.9632646049622, 40.7817401292083]}",False,False,13,Cinnamon,True,-73.9632646049622,False,False,Ground Plane,40.7817401292083,10182018,FALSE,Adult,19,Gray+Cinnamon,
2D-AM-1007-01,"{'type': 'Point', 'coordinates': [-73.9779811967788, 40.7675178797546]}",False,False,13,"Cinnamon, White",False,-73.9779811967788,False,False,Ground Plane,40.7675178797546,10072018,FALSE,Adult,19,"Gray+Cinnamon, White",
18D-AM-1018-02,"{'type': 'Point', 'coordinates': [-73.9687395228846, 40.7807364481385]}",False,False,13,,False,-73.9687395228846,False,False,Ground Plane,40.7807364481385,10182018,FALSE,Adult,19,Gray+,
10B-PM-1014-02,"{'type': 'Point', 'coordinates': [-73.9751729403694, 40.7743284123118]}",False,False,13,White,False,-73.9751729403694,False,False,Above Ground,40.7743284123118,10142018,,Adult,19,Gray+White,
16D-PM-1010-13,"{'type': 'Point', 'coordinates': [-73.9702755805141, 40.7783547795222]}",False,False,13,,True,-73.9702755805141,False,False,Ground Plane,40.7783547795222,10102018,FALSE,Adult,19,Gray+,
40G-PM-1013-02,"{'type': 'Point', 'coordinates': [-73.9530809650496, 40.79591763177051]}",False,True,13,,False,-73.9530809650496,False,False,Ground Plane,40.7959176317705,10132018,FALSE,Adult,19,Gray+,hiding from dog
11H-AM-1010-01,"{'type': 'Point', 'coordinates': [-73.9676514056678, 40.7730853732876]}",False,False,13,White,False,-73.9676514056678,False,True,Above Ground,40.7730853732876,10102018,20,Adult,19,Gray+White,
38E-AM-1010-04,"{'type': 'Point', 'coordinates': [-73.95618876244711, 40.7958187455815]}",True,False,13,Cinnamon,False,-73.9561887624471,False,False,Ground Plane,40.7958187455815,10102018,FALSE,Adult,19,Gray+Cinnamon,
8I-AM-1006-12,"{'type': 'Point', 'coordinates': [-73.9691261755936, 40.7702929428604]}",False,False,13,,True,-73.9691261755936,False,False,Above Ground,40.7702929428604,10062018,50,Adult,19,Gray+,
19G-PM-1017-03,"{'type': 'Point', 'coordinates': [-73.9648195433192, 40.7796399955868]}",False,True,13,,False,-73.9648195433192,False,False,Ground Plane,40.7796399955868,10172018,FALSE,Adult,19,Cinnamon+,staring
15H-PM-1008-07,"{'type': 'Point', 'coordinates': [-73.9661694463488, 40.7757530583569]}",False,True,13,Cinnamon,True,-73.9661694463488,False,False,Ground Plane,40.7757530583569,10082018,FALSE,Adult,19,Gray+Cinnamon,
3B-AM-1010-09,"{'type': 'Point', 'coordinates': [-73.9788138172962, 40.7693001754769]}",False,False,13,,False,-73.9788138172962,False,False,Ground Plane,40.7693001754769,10102018,FALSE,Juvenile,19,Gray+,
