job_number,bin,latitude,longitude,version,datefiled,units_co,classanet,classainit,bctcb2020
S00868388,5176136,40.598293,-74.063978,25Q2,2023-05-12T00:00:00.000,2.0,2.0,0.0,50074002000.0
301499867,3061421,40.69986630373084,-73.95110250338324,25Q2,2003-02-04T00:00:00.000,10.0,10.0,0.0,30531021000.0
B00748268,3427478,40.605414,-73.965182,25Q2,2022-06-30T00:00:00.000,,1.0,0.0,30418002000.0
Q00496054,4156364,40.7292398920901,-73.77985917477558,25Q2,2021-04-01T00:00:00.000,1.0,0.0,1.0,41277004002.0
B01212315,3178092,40.60154327856795,-73.9787643981726,25Q2,2025-06-26T00:00:00.000,,1.0,3.0,30408002000.0
B00650836,3007367,40.677736,-73.984548,25Q2,2021-12-23T00:00:00.000,,6.0,0.0,30119012012.0
B00896584,3005146,40.68033810450552,-73.99793634990418,25Q2,2024-04-29T00:00:00.000,5.0,0.0,5.0,30065003000.0
S00696341,5005597,40.632427138733405,-74.1215203747356,25Q2,2023-02-21T00:00:00.000,,1.0,1.0,50133023004.0
220137233,2002721,40.830154,-73.919285,25Q2,2011-08-31T00:00:00.000,,50.0,0.0,20183013000.0
M00622867,1.011016E+6,40.73751398115434,-74.00230638210697,25Q2,2021-11-23T00:00:00.000,1.0,-3.0,4.0,10077005000.0
M00992452,1039662,40.75528417917951,-73.96611940466106,25Q2,2024-01-30T00:00:00.000,66.0,0.0,66.0,10098006001.0
140967746,1.010929E+6,40.73577610902447,-74.00271643230043,25Q2,2020-10-20T00:00:00.000,,-2.0,3.0,10073006000.0
M01158851,1044855,40.76817859588776,-73.95848682810342,25Q2,2025-01-13T00:00:00.000,,-6.0,6.0,10126011000.0
B01227416,3254181,40.59947253944317,-73.94394690658893,25Q2,2025-05-20T00:00:00.000,,1.0,1.0,30574002002.0
