job_number,addressnum,occ_prop,ntaname20,:@computed_region_f5dn_yrer,policepcnt,hotelinit,firedivsn,bldg_class,pl_pfirm15,boro,job_type,classaprop,schsubdist,compltyear,datepermit,specldst2
B00920911,16,,Bushwick (East),42.0,83.0,,11.0,2 Family,,3,Alteration,2.0,32_2,,2025-01-22T00:00:00.000,
B00674201,1720,,Ocean Hill,55.0,73.0,0.0,15.0,Other,,3,New Building,11.0,23_1,2023.0,2022-10-21T00:00:00.000,
Q00489967,26-15,,Old Astoria-Hallets Point,39.0,114.0,0.0,14.0,2 Family,,4,New Building,2.0,30_3,2024.0,,
123916307,55,Empty Site,East Village,70.0,9.0,,1.0,V1,,1,Demolition,0.0,1_3,2022.0,2022-10-26T00:00:00.000,
B01125280,739,,Brownsville,55.0,73.0,,15.0,Other,,3,Alteration,10.0,17_2,,2025-05-29T00:00:00.000,
M00810392,42,,East Village,70.0,9.0,,1.0,Other,,1,Alteration,28.0,1_3,2023.0,2023-04-18T00:00:00.000,
Q00559467,30-15,,Astoria (Central),39.0,114.0,,14.0,2 Family,,4,Alteration,2.0,30_3,,,
B00759301,1252,,Borough Park,2.0,66.0,0.0,11.0,Other,,3,New Building,4.0,15_1,2024.0,2023-05-03T00:00:00.000,MX-12
B01201632,1342,,Flatlands,5.0,63.0,0.0,15.0,2 Family,,3,New Building,2.0,22_2,,,
S00868388,13,,Grasmere-Arrochar-South Beach-Dongan Hills,30.0,122.0,0.0,8.0,2 Family,,5,New Building,2.0,31_3,2025.0,2023-11-27T00:00:00.000,
121187508,221,Residential: 3 or More Units (R-2),Upper West Side (Central),20.0,20.0,0.0,3.0,R0,,1,New Building,26.0,3_1,2017.0,2015-06-09T00:00:00.000,
B01030212,81,,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,32.0,61.0,0.0,8.0,1 Family,1.0,3,New Building,1.0,22_3,,,
B00642051,1113,,Dyker Heights,10.0,68.0,0.0,8.0,2 Family,,3,New Building,2.0,20_2,,,
B00650836,588,,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14.0,78.0,0.0,11.0,Other,,3,New Building,6.0,13_1,,,
B00862912,163,,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,9.0,72.0,0.0,11.0,1 Family,,3,New Building,2.0,15_3,,,
B00724341,160,,Prospect Lefferts Gardens-Wingate,17.0,71.0,,15.0,2 Family,,3,Alteration,2.0,18_1,,,
Q00947889,109-67,,South Jamaica,41.0,103.0,0.0,13.0,2 Family,,4,New Building,2.0,28_1,2025.0,,
M01038433,84,,Greenwich Village,57.0,6.0,,1.0,Other,,1,Alteration,6.0,2_2,,2024-10-08T00:00:00.000,
B08005150,11,,Bedford-Stuyvesant (West),69.0,79.0,,11.0,2 Family,,3,Alteration,2.0,13_3,,,
B00720838,354,,Ocean Hill,55.0,73.0,,15.0,Other,,3,Alteration,12.0,16_1,2025.0,2022-11-17T00:00:00.000,
B00895566,106,,Marine Park-Mill Basin-Bergen Beach,5.0,63.0,,15.0,1 Family,1.0,3,Alteration,1.0,22_2,,,
B00880024,178,,East Flatbush-Erasmus,61.0,67.0,,15.0,2 Family,,3,Alteration,2.0,17_3,,,
220583848,1833,Residential: 3 or More Units (R-2),Soundview-Clason Point,58.0,43.0,0.0,6.0,C0,,2,New Building,3.0,8_2,2020.0,2017-11-17T00:00:00.000,
Q00506244,218-21,,Oakland Gardens-Hollis Hills,26.0,111.0,,14.0,1 Family,,4,Alteration,1.0,26_1,,,
321600086,107,Residential: 3 or More Units (R-2),Bushwick (East),42.0,83.0,0.0,15.0,D3,,3,New Building,12.0,32_1,,,
121185699,534,Residential: 3 or More Units (R-2),East Village,70.0,9.0,,1.0,C7,,1,Alteration,16.0,1_3,,,
M00529349,22,,Inwood,47.0,34.0,0.0,7.0,Other,,1,New Building,140.0,6_1,,,
121365968,2335,Empty Site,East Harlem (North),7.0,25.0,,3.0,V1,,1,Demolition,0.0,4_2,,,
220229170,1184,Residential: 1-2 Family Houses (R-3),Morrisania,34.0,42.0,,6.0,B1,,2,Alteration,2.0,9_4,,,
122369294,323,Residential: 3 or More Units (R-2),East Midtown-Turtle Bay,71.0,17.0,0.0,3.0,R0,,1,New Building,11.0,2_4,,2015-11-23T00:00:00.000,
321718469,1246,Residential: 3 or More Units (R-2),Borough Park,2.0,66.0,0.0,11.0,C3,,3,New Building,4.0,15_1,2023.0,2019-09-20T00:00:00.000,
S00713922,94,,St. George-New Brighton,4.0,120.0,0.0,8.0,3 Family,,5,New Building,3.0,31_4,,,HS
B01033374,748,,East Flatbush-Farragut,61.0,67.0,0.0,15.0,2 Family,,3,Alteration,2.0,22_1,,,
121187946,615,Residential: 3 or More Units (R-2),Hamilton Heights-Sugar Hill,37.0,30.0,,7.0,D1,,1,Alteration,60.0,6_2,,,
