fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
NKFI-2022210-4159,NJ,,11222,1998,2022-02-10T04:59:00.000Z,11666.0,12.06,47.08,5,59998,15000,4.06
GKM3-2023105-31263,,,22222,2021,2023-10-05T07:00:00.000Z,17650.0,12.09,,8,123600,13250,5.05
WOBL-2022425-14535,PA,,22222,2021,2022-04-25T15:00:00.000Z,,11.06,48.0,4,30000,7500,32.0
KIDB-2023522-20171,NJ,,10017,2004,2023-05-22T05:30:00.000Z,14850.0,13.0,50.0,8,117950,14850,4.06
SKAV-20211129-34477,NY,,10309,2017,2021-11-29T16:00:00.000Z,,12.09,40.0,4,19830,10433,28.0
AENH-2023106-31321,NJ,,22222,2014,2023-10-06T16:00:00.000Z,6000.0,13.0,53.0,5,35000,6500,4.06
M4YW-2023112-1398,NJ,,22222,2007,2023-01-12T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
I55I-202182-20288,GA,,10001,2017,2021-08-02T03:29:00.000Z,,12.09,48.0,4,21360,7740,32.0
WIGT-2023614-22136,ME,,10027,2014,2023-06-14T03:59:00.000Z,14466.0,13.06,43.0,5,62452,12180,4.0
PV9W-20221115-42649,ME,,22222,2020,2022-11-15T05:30:00.000Z,20000.0,13.06,48.0,6,113000,20000,4.06
FGNX-2023830-28203,NJ,,22222,2003,2023-08-30T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
PN4J-2023922-30105,ME,,11356,2005,2023-09-22T05:30:00.000Z,16000.0,13.06,53.0,6,88500,13000,4.02
P5SL-2022222-5533,NJ,,11111,2020,2022-02-22T05:30:00.000Z,6000.0,12.06,53.0,7,50000,6000,4.06
KFMG-2022119-1603,PA,,10304,2020,2022-01-19T04:59:00.000Z,15000.0,13.06,48.0,5,73000,16500,4.0
FVGZ-202299-33077,FL,,11111,2006,2022-09-09T05:30:00.000Z,5150.0,13.06,48.0,5,31500,5150,4.0
DRVU-20211022-30254,PA,,11231,1017,2021-10-22T23:58:00.000Z,5000.0,13.06,53.0,5,48000,15000,12.05
R6X5-2021823-22831,NS,,11691,2013,2021-08-23T05:30:00.000Z,13600.0,13.1,53.0,6,79000,13600,4.06
Z9JY-2022923-34969,NJ,,10017,2013,2022-09-23T05:30:00.000Z,15625.0,12.08,55.0,5,74500,15625,4.06
JB1Y-2023223-8425,,,22222,2020,2023-02-23T07:00:00.000Z,21647.0,12.08,,8,156664,17798,5.05
CXME-202191-24249,NJ,,22222,2012,2021-09-01T05:30:00.000Z,7750.0,13.06,45.0,5,43000,7750,4.06
D6UK-2023118-34104,NJ,,22222,2002,2023-11-08T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
I3LO-202353-18017,PA,,11375,2007,2023-05-03T02:59:00.000Z,3100.0,12.09,39.03,5,26800,10000,30.01
WSY7-2022617-21895,NJ,,11378,2013,2022-06-17T05:30:00.000Z,16500.0,12.06,55.0,5,78000,16500,4.06
HVOB-202221-3030,GA,,22222,2018,2022-02-01T05:30:00.000Z,,12.06,40.0,4,44000,21000,28.0
O3PK-20211115-33244,PA,,11231,2013,2021-11-15T04:59:00.000Z,15000.0,13.06,52.0,5,73000,16500,4.0
ZHGW-202329-6215,NJ,,10455,2017,2023-02-09T05:30:00.000Z,17200.0,13.06,57.0,6,99000,17200,4.06
AHMV-2022421-13946,NJ,,10017,2011,2022-04-21T05:30:00.000Z,19500.0,13.06,65.0,9,170600,19700,4.06
