fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
EEFQ-2022822-30505,PA,,11238,2014,2022-08-22T04:59:00.000Z,10000.0,13.06,53.0,5,67000,17500,4.04
N3PP-2023427-17501,TN,,10462,2011,2023-04-27T05:30:00.000Z,16000.0,13.06,48.0,5,79000,17000,4.0
T3OV-2021810-21392,,,11236,2015,2021-08-10T15:00:00.000Z,,13.02,,2,21900,13740,
ES5M-202231-6551,ME,,22222,2003,2022-03-01T05:30:00.000Z,19500.0,13.06,53.0,5,90000,19500,4.03
AEG7-2022929-35848,ME,,20000,2005,2022-09-29T05:30:00.000Z,5775.0,13.06,48.0,5,35100,5775,4.06
PFX8-2022722-26710,ME,,10033,2000,2022-07-22T05:29:00.000Z,10000.0,13.06,45.0,5,67000,17500,4.06
GYA5-2021817-22123,NJ,,22222,2019,2021-08-17T05:30:00.000Z,5250.0,13.06,40.0,5,33000,5250,4.06
NZSX-202339-10384,NJ,,22222,2016,2023-03-09T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
FYZP-2021917-25939,PA,,11101,2018,2021-09-17T04:59:00.000Z,,13.06,40.0,4,44598,10253,34.06
NTL4-2023121-35958,PA,,10032,2014,2023-12-01T02:59:00.000Z,10671.0,13.06,53.02,5,58418,13888,4.02
PQJ4-20211013-29041,PA,,10013,2020,2021-10-13T03:59:00.000Z,,12.06,35.0,4,33000,10500,35.0
D12Y-2022426-14792,ME,,22222,2003,2022-04-26T16:00:00.000Z,9500.0,13.06,53.0,5,50000,9500,4.03
UG4N-20231016-32002,NJ,,22222,2003,2023-10-16T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
ECPP-2023131-4406,ME,,22222,2018,2023-01-31T16:00:00.000Z,3500.0,13.06,53.0,5,35000,10000,4.06
UDPD-2021730-20137,AZ,,10019,2014,2021-07-30T16:00:00.000Z,17080.0,13.06,53.0,5,70000,13330,4.06
E92Z-202268-20490,ME,,22222,2007,2022-06-08T09:00:00.000Z,13400.0,12.06,53.0,6,79000,13400,4.06
