address,streetname,schooldist,factype,datasource,bin,geometry
"1496 COMMONWEALTH AVE, BRONX, NY 10460, USA",,12.0,TEXTILES,dsny_donatenycdirectory,0,POINT(1020538.0083942413 244523.05901145935)
193 STREET,193 STREET,29.0,PUMPING STATION,dcp_colp,0,POINT(1052180.9931340218 189721.23169136047)
1571 55 STREET,55 STREET,20.0,EARLY EDUCATION PROGRAM,doe_universalprek,3130451,POINT(987225.0312342644 168117.96602725983)
306 WEST 128 STREET,WEST 128 STREET,5.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,1089940,POINT(997952.6638579369 235194.64888191223)
108-18 ROOSEVELT AVENUE,ROOSEVELT AVENUE,24.0,PRE-K CENTER,doe_universalprek,4607787,POINT(1023588.7668094635 212814.13998699188)
89-89 VAN WYCK EXPRESSWAY,VAN WYCK EXPRESSWAY,28.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,4213652,POINT(1035533.8155269623 194788.7614955902)
109-59 INWOOD STREET,INWOOD STREET,28.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,4258143,POINT(1039756.4641017914 190063.17493724823)
,,29.0,SCHOOL BUS DEPOT,doe_busroutesgarages,0,POINT(1044536.0000023842 181633.00001239777)
203-02 109 AVENUE,109 AVENUE,29.0,DOE UNIVERSAL PRE-K,doe_universalprek,4440330,POINT(1052227.6890444756 197201.56888198853)
135 WEST 50 STREET,WEST 50 STREET,2.0,PROGRAMS FOR PEOPLE WITH DISABILITIES,nysopwdd_providers,1022708,POINT(989221.9359636307 216516.49154376984)
49 FLATBUSH AVENUE EXTENSION,FLATBUSH AVENUE EXTENSION,13.0,HIGH SCHOOL - PUBLIC,doe_lcgms,3000216,POINT(988540.1319298744 193353.46444702148)
66 BOERUM PLACE,BOERUM PLACE,15.0,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,3002801,POINT(986830.8095626831 190549.7380566597)
1621 61 STREET,61 STREET,20.0,HIGH SCHOOL - NON-PUBLIC,nysed_activeinstitutions,3424514,POINT(986564.6167359352 166627.50259828568)
,,2.0,PEDESTRIAN PLAZA,dot_pedplazas,1001710,POINT(984818.3764004707 199552.6854786873)
4106 FARRAGUT ROAD,FARRAGUT ROAD,22.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,3114504,POINT(1001679.2892479897 171239.36515331268)
47 EAST 60 STREET,EAST 60 STREET,2.0,SPECIAL LIBRARIES,nysed_activeinstitutions,1040804,POINT(992600.004635334 217624.91093969345)
441 EAST 92 STREET,,2.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,1050763,POINT(999608.9361057281 223536.16376161575)
9408 FARRAGUT ROAD,FARRAGUT ROAD,18.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,3229312,POINT(1010385.5846910477 174312.62352275848)
1787 WEST FARMS ROAD,WEST FARMS ROAD,12.0,DSNY GARAGE,dsny_garages,2010955,POINT(1016780.0748004913 244001.6345667839)
75 BROAD STREET,BROAD STREET,2.0,HIGH SCHOOL - PUBLIC,doe_lcgms,1000849,POINT(981135.2821764946 196015.93404340744)
407 EAST 183 STREET,EAST 183 STREET,10.0,PLAYGROUND,dpr_parksproperties,0,POINT(1013316.9855036736 251246.79224014282)
553 WEST 51 STREET,WEST 51 STREET,2.0,THEATER,dcla_culturalinstitutions,1082282,POINT(986066.1430754662 218518.19529819489)
FRANKLIN AVE,,,820 STABIL REHAB REINTEGRATION,nysoasas_programs,0,
187-01 FOCH BOULEVARD,FOCH BOULEVARD,29.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,4268900,POINT(1049729.180718422 191205.5293393135)
2125 GLEBE AVENUE,GLEBE AVENUE,11.0,FEEDING SITE,nysed_activeinstitutions,2041406,POINT(1025520.0037412643 243572.64886188507)
2170 MCDONALD AVENUE,MCDONALD AVENUE,21.0,SCHOOL BASED CHILD CARE - PRESCHOOL,dohmh_daycare,3190443,POINT(991710.2018003464 157812.92820119858)
137 EAST 25 STREET,EAST 25 STREET,2.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,1018106,POINT(988917.5662508011 209197.5937333107)
2 DIVISION ST,,2.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,1089904,POINT(985376.0637664795 199717.1242184639)
219 EAST 67 STREET,EAST 67 STREET,2.0,CAMP - ALL AGE,dohmh_daycare,1087271,POINT(994906.8072156906 218434.9720826149)
2840 WEST 12 STREET,WEST 12 STREET,21.0,DOE UNIVERSAL PRE-K,doe_universalprek,3196558,POINT(989771.2006220818 149909.89596366882)
,,27.0,SCHOOL BUS DEPOT,doe_busroutesgarages,0,POINT(1027169.9999918938 190361.99999189377)
200 RECTOR PLACE,RECTOR PLACE,2.0,COMPOST,dsny_fooddrop,1065475,POINT(979689.8235330582 197408.83241271973)
