school_name,latitude,grade9swdapplicantsperseat10,grade9swdapplicantsperseat4,admissionspriority15,requirement1_6,admissionspriority32,seats9swd7,requirement3_5,grade9swdapplicantsperseat3,grade9gefilledflag1,pct_stu_enough_variety,requirement2_4,grade9geapplicants7,program3,bus,census_tract,grade9swdapplicantsperseat1,offer_rate7,requirement8_2,seats9ge7,attendance_rate,applicants3specialized,grade9swdapplicantsperseat9,common_audition3,grade9swdfilledflag10,common_audition1,eligibility5,requirement6_7,code8,girls,common_audition7,seats107,grade9geapplicants3,common_audition5,admissionspriority41,auditioninformation6,requirement6_3,method7,admissionspriority16,zip,eligibility1,location,grade9geapplicantsperseat5,state_code,auditioninformation3,finalgrades,method10,requirement4_7,auditioninformation5,offer_rate4,grade9gefilledflag4,seats9swd2,overview_paragraph,requirement7_3,offer_rate9,method6
"Brooklyn Academy of Global Finance, The",40.691467,,,,,,,,,N,0.6,,,,"B15, B38, B43, B46, B46-SBS, B47, B52, B54, Q24",291.0,2.0,,,,0.8,,,,,,,,,,,,,,,,,,,11221,,"125 Stuyvesant Avenue, Brooklyn NY 11221(40.691467, -73.932254)",,NY,,9 to 12,,,,,,,"BAGF will provide an environment where students are academically challenged and experience real-world application of their learning through opportunities to interact with partners in the business and financial industries. Real world career experiences include field trips, job shadowing, and internships to give students a view of the financial and business industries. Students experience college life through early college courses, college visits, and mentoring from college students. Our Mission is to prepare students for post-secondary education and to compete in the global economy through a challenging academic curriculum, including 21st Century skills such as financial and digital literacy, collaboration, and entrepreneurship.",,,
The Urban Assembly School for Emergency Management,40.711441,,,,,,,,,N,0.53,,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8",29.0,3.0,,,,0.83,,,,,,,,,,,,,,,,,,,10038,,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",,NY,,9 to 12,,,,,,,"The Urban Assembly School for Emergency Management is a public Career and Technical Education high school that prepares students to engage in complex quantitative and qualitative reasoning skills with an understanding of the principles of emergency management. UASEM graduates will be equipped with the skills necessary for entry into the emergency management field and for a college of their choice. Our students will engage with internships, collaborative simulations, student-led community training, and strong industry partnerships. We are a continuous-learning community invested in understanding our students' needs for career and college readiness and developing the personal responsibility and empowerment of our students, parents, and staff.",,,
Women's Academy of Excellence,40.81504,,,,,,,,,N,0.25,,,,"Bx22, Bx27, Bx36, Bx39, Bx5",4.0,2.0,,,,0.79,,,,,,,,,1.0,,,,,,,,,,10473,Open only to female students,"456 White Plains Road, Bronx NY 10473(40.815043, -73.85607)",,NY,,9 to 12,,,,,,,"The Women's Academy of Excellence is an all-girls public high school, serving grades 9-12. Our mission is to create a community of lifelong learners, to nurture the intellectual curiosity and creativity of young women, and to address their developmental needs. The school community cultivates dynamic, participatory learning, enabling students to achieve academic success at many levels, especially in the fields of math, science, and civic responsibility. Our scholars are exposed to a challenging curriculum that encourages them to achieve their goals while being empowered to become young women and leaders. Our Philosophy is GIRLS MATTER!",,,
A. Philip Randolph Campus High School,,,2,Priority to students who have been in a Dual Language Spanish middle school program,,,,,3,Y,0.86,Punctuality,,The Academy of Engineering,"Bx15, Bx19, Bx33, M10, M100, M101, M104, M11, M2, M3, M4, M5",21703.0,18.0,,,,0.88,,,,,,,,,,,,487,,,,,,,10031,,"443 West 135th Street, Manhattan NY 10031(40.8185, -73.949929)",4,NY,,9 to 12,,,,,N,13,"We provide students with the opportunity to take in advanced courses in medicine, engineering, and humanities. Students who distinguish themselves in their coursework have the opportunity to enroll in free college courses through The City College of New York (CUNY) and Touro Colleges, participate in special programs such as the Gateway Pre-Med Honor Society, and apply for internships. We offer a wide range of extracurricular and athletic activities to broaden and engage our students outside of the classroom. Our after-school activities range from activities such as musical and arts productions to exciting Science, Technology, Engineering, and Mathematics (STEM) activities, such as the FIRST Robotics Competition.",,,
Essex Street Academy,40.717329,,,,,,,,,Y,0.88,,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",18.0,26.0,,,,0.87,,,,,,,,,,,,,,,,,,,10002,,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",,NY,,9 to 12,,,,,,,"At Essex Street Academy, students learn to be critical, creative thinkers in a diverse and supportive school community. Graduates demonstrate mastery of skills and content in each discipline by completing in-depth, inquiry-based projects. Through small classes and advisories, teachers get to know their students as individuals while nurturing their intellectual curiosity and emotional development. Students are encouraged to explore opportunities outside the classroom through partnerships with local universities, professional internships, international study, and outdoor leadership programs; and to become active members of their community both inside and outside of school.",,,
Renaissance High School for Musical Theater & Technology,40.839775,,,,,,,,,Y,0.85,,,,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",194.0,7.0,,,,0.83,,,,,,,,,,,,,,Then to New York City residents,,,,,10461,,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",,NY,,9 to 12,,,,,,,"Our small school's familial atmosphere gives students the support and guidance necessary for success both in high school and as they plan for college and/or careers. Teachers and staff use a variety of resources and technology to address the varied learning needs of the student population to ensure that they have access to rigorous and engaging curriculum. In addition, students have access to AP classes, the Advancement Via Individual Determination (AVID) program, student council, club activities (including Musical Theater, Dance, and Drama), and CUNY College Now at Lehman College program for enrollment in college-level courses.",,,
Hillside Arts & Letters Academy,40.714551,,,,,,,,,Y,0.84,,,,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68",452.0,7.0,,,,0.86,,,,,,,,,,,,,,,,,,,11432,,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",,NY,,9 to 12,,,,,,,"The mission of Hillside Arts & Letters Academy is to offer students a challenging curriculum with a special emphasis on visual arts, music, and writing. Students at our school become self-directed and resourceful learners with a deep appreciation for the arts. We prepare students to graduate as independent thinkers who are academically well-rounded, creative, and especially well-prepared to innovate and collaborate. Our school ensures student success by providing support through advisory classes, youth development programs, and a deep commitment to our students.",,,
Brooklyn Technical High School,40.688896,,,,,,,,,,0.94,,,,"B103, B25, B26, B37, B38, B41, B45, B52, B54, B62, B63, B65, B67, B69",33.0,,,,,0.97,,,,,,,,,,,,,,,,,,,11217,,"29 Ft Greene Place, Brooklyn NY 11217(40.688896, -73.976435)",,NY,,9 to 12,,,,,,, as well as the opportunity to participate in the largest Advanced Placement program in the world!,,,
Hudson High School of Learning Technologies,40.7434,,,,,,,,,Y,0.79,,,,"M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28",89.0,13.0,,,,0.82,,,,,,,,,,,,,,Then to New York City residents,,,,,10011,,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",,NY,,9 to 12,,,,,,,"Hudson High School of Learning Technologies is an Institute for Student Achievement (ISA) partnership school. We create an academically rigorous and personalized learning environment that provides all students with college access, prepares all students to be college ready, and creates opportunities for all students to develop 21st Century skills. The mission of Hudson High School of Learning Technologies is to promote and develop the art of questioning so that our students are confident self-directed learners who are able to understand the world, appreciate multiple perspectives, take action as community activists, and become empowered personal advocates.",,,
Pathways in Technology Early College High School (P-TECH),40.675905,,,,,,,,,Y,0.89,,,,"B15, B25, B26, B43, B44, B45, B46, B65",311.0,10.0,,,,0.93,,,,,,,,,,,,,,Then to New York City residents,,,,,11213,,"150 Albany Avenue, Brooklyn NY 11213(40.675905, -73.939282)",,NY,,9 to 14,,,,,,,"At Pathways in Technology Early College High School (P-TECH), students drawn to future careers in information technology (IT), computers, engineering, math, and science receive individualized support in preparing for and securing an entry-level position in the highly competitive IT industry. As a founding partner of the school, IBM (and other corporations) will provide all students with internship and training opportunities, exposing them to real-world technology careers. In addition, P-TECH students are able to earn an Associate degree or up to two years of college credit from CUNY's New York City College of Technology-at no cost-while still in high school.",,,
Belmont Preparatory High School,40.859466,,,,,,,,,Y,0.79,,,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",387.0,7.0,,,,0.9,,,,,,,,,,,,,,,,,,,10458,,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",,NY,,9 to 12,,,,,,,"Belmont Preparatory High School was founded in 2002 for academically talented students. The curriculum is based in the humanities and uses an interdisciplinary approach to challenge our scholars in all subjects so that they are college and career-ready upon graduation. We have incorporated numerous activities and programs geared towards achieving these goals including: Six AP courses, College Now college courses, full-time college advisor (CBI), SAT Prep for juniors and seniors; Partnerships with Fordham University, the opportunity to visit almost 100 elite colleges and universities, PSAL athletics, and extensive student activities; International and Domestic Educational Excursions, and National Honor Society.",,,
Mott Hall V,40.832508,,,,,,,,,Y,0.83,,,,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44-SBS",56.0,17.0,,,,0.89,,,,,,,,,,,,,,Then to Bronx students or residents,,,,,10472,,"1551 East 172nd Street, Bronx NY 10472(40.832508, -73.878191)",,NY,,6 to 12,,,,,,,"Mott Hall V is a science-, math-, and technology-based school dedicated to the academic and personal development of students who will become tomorrow's leaders. Students are challenged to question, anticipate, solve problems, assume personal responsibility, and emerge as enthusiastic, lifelong learners. We provide a structured environment for grades 6-12 that includes a nurturing staff, a strong sense of family and community, and substantial support for students' academic and personal growth.",,,
Crotona Academy High School,40.829306,,,,,,,,,N/A - transfer school,,,,,"Bx11, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5",125.0,1.0,,,,0.53,,,,,,,,,,,,,,,,,,,10459,For Current 8th Grade Students - Open only to students who are at least 16 years of age and entering high school for the first time. For Other Students - Open only to students who are at least 16 years of age and have attended another high school for at least one year.,"1211 Southern Boulevard, Bronx NY 10459(40.829306, -73.892243)",,NY,,"School is structured on credit needs, not grade level",,,,,,,"Crotona Academy High School offers a personalized, academically rigorous learning environment in small-class settings for students who find themselves off of traditional timelines toward high school graduation. In partnership with South Bronx Overall Economic Development Corporation (SoBRO), Crotona Academy High School is a school that promotes higher academic expectations with intensive math and literacy remediation for every student. Crotona Academy charts a new path to success with focused programs including engaging traditional, online course, and blended options; paid internship opportunities, academic intervention, and social emotional counseling services. Students are expected to meet high academic standards and complete New York City high school graduation requirements.",,,
High School for Community Leadership,40.714551,,,,,,,,,N,0.89,,,,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68",452.0,5.0,,,,0.81,,,,,,,,,,,,,,Then to New York City residents,,,,,11432,,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",,NY,,9 to 12,,,,,,,High School for Community Leadership (HSCL) encourages the development of well-rounded individuals who are prepared for university success and capable of exercising leadership in the global community.,,,
Automotive High School,40.721448,,,,,,,,5,N,0.75,,,Academy of Software Engineering,"B32, B43, B48, B62",517.0,6.0,,,,0.8,,,,,,,,,,,,524,,,,,,,11222,,"50 Bedford Avenue, Brooklyn NY 11222(40.721448, -73.953328)",,NY,,9 to 12,,,,,,5,"This school is more than just automotive repair and technology. We have evolved to develop future leaders to meet academic and workforce challenges of the 21st century in Visual Arts, Software Engineering, Automotive Design, and Technology. Students receive personalized guidance and support in small classes. All students are offered the courses needed for the Advanced Regents Diploma and can earn college credits through CUNY College Now and Advanced Placement. Here, students learn 'grit', responsibility, creativity, and leadership skills. We empower them to create and follow the academic and social paths that will lead to success.",,,
Herbert H. Lehman High School,40.839775,,,,,,,,N/A - zoned program,Y,0.78,,,Zoned,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",194.0,9.0,,,,0.8,,,,,,,,,,,,N/A - zoned program,,,,,,,10461,Open only to Bronx students or residents,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",,NY,,9 to 12,,,,,,13,"Lehman High School offers the curricular diversity of a large comprehensive high school, but also offers the social and emotional support common to smaller schools. Students are offered choices throughout the curriculum, which allow them to specialize after ninth grade in a wide variety of subjects, including Computer Science, Information Technology, Arts & Music, and Law. Honors Students can join the Anne Hutchinson Program, which provides for accelerated and enriched coursework and opportunities for AP and Dual Enrollment classes. Students also have access to a full range of campus activities, including 29 PSAL Sports Teams.",,,
Urban Assembly Maker Academy,40.711441,,,,,,,,,N,0.8,,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8",29.0,7.0,,,,0.88,,,,,,,,,,,,,,Then to New York City residents,,,,,10038,,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",,NY,,9 to 12,,,,,,,"UA Maker prepares students to find and solve challenges and create positive change. You will take risks and develop resilience to tackle new ideas with excitement and creativity. Our school uses design thinking and mastery-based grading to support all students for college and career success. As a student at UA Maker, you will explore the design industry through both academic programs and work-based internships. You will use a laptop to support your studies in school and at home as you develop the technology skills essential to a 21st century world. Your classes will challenge you to explore new ideas and technologies. UA Maker is a community of learners dedicated to growth mindset, self-awareness, and mastery.",,,
Vanguard High School,40.765638,,,,,,,,,Y,0.88,,,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",118.0,14.0,,,,0.89,,,,,,,,,,,,,,,,,,,10065,,"317 East 67th Street, Manhattan NY 10065(40.765638, -73.959777)",,NY,,9 to 12,,,,,,,"Vanguard High School offers a challenging college preparatory program in a close-knit and nurturing environment. Access to technology, arts, extracurricular activities, and travel opportunities through our partnerships enable our students to develop as analytical, articulate, and reflective citizens who care about and engage with the world around them to make positive change. We support our students in pursuing internships and connect them to mentors, opportunities, and programs and start yearly college exploration in ninth grade. At Vanguard, you will develop your own perspective, connect with a diverse group of peers, and express yourself in a safe and welcoming environment where you are known and cared about and your voice is valued.",,,
"High School for Law, Advocacy and Community Justice",40.774891,,,,,,,,,Y,0.61,,,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",151.0,6.0,,,,0.84,,,,,,,,,,,,,,,,,,,10023,,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",,NY,,9 to 12,,,,,,,"Our mission is to create a climate that promotes excellence in learning. Our students develop into intelligent, critical thinkers who are supportive members of their communities. We accomplish this through collaboration and a personal learning atmosphere. Our culture celebrates success with high expectations for students as well as adults. The students will be immersed in the study, inquiry, and advocacy of law, with required involvement in community service, thus enabling them to realize their individual potential throughout the greater community. Our hope is that students will view themselves as pioneers of the new millennium, and we expect them to be counted among the great success stories of tomorrow.",,,
Pace High School,40.716231,,,,,,,,,Y,0.83,,,,"B39, BxM18, M103, M14A, M15, M15-SBS, M22, M5, M9, X1, X10, X12, X17, X27, X28",16.0,20.0,,,,0.91,,,,,,,,,,,,,,,,,,,10002,,"100 Hester Street, Manhattan NY 10002(40.716231, -73.993607)",,NY,,9 to 12,,,,,,,"PACE High School creates a college-oriented, student-centered environment with high expectations for every student. Students create a resume of quality educational experiences that will prepare them for success in college and beyond. Students are known well through our advisory program and are appreciated for their unique talents and contributions to our learning community. Our curriculum and practices are tailored to the individual needs of our students, enabling them to reach their ambitious goals. Working in close collaboration with Pace University, our school shares the extensive resources of the university, with access to classes, libraries, computer labs, and recreational facilities.",,,
Frederick Douglass Academy VII High School,40.665568,,,,,,,,,N,0.79,,,,"B12, B14, B15, B60, B7",924.0,2.0,,,,0.81,,,,,,,,,,,,,,Then to New York City residents,,,,,11212,,"226 Bristol Street, Brooklyn NY 11212(40.665568, -73.912102)",,NY,,9 to 12,,,,,,,"Founded in 2004 and inspired by the life of Frederick Douglass, Frederick Douglass Academy VII (FDA VII) is located in the Brownsville area and built on Dr. Lorraine Monroe's vision of academic and personal excellence for all students. The school mission involves the creation of a collaborative work environment which nurtures intellectual diversity, prepares scholars to attend an institution of higher learning, and to become active citizens in their larger communities. FDA VII is accredited by the New York State Board of Regents and chartered by the National Honor Society.",,,
East-West School of International Studies,40.74943,,,,,,,,,Y,0.7,,,,"Q17, Q20A, Q20B, Q25, Q27, Q34, Q44-SBS, Q65",845.0,1.0,,,,0.9,,,,,,,,,,,,,,,,,,,11355,,"46-21 Colden Street, Flushing NY 11355(40.74943, -73.821402)",,NY,,6 to 12,,,,,,N/A - continuing program,"We are a small, inclusive school guided by 4 pillars: Honor, Excellence, Curiosity, and Celebration. 98% of our students go to college. Students engage in a college-bound academic program of Regents, AP, College Now courses, and study Chinese, Korean, or Japanese. We offer a robust after-school club culture supported by our student government. We encourage acts of kindness through Rachel's Challenge, an anti-bullying program. Our Parent Coordinator keeps parents informed through biweekly postcards, a newsletter, and First Fridays. Grades and progress reports are available online. Seniors attend college prep classes. Our NEST program provides significant individual support for students with autism.",,,
High School for Excellence and Innovation,40.865556,,,,,,,,,N/A - transfer school,0.88,,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4",291.0,1.0,,,,0.68,,,,,,,,,,,,,,,,,,,10034,Open only to 15 and 16 year old New York City residents entering high school for the first time. Students must have a record of being held back two times in elementary and/or middle school and students must attend an Open House and personalized intake meeting.,"650 Academy Street, Manhattan NY 10034(40.865556, -73.925464)",,NY,,9 to 12,,,,,,,"At the High School for Excellence and Innovation, we empower our students by providing an abundance of opportunities for them to exercise student voice and choice during their high school experience. By building students' capacity to fully participate as community members of their school, we help them become agents of change who positively affect their homes, communities, and the world. Our belief is that regardless of previous challenges, every student can earn a high school diploma and be prepared to transition to post-secondary training or college to embark on their 21st century career paths.",,,
George Westinghouse Career and Technical Education High School,40.695444,,9,Open to New York City residents,,,,Course Grades: Average (64-100),6,N,0.77,Punctuality,,Electrical Installation and Practice,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",13.0,14.0,,,,0.87,,,,,,,,,,,,187,,,,,,,11201,,"105 Tech Place, Brooklyn NY 11201(40.695444, -73.986105)",6,NY,,9 to 12,,,,,Y,10,"All students will graduate on time with viable college and career options. Our community uses positive reinforcement for academic excellence, attendance, and effort to meet this goal. Our college and industry partnerships provide our students with opportunities to earn industry certifications and college credits. We are proud to be the only CTE school in the Brooklyn STEAM Center. Students may apply to Computer Information Systems and Repair, Culinary, Electrical Installation and Practice, Multimedia Internet Technology, and the Brooklyn STEAM Center. Upon completion of a three-year course of study, they are eligible to receive a New York State Career and Technical Education (CTE) Endorsement in our approved CTE programs.",,,
Information Technology High School,40.748502,,,,,,,,,Y,0.73,,,,"B32, B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69, X63, X64, X68",19.0,10.0,,,,0.91,,,,,,,,,,,,,,,,,,,11101,Open only to Queens students or residents,"21-16 44th Road, Long Island City NY 11101(40.748502, -73.946488)",,NY,,9 to 12,,,,,,,Information Technology High School (ITHS) is a state-of-the-art high school dedicated to preparing students to meet the demands of the 21st century. Technology is our chief focus and is offered as a specialty area of learning. Our goal is to ensure that all our graduates will be college-ready with the skills necessary to succeed in tomorrow's world of work.,,,
"Facing History School, The",,,,,,,,,,N,0.88,,,,"M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42",135.0,5.0,,,,0.82,,,,,,,,,,,,,,Then to District 3 students or residents,,,,,10019,,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",,NY,,9 to 12,,,,,,,"Our school graduates lifelong learners who are leaders in their communities. We are a small school with teachers who care deeply for our students and work their hardest to nurture them for the opportunities that await them after graduation. We prepare our students academically, socially, and emotionally through project based learning, art integration with studio classes, a College 101 course, and a four-year advisory program. We foster a college-going culture and provide a great deal of support to our students for college and career readiness. In choosing FHS, you are choosing to join a dynamic learning community, to think deeply about yesterday, today, and tomorrow, and to envision how to make a positive difference in the world.",,,
Brooklyn Theatre Arts High School,40.634451,,,,,,,,,N,0.69,,,,"B103, B47, B6, B82, BM1, BM2",950.0,6.0,,,,0.82,,,,,,,,,,,,,,,,,,,11236,,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",,NY,,9 to 12,,,,,,,"Brooklyn Theatre Arts High School (BTA) is a cohesive, vibrant learning community dedicated to college & career readiness and the development of young people with integrity, a strong sense of identity, and an awareness of the world and their place in it. BTA graduates demonstrate our core values of Benevolence, Trust, Attitude, Honesty, and Scholarship. They leave our school independent, confident, and well-prepared.",,,
Khalil Gibran International Academy,40.686147,,,,,,,,,N,0.65,,,,"B103, B25, B26, B37, B38, B41, B45, B52, B54, B63, B65, B67",39.0,4.0,,,,0.87,,,,,,,,,,,,,,Then to New York City residents,,,,,11217,,"362 Schermerhorn Street, Brooklyn NY 11217(40.686147, -73.979829)",,NY,,9 to 12,,,,,,,"Khalil Gibran International Academy (KGIA) is an International Baccalaureate (IB) school that offers students the opportunity to study the Arabic and French languages, and explore careers that require bilingual and multicultural skills such as international business, diplomacy, linguistics, journalism, and other related fields. In developing these skills, students will be well-prepared for college, careers, and positions as civic leaders in their community. Our students graduate with an understanding of different cultural perspectives, a love of learning, and a desire for excellence. We are committed to providing a challenging education where students can reach their full potential and become effective leaders in the world.",,,
High School for Environmental Studies,40.76784,,,,,,,,,Y,0.8,,,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M50, M57, M66, M7, X1, X12, X14, X30, X42, X7, X9",139.0,7.0,,,,0.88,,,,,,,,,,,,,,,,,,,10019,,"444 West 56th Street, Manhattan NY 10019(40.767848, -73.98861)",,NY,,9 to 12,,,,,,3,"Our mission is to provide a unique and challenging curriculum so that our students achieve high standards of excellence. We provide applied learning experiences and hands-on programs that focus on the environment. It is the further mission of our school for families, students, administration, and staff to collaborate to identify issues, define goals, formulate policies, and implement activities. Our Environmental Seminar provides all ninth graders with individualized attention and helps students to develop their skills in an environment that fosters risk-taking and independent growth. Everyone in the HSES community is committed to excel, as all learners are challenged, motivated, and provided with an open avenue of communication.",,,
New Design High School,40.717329,,,,,,,,,Y,0.72,,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",18.0,15.0,,,,0.86,,,,,,,,,,,,,,,,,,,10002,,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",,NY,,9 to 12,,,,,,,"New Design High School (NDHS) was founded with an innovative spirit and the task of providing our students with an academically vigorous environment that is also focused on students' social and emotional development. The school's academic program, design classes, and Design for Life program are focused on empowering students with the skills, tools, and capacities to be successful in their college, career, and happiness pursuits. We exist to create passionate and purposeful students who thrive in all aspects of their lives.",,,
Young Women's Leadership School of the Bronx (TYWLS),40.848552,,,,,,,,,Y,0.81,,,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",23301.0,6.0,,,,0.93,,,,,,,,,1.0,,,,,,,,,,10453,Open only to female students,"1865 Morris Avenue, Bronx NY 10453(40.848552, -73.909022)",,NY,,6 to 12,,,,,,,"Our school community consists of confident and compassionate young women. We specialize in mathematics, science, and technology. Personal and academic growth is supported in a strong advisory program. We focus on female adolescent development, positive self-image, effective communication, leadership development, and college awareness. Learning is dynamic and our small class sizes enable students to experience great success on many levels. The educational experience is enhanced only through strong partnerships with The Young Women's Network, College Bound Initiative, and College Now with Lehman College. With their support, we are able to replicate the best practices of a private and independent girl's school and provide a quality education.",,,
M.S. 223 The Laboratory School of Finance and Technology,40.813612,,,,,Then to New York City residents who signed in at a fair or at an information session,,,,Y,0.83,,,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",43.0,45.0,,,,0.92,,,,,,,,,,,,,,,,,,,10454,Open only to heritage Spanish speakers and students who attended Transitional Bilingual Education or Dual Language middle school programs.,"360 East 145th Street, Bronx NY 10454(40.813612, -73.920851)",,NY,,6 to 12,,,,,,16,"Our school sets a high academic bar that challenges students to expand their personal and academic visions of themselves. Through partnerships with outside organizations students learn by connecting with professionals. Students pick an academic focus in either finance, technology, or language studies. We have a one-to-one Chromebook program, enabling all students to access technology in the classroom and at home. As a Consortium school, all courses place emphasis on research and writing, culminating in Performance Based Assessment Tasks. In addition, through a partnership with Blue Engine, all students receive individualized support in their ninth and tenth grade English and Math courses.",,,
Excelsior Preparatory High School,40.66903,,,,,,,,,N,0.76,,,,"Q3, Q77, Q85",330.0,4.0,,,,0.9,,,,,,,,,,,,,,Then to New York City residents,,,,,11413,,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",,NY,,9 to 12,,,,,,,"Excelsior Preparatory High School, a collaborative college preparatory learning community, offers a challenging academic and multicultural program. We are a small high school that was created in partnership with the Institute for Student Achievement (ISA). All students are expected to take four years of math, English, and science in order to be college-ready. We are one of the few small schools affiliated with the Gateway Institute for Pre-College Education program. We pride ourselves on being a diverse school community.",,,
Maspeth High School,40.729104,,,,,,,,,Y,0.92,,,,"Q18, Q38, Q47, Q58, Q59, Q67, QM24, QM25, QM34",49302.0,9.0,,,,0.93,,,,,,,,,,,,,,,,,,,11373,,"54-40 74th Street, Elmhurst NY 11373(40.729104, -73.887909)",,NY,,9 to 12,,,,,,,"Maspeth High School was founded in September 2011. We operate under the classical philosophy that all knowledge is interrelated. We expect all of our students to graduate with an Arts Endorsed, Advanced Regents Diploma in four years and attend top four-year colleges and universities. A graduate of Maspeth High School will have taken four years of Classical Language, Latin or Mandarin, and be fully prepared for college, career, and productive citizenship.",,,
"Brooklyn Latin School, The",40.709765,,,,,,,,,,0.78,,,,"B24, B43, B46, B48, B60, Q54, Q59, S54, S57, S61, X10, X10B, X11",505.0,,,,,0.94,,,,,,,,,,,,,,,,,,,11206,,"223 Graham Avenue, Brooklyn NY 11206(40.709765, -73.944463)",,NY,,9 to 12,,,,,,,"Modeled after the prestigious Boston Latin school and founded in 2006, The Brooklyn Latin School provides a liberal arts curriculum with an emphasis on the Classics and Latin language instruction. Early instruction emphasizes the acquisition of core knowledge of the key academic disciplines which students use as a foundation for deeper exploration in the upper grades. Widely regarded around the world as the most rigorous and comprehensive course of study at the high school level, the International Baccalaureate (IB) Programme is integral to our curriculum. In all classes, students experience a strong and consistent emphasis on analytical thinking, structured writing, and public speaking, preparing them for the challenges of college work.",,,
Claremont International High School,40.839307,,,,,,,,,Y,0.9,,,,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4",225.0,2.0,,,,0.88,,,,,,,,,,,,,,,,,,,10457,"Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R","240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",,NY,,9 to 12,,,,,,,"The mission of Claremont International High School is to build upon the diverse linguistic and cultural backgrounds of English Language Learners (ELLs) in New York City to create an academically stimulating and nurturing learning community that prepares students for success in college and beyond. Our students cultivate intellectual curiosity, advance critical-thinking skills, and develop empathy as global citizens through the integration of language and the arts in all classes. Students complete an internship during their junior year and have the opportunity to participate in CUNY College Now courses.",,,
