geocoded_column,:@computed_region_efsh_h5xi,primary_fur_color,hectare_squirrel_number,other_interactions,climbing,moans,quaas,shift,:@computed_region_f5dn_yrer
"{'type': 'Point', 'coordinates': [-73.9761209945419, 40.7682404528903]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9616204569548, 40.7926188605509]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9556817958407, 40.788852000621]}",,Gray,2,watching me from tree - curious,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9613862251332, 40.791282169715]}",,Gray,3,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9691031094688, 40.7706693835189]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9638270331336, 40.7810450065235]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9695041366722, 40.7797878809482]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.97331176635412, 40.7694584620114]}",,Cinnamon,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9699675160516, 40.7773012642758]}",,Gray,7,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9767016963397, 40.7674012784541]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9731113265165, 40.7786640676355]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9675472064204, 40.7835947167436]}",,Cinnamon,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9742804552383, 40.7707167671865]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.970475755546, 40.7763348062134]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9733966282316, 40.7717179627127]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9602166876979, 40.7953811003986]}",,Black,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9801007327506, 40.7677455633932]}",,Cinnamon,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9542990150586, 40.7940915300678]}",,Cinnamon,9,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9603031059614, 40.7943667735668]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9701481200298, 40.7751110354034]}",,Cinnamon,6,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9697196619878, 40.7814068507607]}",,Gray,1,indifferent then runs from,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9655734633649, 40.7805366922231]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9702676472613, 40.7762126854894]}",,Gray,5,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9566751022336, 40.799035789744]}",,Gray,4,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9730750601212, 40.7701304211944]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9758579666874, 40.7679326548845]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9559677963727, 40.7951124076946]}",,Gray,7,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9565905868276, 40.7895654068546]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9768357173861, 40.7683813358343]}",,Cinnamon,12,,False,False,True,PM,19
"{'type': 'Point', 'coordinates': [-73.95700862122851, 40.7946679755816]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9573469787503, 40.7944044592573]}",,Gray,3,indifferent (moving very fast),False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9597205966324, 40.7969409510133]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9770948563006, 40.7724063459185]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9520592496349, 40.7975076299811]}",,Cinnamon,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9683041099256, 40.7862652300082]}",,Gray,1,freezes,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9710991123992, 40.7723889726647]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9649632550828, 40.7809187761995]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.969847380865, 40.7769884612305]}",,Gray,5,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9565759733611, 40.7992461674802]}",,,2,,False,False,True,AM,19
"{'type': 'Point', 'coordinates': [-73.9684254196866, 40.77809016436]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9620597449066, 40.7922465876813]}",,Gray,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9649827807341, 40.7817322832767]}",,Cinnamon,6,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9735946835545, 40.7724155751282]}",,Gray,1,eating food being thrown at it by a mom & baby,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9735489537928, 40.7681257911523]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9622030085794, 40.7917723228749]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9770273553525, 40.7732399463626]}",,,3,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9540908513075, 40.794201225045]}",,Cinnamon,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9576559099012, 40.7992598626483]}",,Gray,9,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9786481009499, 40.7697372811949]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9708798496132, 40.7761532088521]}",,Gray,6,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9757215415855, 40.7668205976986]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9694288806212, 40.7842952265291]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9696360756453, 40.7786545659072]}",,Gray,3,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.971322876671, 40.7714145086361]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9658443548822, 40.7796704898979]}",,Cinnamon,3,scared,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9580785600617, 40.7957981310897]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9688470831269, 40.7844651946415]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9659010238417, 40.779168366621505]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9672054610151, 40.7876519923501]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9746133058077, 40.776064655410906]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9553726714504, 40.7987578541123]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9591957793992, 40.7949568873453]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.954595058342, 40.7956567934304]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9511118711108, 40.7950813345902]}",,Cinnamon,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9801661903932, 40.7697950141751]}",,Cinnamon,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9683312453011, 40.7801661685712]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9703401385684, 40.7795238784266]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9786339295735, 40.7684918638639]}",,Cinnamon,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9785675798034, 40.7672992405289]}",,Cinnamon,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9714057327159, 40.7720375135272]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9690968160819, 40.769923269444]}",,Gray,8,not backing down,False,False,True,AM,19
"{'type': 'Point', 'coordinates': [-73.9502466289084, 40.7959228779883]}",,Gray,2,runs off,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9731498064872, 40.7659963196581]}",,Gray,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9789126088606, 40.7685079149692]}",,Gray,8,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9654093844049, 40.7806896368469]}",,Cinnamon,9,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9625416200877, 40.78113023979121]}",,Cinnamon,2,,True,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9790214253443, 40.7686791169776]}",,Gray,10,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9700148248402, 40.7787780193358]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9720907384613, 40.7762987836055]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9809610117171, 40.7683896665502]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9767455430709, 40.7717866237826]}",,Gray,6,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9679291347956, 40.7846973096665]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.960300330029, 40.7953475871869]}",,Gray,3,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9712318712643, 40.7773053099657]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9565686300382, 40.797592846003]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9573724133264, 40.7980080911115]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9568802149818, 40.7972399133816]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.967895656898, 40.7767409597341]}",,Gray,7,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9641971813967, 40.7813537959435]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9772396728545, 40.7668696411765]}",,Gray,2,totally indifferent,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.970465600402, 40.7701125773248]}",,Gray,5,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9690175838534, 40.7760432720017]}",,Gray,5,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9760256477558, 40.7703573131398]}",,Gray,2,,True,False,False,AM,19
