novdescription,certifieddate,novid,latitude,nta,highhousenumber,bin,councildistrict,class,ordernumber,lot,originalcertifybydate,boro,currentstatusid,registrationid,novtype,streetcode
"§ 27-2046.1, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT LOCATED AT APT 7, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",,4715515.0,40.850339,Tremont,2105,2011853.0,15.0,B,1502,15,2013-12-16T00:00:00.000,BRONX,19,202015,Original,51720
"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF GARBAGE RECEPTACLE BEING STORED ON FLOOR AT PUBLIC HALL, 1st STORY",,4708555.0,40.843799,Mount Eden-Claremont (West),1685,2007354.0,15.0,B,510,54,2013-12-04T00:00:00.000,BRONX,19,214955,Original,69220
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR , CEILING, EAST WALL, SOUTH WALL, WEST WALL IN THE KITCHEN LOCATED AT APT 2, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST",,4736470.0,40.663067,East New York-New Lots,575,3085038.0,42.0,B,508,51,2014-01-23T00:00:00.000,BROOKLYN,19,335352,Original,76430
"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING LOCATED AT APT 2, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",,5009011.0,40.888178,Eastchester-Edenwald-Baychester,3817,2066434.0,12.0,B,1503,42,2015-03-27T00:00:00.000,BRONX,19,711201,Original,25320
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 1C, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2015-04-27T00:00:00.000,4740717.0,40.673239,Brownsville,251,3083403.0,37.0,B,702,7,2014-01-30T00:00:00.000,BROOKLYN,22,302630,Original,82230
"§ 27-2005 ADMIN. CODE: REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN UNIFORM COLOR THE NORTH WALL IN THE 4th ROOM FROM NORTH LOCATED AT APT 1, 1st STORY",,4742021.0,40.63681,Port Richmond,77,5025418.0,49.0,B,808,14,2014-02-03T00:00:00.000,STATEN ISLAND,2,0,Original,31840
§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF GARBAGE BEING STORED BELOW DROPLADDER OF FIRE ESCAPE AT THE REAR OF THE FRONT BUILDING,,6643183.0,,,22 FRONT,,,B,510,15,2019-12-11T00:00:00.000,BROOKLYN,19,306067,Original,80930
"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE MORTISE LOCK IN THE ENTRANCE LOCATED AT APT C19G, 19th STORY",2014-06-05T00:00:00.000,4845032.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,C,505,9005,2014-06-05T00:00:00.000,MANHATTAN,19,143318,Original,13610
"§ 27-2005 ADM CODE REFIT ENTRANCE DOOR IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",,5652958.0,40.829146,Soundview-Bruckner-Bronx River,1214,2025108.0,17.0,A,529,12,2017-04-23T00:00:00.000,BRONX,19,215886,Reissued,77050
"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE LOWER SASH GLASS IN THE KITCHEN LOCATED AT APT 1D, 4th STORY, 2nd APARTMENT FROM SOUTH AT WEST",,4720300.0,40.855606,Belmont,2366,2011656.0,15.0,C,505,12,2013-11-20T00:00:00.000,BRONX,19,202094,Original,46920
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR MISSING LOCATED AT APT 32, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",,4722047.0,40.829536,Concourse-Concourse Village,1076,2002229.0,16.0,B,702,54,2013-12-31T00:00:00.000,BRONX,19,210186,Original,32820
"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING. AT PUBLIC HALL, 1st STORY",,4765743.0,40.853353,Belmont,2350,2012868.0,15.0,A,1501,26,2014-05-16T00:00:00.000,BRONX,19,208142,Original,12020
"§ 27-2026 ADM CODE REMOVE ALL OBSTRUCTIONS AND REPAIR ALL DEFECTS IN DRAIN PIPE UNDER SINK IN THE KITCHEN LOCATED AT APT 4C, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",,4971809.0,40.846921,Mount Hope,1812,2009359.0,14.0,B,649,59,2015-02-10T00:00:00.000,BRONX,19,205445,Original,20020
"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... CELING IN THE BATHROOM LOCATED AT APT D31H, 31st STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-06-18T00:00:00.000,4850661.0,40.819549,Manhattanville-West Harlem,3333D,1085768.0,7.0,B,550,9005,2014-07-22T00:00:00.000,MANHATTAN,9,139245,Original,13610
"§ 27-2026 ADM CODE REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT BATHTUB IN THE BATHROOM LOCATED AT APT D14G, 14th STORY, 4th APARTMENT FROM WEST AT NORTH",,4844074.0,40.819549,Manhattanville-West Harlem,3333D,1085768.0,7.0,B,579,9005,2014-07-10T00:00:00.000,MANHATTAN,19,139245,Original,13610
"§ 27-2005, 2007 ADM CODE AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES AT SECOND AND THIRD STORY FIRE ESCAPE BALCONIES AT NORTH",2014-05-14T00:00:00.000,4825338.0,40.69941,Bedford-Stuyvesant (East),308,3042834.0,36.0,B,539,21,2014-06-12T00:00:00.000,BROOKLYN,19,313619,Original,38830
"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) BASEBOARD AT WEST WALL IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 16, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",,4896881.0,40.862634,University Heights (North)-Fordham,2567,2016320.0,15.0,C,616,46,2014-09-20T00:00:00.000,BRONX,19,200072,Original,23920
"§ 27-2073 ADM CODE - PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES NO GAS AT GAS RANGE IN THE KITCHEN LOCATED AT APT 2, 2nd STORY",,4773489.0,40.642853,Flatbush (West)-Ditmas Park-Parkville,318,3118420.0,40.0,C,1042,28,2014-02-17T00:00:00.000,BROOKLYN,19,820766,Original,35530
"§ 27-2005 ADMIN. CODE: REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN UNIFORM COLOR AT NORTH WALL IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 2, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",,5009011.0,40.888178,Eastchester-Edenwald-Baychester,3817,2066434.0,12.0,B,808,42,2015-03-27T00:00:00.000,BRONX,19,711201,Original,25320
"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE METAL LINTELS OVER WINDOWS (TOTAL 2) AT EAST FACADE, , 3rd STORY",,4905118.0,40.663067,East New York-New Lots,575,3085038.0,42.0,C,505,51,2014-09-11T00:00:00.000,BROOKLYN,19,335352,Original,76430
"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE BATHROOM LOCATED AT APT C23E, 23rd STORY",2014-07-03T00:00:00.000,4848626.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,B,583,9005,2014-07-18T00:00:00.000,MANHATTAN,9,143318,Original,13610
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR INOPERABLE LOCATED AT APT 25K, 25th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2015-04-13T00:00:00.000,5096723.0,40.593572,Far Rockaway-Bayswater,120,4436179.0,31.0,B,702,1,2015-06-01T00:00:00.000,QUEENS,19,421091,Original,30190
"§27-2107 ADM CODE OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE §27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,,40.688383,Bedford-Stuyvesant (East),556,3044466.0,36.0,I,780,10,,BROOKLYN,9,338603,,73050
"§ 27-2031 ADMIN. CODE: PROVIDE HOT WATER AT ALL HOT WATER FIXTURES KITCHEN AND BATHROOM, APT. 1, REAR BUILDING.",,3441252.0,,,22 FRONT,,,C,970,15,2008-08-31T00:00:00.000,BROOKLYN,19,306067,Reissued,80930
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE 3rd PRIVATE HALLWAY FROM NORTH LOCATED AT APT 4J, 3rd STORY, 7th APARTMENT FROM WEST AT NORTH",,4867211.0,40.829864,Hamilton Heights-Sugar Hill,722,1062442.0,7.0,B,508,17,2014-08-19T00:00:00.000,MANHATTAN,19,111978,Original,29690
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING AND ALL WALLS IN THE ENTIRE APARTMENT LOCATED AT APT C27F, 27th STORY",2014-02-10T00:00:00.000,4737284.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,A,556,9005,2014-03-25T00:00:00.000,MANHATTAN,9,143318,Original,13610
"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE PEEP HOLE DEFECTIVE IN THE ENTRANCE LOCATED AT APT A8H, 8th STORY",2014-03-07T00:00:00.000,4775845.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,A,501,9005,2014-05-27T00:00:00.000,MANHATTAN,9,143318,Original,13610
"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF SCALDING HOT WATER IN THE KITCHEN LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",,4963968.0,40.627801,Tompkinsville-Stapleton-Clifton-Fox Hills,101,5013685.0,49.0,C,510,70,2014-12-22T00:00:00.000,STATEN ISLAND,19,0,Original,56450
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE BATHROOM , THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2015-04-22T00:00:00.000,5072596.0,40.846921,Mount Hope,1812,2009359.0,14.0,A,556,59,2015-07-03T00:00:00.000,BRONX,9,205445,Original,20020
"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 3; WG TO REPLACE = 0; WG TO REPAIR = 0; LOCATED AT APT C061, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",,4839072.0,40.693415,Brooklyn Heights,8,3341540.0,33.0,C,790,17,2014-06-17T00:00:00.000,BROOKLYN,19,372674,Original,28390
"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE GLASS UPPER SASH EAST 1 WINDOW IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 4C, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",2014-12-31T00:00:00.000,4971810.0,40.846921,Mount Hope,1812,2009359.0,14.0,C,505,59,2015-01-05T00:00:00.000,BRONX,9,205445,Original,20020
"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE 1st BATHROOM FROM NORTH LOCATED AT APT 4J, 3rd STORY, 7th APARTMENT FROM WEST AT NORTH",,4867212.0,40.829864,Hamilton Heights-Sugar Hill,722,1062442.0,7.0,C,617,17,2014-08-03T00:00:00.000,MANHATTAN,19,111978,Original,29690
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT ALL WALLS IN THE 3rd ROOM FROM NORTH AT WEST LOCATED AT APT 4R, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",,4788565.0,40.686021,Bedford-Stuyvesant (East),764,3045921.0,41.0,A,508,9,2014-06-15T00:00:00.000,BROOKLYN,19,325157,Original,53030
§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE 90LBS ASPHALT PAPER AT ROOF,,4793002.0,40.656237,Brownsville,905,3085998.0,42.0,C,502,16,2014-03-17T00:00:00.000,BROOKLYN,19,330257,Original,82230
"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE ROTTED WOOD FLOOR IN THE PRIVATE HALLWAY LOCATED AT APT 2E, 2nd STORY, 4th APARTMENT FROM NORTH AT EAST",2013-11-22T00:00:00.000,4712308.0,40.655086,East Flatbush-Erasmus,130,3116227.0,40.0,B,501,21,2013-12-10T00:00:00.000,BROOKLYN,9,373124,Original,26630
"§ 300 M/D LAW FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION WOODEN PANEL INSTALLED AT ALL WALLS IN THE 5th ROOM FROM EAST LOCATED AT APT 21, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",,4720241.0,40.829536,Concourse-Concourse Village,1076,2002229.0,16.0,A,491,54,2014-02-24T00:00:00.000,BRONX,19,210186,Original,32820
"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING GLASS AT THE UPPER PART OF VESTIBULE DOOR AT PUBLIC HALL, 1st STORY",,4734392.0,40.861912,University Heights (North)-Fordham,2327,2014954.0,14.0,B,506,123,2014-01-21T00:00:00.000,BRONX,19,213333,Original,8820
§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF ALL COMPACTOR DOORS SEALED WITH SCREWS AT ALL STORIES AT PUBLIC HALL,2014-05-19T00:00:00.000,4819901.0,40.693415,Brooklyn Heights,8,3341540.0,33.0,B,510,17,2014-06-03T00:00:00.000,BROOKLYN,19,372674,Original,28390
"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) SOUTH WALL, EAST WALL, WEST WALL IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM NORTH AT EAST",,4757530.0,40.855606,Belmont,2366,2011656.0,15.0,C,617,12,2014-02-15T00:00:00.000,BRONX,20,202094,Original,46920
"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1; WG TO REPLACE = 0; WG TO REPAIR = 4; NO STOPS (TOTAL 6) LOCATED AT APT 2, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST",,4736473.0,40.663067,East New York-New Lots,575,3085038.0,42.0,C,790,51,2014-01-07T00:00:00.000,BROOKLYN,19,335352,Original,76430
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE 2nd PRIVATE HALLWAY FROM NORTH LOCATED AT APT 4J, 3rd STORY, 7th APARTMENT FROM WEST AT NORTH",,4867210.0,40.829864,Hamilton Heights-Sugar Hill,722,1062442.0,7.0,A,556,17,2014-10-18T00:00:00.000,MANHATTAN,19,111978,Original,29690
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE BATHROOM LOCATED AT APT D9A, 9th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2014-02-10T00:00:00.000,4719020.0,40.819549,Manhattanville-West Harlem,3333D,1085768.0,7.0,A,556,9005,2014-02-21T00:00:00.000,MANHATTAN,9,139245,Original,13610
"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK THROUGH CEILING IN THE BATHROOM LOCATED AT APT 2B, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",,4727236.0,40.825563,Hamilton Heights-Sugar Hill,522,1061918.0,7.0,C,583,46,2013-12-02T00:00:00.000,MANHATTAN,19,104198,Original,36670
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AT PRIVATE HALLWAY LOCATED AT APT 4F, 4th STORY, 3rd APARTMENT FROM WEST AT NORTH",,4919417.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,508,516,2014-11-10T00:00:00.000,BRONX,19,204975,Original,76850
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL CEILINGS, AND WALLS. IN THE ENTIRE APARTMENT LOCATED AT APT 2H, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH",2014-07-22T00:00:00.000,4867277.0,40.819716,Hunts Point,890,2006385.0,17.0,A,508,149,2014-10-18T00:00:00.000,BRONX,19,206856,Original,16120
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING, EAST WALL IN THE 1st FOYER FROM NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",,4749287.0,40.888092,Williamsbridge-Olinville,678,2063003.0,12.0,A,556,81,2014-04-18T00:00:00.000,BRONX,22,205673,Original,28380
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE 3rd ROOM FROM NORTH LOCATED AT APT D95, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTHEAST",,4807002.0,40.693044,Brooklyn Heights,28,3341548.0,33.0,B,508,17,2014-05-13T00:00:00.000,BROOKLYN,19,373797,Original,28390
"§ 27-2037, 2038 HMC: PROVIDE A SAFE AND ADEQUATE SUPPLY OF ELECTRIC SERVICE TO THE FIXTURES CEILING IN THE 2nd ROOM FROM NORTH AT WEST LOCATED AT APT 2E, 2nd STORY",2013-12-11T00:00:00.000,4730352.0,40.711283,Queens Village,106-15,4239278.0,27.0,B,688,83,2014-01-13T00:00:00.000,QUEENS,9,419169,Original,26740
"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... CEILING 1 SQ FT IN THE BATHROOM LOCATED AT APT 6F, 6th STORY, 2nd APARTMENT FROM NORTH AT EAST",,5019236.0,40.843061,Mount Eden-Claremont (West),1654,2007333.0,15.0,B,550,5,2015-04-07T00:00:00.000,BRONX,19,207422,Original,51620
"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AND MILDEW AT THE CLOSET NORTH WALL IN THE 1st ROOM FROM EAST LOCATED AT APT 2, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",,4945279.0,40.888178,Eastchester-Edenwald-Baychester,3817,2066434.0,12.0,B,550,42,2014-12-24T00:00:00.000,BRONX,19,711201,Original,25320
"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR IN THE 2nd ROOM FROM EAST AT SOUTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",,4769184.0,40.844393,Washington Heights (South),277,1063422.0,10.0,C,502,204,2014-02-12T00:00:00.000,MANHATTAN,19,103373,Original,21190
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILING IN THE 2nd ROOM FROM EAST AT SOUTH LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH",2017-07-01T00:00:00.000,5695149.0,,,22 FRONT,,,A,508,15,2017-06-19T00:00:00.000,BROOKLYN,4,306067,Original,80930
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 5J, 5th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2024-08-31T00:00:00.000,9248584.0,40.853092,Washington Heights (North),267,1063976.0,10.0,B,702,61,2024-09-04T00:00:00.000,MANHATTAN,9,107915,Reissued,32790
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT NORTH WALL IN THE BATHROOM LOCATED AT APT 4E, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH",,4841703.0,40.825563,Hamilton Heights-Sugar Hill,522,1061918.0,7.0,A,556,46,2014-09-06T00:00:00.000,MANHATTAN,19,104198,Original,36670
"§ 27-2044 ADM CODE REPLACE OR REPAIR THE SELF-CLOSING THE DOORS THAT IS MISSING OR DEFECTIVE AT THE REFUSE CHUTE (HOOPER) IN THE 1ST, 3RD AND 4TH STORY AT COMPACTOR CLOSET",2014-04-25T00:00:00.000,4802636.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,693,516,2014-05-06T00:00:00.000,BRONX,9,204975,Original,76850
"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE COUNTER TOP AT THE SINK IN THE KITCHEN LOCATED AT APT D20E, 20th STORY, 2nd APARTMENT FROM NORTH AT EAST",2014-07-17T00:00:00.000,4851462.0,40.819549,Manhattanville-West Harlem,3333D,1085768.0,7.0,B,505,9005,2014-07-23T00:00:00.000,MANHATTAN,19,139245,Original,13610
§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE GLASS PANEL ( 1LITE ) 4TH UP FROM BOTTOM AT ENTRANCE DOOR TO BUILDING,2013-12-31T00:00:00.000,4726204.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,505,516,2014-01-06T00:00:00.000,BRONX,9,204975,Original,76850
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE KITCHEN LOCATED AT APT B, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",,4742039.0,40.868116,Bedford Park,2721,2092513.0,14.0,C,508,43,2013-12-29T00:00:00.000,BRONX,19,211765,Original,52120
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WEST WALL AND CEILING IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH",2017-07-01T00:00:00.000,5695149.0,,,22 FRONT,,,A,508,15,2017-06-19T00:00:00.000,BROOKLYN,4,306067,Original,80930
"§ 27-2037, 2038 HMC: PROVIDE A SAFE AND ADEQUATE SUPPLY OF ELECTRIC SERVICE TO THE FIXTURES .. IN THE 1st ROOM FROM NORTH LOCATED AT APT 2, 2nd STORY",,4737714.0,40.661019,Prospect Lefferts Gardens-Wingate,86,3114681.0,40.0,B,988,18,2014-01-27T00:00:00.000,BROOKLYN,21,0,Original,56130
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE WALLS AND CEILING IN THE BATHROOM LOCATED AT APT 4J, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",,4712821.0,40.872255,Williamsbridge-Olinville,3230,2056265.0,12.0,A,508,21,2014-02-09T00:00:00.000,BRONX,19,204782,Original,22920
"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1; WG TO REPLACE = 0; WG TO REPAIR = 0; IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",,4764892.0,40.853353,Belmont,2350,2012868.0,15.0,C,790,26,2014-02-26T00:00:00.000,BRONX,19,208142,Original,12020
"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT ( APPROX 20 SQ FT ) NORTH WALL, EAST WALL, WEST WALL, CEILING IN THE BATHROOM LOCATED AT APT 4A, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",,4891985.0,40.844507,West Farms,983,2013277.0,15.0,B,550,33,2014-09-29T00:00:00.000,BRONX,19,211598,Original,27090
"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 2C, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2013-12-05T00:00:00.000,4722816.0,40.770917,Upper East Side-Lenox Hill-Roosevelt Island,1477,1045177.0,5.0,C,666,30,2013-11-22T00:00:00.000,MANHATTAN,19,134933,Original,10010
"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCK AT MAILBOXES AT PUBLIC HALL, 1st STORY",2013-12-24T00:00:00.000,4710472.0,40.652461,East Flatbush-Erasmus,161,3116659.0,40.0,A,501,61,2014-02-04T00:00:00.000,BROOKLYN,9,353426,Original,56230
"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE SHEETROCK CEILING AND WEST WALL IN THE KITCHEN LOCATED AT APT 2, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST",,4781031.0,40.663067,East New York-New Lots,575,3085038.0,42.0,B,502,51,2014-04-04T00:00:00.000,BROOKLYN,19,335352,Original,76430
