fax_number,number_programs,:@computed_region_f5dn_yrer,extracurricular_activities,addtl_info1,state_code,community_board,priority09,priority07,end_time
718-564-2581,1,60,"American Society of Travel Agents, Creative Writing, Explorers, School Newspaper, Stock Market Game, Toastmasters International, Travel, additional clubs will be offered based on student interest","Dress Code/Uniform Required: Monday and Wednesday - Dress for Success (button-down shirt/blouse, slacks or business casual dress, shoes); Tuesday and Thursday - school shirt with logo, jeans, sneakers; Friday - Dress-down Day, Our school requires an Academic and Professional Portfolio Assessment for graduation",NY,14.0,,,2:45 PM
718-987-4889,9,30,"Baruch/Merrill Lynch Initial Public Offering (IPO) Challenge, Careers through Culinary Arts Program (C-CAP), Chorus, Community Service Projects, Conflict Resolution Team, Creative Writing, Dance Team, Environmental Awareness, Federal Challenge, First Aid/CPR, Fitness Training, Float Committee, Forensics, Gay-Straight Alliance, Graphic Design, Ice Hockey, INTERACT Service, International, Italian and Spanish Honor Societies, Leadership Team, Link Employment and Responsibility Now (LEARN), Marching Band, Color Guard, Math Team, Moot Court, Musical Performances, National Honor Society, Peer Tutoring, Performing Arts, Ping-Pong, PM/Saturday School, School Online Newspaper and News Channel, SING, Small Learning Community-based Activities, Social Obstacles, Stage Design, Stock Market Challenge, Student Government, Video Yearbook, Virtual Enterprise, Yearbook Squad, Cheerleading & Competitive Cheer Teams, Anti-Bullying, Eatwise, Grade Councils, Glee, Green, Jewish Culture, Christian Culture, Muslim Culture, Photography, Robotics, City Outreach, Chem, Hip-Hop Crew, You Tube, Dream Team (Dream Act), Debate, Self Defense, Video Editing, Shakespeare",,NY,2.0,,,3:10 PM
212-260-8124,1,70,"After-school Jazz Band, Annual Coffee House Concert, Annual Gallery Walk Art Exhibitions, Badminton, Baseball, Basketball, Borough Advisory Student Council, Boys Soccer, Community Service Learning, Competitive Ballroom Dancing, Creative Writing, Debate Committee, Debate Team, Educational Field Trips, Girls Volleyball, Green Club, Gay-Straight Alliance (GSA), Handball, Heart to Heart Charity, Kangaroo International Competition, Mandarin, Math Team, Model UN, National and Local Chess Championships, National Honor Society, NESTFest (Annual Talent Show), New York Math League Competition, Peer Leaders, Red Cross, Robotics, Scholastic Arts Competition, School Leadership Team (SLT), Social Justice, Softball, Student Government, The City Tones (Chorus), The Gauss Contest, The Purple Meet, Time Warner Cable, Ultimate Frisbee, Varsity Dance Team, Winter and Spring School Plays, World Science Festival","Dress Code Required: Business Casual - shirt/blouse, khaki, corduroy or dark denim (navy, black, brown, dark gray) pants, dress slacks/skirt/dress. On Assembly Days, students wear job interview clothing (Boys - shirt and tie, optional blazer)., 9th grade math and science are single gender classes., Community Service Requirement - All Upper School students are required to complete 60 hours of Community Service., Chancellor’s Arts Endorsed Diploma",NY,3.0,,,4:00 PM
718-992-5760,1,50,"Talent Show, Anime, Art, Book, Chess, Dance, Debate Team, Drama, Literary Magazine, Math, National Foundation for Teaching Entrepreneurship (NFTE), Newspaper, Peer Tutoring, Photography, Student Government, Virtual Enterprise, Web Team, Yearbook",,NY,4.0,,,3:15 PM
212-690-5047,1,18,"Knitting & Crochet, Community Service (Helping-Hands), Song/Writing Guitar, Yoga, Drama, College and Scholarship, Ballroom Dancing, Music Band","Uniform Required: hunter green polo shirt with Mott Hall logo, khaki pants, black footwear",NY,10.0,,,3:30 PM
718-561-0595,1,48,"Art, Bronx 12 Quiz Bowl, Chess, Community Service Volunteer Work, Internships, Investment, Latin, Mock Trial, Moot Court, Meditation, Spanish, Multicultural, Student Council, Tutoring","Dress Code Required: collared shirt, slacks",NY,8.0,,,2:45 PM
212-253-3108,2,71,"More than twenty campus clubs offered, including cooking, gaming and basketball","Dress Code Required: Lab Coat (for in-class use), Summer Orientation for Incoming Freshmen Required, Trimester Schedule, Saturday Academy",NY,6.0,,,3:49 PM
718-724-8515,4,60,"Archon, Argus, Arista, Art, BioMed Society, Chorus, Concerts, Conflict Resolution, Dance, Drama, Fashion, Film, Gospel Choir, Historical Society, Japanese Animation, Knitting Circle, Marching Band, Model Congress, Patterns, Peer Tutoring and Mediation, Philosophy, Photography, Political Discussion, SING, Social and Emotional Learning, Step Team, Student Government, Writing, and Yearbook. Midwood High School currently has more than 50 clubs.",We are a multi-session school,NY,14.0,,,3:30 PM
212-828-2861,1,7,"After-school Tutoring, Art, Dance (Latin, Drumming Group, Hip-Hop), Literary Magazine, Math, Modeling, Student Government","Dress Code Required: navy blue polo shirt, khaki pants/skirt (no more than two inches above the knee), Extended Day Program",NY,11.0,,,3:39 PM
718-629-6162,1,61,"Art, Chorus, College Internships, Dance, G-12 Science Program with Brooklyn College, G-12 Technology Program with NYU, iLearnNYC, Local Community Service in Hospitals and Banks, Math Challenge, Model United Nations, Modern Dance Program, Multimedia, Music, 'Peace Corps Fellows' After-school Program, Peer Tutoring, Robotics, Science (Brooklyn College), Theater","Dress Code Required: blue or white shirt/top, black or dark gray pants/skirt, Our school requires an Academic Portfolio for graduation, Extended Day Program, Community Service Requirement, Internship Requirement, Summer School Orientation, Summer Internship Program offered, Weekend Program offered, Work Study Program",NY,17.0,,,4:15 PM
718-368-8555,1,32,"African American Club, Anime Club, Archon, Arista, B’nai B'rith, Center for Arts Education, CUNY Arts, Dances, Film, Gamers Club, Hispanic Club, Intel, Jewish Culture Club, Musical and Dramatic Plays, Musical Concerts, Project Hope, Scholastic Art Competition, Sci-Fi, SING, Volunteer Activities","Every Wednesday, classes end earlier to accommodate student participation in clubs. Since our classes are longer than classes in traditional schools, there is no loss of instructional time.",NY,15.0,,,2:30 PM
718-981-8776,6,4,"Community Service Projects, Black Box Theater, Conflict Resolution, Link Employment and Responsibility Now (LEARN), PM/Saturday School, SAT Prep, Dance/Step, Computer Graphic Arts, National Honor Society, National Technical Honor Society, Peer Mediation, Robo-Wizards (Robotics), Student Government, SkillsUSA, Yearbook Committee, Young Men's Alliance, Young Women's Alliance",,NY,1.0,,,3:00 PM
718-746-2017,5,26,"Junior Reserve Officers' Training Corp (JROTC), Conflict Resolution, Peer Mediation & Negotiation, Principal's Consultative Council, National Honor Society, Student Organization, Publications, Math Team, Authentic Science Research, Mock Trial, Debate Team, Moot Court, Yearbook, Winter & Spring Concerts, School Play, SING, Holiday Spectacular, Computer Programming, Newspaper, Drama, Performing Arts, Dance, Marching Band, Concert Choir, Mixed Chorus, Jazz Band, Honors Orchestra, Robotics, Anime, Art, ASPIRA, Bridge to Medicine, Career, Caribbean, Cheerleading, Chinese, Chinese Drama, Comparative Literature, Dance, Desi, Filipino, Food, Future Educators of America, Girls Who Code, Glee Club, Healthy Heart, Hearts on a String, Hebrew, Hellenic, History, Horticulture, Humans of Francis Lewis, Improv, Italian, Japanese, Key Club, Korean, Music, Media Production, Model UN, Muslim, Nu Gamma Psi, Pre-Med, SAT, Science Explorers, Science Olympiad, Seekers Christian Fellowship, Share an Umbrella, Solitaire-Anti-Bullying, Step Squad, Tech Crew, TVB Cantonese",,NY,11.0,,,3:15 PM
212-247-7514,4,12,"School Newpaper, AIDS Walk, Assembly Committee, Audition Coaching, Black Box Theatre Productions, Chess, College Tutoring, Community Service, Drama, Film/TV, Full-scale Musical Production, Gay/Straight Alliance (GSA), Learning Center Activities, Peer Mentoring, Peer Tutoring, Photography, SAT Preparation, Science Lab Internships, Social Action Committee, Student Council, Yearbook and Debate Team",Chancellor’s Arts Endorsed Diploma,NY,4.0,,,3:30 PM
212-586-2713,1,12,"Book, Chess, Culinary Arts, Digital Learning, Drama, Event Planning, Field Trips to Colleges, Fitness Training, Pilates, Running, Graphic Arts, Guitar, Hydroponics Program, Internships in the Hospitality Industry, Junior Advisor Mentors, Saturday Regents Program, School Newspaper, Student Government, Explorers Program, Movie Night, Studio Art, Talent and Fashion Show, Yearbook, National Honor Society","Dress Code Required: navy blue or burgundy collared shirt, gray or black pants, Sophomores take the New York City Food Handlers Certification Exam for the Health Department certificate necessary for managers in the food industry, Community Service Required",NY,4.0,,,3:45 PM
718-969-5524,1,25,"Student Government Organization Activities: RFK Carnival, Feastivus, Peace Day, Alley Pond Park Adventure Course, Theater Development Fund Trips, Talent Show, Student Lounge, Freshman Orientation and Welcome Activities, Deck the Doors; National Honor Society, School Newspaper, Student Government Organization, Yearbook, Track, Garden, Handball, Jewish Student Union, Key Club, International Trip, Senior Ski Trip, Mural Projects",,NY,8.0,,,2:30 PM
718-733-3085,1,35,"After-school Tutoring, Art, Music, Peer Mediation/Conflict Resolution, Regents Prep, Environmental, Acting, Photography, Student Senate, Guitar, Fitness, Skills USA","Community Service Requirement, Dress Code",NY,6.0,,,3:45 PM
718-893-6439,1,34,"Aerobics, Art History, College & Field Trips, College and Health Fairs, Computer Graphics, Dance, Drama, Field Day, Career, Playwriting, Step Team, Student Government, Technology, Travel","Dress Code Required: solid black or purple shirt, black or khaki pants, Explorations Fridays are required classes for all 9th and 10th grade students",NY,3.0,,,3:30 PM
212-281-6918,1,37,"Art, Art History, Astronomy, Band, Cheerleading, Chorus, Creative Writing, Cross Country, Dance, Drama, Dr. Dragon, Math and Science Magazine, EAT NYC, Euro- Challenge, Fed-Challenge, Film, FIRST Tech Challenge, Flying Dragons Cross Country Running, Gastronomy, German, Glee, Gay Straight Alliance (GSA), Harlem IS (Dwyer Docents), Honor Society, Junior Statesman of America (JSA), Key Club, Mock Trial, Model UN, Modern Dance, MOUSE Squad, National Society of Black Engineers (NSBE), Peer and Teacher Tutoring, Photography, Poetry, Science Research, Spades/Chess, Student Government, Tennis, Varsity and JV Math Team, International League of Youth (ILY) Yearbook","This is one of New York City's eight (8) Specialized High  Schools that requires the Specialized High Schools  Admissions Test (SHSAT); For further information and  the 2014 test dates, see the front of this Directory and  obtain a copy of the Specialized High Schools Student  Handbook from your school's guidance counselor",NY,9.0,,,3:35 PM
212-475-7588,1,70,"Model Peer Leadership Program, 'The Vine' Student Newsletter, 21st Century After-school Program, Student Ambassadors, Animation, Annual College and Career Fair, Annual Family Night, Art, Audio Recording, Camping, Theater Trips, Cheerleading, Chorus, College Trips & Tours, CUNY and Free Application for Federal Student Aid (FAFSA) Application Workshops, Dance, Film, Gallatin Great Works Project (NYU), Kaplan SAT Prep, Monthly Family Resource Fairs, MOUSE Squad, Music Recording, National Honor Society, on-site Placement and Referral Office for Summer Youth Employment Program, Parent Resource Room, Painting, Peer Mediation and Conflict Resolution, Piano, Princeton Center for Leadership, Recycling, Saturday Success Academy Regents Prep, Smart and Fabulous Fashion Show, Songwriting, Step Dance, Student Advisory Council, Student Ambassador Program, Sarah Lawrence College Student Interns, lunchtime Cafe Clubs, Theater, Video and Production, Visual Art, Voice, Young Entrepreneurs","Students Dress for Success, Summer Bridge to Success Program for incoming students in July offers HS credits, Innovative Advisory Program",NY,3.0,,,3:30 PM
212-501-1195,1,20,"Advocacy Class, Chess, Community Service, Dance, Drama, Homework Helpers, Leadership Class, Mock Trial, Moot Court, Newspaper, PM School, Poetry, Saturday School, Spirit, Student Government, Tutoring",,NY,7.0,,,2:45 PM
718-922-2761,1,55,"Videography, Wellness Committee, RROCS, 3-on-3 Basketball, Step Team, Intramural Sports, Chess Club, Art Club, Women in Science, Gentlemen Scholars, Mixed Martial Arts, National Honor Society, Poetry Out Loud, Cheerleading, Student Government Organization, Student Ambassadors Program, Cultural Heritage Night, International Trip, Yearbook, Senior Committee","Uniform Required: collared white shirt or school polo with logo, black pants/skirt, burgundy or black vest/sweater, burgundy tie/tab, black dress shoes, All teachers utilize Jupiter Grades, an online grade book, which students and parents can access any time for progress updates in every class",NY,16.0,,,3:27 PM
718-893-7368,1,34,"Anime, Art Residencies, Chess, Dance Productions, Dance Team, History, Japanese, Morris Academy Mentoring, Movies, Museum Trips, National Honor Society/Arista, Robotics, Saturday Workshops, School Newspaper, Science, Slam Poetry, Talent Shows, Theater, Theater/Performance Arts, Tutoring in Math","Three-week summer Learning Bridge Program offered to incoming freshmen (one high school credit earned upon successful completion of program), For additional information about our Mentor Internship Program please visit our website at www.morrisacademymentors.org",NY,3.0,,,3:30 PM
718,4,36,"National Honor Society, Peer Mediation, Student Government, Student Leadership Retreats, Science Fair and Science Research Program, Math and Technology Fair, Student Internships, Advanced Visual Arts Classes, Saturday Academy; 3 full concert bands, 2 jazz bands, 2 choral ensembles, 2 dance ensembles, chamber groups such as guitar ensemble, brass choir and clarinet choir; Annual theater/musical theater performances by students; 20 after-school clubs; Presentations at City/State Conferences, School Spirit Activities","Dress Code: Students are expected to dress appropriately for our academic setting, All musical ensembles compete annually at the New York State Music Association festival where they have received multiple 'Gold' and 'Gold with Distinction' awards",NY,1.0,,,2:45 PM
718-574-3971,1,69,"Art Studio, Dance, Improv, Portfolio Workshop, Student Committee, The Wilson Reading Program; Tutoring services are provided as needed","Extended Day Program, Internship Requirement, Our school requires assessment of an Academic Portfolio for graduation., Chancellor’s Arts Endorsed Diploma",NY,3.0,,,3:15 PM
212-245-2179,1,20,"Arts Magazine, Chess, Computer Programming, Dance, Debate, Digital Film, Drama, End of Tunnel Press, Gay/Straight Alliance, Math, Model UN, Musical Bands (Jazz, Blues Rock), Newspaper, Photography, Poets, Senior Committee, Student Leadership Team, Student Movement Against Cancer, Sustainability, Yearbook",Chancellor’s Arts Endorsed Diploma,NY,7.0,,,3:00 PM
