brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,latitude,longitude,bin,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,comparable_rental_1_neighborhood,comparable_rental_1_boro_block_lot,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,census_tract,comparable_rental_2_boro_block_lot,comparable_rental_1_full_market_value,comparable_rental_1_est_gross_income,comparable_rental_1_address
3-06826-0070,"{'latitude': '40.605528281076', 'longitude': '-73.952479027884', 'human_address': '{""address"": ""2301 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.605437,-73.952545,3184170.0,D1-ELEVATOR,962883.0,GRAVESEND,3-06653-0034,34.9,1941,560.0,3-06730-0072,4180000,1237214,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1780 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01296-0064,"{'latitude': '40.665540891956', 'longitude': '-73.953227046465', 'human_address': '{""address"": ""345 MONTGOMERY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.665529,-73.953173,3034170.0,D3-ELEVATOR,1389049.0,CROWN HEIGHTS,3-01213-0046,14.67,1928,321.0,3-01221-0023,1250000,590511,"{'latitude': '40.676326096013', 'longitude': '-73.947142636784', 'human_address': '{""address"": ""110 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03622-0001,"{'latitude': '40.666489450321', 'longitude': '-73.876355521452', 'human_address': '{""address"": ""988 HEGEMAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.666485,-73.876408,3098664.0,C1-WALK-UP,487624.0,FLATBUSH-EAST,3-04902-0047,20.67,1930,1116.0,3-04917-0006,634000,244433,"{'latitude': '40.598455247657', 'longitude': '-73.996118147678', 'human_address': '{""address"": ""149 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06779-0004,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1610 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,27.3,1933,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07465-0052,"{'latitude': '40.587393691749', 'longitude': '-73.949051805438', 'human_address': '{""address"": ""3025 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.587339,-73.949112,3205069.0,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,65.0,1954,600.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07440-0028,"{'latitude': '40.589296304507', 'longitude': '-73.949603704658', 'human_address': '{""address"": ""2950 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.589374,-73.949521,3204127.0,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,52.0,1930,592.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01961-0032,"{'latitude': '40.686358150015', 'longitude': '-73.967422324776', 'human_address': '{""address"": ""387 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.686117,-73.967404,3055995.0,C1-WALK-UP,505707.0,CROWN HEIGHTS,3-01178-0083,68.0,1910,199.0,3-01178-0087,1890000,505707,"{'latitude': '40.672041274863', 'longitude': '-73.959943975215', 'human_address': '{""address"": ""493 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06103-0017,"{'latitude': '40.619080352901', 'longitude': '-74.031690804516', 'human_address': '{""address"": ""338 92 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,C1-WALK-UP,195801.0,BAY RIDGE,3-05882-0075,68.0,1943,,3-05886-0001,886000,237077,"{'latitude': '40.636747960197', 'longitude': '-74.034164641763', 'human_address': '{""address"": ""49 MACKAY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00252-0008,"{'latitude': '40.694479152527', 'longitude': '-73.998450150256', 'human_address': '{""address"": ""2 GRACE COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D5-ELEVATOR,,CLINTON HILL,3-01946-0004,53.0,1930,,,7330000,1959512,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""379 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06052-0039,"{'latitude': '40.619996225487', 'longitude': '-74.024925091164', 'human_address': '{""address"": ""8638 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.619643,-74.025179,3153826.0,D1-ELEVATOR,467627.0,BAY RIDGE,3-06110-0052,71.0,1959,160.0,3-08791-0224,2400000,641658,"{'latitude': '40.616114571706', 'longitude': '-74.028319566824', 'human_address': '{""address"": ""9330 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05991-0005,"{'latitude': '40.624229331037', 'longitude': '-74.021805011096', 'human_address': '{""address"": ""8015 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.62417,-74.021859,3151421.0,C7-WALK-UP,249408.0,OCEAN PARKWAY-NORTH,3-05385-0056,63.0,1924,142.0,3-06117-0040,578000,154500,"{'latitude': '40.635704278116', 'longitude': '-73.978048220523', 'human_address': '{""address"": ""755 MC DONALD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07422-0013,"{'latitude': '40.593242951058', 'longitude': '-73.939547788831', 'human_address': '{""address"": ""2430 HARING STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.593173,-73.939512,3203174.0,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,43.9,1952,59402.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01096-0050,"{'latitude': '40.664381560616', 'longitude': '-73.98154292433', 'human_address': '{""address"": ""445 12 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D3-ELEVATOR,789567.0,BROOKLYN HEIGHTS,3-00254-0006,64.0,1960,,3-02104-0008,4070000,983249,"{'latitude': '40.692998561162', 'longitude': '-73.993976949826', 'human_address': '{""address"": ""141 JORALEMON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02787-0017,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""648 GRAND STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.711397,-73.946392,3323049.0,C1-WALK-UP,611374.0,GREENPOINT,3-02494-0026,46.9,1920,503.0,3-02420-0022,2470000,595838,"{'latitude': '40.735148270348', 'longitude': '-73.95848918718', 'human_address': '{""address"": ""233 FRANKLIN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07464-0035,"{'latitude': '40.586510824766', 'longitude': '-73.949066628079', 'human_address': '{""address"": ""3060 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.586733,-73.949023,3205035.0,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,43.5,1956,600.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00208-0508,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2 MONTAGUE TERRACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.695547,-73.99744,3001519.0,D9-ELEVATOR,1060307.0,CROWN HEIGHTS,3-01251-0001,91.0,1917,301.0,3-00247-0028,2670000,1258513,"{'latitude': '40.671576431153', 'longitude': '-73.941944587158', 'human_address': '{""address"": ""243 KINGSTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01943-0006,"{'latitude': '40.687439695741', 'longitude': '-73.967724177885', 'human_address': '{""address"": ""360 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.687394,-73.967678,3379645.0,D1-ELEVATOR,2225685.0,BAY RIDGE,3-06069-0013,67.0,1928,197.0,3-05279-0043,6430000,1719535,"{'latitude': '40.619199405119', 'longitude': '-74.025508438186', 'human_address': '{""address"": ""8829 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06576-0048,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""69 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,28.8,1926,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00217-0001,"{'latitude': '40.698643494558', 'longitude': '-73.992400314335', 'human_address': '{""address"": ""75 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.698597,-73.992452,3326019.0,D7-ELEVATOR,1976843.0,BROOKLYN HEIGHTS,3-00236-0015,48.3,1967,1.0,3-05155-0050,5380000,2536474,"{'latitude': '40.695829631478', 'longitude': '-73.995231517766', 'human_address': '{""address"": ""55 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01172-0019,"{'latitude': '40.673972014839', 'longitude': '-73.968431906914', 'human_address': '{""address"": ""274 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.674035,-73.968308,3029354.0,C1-WALK-UP,306469.0,SUNSET PARK,3-00817-0001,86.0,1912,207.0,3-01970-0001,454000,214127,"{'latitude': '40.641969011327', 'longitude': '-74.009946773009', 'human_address': '{""address"": ""5319 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00254-0019,"{'latitude': '40.693152471111', 'longitude': '-73.995030396519', 'human_address': '{""address"": ""245 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.693222,-73.995034,3002223.0,D1-ELEVATOR,866384.0,PARK SLOPE,3-01078-0016,51.0,1957,502.0,3-02789-0011,2030000,599874,"{'latitude': '40.670711051002', 'longitude': '-73.977282710454', 'human_address': '{""address"": ""530 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02569-0035,"{'latitude': '40.728661908905', 'longitude': '-73.954958079652', 'human_address': '{""address"": ""140 NOBLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.728657,-73.955221,3064974.0,C1-WALK-UP,755472.0,GREENPOINT,3-02658-0026,66.0,1949,561.0,3-03246-0043,3810000,1017756,"{'latitude': '40.726188223171', 'longitude': '-73.940814505609', 'human_address': '{""address"": ""101 SUTTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01165-0011,"{'latitude': '40.676675222679', 'longitude': '-73.969196554439', 'human_address': '{""address"": ""675 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.676602,-73.969233,3029080.0,C1-WALK-UP,162270.0,CROWN HEIGHTS,3-01162-0010,85.0,1910,207.0,3-01162-0011,666000,160881,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""635 GRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05043-0086,"{'latitude': '40.657527838634', 'longitude': '-73.955768537583', 'human_address': '{""address"": ""135 HAWTHORNE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.657524,-73.955543,3115589.0,C7-WALK-UP,157756.0,BOROUGH PARK,3-05670-0047,27.2,1939,802.0,3-05024-0063,1520000,406134,"{'latitude': '40.631225672155', 'longitude': '-73.993284116546', 'human_address': '{""address"": ""1379 54 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05938-0015,"{'latitude': '40.632509738909', 'longitude': '-74.032317430534', 'human_address': '{""address"": ""130 BAY RIDGE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.632498,-74.032184,3148654.0,D1-ELEVATOR,908920.0,BAY RIDGE,3-06047-0031,67.0,1936,44.0,3-06107-0029,4510000,1206404,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8708 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08679-0007,"{'latitude': '40.575933997082', 'longitude': '-73.968296819586', 'human_address': '{""address"": ""3101 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.575857,-73.968617,3245024.0,D1-ELEVATOR,1679311.0,BRIGHTON BEACH,3-08665-0547,54.0,1956,36001.0,3-07179-0058,4120000,1322030,"{'latitude': '40.580570859371', 'longitude': '-73.963506077681', 'human_address': '{""address"": ""2911 BRIGHTON 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01424-0049,"{'latitude': '40.663661660889', 'longitude': '-73.930755566809', 'human_address': '{""address"": ""897 EMPIRE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.663524,-73.932683,3038411.0,D1-ELEVATOR,531768.0,CROWN HEIGHTS,3-01424-0033,33.6,1931,355.0,3-01422-0005,1590000,566723,"{'latitude': '40.664350593611', 'longitude': '-73.932083268357', 'human_address': '{""address"": ""988 MONTGOMERY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08669-0068,"{'latitude': '40.576980051214', 'longitude': '-73.968051236283', 'human_address': '{""address"": ""3045 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.576647,-73.968441,3.2445900E+6,C1-WALK-UP,409089.0,BATH BEACH,3-06377-0022,49.4,1931,362.0,3-08716-0080,1720000,460259,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""37 BAY 26 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01980-0048,"{'latitude': '40.684068567476', 'longitude': '-73.962980285581', 'human_address': '{""address"": ""116 CAMBRIDGE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.683643,-73.962859,3056718.0,C1-WALK-UP,335348.0,EAST NEW YORK,3-04249-0021,42.2,1930,201.0,3-04795-0013,1760000,425188,"{'latitude': '40.673974787446', 'longitude': '-73.872385476277', 'human_address': '{""address"": ""122 DOSCHER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01433-0060,"{'latitude': '40.675822338388', 'longitude': '-73.915437089504', 'human_address': '{""address"": ""2153 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.675773,-73.915189,3341652.0,C1-WALK-UP,146667.0,OCEAN HILL,3-01433-0033,15.89,1910,303.0,3-01464-0053,261000,122986,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2174 ATLANTIC AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01206-0026,"{'latitude': '40.677686356045', 'longitude': '-73.950944899394', 'human_address': '{""address"": ""1228 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.677723,-73.95103,3029994.0,C1-WALK-UP,251403.0,CROWN HEIGHTS,3-01305-0072,22.66,1905,315.0,3-01286-0051,798000,307941,"{'latitude': '40.664561447556', 'longitude': '-73.953441389566', 'human_address': '{""address"": ""237 SULLIVAN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08819-0011,"{'latitude': '40.601696062653', 'longitude': '-73.932500404756', 'human_address': '{""address"": ""2220 BURNETT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.602208,-73.933025,3407509.0,D7-ELEVATOR,2750003.0,CONEY ISLAND,3-07046-0001,56.0,1952,632.0,3-01811-0019,12600000,3740286,"{'latitude': '40.574808038395', 'longitude': '-74.000984819778', 'human_address': '{""address"": ""3528 MERMAID AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00919-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""4015 7 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.647901,-74.00022,3341885.0,C1-WALK-UP,535971.0,CROWN HEIGHTS,3-01167-0013,57.0,1916,90.0,3-01176-0001,1900000,507656,"{'latitude': '40.675418372846', 'longitude': '-73.962824894705', 'human_address': '{""address"": ""452 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05151-0010,"{'latitude': '40.644851511272', 'longitude': '-73.959764263122', 'human_address': '{""address"": ""2022 BEVERLY ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.64488,-73.959695,3118544.0,C1-WALK-UP,387334.0,BOERUM HILL,3-00396-0053,83.0,1909,514.0,3-03044-0029,1650000,398277,"{'latitude': '40.685046380837', 'longitude': '-73.992259277473', 'human_address': '{""address"": ""311 BALTIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08514-0038,"{'latitude': '40.614628268408', 'longitude': '-73.923462455969', 'human_address': '{""address"": ""5302 FILLMORE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.614661,-73.923338,3337551.0,C7-WALK-UP,157756.0,BOROUGH PARK,3-05670-0047,65.0,1955,670.0,3-05024-0063,1520000,406134,"{'latitude': '40.631225672155', 'longitude': '-73.993284116546', 'human_address': '{""address"": ""1379 54 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01918-0013,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""279 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.690539,-73.966302,3055090.0,D1-ELEVATOR,1486711.0,CONEY ISLAND,3-07011-0011,63.0,1905,195.0,3-01170-0005,3430000,1620077,"{'latitude': '40.575693988233', 'longitude': '-73.99435949186', 'human_address': '{""address"": ""2828 28 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02430-0019,"{'latitude': '40.712561151665', 'longitude': '-73.962579274322', 'human_address': '{""address"": ""344 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.712641,-73.962489,,C1-WALK-UP,291523.0,WILLIAMSBURG-SOUTH,3-02425-0040,20.31,1910,551.0,3-02436-0013,679000,320457,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""383 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00261-0018,"{'latitude': '40.693118169056', 'longitude': '-73.99682619349', 'human_address': '{""address"": ""277 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.693006,-73.996917,3002370.0,C1-WALK-UP,405263.0,GREENPOINT,3-02558-0064,105.0,1960,7.0,3-01824-0070,3180000,647636,"{'latitude': '40.730090522565', 'longitude': '-73.955751984342', 'human_address': '{""address"": ""109 GREENPOINT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07674-0021,"{'latitude': '40.614978526173', 'longitude': '-73.954261299993', 'human_address': '{""address"": ""1925 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.614927,-73.954343,3210665.0,D1-ELEVATOR,336234.0,PROSPECT HEIGHTS,3-01179-0023,22.66,1933,546.0,3-05151-0001,861000,361982,"{'latitude': '40.673297997685', 'longitude': '-73.9654003462', 'human_address': '{""address"": ""326 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05392-0042,"{'latitude': '40.666324045453', 'longitude': '-73.980487963483', 'human_address': '{""address"": ""478 9 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,C1-WALK-UP,363855.0,OCEAN PARKWAY-NORTH,3-05421-0035,40.7,1916,,3-05422-0050,1050000,335655,"{'latitude': '40.633304241481', 'longitude': '-73.969746360353', 'human_address': '{""address"": ""312 WEBSTER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01176-0025,"{'latitude': '40.673989610482', 'longitude': '-73.964972074347', 'human_address': '{""address"": ""388 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.674012,-73.964988,3029522.0,C1-WALK-UP,181412.0,GREENPOINT,3-02715-0007,39.3,1915,215.0,3-01984-0011,797000,213056,"{'latitude': '40.721399935107', 'longitude': '-73.94690325234', 'human_address': '{""address"": ""536 GRAHAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02715-0005,"{'latitude': '40.721275035634', 'longitude': '-73.946816971154', 'human_address': '{""address"": ""532 GRAHAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.721168,-73.946755,3378212.0,C1-WALK-UP,647636.0,GREENPOINT,3-02494-0026,56.0,1920,499.0,3-02558-0064,2470000,595838,"{'latitude': '40.735148270348', 'longitude': '-73.95848918718', 'human_address': '{""address"": ""233 FRANKLIN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01106-0014,"{'latitude': '40.700781920764', 'longitude': '-73.990411793896', 'human_address': '{""address"": ""7 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,-73.96968,3000000.0,C1-WALK-UP,267836.0,PARK SLOPE,3-01066-0014,52.0,1920,177.0,3-01093-0001,1380000,332761,"{'latitude': '40.673251152174', 'longitude': '-73.97243430795', 'human_address': '{""address"": ""888 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00208-0331,"{'latitude': '40.698201367782', 'longitude': '-73.996420254488', 'human_address': '{""address"": ""160 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.697982,-73.996495,3001510.0,D1-ELEVATOR,2241734.0,BROWNSVILLE,3-03512-0001,99.0,1937,301.0,3-00236-0103,3780000,1784809,"{'latitude': '40.66594467795', 'longitude': '-73.91936484805', 'human_address': '{""address"": ""663 HOWARD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02409-0032,"{'latitude': '40.675886044496', 'longitude': '-73.987794443362', 'human_address': '{""address"": ""263 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,C1-WALK-UP,137551.0,WILLIAMSBURG-SOUTH,3-02430-0021,77.0,1930,,3-02436-0026,650000,173897,"{'latitude': '40.712372452383', 'longitude': '-73.962707890661', 'human_address': '{""address"": ""350 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05375-0049,"{'latitude': '40.638690692444', 'longitude': '-73.972910165245', 'human_address': '{""address"": ""415 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.638928,-73.97325,3126217.0,D1-ELEVATOR,908920.0,BAY RIDGE,3-06047-0031,66.0,1900,490.0,3-06107-0029,4510000,1206404,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8708 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05391-0061,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""599 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,1211526.0,OCEAN PARKWAY-SOUTH,3-07234-0100,52.0,1961,,3-07212-0104,4720000,1514196,"{'latitude': '40.585949806647', 'longitude': '-73.971218109239', 'human_address': '{""address"": ""2611 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08818-0043,"{'latitude': '40.600624279918', 'longitude': '-73.93375166887', 'human_address': '{""address"": ""2265 GERRITSEN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.600603,-73.933754,3248245.0,D1-ELEVATOR,1620077.0,OCEAN PARKWAY-SOUTH,3-07179-0058,53.0,1962,632.0,3-07011-0011,5680000,1679311,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2375 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06508-0022,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""515 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,39.8,1936,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07593-0041,"{'latitude': '40.628809098159', 'longitude': '-73.948241391995', 'human_address': '{""address"": ""909 29 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,925193.0,CROWN HEIGHTS,3-01208-0001,32.7,1939,,3-07158-0033,1890000,891810,"{'latitude': '40.677481173069', 'longitude': '-73.946960537544', 'human_address': '{""address"": ""77 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
