brooklyn_cooperatives_comparable_properties_boro_block_lot,borough,postcode,comparable_rental_1_market_value_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address
3-05241-0006,3,11230.0,23.68,23.68,1931,"{'latitude': '40.636973379183', 'longitude': '-73.958478694053', 'human_address': '{""address"": ""1045 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06125-0001,3,11209.0,72.0,54.0,1927,"{'latitude': '40.618015768336', 'longitude': '-74.031381813636', 'human_address': '{""address"": ""364 93 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07260-0028,3,11235.0,41.1,35.0,1963,"{'latitude': '40.575178757355', 'longitude': '-73.966651273607', 'human_address': '{""address"": ""201 BRIGHTON 1 ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06801-0001,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00226-0010,3,11201.0,95.0,88.0,1905,"{'latitude': '40.692998561162', 'longitude': '-73.993976949826', 'human_address': '{""address"": ""141 JORALEMON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00292-0049,3,11201.0,120.0,136.0,1920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""356 STATE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00946-0052,3,11217.0,118.0,103.0,1990,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8 GARDEN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06819-0032,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00202-0001,3,11201.0,34.3,67.0,1928,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""160 END AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07560-0001,3,,40.5,34.3,1964,"{'latitude': '40.695829631478', 'longitude': '-73.995231517766', 'human_address': '{""address"": ""55 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07779-0022,3,11219.0,40.2,40.5,1960,"{'latitude': '40.624276809848', 'longitude': '-73.970813358062', 'human_address': '{""address"": ""996 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01179-0085,3,11238.0,52.0,54.0,1920,"{'latitude': '40.673981012962', 'longitude': '-73.928175766891', 'human_address': '{""address"": ""1248 ST MARK\'S AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01933-0060,3,11238.0,104.0,43.9,2003,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1429 SHORE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-04853-0028,3,11226.0,48.4,51.0,1951,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2375 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05268-0087,3,11215.0,22.92,22.59,1917,"{'latitude': '40.636118768078', 'longitude': '-73.95838719797', 'human_address': '{""address"": ""1086 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01227-0068,3,11216.0,53.0,41.3,1904,"{'latitude': '40.674607295489', 'longitude': '-73.940621727099', 'human_address': '{""address"": ""946 ST MARK\'S AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08820-0001,3,11229.0,33.8,41.2,1930,"{'latitude': '40.579359485036', 'longitude': '-73.955902832961', 'human_address': '{""address"": ""3047 BRIGHTON 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06919-0001,3,,55.0,40.3,1979,"{'latitude': '40.688107634336', 'longitude': '-73.940429528122', 'human_address': '{""address"": ""510 QUINCY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00178-0054,3,11217.0,75.0,36.4,1914,"{'latitude': '40.688662422549', 'longitude': '-73.948653796504', 'human_address': '{""address"": ""550 GREENE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01170-0029,3,11238.0,56.0,66.0,1920,"{'latitude': '40.700601192899', 'longitude': '-73.986670164593', 'human_address': '{""address"": ""94 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01103-0048,3,11215.0,94.0,92.0,1900,"{'latitude': '40.708169057316', 'longitude': '-73.942541294527', 'human_address': '{""address"": ""165 MESEROLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07182-0031,3,,67.0,74.0,1950,"{'latitude': '40.616114571706', 'longitude': '-74.028319566824', 'human_address': '{""address"": ""9330 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00739-0032,3,,56.0,63.0,1917,"{'latitude': '40.664701106501', 'longitude': '-73.980596071399', 'human_address': '{""address"": ""558 11 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07558-0063,3,,67.0,33.7,1927,"{'latitude': '40.664350593611', 'longitude': '-73.932083268357', 'human_address': '{""address"": ""988 MONTGOMERY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00264-0017,3,11201.0,53.0,55.0,1927,"{'latitude': '40.623526331909', 'longitude': '-74.02810830344', 'human_address': '{""address"": ""8502 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08722-0474,3,11235.0,27.7,32.2,1932,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""10 SHORE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03367-0056,3,11221.0,27.9,18.23,1931,"{'latitude': '40.691185278546', 'longitude': '-73.921543373701', 'human_address': '{""address"": ""44 LINDEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06759-0034,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06058-0012,3,11209.0,51.0,54.0,1960,"{'latitude': '40.637146571273', 'longitude': '-74.035450291167', 'human_address': '{""address"": ""15 MACKAY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05392-0001,3,11218.0,62.0,62.0,1961,"{'latitude': '40.667123961228', 'longitude': '-73.980367254498', 'human_address': '{""address"": ""430 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05889-0014,3,,33.6,,1972,
3-00355-0030,3,11231.0,95.0,70.0,1905,"{'latitude': '40.67208028631', 'longitude': '-73.960131867082', 'human_address': '{""address"": ""487 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01171-0007,3,11238.0,52.0,34.3,1937,"{'latitude': '40.695829631478', 'longitude': '-73.995231517766', 'human_address': '{""address"": ""55 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01107-0033,3,11215.0,88.0,67.0,1923,"{'latitude': '40.688581219042', 'longitude': '-73.970907219944', 'human_address': '{""address"": ""299 ADELPHI STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06099-0047,3,11209.0,53.0,40.8,1935,"{'latitude': '40.667612575809', 'longitude': '-73.975981311235', 'human_address': '{""address"": ""623 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00237-0017,3,11201.0,49.0,42.6,1910,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""781 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05286-0001,3,11218.0,29.5,88.0,1927,"{'latitude': '40.652297321362', 'longitude': '-73.973630891536', 'human_address': '{""address"": ""829 GREENWOOD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05307-0070,3,11218.0,15.26,29.3,1934,"{'latitude': '40.645723070538', 'longitude': '-73.974867230943', 'human_address': '{""address"": ""178 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01169-0001,3,11238.0,52.0,34.3,1937,"{'latitude': '40.695829631478', 'longitude': '-73.995231517766', 'human_address': '{""address"": ""55 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05970-0001,3,11209.0,72.0,54.0,1927,"{'latitude': '40.618015768336', 'longitude': '-74.031381813636', 'human_address': '{""address"": ""364 93 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00285-0010,3,11201.0,120.0,136.0,1920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""356 STATE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05048-0080,3,11226.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00758-0048,3,,66.0,66.0,1905,"{'latitude': '40.668204768622', 'longitude': '-73.955959260503', 'human_address': '{""address"": ""1585 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07268-0001,3,,49.9,49.8,1948,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1483 SHORE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06795-0015,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07470-0059,3,11235.0,104.0,69.0,1900,"{'latitude': '40.704188212301', 'longitude': '-73.98654953086', 'human_address': '{""address"": ""25 JAY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05320-0046,3,11218.0,44.0,14.82,1960,"{'latitude': '40.676321385053', 'longitude': '-73.9887644504', 'human_address': '{""address"": ""199 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05980-0001,3,11209.0,17.65,24.18,1936,"{'latitude': '40.619188475173', 'longitude': '-74.025517745718', 'human_address': '{""address"": ""8831 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07869-0011,3,11234.0,33.6,66.0,1972,"{'latitude': '40.619199405119', 'longitude': '-74.025508438186', 'human_address': '{""address"": ""8829 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06286-0001,3,11214.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00247-0025,3,11201.0,88.0,75.0,1923,"{'latitude': '40.693671581243', 'longitude': '-73.993093970266', 'human_address': '{""address"": ""142 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08400-0040,3,,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01101-0046,3,11215.0,94.0,102.0,1931,"{'latitude': '40.668763180016', 'longitude': '-73.976608061272', 'human_address': '{""address"": ""525 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02131-0027,3,,98.0,72.0,1920,"{'latitude': '40.67698570719', 'longitude': '-73.995353806132', 'human_address': '{""address"": ""45 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01066-0032,3,11215.0,44.4,102.0,1919,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""309 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00268-0030,3,11201.0,75.0,56.0,1920,"{'latitude': '40.688104504418', 'longitude': '-73.960469215355', 'human_address': '{""address"": ""91 CLIFTON PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00255-0025,3,11201.0,104.0,69.0,1900,"{'latitude': '40.704188212301', 'longitude': '-73.98654953086', 'human_address': '{""address"": ""25 JAY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00231-0019,3,11201.0,43.9,40.2,1960,"{'latitude': '40.639024303267', 'longitude': '-73.966828882476', 'human_address': '{""address"": ""405 WESTMINSTER ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00242-0027,3,11201.0,75.0,68.0,1936,"{'latitude': '40.691765672845', 'longitude': '-73.991909846471', 'human_address': '{""address"": ""59 LIVINGSTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01179-0047,3,11238.0,52.0,64.0,1937,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""379 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08685-0010,3,11235.0,72.0,54.0,1927,"{'latitude': '40.618015768336', 'longitude': '-74.031381813636', 'human_address': '{""address"": ""364 93 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00738-0006,3,11220.0,56.0,63.0,1917,"{'latitude': '40.664701106501', 'longitude': '-73.980596071399', 'human_address': '{""address"": ""558 11 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01073-0005,3,11215.0,55.0,95.0,1926,"{'latitude': '40.666828716133', 'longitude': '-73.978288040349', 'human_address': '{""address"": ""719 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01077-0007,3,11215.0,75.0,102.0,1915,"{'latitude': '40.668763180016', 'longitude': '-73.976608061272', 'human_address': '{""address"": ""525 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02412-0004,3,11211.0,87.0,50.0,1913,"{'latitude': '40.71072006842', 'longitude': '-73.953280990576', 'human_address': '{""address"": ""180 BORINQUEN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01208-0041,3,11216.0,27.7,32.2,1905,"{'latitude': '40.674800507338', 'longitude': '-73.941264135986', 'human_address': '{""address"": ""921 ST MARK\'S AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05197-0040,3,11230.0,74.0,13.13,1931,"{'latitude': '40.660015415432', 'longitude': '-73.997315163349', 'human_address': '{""address"": ""310 25 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05058-0007,3,11226.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06690-0045,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00254-0004,3,11201.0,134.0,112.0,1920,"{'latitude': '40.693979969558', 'longitude': '-73.994224727423', 'human_address': '{""address"": ""110 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01980-0045,3,11238.0,98.0,38.3,1925,"{'latitude': '40.656917025351', 'longitude': '-73.947350959484', 'human_address': '{""address"": ""702 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01396-0021,3,11213.0,23.99,28.8,1925,"{'latitude': '40.666634083618', 'longitude': '-73.940043892134', 'human_address': '{""address"": ""1435 CARROLL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00241-0001,3,11201.0,72.0,42.6,1912,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""781 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01075-0035,3,11215.0,72.0,72.0,1926,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""475 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01171-0048,3,11238.0,52.0,42.2,1920,"{'latitude': '40.671268840579', 'longitude': '-73.927661019894', 'human_address': '{""address"": ""1540 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03349-0001,3,11221.0,27.0,27.1,1916,"{'latitude': '40.692102208722', 'longitude': '-73.908919044426', 'human_address': '{""address"": ""1230 HALSEY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05083-0037,3,11226.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00917-0048,3,,70.0,55.0,1900,"{'latitude': '40.644026338157', 'longitude': '-73.998001532029', 'human_address': '{""address"": ""874 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00253-0053,3,11201.0,103.0,155.0,1922,"{'latitude': '40.671294521542', 'longitude': '-73.99062423891', 'human_address': '{""address"": ""193 9 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01164-0054,3,11238.0,92.0,74.0,1920,"{'latitude': '40.685718503009', 'longitude': '-73.995134752658', 'human_address': '{""address"": ""251 KANE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07822-0045,3,,29.4,27.7,1958,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3413 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07223-0011,3,,68.0,68.0,1960,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9480 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05904-0002,3,11209.0,51.0,41.1,1957,"{'latitude': '40.580570859371', 'longitude': '-73.963506077681', 'human_address': '{""address"": ""2911 BRIGHTON 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08821-0010,3,11229.0,33.6,33.6,1972,"{'latitude': '40.575693988233', 'longitude': '-73.99435949186', 'human_address': '{""address"": ""2828 28 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02016-0073,3,11238.0,70.0,93.0,1900,"{'latitude': '40.679680943479', 'longitude': '-73.964992117135', 'human_address': '{""address"": ""41 UNDERHILL AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06700-0038,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06746-0044,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00185-0048,3,11217.0,65.0,71.0,1905,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""375 STATE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01654-0001,3,11221.0,69.0,24.04,1910,"{'latitude': '40.685520794327', 'longitude': '-73.930385442743', 'human_address': '{""address"": ""680 JEFFERSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05548-0053,3,11204.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02432-0030,3,,147.0,156.0,1950,"{'latitude': '40.708204950146', 'longitude': '-73.941588174056', 'human_address': '{""address"": ""190 MESEROLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08771-0135,3,11235.0,33.6,51.0,1972,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2375 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05400-0091,3,11218.0,54.0,51.0,1960,"{'latitude': '40.593955135245', 'longitude': '-73.991277652811', 'human_address': '{""address"": ""8797 25 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06604-0049,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06464-0001,3,11214.0,32.2,33.2,1925,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7005 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05358-0063,3,11218.0,53.0,23.27,1928,"{'latitude': '40.669738544001', 'longitude': '-73.985635498291', 'human_address': '{""address"": ""285 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06962-0011,3,,41.1,51.0,1963,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2375 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05337-0007,3,11218.0,44.0,14.82,1960,"{'latitude': '40.676321385053', 'longitude': '-73.9887644504', 'human_address': '{""address"": ""199 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01888-0020,3,11205.0,109.0,91.0,1920,"{'latitude': '40.665655682039', 'longitude': '-73.979265416551', 'human_address': '{""address"": ""911 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01089-0040,3,11215.0,88.0,67.0,1923,"{'latitude': '40.688581219042', 'longitude': '-73.970907219944', 'human_address': '{""address"": ""299 ADELPHI STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06754-0052,3,,40.5,55.0,1985,"{'latitude': '40.612864392429', 'longitude': '-73.95386863945', 'human_address': '{""address"": ""2011 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03805-0041,3,11207.0,26.9,26.9,1930,"{'latitude': '40.665967661395', 'longitude': '-73.894322485706', 'human_address': '{""address"": ""463 PENNSYLVANIA AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00922-0004,3,11232.0,56.0,66.0,1917,"{'latitude': '40.674149953929', 'longitude': '-73.965467116157', 'human_address': '{""address"": ""369 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01986-0007,3,11216.0,71.0,100.0,1905,"{'latitude': '40.67812026645', 'longitude': '-73.971219503991', 'human_address': '{""address"": ""170 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01283-0001,3,11225.0,25.0,41.7,1973,"{'latitude': '40.671881150739', 'longitude': '-73.941986604777', 'human_address': '{""address"": ""230 KINGSTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00235-0020,3,11201.0,88.0,117.0,1982,"{'latitude': '40.576314119002', 'longitude': '-73.954980266958', 'human_address': '{""address"": ""200 BRIGHTON 15 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05770-0036,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08691-0011,3,11235.0,53.0,66.0,1927,"{'latitude': '40.619199405119', 'longitude': '-74.025508438186', 'human_address': '{""address"": ""8829 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05678-0022,3,11219.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03078-0001,3,11206.0,41.4,42.7,1950,"{'latitude': '40.639629582322', 'longitude': '-73.945505767633', 'human_address': '{""address"": ""1368 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07579-0010,3,11210.0,41.0,25.0,1950,"{'latitude': '40.6673142939', 'longitude': '-73.959912781658', 'human_address': '{""address"": ""49 CROWN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01264-0046,3,11213.0,22.41,23.52,1927,"{'latitude': '40.666845122883', 'longitude': '-73.945133012881', 'human_address': '{""address"": ""1324 CARROLL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05399-0041,3,11218.0,33.3,41.4,1930,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9115 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06099-0001,3,11209.0,49.9,49.8,1948,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1483 SHORE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
