bin,comparable_rental_1_dist_from_coop_in_miles,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_gross_sqft,bbl,comparable_rental_1_total_units,comparable_rental_2_year_built,nta,comparable_rental_2_total_units,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_2_building_classification,comparable_rental_2_full_market_value,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft
,0.0,2220000,36980,,44,1905.0,,32.0,C6-WALK-UP,C1-WALK-UP,3000000.0,16.03
3116111.0,2.05,2330000,85716,3050600008.0,11,1931.0,Flatbush                                                                   ,16.0,D4-ELEVATOR,C1-WALK-UP,590000.0,10.48
3029080.0,0.35,762000,8952,3011650011.0,11,1931.0,Prospect Heights                                                           ,11.0,C6-WALK-UP,C1-WALK-UP,672000.0,20.56
3024549.0,1.65,4920000,72900,3010620011.0,94,1926.0,Park Slope-Gowanus                                                         ,85.0,D4-ELEVATOR,D6-ELEVATOR,5560000.0,18.04
3322579.0,3.25,832000,12986,3011580058.0,16,1911.0,Prospect Heights                                                           ,16.0,C6-WALK-UP,C1-WALK-UP,1190000.0,17.13
3024572.0,1.7,2960000,43872,3010630026.0,47,1927.0,Park Slope-Gowanus                                                         ,71.0,D4-ELEVATOR,D9-ELEVATOR,2950000.0,18.04
3124069.0,0.3,837000,54000,3053210010.0,268,1937.0,Windsor Terrace                                                            ,48.0,D4-ELEVATOR,D1-ELEVATOR,738000.0,7.31
3034356.0,0.55,836000,40444,3013010001.0,33,1922.0,Crown Heights South                                                        ,24.0,C6-WALK-UP,C1-WALK-UP,656000.0,9.75
3148753.0,1.05,3700000,55272,3059410006.0,83,1928.0,Bay Ridge                                                                  ,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
317865900.00%,0.15,5530000,138600,3066810415.0,35,2000.0,Homecrest                                                                  ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.82
,3.5,1110000,14072,,20,1920.0,,20.0,C6-WALK-UP,C1-WALK-UP,572000.0,19.1
3173783.0,0.7,2460000,72000,3065870051.0,35,2000.0,Ocean Parkway South                                                        ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.16
,0.4,864000,19680,,24,1912.0,,30.0,C6-WALK-UP,C1-WALK-UP,1020000.0,14.1
3184662.0,1.15,5110000,115300,3068360064.0,35,2000.0,Madison                                                                    ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,14.23
3245100.0,4.7,5600000,83520,3086890045.0,112,1927.0,Brighton Beach                                                             ,139.0,D4-ELEVATOR,D1-ELEVATOR,6430000.0,17.92
3029330.0,1.75,2720000,63300,3011710002.0,43,1920.0,Prospect Heights                                                           ,30.0,D4-ELEVATOR,C1-WALK-UP,1390000.0,13.79
3024464.0,1.55,4720000,70042,3010590055.0,94,1926.0,Park Slope-Gowanus                                                         ,85.0,D4-ELEVATOR,D6-ELEVATOR,5560000.0,18.04
3127730.0,3.5,2220000,45738,3054170015.0,48,1932.0,Flatbush                                                                   ,48.0,D4-ELEVATOR,D1-ELEVATOR,1710000.0,14.34
,1.1,10300000,205454,,35,2000.0,,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,14.88
3245127.0,4.75,7470000,103734,3086920041.0,112,1927.0,Brighton Beach                                                             ,139.0,D4-ELEVATOR,D1-ELEVATOR,6430000.0,19.0
,0.0,1090000,26250,,30,1925.0,,30.0,C6-WALK-UP,C1-WALK-UP,992000.0,13.3
,1.6,4360000,149400,,35,2000.0,,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,11.27
,0.05,2010000,31686,,32,1910.0,,29.0,C6-WALK-UP,C7-WALK-UP,573000.0,17.0
3378212.0,1.2,718000,12848,3027150005.0,20,1930.0,Greenpoint                                                                 ,16.0,C6-WALK-UP,C1-WALK-UP,3180000.0,25.3
3168025.0,3.35,3680000,65292,3064150022.0,69,1960.0,Bensonhurst West                                                           ,69.0,D4-ELEVATOR,D1-ELEVATOR,2790000.0,16.66
3204127.0,1.25,2720000,52500,3074400028.0,35,2000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,15.3
3116200.0,2.45,1720000,97332,3050640029.0,11,1931.0,Prospect Lefferts Gardens-Wingate                                          ,16.0,D4-ELEVATOR,C1-WALK-UP,590000.0,8.31
,4.1,5350000,79920,,78,1928.0,,83.0,D4-ELEVATOR,D1-ELEVATOR,3070000.0,17.92
3000000.0,1.7,2370000,35826,3011170001.0,48,1920.0,park-cemetery-etc-Brooklyn                                                 ,31.0,D4-ELEVATOR,C1-WALK-UP,1890000.0,17.71
,3.05,732000,13096,,16,1905.0,,16.0,C6-WALK-UP,C1-WALK-UP,869000.0,16.53
,5.6,2330000,52590,,11,1931.0,,16.0,C6-WALK-UP,C1-WALK-UP,590000.0,14.25
3200950.0,1.45,2170000,64122,3073800024.0,98,1929.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D1-ELEVATOR,2290000.0,12.04
3163920.0,1.45,3330000,84000,3062990032.0,35,2000.0,Bensonhurst West                                                           ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.74
3245784.0,4.85,5430000,81000,3087260001.0,112,1927.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,139.0,D4-ELEVATOR,D1-ELEVATOR,6430000.0,17.92
3163828.0,1.85,2000000,50400,3062960046.0,35,2000.0,Bensonhurst West                                                           ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.75
3031706.0,0.6,313000,17304,3012440025.0,16,1919.0,Crown Heights North                                                        ,44.0,C6-WALK-UP,C1-WALK-UP,814000.0,8.52
3071014.0,1.25,701000,16875,3030450017.0,18,1906.0,Bushwick South                                                             ,32.0,C6-WALK-UP,C7-WALK-UP,1390000.0,13.35
3116541.0,2.1,1920000,87951,3050800060.0,11,1931.0,Flatbush                                                                   ,16.0,D4-ELEVATOR,C1-WALK-UP,590000.0,9.17
3148115.0,1.1,6650000,98304,3059250053.0,63,1960.0,Bay Ridge                                                                  ,63.0,D4-ELEVATOR,D1-ELEVATOR,3900000.0,18.1
3011921.0,3.05,505000,6496,3007570039.0,16,1931.0,Sunset Park East                                                           ,16.0,C6-WALK-UP,C1-WALK-UP,602000.0,20.79
,0.7,2660000,76770,,35,2000.0,,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.35
3205035.0,1.4,6650000,152920,3074640035.0,35,2000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,13.98
3122195.0,1.6,3060000,162439,3052680033.0,59,1931.0,Windsor Terrace                                                            ,35.0,D4-ELEVATOR,C1-WALK-UP,847000.0,8.88
3076548.0,2.3,333000,12480,3033490003.0,20,1931.0,Bushwick South                                                             ,14.0,C6-WALK-UP,C1-WALK-UP,270000.0,10.3
,0.4,1330000,21120,,26,1931.0,,26.0,C6-WALK-UP,D1-ELEVATOR,1070000.0,16.82
3001510.0,4.6,8340000,84445,3002080331.0,122,1928.0,Brooklyn Heights-Cobble Hill                                               ,142.0,D4-ELEVATOR,D5-ELEVATOR,9290000.0,23.85
3002838.0,0.8,738000,8400,3002790035.0,16,1928.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,14.0,C6-WALK-UP,C7-WALK-UP,636000.0,21.22
3.1703270E+6,1.75,3570000,103980,3065030020.0,35,2000.0,Flatbush                                                                   ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,12.23
3326602.0,2.1,5810000,398223,3036330001.0,27,1926.0,Brownsville                                                                ,63.0,D4-ELEVATOR,C7-WALK-UP,1160000.0,6.88
3000000.0,0.95,945000,12393,3011170001.0,16,1920.0,park-cemetery-etc-Brooklyn                                                 ,16.0,C6-WALK-UP,C1-WALK-UP,1110000.0,20.39
3024625.0,3.5,4520000,65000,3010640018.0,99,1926.0,Park Slope-Gowanus                                                         ,77.0,D4-ELEVATOR,D7-ELEVATOR,4840000.0,18.61
3144936.0,4.85,8310000,161232,3058590015.0,135,1963.0,Bay Ridge                                                                  ,106.0,D4-ELEVATOR,D1-ELEVATOR,4120000.0,15.25
312030600.00%,0.15,282000,15600,3052090022.0,16,1931.0,Flatbush                                                                   ,16.0,C6-WALK-UP,C1-WALK-UP,324000.0,8.52
,0.85,1060000,12556,,16,1920.0,,16.0,C6-WALK-UP,C1-WALK-UP,1110000.0,20.39
3001826.0,2.35,3290000,48387,3002360018.0,63,1928.0,Brooklyn Heights-Cobble Hill                                               ,74.0,D4-ELEVATOR,D7-ELEVATOR,3480000.0,18.16
