brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_gross_sqft,community_board,comparable_rental_2_gross_sqft,comparable_rental_2_dist_from_coop_in_miles
"{'latitude': '40.639920801295', 'longitude': '-73.966045507508', 'human_address': '{""address"": ""385 ARGYLE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",47505,14.0,47300.0,2.0
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9437 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",62556,10.0,57024.0,0.3
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""422 STATE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",21056,2.0,25500.0,1.05
"{'latitude': '40.647881008116', 'longitude': '-74.001252341897', 'human_address': '{""address"": ""673 41 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",21920,,17215.0,2.8
"{'latitude': '40.674613611257', 'longitude': '-73.983464945998', 'human_address': '{""address"": ""279 1 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",9200,,9500.0,1.0
"{'latitude': '40.697783609831', 'longitude': '-73.99558124181', 'human_address': '{""address"": ""115 WILLOW STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",48000,2.0,47925.0,2.45
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""82 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",104640,,136362.0,0.1
"{'latitude': '40.664722757628', 'longitude': '-73.99452541532', 'human_address': '{""address"": ""150 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,,7596.0,0.95
"{'latitude': '40.713019945819', 'longitude': '-73.960420782203', 'human_address': '{""address"": ""728 DRIGGS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",23700,1.0,20640.0,0.1
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""901 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,3.0
"{'latitude': '40.612667572249', 'longitude': '-74.034926348897', 'human_address': '{""address"": ""302 101 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",56800,10.0,31080.0,0.9
"{'latitude': '40.633466252961', 'longitude': '-73.952950283412', 'human_address': '{""address"": ""2835 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",57600,14.0,37500.0,0.3
"{'latitude': '40.700686495961', 'longitude': '-73.989161522317', 'human_address': '{""address"": ""44 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",60000,55.0,57876.0,1.5
"{'latitude': '40.69842734445', 'longitude': '-73.993804446511', 'human_address': '{""address"": ""59 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",50457,2.0,38500.0,3.1
"{'latitude': '40.668684069488', 'longitude': '-73.976731644337', 'human_address': '{""address"": ""411 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",48000,6.0,44046.0,1.45
"{'latitude': '40.590825489237', 'longitude': '-73.937179391283', 'human_address': '{""address"": ""2555 BATCHELDER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,1.7
"{'latitude': '40.629683922336', 'longitude': '-74.030182616165', 'human_address': '{""address"": ""243 78 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",57024,,64800.0,0.85
"{'latitude': '40.62697929721', 'longitude': '-73.96272072548', 'human_address': '{""address"": ""918 14 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.65
"{'latitude': '40.684373879719', 'longitude': '-73.914727172018', 'human_address': '{""address"": ""789 MAC DONOUGH STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",16495,16.0,29980.0,0.5
"{'latitude': '40.694431724522', 'longitude': '-73.998074046033', 'human_address': '{""address"": ""19 GRACE COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",39261,2.0,36636.0,2.15
"{'latitude': '40.689136736879', 'longitude': '-73.965029895887', 'human_address': '{""address"": ""21 ST JAMES PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",242752,2.0,257300.0,6.6
"{'latitude': '40.643089844098', 'longitude': '-73.976244757666', 'human_address': '{""address"": ""415 BEVERLY ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",245202,12.0,49800.0,0.2
"{'latitude': '40.60275430467', 'longitude': '-73.984456284843', 'human_address': '{""address"": ""1800 12 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.35
"{'latitude': '40.700609569246', 'longitude': '-73.985048211646', 'human_address': '{""address"": ""175 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",104640,55.0,136362.0,0.1
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2901 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",47164,,48000.0,4.5
"{'latitude': '40.675152881407', 'longitude': '-73.971141209957', 'human_address': '{""address"": ""3 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",65402,6.0,67000.0,6.7
"{'latitude': '40.69970465811', 'longitude': '-73.989823072825', 'human_address': '{""address"": ""140 CADMAN PLAZA"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",182000,,109832.0,8.8
"{'latitude': '40.6767449651', 'longitude': '-73.969172602497', 'human_address': '{""address"": ""673 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",6924,8.0,7280.0,0.35
"{'latitude': '40.691100932743', 'longitude': '-73.969467728852', 'human_address': '{""address"": ""210 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",113924,2.0,157042.0,1.35
"{'latitude': '40.695010643312', 'longitude': '-73.97805968323', 'human_address': '{""address"": ""130 ST EDWARD\'S STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",218302,2.0,153424.0,3.75
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""54 BAY 29 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",27000,,32044.0,2.2
"{'latitude': '40.594863785759', 'longitude': '-73.995194212314', 'human_address': '{""address"": ""282 35 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",14784,,14784.0,2.95
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9902 3 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",102000,10.0,194880.0,4.0
"{'latitude': '40.634049431112', 'longitude': '-73.99798027758', 'human_address': '{""address"": ""1165 54 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",153424,12.0,154378.0,2.55
"{'latitude': '40.669156804389', 'longitude': '-73.933271987851', 'human_address': '{""address"": ""1057 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",13440,8.0,18200.0,0.3
"{'latitude': '40.576118004817', 'longitude': '-73.965700683454', 'human_address': '{""address"": ""3111 BRIGHTON 1 PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",61920,13.0,62280.0,0.2
"{'latitude': '40.581305581498', 'longitude': '-73.967053405744', 'human_address': '{""address"": ""2815 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",52542,13.0,50400.0,5.3
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2607 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",67074,,68220.0,3.3
"{'latitude': '40.677184344021', 'longitude': '-73.971003453627', 'human_address': '{""address"": ""205 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",12612,8.0,12160.0,0.95
"{'latitude': '40.65906573256', 'longitude': '-73.962551438456', 'human_address': '{""address"": ""125 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,9.0,7596.0,0.25
"{'latitude': '40.59812181407', 'longitude': '-73.93261151674', 'human_address': '{""address"": ""2241 PLUMB 1 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",112320,15.0,102000.0,3.65
"{'latitude': '40.599294211758', 'longitude': '-73.994083566699', 'human_address': '{""address"": ""2250 BENSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",54210,11.0,50400.0,3.45
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""200 BAY 22 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",32400,11.0,40500.0,1.95
"{'latitude': '40.636900670756', 'longitude': '-73.993798096587', 'human_address': '{""address"": ""4802 12 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,12.0,7596.0,2.4
"{'latitude': '40.575967358812', 'longitude': '-73.964900837536', 'human_address': '{""address"": ""3111 BRIGHTON 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",46800,13.0,42920.0,4.7
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""241 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22850,,19890.0,0.05
"{'latitude': '40.688534755281', 'longitude': '-73.963201576119', 'human_address': '{""address"": ""333 LAFAYETTE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",242752,2.0,257300.0,6.6
"{'latitude': '40.634220546929', 'longitude': '-74.024888871051', 'human_address': '{""address"": ""359 OVINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",54210,10.0,50400.0,0.55
"{'latitude': '40.65420788089', 'longitude': '-73.948515869906', 'human_address': '{""address"": ""330 LENOX ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",194880,17.0,112320.0,4.35
"{'latitude': '40.599287050857', 'longitude': '-73.934948658748', 'human_address': '{""address"": ""2190 BRIGHAM STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,1.25
"{'latitude': '40.629007667514', 'longitude': '-73.967987044557', 'human_address': '{""address"": ""814 9 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.95
"{'latitude': '40.700223078566', 'longitude': '-73.995382984989', 'human_address': '{""address"": ""81 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",28358,2.0,36769.0,6.8
"{'latitude': '40.669297057387', 'longitude': '-73.922583899681', 'human_address': '{""address"": ""578 RALPH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",19528,8.0,17600.0,0.45
"{'latitude': '40.657056768677', 'longitude': '-73.975254183311', 'human_address': '{""address"": ""310 WINDSOR PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",57600,7.0,37500.0,1.75
"{'latitude': '40.655739558875', 'longitude': '-73.959183310529', 'human_address': '{""address"": ""289 PARKSIDE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,9.0,7596.0,0.45
"{'latitude': '40.606159229217', 'longitude': '-73.943014387011', 'human_address': '{""address"": ""3202 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,1.45
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1410 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.2
"{'latitude': '40.707635014225', 'longitude': '-73.963769159805', 'human_address': '{""address"": ""106 DIVISION AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",19350,1.0,25800.0,0.15
"{'latitude': '40.672231146876', 'longitude': '-73.927866434026', 'human_address': '{""address"": ""1493 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",32628,8.0,17244.0,1.3
"{'latitude': '40.648254221269', 'longitude': '-73.969515887178', 'human_address': '{""address"": ""25 STRATFORD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22500,14.0,7596.0,1.0
"{'latitude': '40.63804164017', 'longitude': '-73.972771026183', 'human_address': '{""address"": ""435 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",64800,12.0,64800.0,3.7
"{'latitude': '40.69347181954', 'longitude': '-73.992165359034', 'human_address': '{""address"": ""159 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",24570,2.0,25800.0,2.35
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1716 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",81888,,100610.0,1.5
"{'latitude': '40.633077220325', 'longitude': '-73.946665857988', 'human_address': '{""address"": ""745 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",102000,,75535.0,3.15
"{'latitude': '40.634831751581', 'longitude': '-73.981508167994', 'human_address': '{""address"": ""4217 16 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",46488,12.0,41963.0,0.4
"{'latitude': '40.62715761826', 'longitude': '-74.008457070736', 'human_address': '{""address"": ""1046 68 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,10.0,107569.0,4.95
"{'latitude': '40.690402797329', 'longitude': '-73.989928888223', 'human_address': '{""address"": ""96 SCHERMERHORN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",157042,2.0,113924.0,1.35
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7119 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",81000,10.0,96952.0,1.3
"{'latitude': '40.619704351971', 'longitude': '-74.038487168298', 'human_address': '{""address"": ""61 OLIVER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",112320,10.0,102000.0,3.8
"{'latitude': '40.674175135439', 'longitude': '-73.965587586793', 'human_address': '{""address"": ""365 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",16752,8.0,11000.0,1.8
"{'latitude': '40.670972008828', 'longitude': '-73.958315374424', 'human_address': '{""address"": ""315 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25556,8.0,21195.0,0.95
"{'latitude': '40.586355335546', 'longitude': '-73.966541318593', 'human_address': '{""address"": ""2610 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",54210,13.0,50400.0,5.0
"{'latitude': '40.584603826224', 'longitude': '-73.981966654599', 'human_address': '{""address"": ""2620 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.65
"{'latitude': '40.634233042071', 'longitude': '-73.993777107433', 'human_address': '{""address"": ""1271 51 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",186257,12.0,245202.0,3.0
"{'latitude': '40.670220800444', 'longitude': '-73.952788120888', 'human_address': '{""address"": ""465 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",55012,8.0,27300.0,0.4
"{'latitude': '40.577743094662', 'longitude': '-73.956256491462', 'human_address': '{""address"": ""1120 BRIGHTON BEACH AVENU"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",192000,13.0,188000.0,0.4
"{'latitude': '40.687645012412', 'longitude': '-73.967695013295', 'human_address': '{""address"": ""345 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",218302,2.0,470000.0,7.5
"{'latitude': '40.69713544092', 'longitude': '-73.995892128256', 'human_address': '{""address"": ""149 WILLOW STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",16470,2.0,16250.0,2.3
"{'latitude': '40.660370179595', 'longitude': '-73.985807606335', 'human_address': '{""address"": ""400 17 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",102000,,75535.0,2.4
"{'latitude': '40.673225437397', 'longitude': '-73.965056565418', 'human_address': '{""address"": ""338 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",31468,8.0,32835.0,0.3
"{'latitude': '40.607834604042', 'longitude': '-73.955228494103', 'human_address': '{""address"": ""1730 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.05
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""57 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",39261,2.0,36636.0,2.15
"{'latitude': '40.688080665598', 'longitude': '-73.960192687833', 'human_address': '{""address"": ""110 CLIFTON PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",45670,2.0,57927.0,2.9
"{'latitude': '40.718353203332', 'longitude': '-73.949193288672', 'human_address': '{""address"": ""72 RICHARDSON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",27309,1.0,13000.0,0.95
"{'latitude': '40.621705900144', 'longitude': '-74.023496460868', 'human_address': '{""address"": ""580 84 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",62556,,57024.0,0.5
"{'latitude': '40.646857855454', 'longitude': '-74.004956950439', 'human_address': '{""address"": ""4404 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",17215,7.0,17215.0,2.9
"{'latitude': '40.579096737424', 'longitude': '-73.937937336505', 'human_address': '{""address"": ""147 OXFORD STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",19080,15.0,19422.0,1.95
"{'latitude': '40.667348489071', 'longitude': '-73.982473196084', 'human_address': '{""address"": ""413 9 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",14116,,14050.0,1.05
"{'latitude': '40.629803330818', 'longitude': '-74.030699057851', 'human_address': '{""address"": ""223 78 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",32400,,35520.0,5.6
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8735 BAY PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",81888,11.0,89448.0,0.45
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1810 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.05
"{'latitude': '40.676187025734', 'longitude': '-73.969364218037', 'human_address': '{""address"": ""689 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",39261,8.0,25840.0,2.2
"{'latitude': '40.651326171665', 'longitude': '-73.95742077766', 'human_address': '{""address"": ""45 MARTENSE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",66530,14.0,105136.0,0.4
"{'latitude': '40.684786580561', 'longitude': '-73.96711960443', 'human_address': '{""address"": ""451 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",29560,2.0,31468.0,1.45
"{'latitude': '40.634214335357', 'longitude': '-74.030020439736', 'human_address': '{""address"": ""190 72 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",316900,,349060.0,2.9
"{'latitude': '40.6264023465', 'longitude': '-74.026840358015', 'human_address': '{""address"": ""8105 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",62556,10.0,57024.0,0.6
"{'latitude': '40.604542277404', 'longitude': '-73.966436191217', 'human_address': '{""address"": ""1811 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,2.6
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1900 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,2.15
"{'latitude': '40.605501203002', 'longitude': '-73.996572625718', 'human_address': '{""address"": ""2021 84 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",52542,11.0,50400.0,3.05
"{'latitude': '40.672048005111', 'longitude': '-73.985168166103', 'human_address': '{""address"": ""283 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",245202,,49800.0,0.15
"{'latitude': '40.628866933245', 'longitude': '-74.030174156498', 'human_address': '{""address"": ""255 79 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",62556,,57024.0,0.8
"{'latitude': '40.672850542537', 'longitude': '-73.963280364528', 'human_address': '{""address"": ""400 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",31468,8.0,32835.0,0.3
"{'latitude': '40.696336661722', 'longitude': '-73.997060890963', 'human_address': '{""address"": ""1 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",79460,2.0,76334.0,1.1
"{'latitude': '40.699839398185', 'longitude': '-73.984441188996', 'human_address': '{""address"": ""165 SANDS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",123700,2.0,128000.0,2.0
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7714 BAY PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,11.0,107569.0,3.85
"{'latitude': '40.673788447844', 'longitude': '-73.950094793848', 'human_address': '{""address"": ""685 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",35784,8.0,86804.0,0.15
