menu_item_id,restaurant_item_name,sugar,dietary_fiber,protein_100g,restaurant_id,trans_fat,restaurant,food_category,carbohydrates_100g,carbohydrates
10693,"Baskin Robbins Chocolate Chip Cookie Dough 31� Below, Small",69.0,2.0,4.0,5,0.5,Baskin Robbins,Desserts,28.0,94.0
170093,7 Eleven 10 For $2 Mini Tacos,,,,1,,7 Eleven,Sandwiches,,
10751,"Baskin Robbins Chocolate Chip Cookie Dough Milkshake, Large",154.0,2.0,3.0,5,2.5,Baskin Robbins,Beverages,21.0,190.0
150054,"Applebee's Brew Pub Pretzels & Beer Cheese Dip, for Build Your Sampler",4.0,4.0,,2,0.5,Applebee's,Appetizers & Sides,,62.0
170018,7 Eleven All Butter Croissant,,,,1,,7 Eleven,Baked Goods,,
90315,"Auntie Anne's Fuze, Raspberry Tea, 16 fl oz",24.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,5.0,24.0
546,Arby's Classic French Dip & Swiss Sandwich,3.0,2.0,10.0,3,1.0,Arby's,Sandwiches,16.0,51.0
10801,"Baskin Robbins Freeze w/ Orange Sherbet, Medium",85.0,1.0,1.0,5,0.0,Baskin Robbins,Beverages,15.0,104.0
150134,Arby's Turkey N Cheese Slider,2.0,1.0,15.0,3,0.0,Arby's,Sandwiches,23.0,21.0
150132,Arby's Roast Beef Gyro,5.0,3.0,9.0,3,1.0,Arby's,Sandwiches,18.0,48.0
80395,"Auntie Anne's Gold Peak, Unsweetened Black Tea, 32 oz",0.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,0.0,0.0
10803,"Baskin Robbins Ice Cream Float, Large",101.0,0.0,1.0,5,1.5,Baskin Robbins,Beverages,12.0,110.0
90299,"Auntie Anne's Gold Peak, Peach Tea, 16 oz",24.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,5.0,24.0
10694,"Baskin Robbins Heath 31� Below, Small",77.0,2.0,4.0,5,0.5,Baskin Robbins,Desserts,24.0,81.0
170084,7 Eleven Potato Wedges,,,,1,,7 Eleven,Fried Potatoes,,
150231,"Baskin Robbins Cappuccino Blast Mocha w/ Soft Serve, Medium",70.0,2.0,1.0,5,0.0,Baskin Robbins,Beverages,14.0,96.0
10399,"Arby's Jamocha Shake, Large",112.0,1.0,3.0,3,0.5,Arby's,Beverages,21.0,124.0
10025,Applebee's Caesar Salad,2.0,2.0,,2,0.0,Applebee's,Salads,,10.0
170149,"Applebee's Caffeine Free Diet Pepsi, 30 oz",0.0,0.0,0.0,2,0.0,Applebee's,Beverages,0.0,0.0
170244,"Auntie Anne's Frozen Lemonade Mixer, Strawberry, 16 fl oz",,,,4,,Auntie Anne's,Beverages,,
10253,Applebee's Mexi Ranch Dressing,2.0,0.0,,2,0.0,Applebee's,Toppings & Ingredients,,3.0
