mandt,vbeln,rfstk,rfgsk,bestk,lfstk,lfgsk,wbstk,fkstk,fksak,buchk,abstk,gbstk,kostk,lvstk,uvals,uvvls,uvfas,uvall,uvvlk,uvfak,uvprs,vbtyp,vbobj,aedat,fkivk,relik,uvk01,uvk02,uvk03,uvk04,uvk05,uvs01,uvs02,uvs03,uvs04,uvs05,pkstk,cmpsa,cmpsb,cmpsc,cmpsd,cmpse,cmpsf,cmpsg,cmpsh,cmpsi,cmpsj,cmpsk,cmpsl,cmps0,cmps1,cmps2,cmgst,trsta,koquk,costa,saprl,uvpas,uvpis,uvwas,uvpak,uvpik,uvwak,uvgek,cmpsm,dcstk,vestk,vlstk,rrsta,block,fsstk,lsstk,spstg,pdstk,fmstk,manek,spe_tmpid,hdall,hdals,cmps_cm,cmps_te,vbtyp_ext,fsh_ar_stat_hdr,hvr_is_deleted,hvr_change_time
153,VB0006,r68,G2250,b6,l66,G38,W10,f01,S38,Bk70,A2881,g0,K2592,l72,VAlS74,vv29,VFA51,VaLL64,vVlK1,VFaK46,vPrS23,v62,oBJ38,2025-01-04,fIK10,rEl16,k519,k097,K949,K192,k174,s165,s043,s73,S090,s165,pk16,M4,B9,O3,D5,Q8,F7,S204,T8,I2,J5,W6,L778,CM06,cM74,cM42,GsT52,tr1,kq13,Co12,rEl73,PAs09,PIs8,waS1,PAK20,PIK27,waK15,GEK23,CMM56,DC27,VE28,Vl76,Rr47,bLoCK15,FS99,Ls30,Sp40,PD1490,fM0,mAn1,TmpID29,HDAlL0,HDALs42,cMcM1,CMte23,vX61,sTaT1,2,2025-06-01 12:01:57
204,VB0069,r00,G17,B29,l50,G79,W65,F48,s99,bk20,a5,g75,K34,l71,VALs17,vv20,vFa2,VaLl20,VvLk23,VFaK93,VprS2,V28,OBJ16,2025-01-16,FIK14,REl59,k169,K903,K98,K80,K120,S215,s06,S418,S80,s16,Pk00,A630,B5,O6,P5,E523,F9,S452,T9,I521,V9,W702,L5,CM85,cm1,CM52,GST2805,tR0,KQ22,Co58,REl67,PAS1946,pIS86,WAS86,pAk2,Pik27,waK2,GEk94,cMM70,dc20,ve1,vl29,rR5,BLOck1,Fs05,LS25,Sp88,Pd44,fM64,maN22,tMPID5,HDAll16,HDaLs11,CMCM61,CMTE1741,Vx86,STaT98,7,2025-06-01 12:00:57
178,VB0081,R44,g63,B2729,l7,G39,w4,F49,s7,BK4,a7,G64,k62,L20,VALS2551,vv10,VFA23,VaLl2,vVlK29,VFak2,VprS24,V17,oBj1,2025-01-10,fiK2,ReL66,K61,K011,K006,K971,k803,S012,s373,S371,s249,s506,Pk85,M443,B7,O1,D5,Q3,R4,G923,H30,U6,J225,W740,L9,cM1,cm49,Cm0,GSt09,Tr30,Kq96,Co01,REl3,PaS38,piS21,Was10,paK16,Pik15,wAk1,GeK69,cMM7,Dc65,VE2420,vL37,rR6,BlOCk20,FS1978,ls21,sP7,pD3,fm16,MAN17,TmPID28,HdAlL2,HDALS11,CMcm29,CmtE17,vX10,StAT85,-8,2025-06-01 12:01:52
162,VB0035,r97,g51,b89,l94,g82,w54,f26,S16,bK4,a0,G1227,k74,l0,VAls14,vv2,vFa16,ValL2,VVlk26,vfAK10,VpRS6,V15,OBJ12,2025-01-15,FiK79,reL23,K778,K608,K26,K40,K655,S410,s019,s335,S042,S81,Pk48,A3,B9,C8,D768,E4,F7,S112,T425,U3,V7,K1,X433,cm3,cM68,CM55,Gst1,tR86,KQ15,Co83,reL65,PaS7,pIS69,WAs49,PaK0,PIk51,wAK0,GeK44,CmM62,dC39,VE26,Vl87,Rr31,bLOCk19,Fs13,lS55,SP20,pD89,FM1234,Man14,TMPID12,HDAlL80,HDALS12,CMcM15,cMTE2,VX1833,STAt42,6,2025-06-01 12:00:53
105,VB0039,R95,g2,b55,l79,G25,w9,F1659,s72,bK07,a6,g30,k30,l49,VaLs26,VV29,VFA93,VALL29,VVLK1207,VFAK29,vPRs13,V15,OBj51,2025-01-30,FIk75,rEl2,K06550,k06,k530,K238,K100,S27,s08,S14,s037,s656,PK80,M952,N7,C4,P4,E25,R4,S8,T9,U913,J9,W1,L5,cM5,CM45,cm29,gST93,tr27,kQ31,co2,REl0,pAs25,PIS37,WAS1234,paK10,pIK69,WAK10,gEK36,CmM1,dC93,vE9,VL94,rR3,blOCK23,FS88,lS86,SP20,Pd3,FM37,Man1,TmPID9,HDALl37,HDALS10,cMcM20,cmTE24,vx1,sTAt28,11,2025-06-01 12:01:18
126,VB0040,R80,G2253,b0,l85,g66,W21,F6,S2922,bK79,A4,g9,k04,L35,VAls26,Vv78,VFa16,VAlL51,vVLk17,vFaK12,vPRS48,v9,ObJ80,2025-01-23,fIk1,REl02,K05,k724,k532,k036,K55,s085,S978,s939,S491,S058,PK1145,A5,B3,C405,D9,Q8,R366,S949,H830,U3,J4,K9,L858,Cm65,cM61,CM50,GST1744,TR2932,KQ2175,CO18,rEL4,Pas2,PIs1,WAs4,PAk30,PIK21,wAK91,geK15,Cmm1,dC5,Ve0,vl29,rr26,bLoCK26,fS51,ls1,sp25,PD1158,FM39,mAn24,TmPiD26,HDALL1812,HdAlS18,CmcM10,CmtE1,VX23,STAT30,-8,2025-06-01 12:00:57
172,VB0071,R14,G72,B1435,l2,G32,w34,F13,S19,bK95,A81,G28,k46,l70,vAlS2,VV64,VfA3,vALl2,VVLK2529,vfAK25,VPrs1,v47,OBJ12,2025-01-18,Fik12,REL17,k516,k675,K03310,K145,k049,S975,S07797,S040,s84,s12,PK23,M9,B6,C2,P1,E3,F3,G2,T6,U61,V5,W9,L9,Cm62,cm4,cM13,GSt50,TR4,Kq7,CO72,Rel64,PAS24,PIS75,wAs2,PAK22,Pik20,Wak1,GEK23,Cmm14,dC9,VE17,vL0,RR2944,BlOCK88,FS2268,lS43,sp13,pd22,fm27,mAN7,TMPid24,HdaLL11,hDALS3,CmcM2,CMte18,VX24,sTAt24,-9,2025-06-01 12:00:46
117,VB0014,r2,g6,b87,l93,g02,W0,F50,S0,Bk92,a5,G129,k8,L24,vAlS28,vv20,vFA66,VALL23,VVLK1372,VFAk0,vpRS1,V0,oBJ6,2025-01-04,FIk70,REL23,K60,K076,k020,k494,K002,S73,S752,s02,s69,s908,pK07,M0,B553,O177,D720,Q2,R5,G2,T13,I584,V4,K706,L8,CM38,CM1861,cm2,GST16,TR12,Kq16,CO21,REL76,Pas1,piS28,Was21,Pak2,pIk15,WaK9,GEK55,cMm21,dC1,Ve3,vl1,Rr6,BLOcK04,FS25,Ls63,SP2277,Pd85,fm2,MAN15,TmpID29,HDaLl1,HdALs14,CMCM2499,cMTE44,Vx2,StAT59,-2,2025-06-01 12:01:38
105,VB0044,R2914,G21,B10,l93,g61,w0,F25,S11,bK78,a9,g04,k7,L3151,vALs25,vV5,vFA81,VALL89,VVLK10,VFak2,vPRS69,V15,OBj53,2025-01-11,FIK18,reL21,K56,k675,K089,K749,K079,S67,S066,s136,s047,s401,Pk9,A6,N3,C3,D9,Q6,R5,S9,H9,U9,V2,W6,X9,Cm7,cM0,cM43,GsT94,tR9,KQ59,cO92,Rel71,Pas10,piS27,wAs20,pAk13,PIK2815,Wak27,Gek27,CmM33,DC28,ve11,Vl8,Rr88,BLocK25,Fs6,LS5,Sp4,PD48,Fm07,maN14,TMPId0,hDaLL23,HdALs15,cMCM84,cMTE41,VX27,StAT95,4,2025-06-01 12:00:58
187,VB0066,r0,G21,B5,L1847,G36,w9,F08,S60,BK17,A0,G24,K45,L35,VaLS3,vv24,VfA80,vaLL22,VvLk23,vFaK2,VprS18,V18,OBj7,2025-01-29,FIk67,reL16,k059,K84,K729,k99,K107,S558,s01,s02,s060,s901,PK27,M8,B5,O4,D8,E4,F8,S6,H6,U3,V2,K626,L8,Cm84,cm13,CM5452,Gst24,tr13,KQ15,cO59,REl68,PaS36,PIS11,wAS72,pAK10,PIk61,WaK79,gEK84,CMM1206,dc26,Ve66,vL6,RR16,BLoCK7,Fs45,LS29,Sp8,pD88,FM5,MAn5,tMPId23,hDaLL10,hDaLS2,cmCM12,cMTE6,VX27,sTAt2,5,2025-06-01 12:01:28
123,VB0072,r60,g68,b42,L1245,G2387,w03,F21,S2546,Bk3,a74,g32,k9,L37,ValS2,VV1917,VFA1947,VaLL72,vVLk2,VFAK1104,vpRS16,V2143,oBj14,2025-01-24,fiK2,ReL85,k004,K780,K41,K657,K10541,S926,S81,S034,S434,s048,Pk63,M4,B7,C4,D2,E1,R820,G0,T0,I480,V491,K6,L4,CM7,cm48,CM2832,GsT5,Tr41,KQ11,Co72,rEL42,PAS18,PIs56,WAS22,PAk3,pIK0,WAK74,Gek2,CMm26,dC8,VE2181,vL65,rR05,BLOCK227,Fs8,Ls55,sp11,PD2820,FM2887,MAn0,tMPId11,HdaLL12,HdALs20,CMcM60,CmtE2,VX1273,STat1,-3,2025-06-01 12:00:51
107,VB0004,r45,g57,B0,l8,G41,w0,f88,S20,Bk90,a50,G24,K28,L8,ValS2,VV22,VfA84,vaLL24,VVLk93,VfAK09,vPrS20,v3,OBJ2308,2025-01-08,FIk8,REL40,K01484,K57,K03965,K093,k036,S048,S575,S082,S634,s256,pK7,M4,N7,O3,P8,E8,F1,G0,H6,U0,V240,K6,X256,CM0999,cM02,cm27,GsT66,TR1491,kq16,co12,rEL97,PAs87,PIs4,wAS5,PAK23,PIK03,Wak22,GEK18,CMM2988,dc26,Ve67,Vl00,rR01,BLOcK60,fs2,ls13,SP41,Pd7,fm17,MaN0,TMPiD0,HdALL95,HdaLS25,CMcM62,CMTE20,vX41,StAT69,5,2025-06-01 12:00:38
202,VB0084,r97,G25,B23,l07,G33,W1728,f61,S2540,Bk60,A18,g3,k30,l69,vALs23,Vv31,vFA96,VALL48,VvLK81,VfAk17,VPRs49,v24,ObJ79,2025-01-30,FiK09,rEl17,K01481,K873,k045,K271,K402,S018,s08,s884,s087,S37,PK13,A690,N8,C0,D5,Q0,F397,G2,H902,I9,J6,K484,L6,cM81,CM98,cM35,GSt62,Tr43,Kq03,CO11,REl3,paS23,PIS27,Was13,paK15,PIK0,WAk9,GEk66,Cmm1,Dc08,ve1,Vl98,RR22,BLOCK37,fS37,LS2158,SP1478,PD15,FM3,Man2,TMPid17,hDALL61,hDALS08,cmCM26,cMtE28,VX14,StAT06,-7,2025-06-01 12:01:34
91,VB0010,r40,g07,b8,L14,g9,W99,F75,s35,bK78,A23,g36,k9,L3450,vALS9,VV18,VFa85,VALL22,VvlK10,vfAK12,vPRS92,V47,Obj27,2025-01-30,FIK36,Rel11,k058,K526,K032,k06,K102,S019,S01,S453,S060,s354,pk18,M5,N5,C3,P2,E5,R8,G50,T2,U5,V718,K5,X7,Cm4,cM72,cM45,gsT19,tr15,kQ48,Co17,REL67,PAs1,piS14,WAS23,paK19,Pik26,waK24,gEk14,CmM9,DC13,VE77,vl24,rr27,BlOcK10,FS12,lS4,sP55,Pd8,fM65,MaN3,tMPiD27,HDAll18,HdALs2,CMcM5,cMtE24,VX15,sTAT5,10,2025-06-01 12:01:50
113,VB0027,R23,G6,B25,l30,G89,w76,f46,s48,Bk55,a70,G5,K21,l37,VaLS08,vv27,VfA57,vaLL1,VVLK20,VfAK4,VpRS55,v47,ObJ3,2025-01-21,FIK11,Rel29,K340,k070,K961,K04224,K03,s510,S161,s632,s79,s090,PK23,M8,B176,O1,P6,E649,R9,G7,T228,I6,V6,W4,L9,CM9,CM43,cM32,gsT29,TR03,kQ08,Co1,REl0,PAs79,PIS35,wAs29,PaK89,pIk26,wAK75,gEk1,cMM2,Dc83,vE05,VL20,rr2,bLoCK23,fs2,LS1634,sp22,pD63,Fm74,mAn13,TMPid1,hDALL90,HDalS15,CMcM4,CmtE25,VX23,STAt77,-4,2025-06-01 12:01:58
186,VB0060,R20,G1232,b20,L19,g58,W1477,F20,s01,bk29,A14,G1912,K66,L392,vaLS2,vv2,vfA2,vaLL13,VVLK21,VFAk80,VPrs18,V08,OBJ171,2025-01-24,FiK06,reL25,k02,K05,K195,K93,k16,S53,S95,s334,s021,S481,pK83,A5,B3,O8,D8,Q8,R3,S8,H4,U6,J6,K403,X3,CM91,Cm01,CM29,Gst23,TR10,Kq01,Co59,REl16,PAS28,pIs2,wAs18,Pak2,piK2,Wak26,gEK51,CmM38,Dc0,ve28,VL09,rr16,bLOcK18,FS66,LS11,SP134,pd18,FM1616,MAn8,tMPiD2,HDaLL30,hDALs1,CmcM28,CMTe15,Vx8,sTaT18,1,2025-06-01 12:00:18
172,VB0061,r6,G88,b26,l04,g51,W2880,f79,S25,bk1,A57,G51,K7,l13,vALS46,vV42,VfA41,VaLL47,VVlk2,VFak28,vPRs1,v99,OBj25,2025-01-26,FIK14,REL27,K36,K61,K043,K241,K882,S747,S31,S037,S046,S427,pK99,A99,N8,O241,D500,Q6,F4,G9,H0,U1,J16,W8,L0,cM72,CM40,Cm93,gSt13,tr2,KQ28,CO05,reL76,paS15,PIS19,WAS18,PaK41,piK26,WAk8,GEK06,cMM4,DC0,vE7,Vl72,rr23,BLoCk20,fS38,lS01,SP23,Pd99,FM17,Man20,TMPiD47,HDALL66,HdaLS27,cMcM18,cMTE04,Vx68,sTaT1,-5,2025-06-01 12:00:17
169,VB0077,R11,g81,b19,L20,G2952,W15,f02,s5,Bk85,A15,G1202,K2456,L92,VALS14,VV1385,VFa60,VaLL3,VVLk45,VFAK12,VPRS20,V89,Obj1,2025-01-16,Fik15,REL277,K019,k062,K308,K091,K091,s261,S789,S791,S835,S70,Pk75,M2,N9,C1,D4,E4,F707,S4,T8,U2,J5,W2,X1,cm38,cM92,Cm94,gSt2,tr14,kQ49,CO46,REL49,Pas2,pIS5,waS17,Pak27,PiK02,wAK06,geK1,cMm24,Dc0,Ve15,vl1,rR36,BlOcK18,Fs30,LS1436,sp1,PD30,fM3,mAn2,TmPiD2,hDaLL2,HDALS17,CMcm17,CMTE256,vx15,STAT1699,9,2025-06-01 12:00:37
158,VB0029,r98,g41,b56,l3,g77,W24,F2278,s95,BK31,a43,G28,K10,L36,ValS1,Vv82,vfA2,VALL26,VvlK20,vFAk1,VPRs06,v4,OBJ14,2025-01-11,FIK6,REL29,k661,K429,k13,K903,k202,s076,S274,s336,S039,s855,PK99,M2,B8,O9,P3,E1,R4,S7,T9,I5,J2,W3,L3,cM47,CM1118,CM27,gsT28,TR18,Kq91,CO0,rEl7,PAS27,PIS1999,Was26,Pak2,Pik1,waK2,geK10,CmM48,Dc47,vE0,Vl79,RR19,bLOCk17,fS37,lS9,Sp95,PD78,FM99,Man28,tMPID15,HDalL29,hDaLS28,CMcm22,cMTE02,Vx91,stAT26,3,2025-06-01 12:00:31
198,VB0001,r0,G72,B23,l9,G26,W1629,F15,s09,bk1,a40,G11,k33,L26,vaLS1,vv10,vFA07,VaLl23,VVlk19,vfAK25,VPRS27,v21,ObJ66,2025-01-11,FiK82,Rel13,k214,K145,k483,K249,k859,s56,s774,S92,s072,S00,Pk71,M1,B6,C5,D0,Q1,F795,G2,T0,U710,J30,K7,X4,cm05,cM63,CM87,gST66,Tr9,kQ68,co22,rEL98,pAs27,PIs70,wAs21,PAK10,piK2,WAK26,GEk8,CmM0,DC12,Ve33,VL13,rr13,BLOCK27,fS7,LS27,SP62,pD04,fM71,mAn15,TmPID53,hDaLL1,HDALS24,CMcm1,cMTe2,vX69,STat12,1,2025-06-01 12:01:45
142,VB0070,r63,g06,B19,L21,G79,W3,f1,S32,Bk28,A39,g36,K19,l42,VALS2232,VV62,VFa7,vALl24,vVLk17,VFAk5,vPRS91,v7,obJ2,2025-01-06,fIK09,reL20,K014,K283,K35,K43,k90,s717,s62,s014,S660,s458,pk24,M215,N729,O4,D522,E8,F731,G380,T429,U2,V1,W7,X4,cm35,CM18,cM31,Gst21,TR1784,kq11,CO48,REl91,PaS73,PiS04,wAS0,pAk23,pIK42,wAK7,Gek2,CMM19,DC2252,Ve02,vl22,rr21,BLOCK1645,fS85,lS90,Sp20,PD10,Fm68,mAN24,tMPiD26,HDaLl10,HDAlS6,cMCM7,cMTe11,VX36,STAt66,7,2025-06-01 12:00:56
135,VB0042,r4,g5,b5,L2491,g44,W13,f52,S2785,BK17,A1154,g82,k9,l74,ValS1,vv25,VFA182,vaLL10,VVLk43,VFAk6,vPRS7,v1,obJ2,2025-01-16,Fik2,reL12,K063,K27,k534,k341,k452,s66,s928,s682,s087,S122,Pk6,M4,B5,O506,D1,E949,F3,G2,H2,I3,V9,K6,X7,Cm10,cM57,Cm1,gsT21,TR30,KQ1290,cO6,ReL98,PAS28,piS19,Was12,PAk5,piK1,WaK0,gEk2,CMM20,Dc0,ve16,VL39,Rr49,BLocK18,fS5,Ls83,Sp8,pD2,Fm91,MAn42,TMpID83,HDALL26,HDAls2,CMcm19,CmTe1,VX24,STaT0,9,2025-06-01 12:00:12
132,VB0030,r0,G75,b81,l77,G2109,W51,f1,s3,bK51,a1,g9,K13,l38,VaLS92,vv2,VFA28,VaLL2,vVlK22,VFak1,VPrS7,v75,oBJ4,2025-01-04,fIk2,rEL61,K059,k62,K308,k07,k707,S005,s015,s438,S012,s45,pk10,M9,N7,O545,D3,Q6,R739,G0,H2,U7,V8,W1,X604,CM3459,cM24,cm53,GST15,TR46,kQ02,CO27,Rel63,Pas13,PIs08,wAS20,Pak26,PIK22,WAk69,gEk2,CmM28,DC2747,vE5,VL22,RR16,bLOcK25,fs14,lS99,Sp09,pD39,fm2,mAn2,tMPId11,HdALL54,HDaLS8,CmCM53,CMTE22,vX81,STAt13,7,2025-06-01 12:01:35
130,VB0050,r51,G15,b64,L1956,G271,w7,f86,S7,BK1150,A7,g96,k49,L28,VALS16,VV2654,VFA2431,vaLL19,VVLk59,vFAK7,VpRs25,V24,OBJ13,2025-01-10,fIk2,Rel20,K43,k002,k686,k89,K057,S870,S54,s231,S748,s147,pK8,M0,N2,C3,D238,Q333,R5,G828,H7,I7,V6,W1,X0,CM37,cm14,cM90,GST20,tr1,kQ11,Co49,REL15,pAS61,PIS1298,WaS2,Pak20,PIK2779,wAK41,Gek1,cMm21,dc27,VE2614,VL1734,RR5,BLoCK53,fS04,lS54,Sp39,pD33,FM2847,mAn13,TMpiD22,HDALL13,HDaLS36,CMCm4,CMTE13,VX28,StaT2,6,2025-06-01 12:01:39
116,VB0013,r7,G32,B12,L2767,G3315,w6,F1883,S76,bK8,a75,G9,K48,L3921,vALS49,vv12,VfA7,VAll1,VVLK25,VFak24,vPRs13,v7,OBJ28,2025-01-11,FIK25,ReL76,K379,k47,K033,k01,k16,S835,s678,S017,s34,S056,pK30,A7,B8,O717,D8,E2,R714,S2,T1,U869,V2,W4,X868,CM31,Cm33,cm59,GST22,TR23,KQ87,Co53,Rel7,PaS04,Pis23,WAS13,pAK03,PIk6,WaK83,Gek2,cMm2,DC20,VE22,VL08,rR1,blOCK22,FS17,LS14,SP2561,pd26,fm1,MAN16,TMpID09,hDAlL1,hDaLS25,cMCM46,CMtE92,vX64,sTaT24,-1,2025-06-01 12:00:26
109,VB0073,R57,G25,b57,l66,G22,w6,F54,s21,BK223,A2370,G2467,k3,L34,VALs97,VV24,vFa28,vAlL1,VvLK25,VfAK00,vPRs20,V11,obJ13,2025-01-14,FIK54,rEL03,k966,K020,k072,K381,K082,s059,S103,S987,s078,s086,pk23,A4,B6,O619,D6,Q142,R7,S9,H2,I9,V0,W601,X5,CM34,cM97,cm5,gST72,tr28,kq1,Co7,REL79,Pas23,pIs17,waS28,pAK18,PiK71,WaK80,GEk7,CMm82,DC22,vE59,VL18,rR88,BLoCk21,FS18,Ls36,SP81,PD25,Fm2,MAN4,TMpId12,hDAlL1,hDALs19,CmcM1,CmtE2,Vx24,StAT3,8,2025-06-01 12:01:39
162,VB0054,R21,g40,b10,l32,G1,W81,f41,S1743,Bk2,a97,g5,K46,l9,ValS24,VV27,Vfa14,vAlL27,vVLk19,VFaK6,VPRs8,v98,OBJ29,2025-01-16,fIk10,REL2249,k213,K674,K223,k948,K413,s21,s271,S095,S111,s750,PK68,A1,B917,O6,D1,Q6,F5,G2,H5,I9,V6,K6,X8,cm30,cm1,cM74,GSt01,TR75,Kq92,CO21,ReL0,PAs0,PiS62,waS26,PAK1516,PIK19,WAk09,GeK52,CMM2269,dC6,ve19,vl14,RR85,BloCK2,fS30,lS3,sp1,PD87,Fm4,MAN13,TmpID27,HDALL29,hDALS3,CMCM10,CMte29,Vx36,STAt30,6,2025-06-01 12:00:00
183,VB0064,R46,g3,B56,l3,G46,W27,f12,S2155,bK7,A1517,g12,k27,l64,VALS10,vV9,vfA12,vALL30,VVlK0,VfAK9,VPRS1110,v83,oBJ7,2025-01-06,fIK05,rEl15,k03,k032,k281,K047,k001,s71,S406,S308,s079,S05375,pK4,A6,N9,O9,D242,Q1,F7,G1,H5,I2,J581,W544,L6,CM05,cM28,CM2121,gsT26,tr13,Kq02,cO0,rEL26,pAS11,PIS63,WAS10,PAk09,pIk12,WAK45,GEk86,Cmm25,Dc04,VE15,VL5,Rr84,blOCK18,fS70,Ls38,sP45,pD35,Fm67,MAN1433,TMPID1586,hdALL2,hDaLS1,CmCm20,CMtE7,VX24,StAt19,10,2025-06-01 12:01:00
108,VB0036,r07,g90,b8,l83,g1,W225,f07,s3,BK2798,a79,g47,k76,l1,VALS27,vv28,Vfa28,vALl2,VvlK23,VFAK1316,vPRs19,v41,oBj24,2025-01-09,FIk53,REl41,k046,k024,k06,k642,K913,S61,s063,s133,s052,S12,pK6,M3,B3,C9,D184,E334,R9,G1,H161,I1,V33,W5,X6,cm3,cM58,CM54,GSt85,tr26,kQ84,co2,rEl68,PAS21,Pis17,Was12,paK2,PIK17,WAK15,Gek20,cmM17,dC6,vE93,vl12,Rr50,BlOCK4,FS14,Ls51,sP0,PD1884,Fm15,MaN87,tMPiD17,hDALl1,hDaLS16,CMCm90,cMTE4,Vx73,sTaT1,5,2025-06-01 12:00:26
150,VB0011,r03,G14,b13,L46,g63,W2711,f4,s43,BK12,a00,g5,k50,L39,VALS17,Vv58,vfA24,vAlL26,VVLK1814,VFAK14,VPRS25,V14,ObJ0,2025-01-12,FiK58,REL25,K142,K667,K035,K59,K456,s21,S186,s003,s796,s068,pK94,A494,N7,C3,D7,Q1,R4,G1,H3,I9,J4,W7,X700,cM52,CM11,CM59,GsT58,tr21,kq19,co14,reL68,PaS49,PiS95,WAS5,Pak12,pIK71,waK14,GeK3,cMM82,dc24,vE22,Vl16,RR17,BLocK29,FS3,LS19,sP7,pD00,fm29,maN1,tMPiD11,HDALL1788,HDaLs29,CMcM98,cMTe16,vx2,stAT22,-4,2025-06-01 12:01:43
177,VB0053,r75,g47,B0,l6,G29,W84,f33,s88,bk12,a96,g6,K27,l88,VaLs23,VV90,vfA24,vaLL2,VVLK1724,VfaK1,VpRS07,V2374,ObJ92,2025-01-23,FIK6,ReL60,K05,K578,k18,k249,k195,s085,S055,s018,S046,S956,PK17,A6,B218,C5,D884,E9,R9,S6,H798,U6,V647,W7,L7,cM47,CM83,CM5947,GST57,tr17,KQ29,CO75,rEL01,Pas22,piS1,WAs9,Pak26,PiK03,wAK9,GEK16,Cmm2,Dc05,vE82,VL95,Rr95,blOCK22,Fs1,Ls32,SP13,PD2597,fm22,MAN6,TMPID41,HDALL25,HDaLs1,cMCM2,CmTe19,Vx3,stAT2,3,2025-06-01 12:01:18
101,VB0045,R17,g3,b09,L21,g13,w4,f67,S60,bk19,a74,g78,k9,L4,ValS22,VV79,vfA26,VALl66,VVLK4,VFAk85,VPRS01,v91,oBj17,2025-01-09,FiK73,Rel11,k098,k013,k48,k08,k14,s912,S02373,s073,S780,S80,Pk44,M3,N1,C0,D2,Q2,F7,G674,H2,I4,V795,K9,X454,Cm3,Cm8,cm2,Gst16,tR0,KQ46,CO27,Rel6,pAs15,Pis22,waS15,pAk1,Pik17,wAK9,GEK12,CMM44,dC42,Ve0,vL09,rr27,BlOCk22,FS28,lS2,sP06,pd1,fM4,mAN1,TMPID27,HdALL07,HDAls2,CMCM20,CMTE13,vx2,STAT15,3,2025-06-01 12:00:40
125,VB0078,r31,G12,B28,L6,G20,w8,f56,s68,BK28,A36,G97,k10,L12,vaLS2,vV01,VFA12,VAll17,VvLk10,VfAk16,VpRS26,V13,oBJ9,2025-01-07,FIk51,Rel2,k00,K166,k88,K449,K894,S710,s03,S386,S35,s07,pk16,A3,B2,O750,P6,Q297,R5,S5,H727,I5,J716,W3,X487,CM33,Cm71,CM5624,GSt00,TR80,KQ24,cO14,rEL9,pAs25,pIS2,Was24,pAK65,PiK42,wAK63,GEK15,CMM132,dC04,ve1,vL82,RR46,BLocK2,fS6,Ls49,sp24,pd13,FM22,MAn23,TMPID11,HDaLl17,HDAls11,cmCM16,cMTE21,vX51,StAt14,-9,2025-06-01 12:00:32
187,VB0074,R13,G45,B25,L32,g17,w70,F12,s6,Bk6,a26,G17,k2,L31,VAlS16,vV79,VFA28,vALL82,VvLK77,vfAK10,VpRs25,V11,OBJ66,2025-01-21,fIK0,REl6,k614,K995,k535,k02,k072,S11,s570,s046,s050,s035,PK28,M4,B676,C0,P0,E1,F869,G7,H450,I0,V7,W6,L4,Cm83,Cm8,cM46,GST56,Tr75,KQ20,Co8,ReL4,pAS35,PIS6,waS21,paK15,Pik29,WAK20,Gek1,cMm12,DC00,ve14,Vl77,rr10,BLOCK1643,FS28,LS5,SP24,pd17,Fm83,mAN38,TMPId7,HDalL11,HDAls14,CMCM13,CMTE23,VX44,STAT26,1,2025-06-01 12:00:23
109,VB0038,r20,G14,b53,L26,G22,w35,f23,s31,bK4,A3,G07,K15,L76,VaLs17,vv17,VFa6,VaLl20,VVLk99,VFAk91,VprS18,v36,obJ23,2025-01-02,Fik14,reL25,K877,K120,k885,k447,k076,s116,s821,s38,S043,S16,Pk55,M0,B3,O6,D6,E6,F1,G729,T0,U6,J1,K921,L552,cM4,cm18,CM26,GSt9,Tr66,KQ2997,CO28,Rel79,PAS1441,pIs1,Was16,pAk29,piK2,wAk1,GeK99,CMm87,Dc96,VE6,vl10,Rr47,BLOCK26,Fs90,LS19,Sp06,pd29,FM13,mAn25,tMPiD21,hDALl1,HDaLs15,CMCM76,cMtE26,vX50,StAT38,3,2025-06-01 12:01:27
127,VB0033,R27,g39,B29,L4,g52,w55,f40,s05,BK244,a56,g21,k3,l2,VALS40,Vv75,VFa5,VALL215,VVlK04,VfAk2,VprS2,V73,OBJ28,2025-01-04,fiK14,rEL76,k05,K923,K958,k07,K191,S068,s870,S927,s142,S03,pK91,A5,N3,C5,D3,Q458,R7,S732,T807,I8,V638,K7,X114,CM05,CM10,Cm98,Gst15,TR239,kQ5,Co24,Rel79,pAs18,Pis1,waS22,PAk6,PiK96,wAk20,GEK136,Cmm17,dc15,Ve86,VL27,Rr79,bLOCK49,fS01,Ls0,SP10,pd11,FM10,mAN8,TmpID11,HdALL96,HDALS16,cMcM18,CMTe66,Vx51,STAT28,1,2025-06-01 12:01:19
182,VB0012,R14,g4,b75,l9,g11,W1470,F2139,s5,BK17,A01,G85,K40,L46,VAls29,Vv60,VfA4,VALl7,vvLK1,VFAK27,VPrS45,v91,ObJ0,2025-01-14,fIk15,reL20,K110,k227,k984,k01,K257,s91,s029,s072,S096,s190,pK74,A6,B9,O2,D6,Q7,F5,S79,T6,I3,J706,W7,L116,cm31,CM13,cM38,Gst23,TR17,kQ4,cO42,REL1,paS1,pIS3,wAS3,PAK23,pIk1,Wak28,geK1,cmM16,dc17,ve1,vL43,rR41,bLOCK07,FS2589,Ls4,Sp6,pD6,Fm70,Man1,tMPId25,HDalL2,hdALS24,CmcM11,CMtE6,vX04,STat20,4,2025-06-01 12:00:43
