location,latitude,longitude,:@computed_region_sbqj_enih,vehicle_safety_violations_per_vehicle,affiliated_vehicles,percent_wheelchair_accessible_vehicles,community_board,sector_average_vehicle_safety_violations_per_vehicle,bbl,postcode,injury_crashes_per_vehicle,nta,on_demand_service
"{'latitude': '40.779639', 'longitude': '-73.901658'}",40.779639,-73.901658,72.0,0.23,31.0,0.0,1.0,0.09,4008260028.0,11105.0,0.0,Steinway                                                                   ,Not Reported
"{'latitude': '40.752104', 'longitude': '-73.906711'}",40.752104,-73.906711,66.0,0.13,30.0,0.0,2.0,0.06,4011930074.0,11377.0,0.0,Woodside                                                                   ,Not Reported
"{'latitude': '40.701359', 'longitude': '-73.914773'}",40.701359,-73.914773,53.0,0.0,11.0,0.0,4.0,0.1,3033100035.0,11237.0,0.0,Bushwick North                                                             ,Not Reported
"{'latitude': '40.746164', 'longitude': '-73.91524'}",40.746164,-73.91524,66.0,0.08,38.0,7.0,2.0,0.1,4001340025.0,11104.0,0.03,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.696906', 'longitude': '-73.906739'}",40.696906,-73.906739,53.0,0.05,57.0,0.0,4.0,0.1,3033930055.0,11237.0,0.12,Bushwick North                                                             ,Not Reported
"{'latitude': '40.758993', 'longitude': '-73.83365'}",40.758993,-73.83365,67.0,0.0,14.0,0.0,7.0,0.06,4049730015.0,11354.0,0.0,Flushing                                                                   ,Not Reported
"{'latitude': '40.679046', 'longitude': '-73.89599'}",40.679046,-73.89599,47.0,0.12,58.0,0.0,5.0,0.1,3034860001.0,11207.0,0.05,Cypress Hills-City Line                                                    ,Not Reported
"{'latitude': '40.781137', 'longitude': '-73.84102'}",40.781137,-73.84102,67.0,0.0,23.0,0.0,7.0,0.09,4041720007.0,11356.0,0.09,College Point                                                              ,Not Reported
"{'latitude': '40.751927', 'longitude': '-73.92506'}",40.751927,-73.92506,72.0,0.04,396.0,0.0,1.0,0.09,4002140040.0,11101.0,0.01,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.70681', 'longitude': '-73.877681'}",40.70681,-73.877681,62.0,0.03,29.0,0.0,5.0,0.1,4036670436.0,11379.0,0.03,Middle Village                                                             ,Not Reported
"{'latitude': '40.637194', 'longitude': '-74.076872'}",40.637194,-74.076872,74.0,0.05,21.0,0.0,1.0,0.1,5004980062.0,10301.0,0.14,Stapleton-Rosebank                                                         ,Not Reported
"{'latitude': '40.64196', 'longitude': '-73.9298'}",40.64196,-73.9298,40.0,0.04,26.0,0.0,17.0,0.1,3047800006.0,11203.0,0.2,East Flatbush-Farragut                                                     ,Yes
"{'latitude': '40.713899', 'longitude': '-73.95531'}",40.713899,-73.95531,56.0,0.11,46.0,0.0,1.0,0.1,3023690016.0,11211.0,0.02,North Side-South Side                                                      ,Not Reported
"{'latitude': '40.718909', 'longitude': '-73.81324'}",40.718909,-73.81324,65.0,0.05,177.0,8.0,8.0,0.1,4066910081.0,11367.0,0.03,Kew Gardens Hills                                                          ,Not Reported
"{'latitude': '40.753642', 'longitude': '-73.93421'}",40.753642,-73.93421,72.0,0.1,83.0,0.0,14.0,0.1,,11101.0,0.02,Far Rockaway-Bayswater                                                     ,Not Reported
"{'latitude': '40.777951', 'longitude': '-73.90376'}",40.777951,-73.90376,72.0,0.0,19.0,0.0,1.0,0.06,4008260061.0,11105.0,0.0,Steinway                                                                   ,Not Reported
"{'latitude': '40.843259', 'longitude': '-73.846962'}",40.843259,-73.846962,28.0,0.0,42.0,51.0,10.0,0.1,2040020056.0,10461.0,0.09,Van Nest-Morris Park-Westchester Square                                    ,Not Reported
"{'latitude': '40.754052', 'longitude': '-73.940055'}",40.754052,-73.940055,72.0,0.0,43.0,0.0,1.0,0.06,4004090030.0,11101.0,0.0,Queensbridge-Ravenswood-Long Island City                                   ,Yes
"{'latitude': '40.762272', 'longitude': '-73.911591'}",40.762272,-73.911591,72.0,0.05,75.0,0.0,1.0,0.1,4007130084.0,11103.0,0.01,Astoria                                                                    ,Not Reported
"{'latitude': '40.75273', 'longitude': '-74.00641'}",40.75273,-74.00641,6.0,0.16,2233.0,0.0,4.0,0.09,1006730001.0,10001.0,0.03,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes
"{'latitude': '40.638477', 'longitude': '-73.98333'}",40.638477,-73.98333,39.0,0.07,74.0,0.0,12.0,0.09,3053460017.0,11218.0,0.01,Borough Park                                                               ,Not Reported
"{'latitude': '40.764687', 'longitude': '-73.83337'}",40.764687,-73.83337,67.0,0.05,19.0,0.0,7.0,0.1,4049467501.0,11354.0,0.11,Flushing                                                                   ,Yes
"{'latitude': '40.638477', 'longitude': '-73.98333'}",40.638477,-73.98333,39.0,0.09,120.0,0.0,12.0,0.09,3053460017.0,11218.0,0.0,Borough Park                                                               ,Yes
"{'latitude': '40.76995', 'longitude': '-73.83898'}",40.76995,-73.83898,67.0,0.0,65.0,0.0,7.0,0.1,4043600001.0,11354.0,0.02,College Point                                                              ,Not Reported
"{'latitude': '40.995225', 'longitude': '-73.672196'}",40.995225,-73.672196,,0.0,25.0,0.0,,0.06,,10573.0,0.0,,Not Reported
"{'latitude': '40.634075', 'longitude': '-73.919437'}",40.634075,-73.919437,38.0,0.04,49.0,0.0,18.0,0.1,3079790117.0,11234.0,0.02,Flatlands                                                                  ,Not Reported
"{'latitude': '40.63578', 'longitude': '-73.8995'}",40.63578,-73.8995,42.0,0.14,58.0,0.0,18.0,0.1,3082560038.0,11236.0,0.03,Canarsie                                                                   ,Not Reported
"{'latitude': '40.711065', 'longitude': '-73.94753'}",40.711065,-73.94753,56.0,0.03,64.0,13.0,1.0,0.1,3027860024.0,11211.0,0.05,East Williamsburg                                                          ,Not Reported
"{'latitude': '40.765513', 'longitude': '-73.88595'}",40.765513,-73.88595,73.0,0.0,10.0,0.0,3.0,0.09,4010780050.0,11370.0,0.1,Jackson Heights                                                            ,Not Reported
"{'latitude': '40.716896', 'longitude': '-73.965753'}",40.716896,-73.965753,56.0,0.35,11.0,0.0,1.0,0.09,3023770012.0,11249.0,0.0,North Side-South Side                                                      ,Not Reported
"{'latitude': '40.661323', 'longitude': '-73.99142'}",40.661323,-73.99142,45.0,0.1,293.0,0.0,7.0,0.09,3008850058.0,11215.0,0.02,Park Slope-Gowanus                                                         ,Not Reported
"{'latitude': '40.740521', 'longitude': '-73.947466'}",40.740521,-73.947466,66.0,0.09,12.0,0.0,1.0,0.09,4003650003.0,11101.0,0.0,Queensbridge-Ravenswood-Long Island City                                   ,Yes
"{'latitude': '40.903259', 'longitude': '-73.849586'}",40.903259,-73.849586,30.0,0.0,12.0,0.0,12.0,0.1,2051110024.0,10470.0,0.0,Woodlawn-Wakefield                                                         ,Not Reported
"{'latitude': '40.751749', 'longitude': '-73.92913'}",40.751749,-73.92913,72.0,0.0,10.0,0.0,1.0,0.06,4002140249.0,11101.0,0.0,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.678782', 'longitude': '-73.98998'}",40.678782,-73.98998,48.0,0.11,214.0,0.0,6.0,0.09,3004450001.0,11231.0,0.08,Carroll Gardens-Columbia Street-Red Hook                                   ,Yes
"{'latitude': '40.825536', 'longitude': '-73.94782'}",40.825536,-73.94782,19.0,0.12,65.0,0.0,9.0,0.1,1020770029.0,10031.0,0.06,Hamilton Heights                                                           ,Not Reported
"{'latitude': '40.642138', 'longitude': '-73.96285'}",40.642138,-73.96285,43.0,0.0,22.0,0.0,14.0,0.1,3051470038.0,11226.0,0.05,Flatbush                                                                   ,Not Reported
"{'latitude': '40.658627', 'longitude': '-73.982178'}",40.658627,-73.982178,45.0,0.1,71.0,0.0,7.0,0.09,3008700041.0,11215.0,0.14,Windsor Terrace                                                            ,Not Reported
"{'latitude': '40.728365', 'longitude': '-73.78328'}",40.728365,-73.78328,65.0,0.15,20.0,0.0,8.0,0.09,4072560085.0,11366.0,0.0,Jamaica Estates-Holliswood                                                 ,Not Reported
"{'latitude': '40.661323', 'longitude': '-73.991415'}",40.661323,-73.991415,45.0,0.0,21.0,0.0,7.0,0.09,3008850058.0,11215.0,0.1,Park Slope-Gowanus                                                         ,Not Reported
"{'latitude': '40.743043', 'longitude': '-73.93551'}",40.743043,-73.93551,66.0,0.19,74.0,0.0,2.0,0.09,4002810001.0,11101.0,0.01,Hunters Point-Sunnyside-West Maspeth                                       ,Yes
"{'latitude': '40.722192', 'longitude': '-73.85037'}",40.722192,-73.85037,70.0,0.08,39.0,0.0,6.0,0.06,4032340029.0,11375.0,0.03,Forest Hills                                                               ,Not Reported
"{'latitude': '40.710955', 'longitude': '-73.951135'}",40.710955,-73.951135,56.0,0.28,29.0,0.0,1.0,0.1,3023870020.0,11211.0,0.0,North Side-South Side                                                      ,Not Reported
"{'latitude': '40.621957', 'longitude': '-74.02532'}",40.621957,-74.02532,41.0,0.42,12.0,0.0,10.0,0.1,3060270001.0,11209.0,0.0,Bay Ridge                                                                  ,Not Reported
"{'latitude': '40.718549', 'longitude': '-73.98515'}",40.718549,-73.98515,4.0,0.07,101.0,0.0,3.0,0.1,1003480045.0,10002.0,0.06,Lower East Side                                                            ,Not Reported
