latitude,longitude,book_ahead_service,fatal_crash_details,industry_sector,base_provides_safety_training,download_pdf_report,:@computed_region_f5dn_yrer,sector_average_base_safety_violations_per_vehicle,bin
40.752237,-73.86731,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02643.pdf'},65.0,0.03,4043963.0
40.825287,-73.91052,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00850.pdf'},34.0,0.03,2001539.0
40.712662,-73.78303,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01600.pdf'},41.0,0.03,4212336.0
40.751839,-73.991313,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02241.pdf'},11.0,0.01,1014414.0
40.765173,-73.88592,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02599.pdf'},65.0,0.01,4023527.0
40.588885,-73.947936,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00559.pdf'},32.0,0.03,3204451.0
40.75273,-74.00641,No,,black car,No,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02876.pdf'},12.0,0.02,1079184.0
40.752286,-73.826739,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02638.pdf'},22.0,0.02,4311736.0
40.757077,-73.937504,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00472.pdf'},39.0,0.01,4004428.0
40.830331,-73.918318,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02552.pdf'},50.0,0.02,2002739.0
40.823574,-73.867859,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02846.pdf'},58.0,0.02,2022639.0
40.632004,-74.006658,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02436.pdf'},10.0,0.03,3141376.0
40.887173,-73.9066,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00501.pdf'},48.0,0.03,2122978.0
