bin,otherbprop,nta2020,residflag,:@computed_region_92fq_4b7q,firecmpany,:@computed_region_yeji_bk3q,pl_firm07,cdtaname20,commntydst,specldst1,councildst,floorsinit,cdta2020
3097599,0.0,BK0503,Residential,25.0,E225,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,2.0,BK05
4053955,,QN0203,Residential,34.0,Q288,3.0,,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),402.0,,26.0,2.0,QN02
3424734,,BK0402,Residential,37.0,E271,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,37.0,,BK04
5175720,,SI0104,Residential,13.0,L079,1.0,,SI01 North Shore (CD 1 Equivalent),501.0,,49.0,0.0,SI01
1015768,0.0,MN0501,Residential,51.0,E001,4.0,,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),105.0,,3.0,5.0,MN05
3343609,,BK0505,Residential,25.0,L107,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,0.0,BK05
1038767,0.0,MN0604,Residential,51.0,E021,4.0,,MN06 East Midtown-Murray Hill (CD 6 Approximation),106.0,TA - TRANSIT LAND USE,4.0,3.0,MN06
3031936,,BK0802,Residential,48.0,L132,2.0,,BK08 Crown Heights (North) (CD 8 Approximation),308.0,,35.0,4.0,BK08
2019019,,BX1203,Residential,40.0,L039,5.0,,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),212.0,,11.0,2.0,BX12
446664500.00%,,QN1403,Residential,41.0,E329,3.0,1.0,QN14 The Rockaways (CD 14 Approximation),414.0,,32.0,0.0,QN14
3121951,,BK0701,Residential,27.0,E240,2.0,,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307.0,,39.0,3.0,BK07
101800200.00%,,MN0602,Residential,50.0,E005,4.0,,MN06 East Midtown-Murray Hill (CD 6 Approximation),106.0,,2.0,4.0,MN06
3055548,,BK0204,Residential,48.0,E210,2.0,,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302.0,,35.0,3.0,BK02
4623571,,QN1002,Residential,41.0,E331,3.0,,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),410.0,,32.0,0.0,QN10
3015852,,BK0703,Residential,7.0,L114,2.0,,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307.0,,43.0,2.0,BK07
3005045,,BK0601,Residential,27.0,E202,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,4.0,BK06
1016244,,MN0501,Residential,50.0,E014,4.0,,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),105.0,,2.0,5.0,MN05
2127442,,BX1104,Residential,22.0,L032,5.0,,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),211.0,,12.0,,BX11
2018619,,BX0703,Residential,40.0,L037,5.0,,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),207.0,,11.0,,BX07
3073912,,BK0401,Residential,37.0,L124,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,37.0,3.0,BK04
3210661,,BK1403,Residential,15.0,E276,2.0,,BK14 Flatbush-Midwood (CD 14 Approximation),314.0,,48.0,6.0,BK14
1007404,,MN0201,Residential,32.0,L020,4.0,,MN02 Greenwich Village-SoHo (CD 2 Equivalent),102.0,LI - LITTLE ITALY,1.0,3.0,MN02
4623810,,QN1402,Residential,47.0,E265,3.0,1.0,QN14 The Rockaways (CD 14 Approximation),414.0,,31.0,0.0,QN14
1001346,,MN0101,Residential,32.0,E006,4.0,1.0,MN01 Financial District-Tribeca (CD 1 Equivalent),101.0,LM - LOWER MANHATTAN,1.0,2.0,MN01
3235977,,BK1802,Residential,8.0,E323,2.0,,BK18 Canarsie-Flatlands (CD 18 Approximation),318.0,,46.0,2.0,BK18
3022090,,BK0602,Residential,27.0,E239,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,2.0,BK06
2004751,,BX0301,Residential,43.0,L019,5.0,,BX03 Morrisania-Crotona Park East (CD 3 Approximation),203.0,,17.0,,BX03
3399962,,BK0102,Residential,30.0,E221,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,34.0,,BK01
1020348,0.0,MN0603,Residential,51.0,E021,4.0,,MN06 East Midtown-Murray Hill (CD 6 Approximation),106.0,,4.0,5.0,MN06
3095896,,BK0505,Residential,25.0,L107,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,1.0,BK05
1062610,0.0,MN1201,Residential,39.0,E084,4.0,,MN12 Washington Heights-Inwood (CD 12 Equivalent),112.0,,10.0,4.0,MN12
1058710,,MN1002,Residential,36.0,E037,4.0,,MN10 Harlem (CD 10 Equivalent),110.0,,9.0,5.0,MN10
2120254,,BX0602,Residential,43.0,L038,5.0,,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),206.0,,15.0,,BX06
3329490,,BK1701,Residential,26.0,E255,2.0,,BK17 East Flatbush (CD 17 Approximation),317.0,,45.0,3.0,BK17
4190610,,QN1002,Residential,41.0,E331,3.0,,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),410.0,,32.0,2.0,QN10
2130603,,BX0903,Residential,31.0,L047,5.0,,BX09 Soundview-Parkchester (CD 9 Approximation),209.0,,18.0,0.0,BX09
4617831,,QN1402,Residential,47.0,L121,3.0,1.0,QN14 The Rockaways (CD 14 Approximation),414.0,,31.0,0.0,QN14
1043544,,MN0801,Residential,51.0,L016,4.0,,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108.0,,5.0,4.0,MN08
1090584,,MN0203,Residential,10.0,E024,4.0,1.0,MN02 Greenwich Village-SoHo (CD 2 Equivalent),102.0,,3.0,13.0,MN02
3114090,,BK1702,Residential,26.0,L157,2.0,,BK17 East Flatbush (CD 17 Approximation),317.0,,45.0,0.0,BK17
4192169,,QN0902,Residential,41.0,L143,3.0,,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),409.0,,29.0,2.0,QN09
1032294,,MN0702,Residential,19.0,E074,4.0,,MN07 Upper West Side (CD 7 Approximation),107.0,,6.0,4.0,MN07
3006134,,BK0202,Residential,38.0,E224,2.0,,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302.0,,39.0,3.0,BK02
3033741,,BK0901,Residential,48.0,E234,2.0,,BK09 Crown Heights (South) (CD 9 Approximation),309.0,,35.0,4.0,BK09
4120756,,QN0704,Residential,20.0,E320,3.0,,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),411.0,,19.0,1.0,QN07
3072019,,BK0401,Residential,30.0,E218,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,34.0,4.0,BK04
1043866,,MN0801,Residential,51.0,L016,4.0,,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108.0,,5.0,30.0,MN08
3096099,,BK0505,Residential,25.0,L107,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,2.0,BK05
