addressnum,schmiddle,schelmntry,hotelprop,firebattln,schcommnty,enlargemnt,datelstupd,datecomplt,nonresflag,bct2020,otherbinit,ownership,job_status
1390,234.0,8.0,,33.0,22.0,Horizontal,2022-10-07T00:00:00.000,,,3075800.0,,Private For-Profit: Individual,9. Withdrawn
159,81.0,502.0,,4.0,1.0,,2025-03-17T00:00:00.000,,Non-Residential,1001402.0,,Private For-Profit: Corporation,3. Permitted for Construction
426,275.0,110.0,,48.0,15.0,,2025-03-25T00:00:00.000,2025-05-01T00:00:00.000,,3013500.0,,Private For-Profit: Individual,5. Completed Construction
836,234.0,22.0,,41.0,22.0,,2025-03-04T00:00:00.000,,Non-Residential,3078400.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
219,404.0,43.0,,35.0,14.0,,2025-05-02T00:00:00.000,,Non-Residential,3047700.0,,Private For-Profit: Corporation,3. Permitted for Construction
434,192.0,137.0,0.0,33.0,21.0,,2024-11-15T00:00:00.000,2024-09-09T00:00:00.000,,3039600.0,,Private For-Profit: Individual,5. Completed Construction
345,275.0,114.0,,31.0,15.0,,2022-05-17T00:00:00.000,,,3003900.0,0.0,Private For-Profit: Corporation,9. Withdrawn
16,406.0,88.0,,28.0,32.0,,2025-06-09T00:00:00.000,,,3043900.0,,Private For-Profit: Partnership,3. Permitted for Construction
212,100.0,572.0,,12.0,5.0,,2025-01-09T00:00:00.000,2023-08-04T00:00:00.000,,1024200.0,0.0,Private For-Profit: Corporation,5. Completed Construction
603,342.0,622.0,,15.0,11.0,,2021-02-19T00:00:00.000,,,2041400.0,0.0,Private For-Profit: Corporation,2. Approved Application
269,275.0,116.0,0.0,32.0,15.0,,2024-08-06T00:00:00.000,,,3000700.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
588,282.0,233.0,,48.0,13.0,,2025-06-26T00:00:00.000,,Non-Residential,3011901.0,0.0,Private For-Profit: Corporation,2. Approved Application
2322,254.0,197.0,,39.0,19.0,,2025-01-17T00:00:00.000,,Non-Residential,3115000.0,,Private For-Profit: Corporation,3. Permitted for Construction
191,409.0,47.0,0.0,44.0,23.0,,2025-05-22T00:00:00.000,,,3036900.0,,Private For-Profit: Individual,1. Filed Application
4412,131.0,807.0,,15.0,11.0,,2025-05-22T00:00:00.000,,,2044400.0,0.0,Private For-Profit: Corporation,1. Filed Application
520,93.0,526.0,,10.0,2.0,,2025-05-21T00:00:00.000,,Non-Residential,1013602.0,,Private For-Profit: Individual,3. Permitted for Construction
378,405.0,82.0,,28.0,32.0,,2017-07-11T00:00:00.000,2017-05-04T00:00:00.000,,3044300.0,0.0,Private For-Profit: Corporation,5. Completed Construction
34,100.0,573.0,,16.0,5.0,,2024-05-09T00:00:00.000,2024-05-09T00:00:00.000,,1020800.0,,Private For-Profit: Partnership,5. Completed Construction
147-24,326.0,303.0,0.0,52.0,25.0,,2011-06-03T00:00:00.000,,,4115900.0,,Private For-Profit: Individual,2. Approved Application
1118,219.0,228.0,,42.0,20.0,,2025-06-25T00:00:00.000,,,3021600.0,0.0,Private For-Profit: Individual,3. Permitted for Construction
16,275.0,112.0,,32.0,15.0,,2024-12-02T00:00:00.000,,,3007700.0,,Private For-Profit: Individual,3. Permitted for Construction
7917,217.0,216.0,,42.0,20.0,,2023-01-22T00:00:00.000,,,3014800.0,0.0,Private For-Profit: Corporation,2. Approved Application
62-26,375.0,409.0,,47.0,27.0,,2022-07-05T00:00:00.000,2022-10-25T00:00:00.000,,4096400.0,0.0,Private For-Profit: Corporation,5. Completed Construction
261,98.0,512.0,,6.0,2.0,,2019-02-19T00:00:00.000,,,1004800.0,,Private For-Profit: Corporation,2. Approved Application
34-20,27.0,332.0,,49.0,30.0,,2021-07-21T00:00:00.000,,,4028500.0,,Private For-Profit: Condo/Co-Op,2. Approved Application
482,404.0,42.0,,35.0,14.0,,2025-06-26T00:00:00.000,,,3050100.0,,Private For-Profit: Corporation,3. Permitted for Construction
31,87.0,506.0,,4.0,2.0,,2023-08-15T00:00:00.000,,Non-Residential,1002700.0,,Private For-Profit: Corporation,1. Filed Application
86-22,15.0,488.0,,53.0,26.0,,2025-05-28T00:00:00.000,,,4157903.0,0.0,Private For-Profit: Corporation,9. Withdrawn
865,131.0,627.0,,15.0,11.0,,2012-02-06T00:00:00.000,,,2042200.0,,Private For-Profit: Partnership,1. Filed Application
50,149.0,633.0,,14.0,7.0,,2025-02-11T00:00:00.000,,,2001902.0,0.0,Private For-Profit: Partnership,2. Approved Application
196-26,39.0,461.0,0.0,54.0,29.0,,2015-06-11T00:00:00.000,2015-05-01T00:00:00.000,,4048400.0,,Private For-Profit: Partnership,5. Completed Construction
110,88.0,517.0,,7.0,2.0,,2025-05-30T00:00:00.000,,,1010100.0,,Private For-Profit: Corporation,3. Permitted for Construction
447,108.0,583.0,0.0,13.0,6.0,,2024-06-14T00:00:00.000,,,1024301.0,11.0,Private For-Profit: Partnership,3. Permitted for Construction
45-63,338.0,915.0,,53.0,26.0,,2024-03-04T00:00:00.000,2024-03-04T00:00:00.000,,4144700.0,,Private For-Profit: Individual,5. Completed Construction
301,294.0,73.0,,57.0,16.0,,2024-07-30T00:00:00.000,,,3028300.0,,Private For-Profit: Individual,2. Approved Application
111,94.0,874.0,,2.0,2.0,,2024-01-25T00:00:00.000,2023-08-02T00:00:00.000,,1007300.0,0.0,Private For-Profit: Partnership,5. Completed Construction
58,406.0,86.0,0.0,37.0,32.0,,2021-06-04T00:00:00.000,,,3041900.0,,Private For-Profit: Individual,9. Withdrawn
243-21,62.0,446.0,,54.0,29.0,Horizontal,2022-04-27T00:00:00.000,2022-04-27T00:00:00.000,,4065401.0,,Private For-Profit: Individual,5. Completed Construction
2975,184.0,124.0,0.0,43.0,21.0,,2025-05-16T00:00:00.000,,,3036400.0,,Private For-Profit: Corporation,1. Filed Application
1250,97.0,554.0,,12.0,4.0,,2022-03-09T00:00:00.000,,Non-Residential,1017401.0,,Private For-Profit: Corporation,2. Approved Application
420,404.0,34.0,,35.0,14.0,,2025-05-08T00:00:00.000,,Non-Residential,3054700.0,,Private For-Profit: Individual,1. Filed Application
20,98.0,877.0,,6.0,2.0,,2025-03-04T00:00:00.000,2025-05-23T00:00:00.000,,1006100.0,,Private For-Profit: Corporation,5. Completed Construction
452,168.0,736.0,0.0,18.0,10.0,,2025-06-20T00:00:00.000,,,2038500.0,,Private For-Profit: Individual,3. Permitted for Construction
312,95.0,546.0,,11.0,3.0,,2025-06-13T00:00:00.000,,,1019702.0,,Private For-Profit: Corporation,9. Withdrawn
97-43,350.0,347.0,0.0,46.0,28.0,,2015-08-07T00:00:00.000,,,4071701.0,,Private For-Profit: Individual,9. Withdrawn
45,98.0,518.0,,8.0,2.0,,2012-01-31T00:00:00.000,,,1007400.0,0.0,Private For-Profit: Corporation,9. Withdrawn
19,64.0,404.0,,47.0,27.0,,2023-10-04T00:00:00.000,2023-10-04T00:00:00.000,,4091603.0,0.0,Private For-Profit: Corporation,5. Completed Construction
1103,406.0,86.0,,37.0,32.0,,2021-10-28T00:00:00.000,,,3039500.0,0.0,Private Non-Profit: Corporation,3. Permitted for Construction
705,168.0,737.0,,18.0,10.0,,2019-12-09T00:00:00.000,,,2039100.0,,Private For-Profit: Individual,9. Withdrawn
38-02,338.0,472.0,,53.0,26.0,,2025-03-17T00:00:00.000,,,4112900.0,0.0,Private For-Profit: Partnership,3. Permitted for Construction
