pivot-metric,pivot-value,permitid,axle2weight,totalnoofaxle,axle3loadrating,loadindescription,axle4space,loadoutheight,vehicletype,loadoutdescription,overalllength,vehicletypeother,steeringnooftires
fullapplicationno,con-2014922-1006,2736,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank,2.0
fullapplicationno,Cas-2014107-1079,4120,29500.0,3.0,8000.0,,,,Other Single,,29.0,,2.0
leasecompanyname,,5886,22800.0,4.0,,,4.04,,,,43.1,,
fullapplicationno,NYC1-201569-629,3790,,,,Raw Bulk Milk,,12.03,,Empty,,,
leasecompanyname,,2692,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
fullapplicationno,con-20151027-1089,4340,22700.0,3.0,5675.0,,,,Other Single,,34.0,1019utility,2.0
fullapplicationno,Val-201542-377,3538,29500.0,3.0,8800.0,,,,Other Single,,30.03,CONCRETE MIXER,2.0
leasecompanyname,,4429,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Wor-201492-866,2596,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,3288,17000.0,4.0,,,4.06,,,,53.0,,
fullapplicationno,con-2015212-163,3324,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
leasecompanyname,,3120,,,,,,,Tractor Trailer,,,,
fullapplicationno,Wor-201492-871,2601,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,NYC1-20151019-1045,4296,,,,Raw Bulk Milk,,11.06,,Empty,,,
leasecompanyname,,2654,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,3787,,,,,,,Tractor Trailer,,,,
fullapplicationno,J.B-2015116-1252,4503,,,,,,,Tractor Trailer,,,,
fullapplicationno,Wor-2014627-727,2457,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,3451,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,Wor-2015318-323,3484,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,3186,35330.0,2.0,,,,,,,41.02,,
leasecompanyname,,2599,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,4426,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3254,38499.0,2.0,,,,,,,43.08,,
leasecompanyname,,3736,21000.0,4.0,,,4.06,,,,45.0,,
leasecompanyname,,3538,29500.0,3.0,8800.0,,,,Other Single,,30.03,CONCRETE MIXER,2.0
leasecompanyname,,4296,,,,Raw Bulk Milk,,11.06,,Empty,,,
leasecompanyname,,2555,23000.0,3.0,5750.0,,,,Cement Truck,,29.01,,2.0
leasecompanyname,,3336,29500.0,3.0,9370.0,,,,Other Single,,33.0,TANK TRUCK,2.0
leasecompanyname,,4131,23000.0,3.0,24020.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3561,29500.0,3.0,9920.0,,,,Cement Truck,,31.0,,2.0
leasecompanyname,,4371,23000.0,3.0,5750.0,,,,Other Single,,34.0,DUMP,2.0
fullapplicationno,con-2015821-872,4123,23000.0,3.0,24020.0,,,,Other Single,,34.0,Utility,2.0
leasecompanyname,,2942,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,con-2014320-307,2037,22500.0,3.0,5625.0,,,,Other Single,,34.0,,2.0
fullapplicationno,con-2014919-990,2720,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,S.-2015123-127,3288,17000.0,4.0,,,4.06,,,,53.0,,
leasecompanyname,,3479,,,,Bulk Raw Milk,,12.0,,Empty,,,
leasecompanyname,,3091,23000.0,3.0,6610.0,,,,Dump Truck,,22.04,,2.0
fullapplicationno,Cas-2014107-1077,4118,29500.0,3.0,8000.0,,,,Other Single,,32.07,,2.0
leasecompanyname,,3558,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
leasecompanyname,,3413,29500.0,3.0,8800.0,,,,Other Single,,30.03,CONCRETE MIXER,2.0
fullapplicationno,con-2014919-983,2713,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,3218,20907.0,3.0,,,,,,,36.06,,
leasecompanyname,,4229,23000.0,3.0,6990.0,,,,Dump Truck,,23.05,,2.0
leasecompanyname,,3445,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
fullapplicationno,Atl-20171128-729,6621,23294.0,3.0,,,,,,,27.09,,
leasecompanyname,,2560,,,,,,,Tractor Trailer,,,,
fullapplicationno,LA 1-2015915-929,4180,29500.0,3.0,9920.0,,,,Cement Truck,,33.0,,2.0
leasecompanyname,,2601,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3820,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,con-20151029-1128,4379,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Wor-20141125-1240,2970,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,2921,29500.0,3.0,32400.0,,,,Dump Truck,,26.0,,2.0
fullapplicationno,Vin-201572-718,3879,29500.0,3.0,9230.0,,,,Dump Truck,,25.04,,2.0
leasecompanyname,,3989,26000.0,3.0,6600.0,,,,Cement Truck,,29.05,,2.0
fullapplicationno,con-20151029-1127,4378,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,2837,29500.0,3.0,8100.0,,,,Dump Truck,,24.11,,2.0
leasecompanyname,,2605,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,2688,22700.0,3.0,5675.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Ecc1-2014722-781,2511,,,,,,,Tractor Trailer,,,,
fullapplicationno,Val-201546-387,3548,29500.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,4166,26880.0,3.0,6720.0,,,,Dump Truck,,34.06,,2.0
fullapplicationno,Cor1-201588-831,3992,23000.0,3.0,5750.0,,,,Cement Truck,,29.01,,2.0
leasecompanyname,,3822,27720.0,3.0,6610.0,,,,Dump Truck,,21.11,,2.0
leasecompanyname,,4348,22700.0,3.0,5675.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,3879,29500.0,3.0,9230.0,,,,Dump Truck,,25.04,,2.0
fullapplicationno,Val-201546-394,3555,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,con-2014918-972,2702,23000.0,3.0,5750.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,2810,29500.0,3.0,8000.0,,,,Other Single,,33.07,,2.0
fullapplicationno,Val-2015810-839,4000,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,CAS1-20151118-1283,4534,,,,,,,Tractor Trailer,,,,
leasecompanyname,,3335,32400.0,2.0,,,,,Other Single,,26.0,TANK TRUCK,4.0
fullapplicationno,Wor-201492-869,2599,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3054,,,,,,,Tractor Trailer,,,,
leasecompanyname,,2726,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Cor1-201588-828,3989,26000.0,3.0,6600.0,,,,Cement Truck,,29.05,,2.0
leasecompanyname,,4468,23000.0,3.0,5750.0,,,,Other Single,,34.0,VACTOR,2.0
fullapplicationno,con-20151117-1266,4517,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
fullapplicationno,con-2015113-1222,4473,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
fullapplicationno,Val-201555-509,3670,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,con-20151029-1144,4395,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,2960,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,TRI1-201812-6,6796,18740.0,4.0,,,4.06,,,,34.11,,
fullapplicationno,con-2017109-608,6500,23000.0,3.0,5750.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,3289,16000.0,4.0,,,4.06,,,,53.0,,
fullapplicationno,Val-2015810-845,4006,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,NOR-201517-25,3186,35330.0,2.0,,,,,,,41.02,,
fullapplicationno,La-2015630-711,3872,29500.0,3.0,8100.0,,,,Dump Truck,,32.06,,2.0
leasecompanyname,,4418,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Wor-20141125-1212,2942,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,con-20151027-1077,4328,22700.0,3.0,5675.0,,,,Other Single,,34.0,utility,2.0
fullapplicationno,SJ-2014915-904,2634,26000.0,3.0,8800.0,,,,Other Single,,34.05,,2.0
leasecompanyname,,2720,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3798,28640.0,3.0,28640.0,,,,Cement Truck,,33.06,,2.0
fullapplicationno,con-2014918-962,2692,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,3442,29500.0,3.0,9920.0,,,,Cement Truck,,31.0,,2.0
leasecompanyname,,3449,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,con-2014917-918,2648,22700.0,3.0,5675.0,,,,Other Single,,34.0,utility,2.0
leasecompanyname,,4123,23000.0,3.0,24020.0,,,,Other Single,,34.0,Utility,2.0
leasecompanyname,,2466,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4126,,,,,,,Tractor Trailer,,,,
fullapplicationno,C.-20141229-1414,3144,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-2014912-903,2633,23000.0,3.0,24020.0,,,,Other Single,,30.0,STAK,2.0
fullapplicationno,US-2015120-93,3254,38499.0,2.0,,,,,,,43.08,,
fullapplicationno,Wor-2015317-291,3452,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,2037,22500.0,3.0,5625.0,,,,Other Single,,34.0,,2.0
fullapplicationno,LA 1-2015316-281,3442,29500.0,3.0,9920.0,,,,Cement Truck,,31.0,,2.0
fullapplicationno,Cas-2014107-1080,2810,29500.0,3.0,8000.0,,,,Other Single,,33.07,,2.0
leasecompanyname,,3240,26100.0,2.0,,,,,,,38.02,,
leasecompanyname,,3746,29500.0,3.0,7375.0,,,,Dump Truck,,26.05,,2.0
fullapplicationno,con-20151029-1115,4366,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,3140,16937.0,5.0,,,4.06,,,,45.05,,
leasecompanyname,,2564,29500.0,3.0,32400.0,,,,Dump Truck,,28.0,,2.0
fullapplicationno,L&M-2015525-575,3736,21000.0,4.0,,,4.06,,,,45.0,,
fullapplicationno,Val-201546-397,3558,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
leasecompanyname,,3750,,,,,,,Tractor Trailer,,,,
fullapplicationno,con-2015317-285,3446,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
leasecompanyname,,2806,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
leasecompanyname,,2969,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,CAS1-2014715-765,2495,28640.0,3.0,29500.0,,,,Cement Truck,,33.06,,2.0
fullapplicationno,ISL-201472-736,2466,,,,,,,Tractor Trailer,,,,
leasecompanyname,,2901,22000.0,3.0,7640.0,,,,Other Single,,25.02,FUEL TANK,2.0
fullapplicationno,NOR-201716-54,5946,25000.0,3.0,,,,,,,28.01,,
leasecompanyname,,6276,15500.0,4.0,,,2.09,,,,37.1,,
leasecompanyname,,3038,24000.0,2.0,,,,,Dump Truck,,20.04,,2.0
fullapplicationno,NYC1-201586-815,3976,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,3555,29000.0,3.0,8800.0,,,,Other Single,,31.03,CONCRETE MIXER,2.0
fullapplicationno,Jac-2015616-666,3827,28800.0,3.0,6900.0,,,,Dump Truck,,23.05,,2.0
leasecompanyname,,4534,,,,,,,Tractor Trailer,,,,
leasecompanyname,,3124,10380.0,5.0,,,4.07,,,,39.04,,
leasecompanyname,,3052,10355.0,4.0,,,4.06,,,,33.06,,
fullapplicationno,NYC1-2015720-776,3937,,,,Raw Bulk Milk,,12.03,,Empty,,,
fullapplicationno,NYC1-20151019-1025,4276,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,2542,26880.0,3.0,7610.0,,,,Other Single,,34.06,ROLLOFF,2.0
fullapplicationno,Wor-201477-745,2475,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,Bed-2016928-710,5438,,,,,,,Tractor Trailer,,,,
leasecompanyname,,4118,29500.0,3.0,8000.0,,,,Other Single,,32.07,,2.0
fullapplicationno,SJ-201539-238,3399,24210.0,3.0,8800.0,,,,Other Single,,32.0,,2.0
leasecompanyname,,2970,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,4470,23000.0,3.0,24020.0,,,,Other Single,,35.0,DUMP,2.0
leasecompanyname,,4004,29000.0,3.0,8800.0,,,,Other Single,,31.03,,2.0
leasecompanyname,,3985,,,,,,,Tractor Trailer,,,,
leasecompanyname,,2706,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,,6659,25000.0,3.0,,,,,,,23.03,,
fullapplicationno,NYC1-2015720-783,3944,,,,Raw Bulk Milk,,11.06,,Empty,,,
fullapplicationno,con-2014917-916,2646,23000.0,3.0,5750.0,,,,Other Single,,34.0,1003utility,2.0
fullapplicationno,con-2015112-1181,4432,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,Wor-2015317-318,3479,,,,Bulk Raw Milk,,12.0,,Empty,,,
fullapplicationno,Wor-2015317-288,3449,,,,Bulk Raw Milk,,12.03,,Empty,,,
fullapplicationno,DEF1-2015119-88,3249,38124.0,2.0,,,,,,,41.11,,
leasecompanyname,,3660,,,,,,,Tractor Trailer,,,,
fullapplicationno,NYC1-201569-634,3795,,,,Raw Bulk Milk,,12.03,,Empty,,,
leasecompanyname,,3324,23000.0,3.0,24020.0,,,,Other Single,,34.0,Tank,2.0
fullapplicationno,Wor-201492-875,2605,,,,Bulk Raw Milk,,11.06,,Empty,,,
leasecompanyname,,2757,23000.0,3.0,5750.0,,,,Other Single,,34.0,tank truck,2.0
fullapplicationno,Eas1-20141217-1385,3115,,,,,,,Tractor Trailer,,,,
fullapplicationno,Wor-2015317-290,3451,,,,Bulk Raw Milk,,12.03,,Empty,,,
leasecompanyname,,4340,22700.0,3.0,5675.0,,,,Other Single,,34.0,1019utility,2.0
leasecompanyname,,3144,,,,,,,Tractor Trailer,,,,
fullapplicationno,NYC1-20151019-1018,4269,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,Ast-2015224-195,3356,19653.0,3.0,,,,,,,38.11,,
fullapplicationno,Wor-2014128-1286,3016,,,,Bulk Raw Milk,,11.06,,Empty,,,
fullapplicationno,SMG-2014729-795,2525,29000.0,3.0,8100.0,,,,Dump Truck,,20.11,,2.0
leasecompanyname,,3579,,,,,,,Tractor Trailer,,,,
leasecompanyname,,2717,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
fullapplicationno,Eas-2015121-1323,4574,23291.0,4.0,,,5.05,,,,41.01,,
fullapplicationno,CAS1-2015611-637,3798,28640.0,3.0,28640.0,,,,Cement Truck,,33.06,,2.0
fullapplicationno,NEW3-2014815-834,2564,29500.0,3.0,32400.0,,,,Dump Truck,,28.0,,2.0
leasecompanyname,,4379,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
fullapplicationno,con-2014919-986,2716,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,2.0
leasecompanyname,,2525,29000.0,3.0,8100.0,,,,Dump Truck,,20.11,,2.0
fullapplicationno,con-2014919-996,2726,23000.0,3.0,5750.0,,,,Other Single,,34.0,UTILITY,2.0
leasecompanyname,Bedford Carp Construction Corp,5438,,,,,,,Tractor Trailer,,,,
fullapplicationno,Cra-2015122-113,3274,36700.0,2.0,,,,,,,43.07,,
fullapplicationno,con-2015113-1219,4470,23000.0,3.0,24020.0,,,,Other Single,,35.0,DUMP,2.0
leasecompanyname,,6500,23000.0,3.0,5750.0,,,,Other Single,,34.0,utility,2.0
fullapplicationno,Ene-2014113-1171,2901,22000.0,3.0,7640.0,,,,Other Single,,25.02,FUEL TANK,2.0
fullapplicationno,ISL-201472-737,2467,,,,,,,Tractor Trailer,,,,
fullapplicationno,Wor-2015318-337,3498,,,,Bulk Raw Milk,,11.06,,Empty,,,
