globalid,plantingspaceonstreet,overheadutilities,buildingnumber,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,stateassembly,crossstreet1
34FE1864-1A39-4776-900F-10E49E618DFB,,,332,76,10693,64.0,BEND
B38465BF-4CDC-4085-BE46-8CB8726B68B2,,,1529,49,17615,56.0,TROY AVENUE
6119AE1B-D63F-4ECE-95C0-6F4487853473,,,131-001,63,15313,29.0,133 AVENUE
6C95820D-9FC5-48C6-B5FC-887A82A2ABB4,1 S,,87,74,10369,61.0,GRYMES HILL ROAD
7AF2C4E7-7657-48F0-9F1C-6131A82DFBC6,3F,,222,74,10369,61.0,ADA PLACE
89D29B75-A333-444E-8E47-11E542D5A84A,,,105,74,10369,61.0,GRETA PLACE
74BA4F4C-9283-47FE-A143-2257900DDB3A,,,5728,77,10696,62.0,HAYNES STREET
3E1C1D3F-2596-4CCF-9787-8D7EDF9E36F0,PENN AVENUE,,446,76,10693,64.0,MALDEN PLACE
BDD3C57A-BC59-41F9-94A8-D2185E0E0A61,,,37,74,10369,61.0,HILLCREST ROAD
94255C24-6544-4DAD-9EDA-21D601188F8C,,,64,74,10369,63.0,DUNCAN ROAD
8C5D069D-AC27-4293-A7F0-08991AEBE111,,,11,74,10369,61.0,THERESA PLACE
9F7BC33A-160F-4CC0-AAA6-D7CCB837446A,SHORE PARKWAY,,70,36,13826,41.0,VOORHIES AVENUE
BC21FFAE-21A9-4200-82B2-733AA04DDFE5,,,363,76,10693,64.0,MILL ROAD
AC4AF472-64DE-41E8-9622-7D2DFB2AAF1F,NOSTRAND AV,,1117,44,13509,43.0,MIDWOOD STREET
A9105105-92B3-475E-9B6D-5980D54AF2CE,,,43-060,69,14505,26.0,CHURCH STREET
CA0677FA-9719-4C65-A43D-C2A7695BA777,BLEECKER ST,,15,3,12077,66.0,BLEECKER STREET
D4FF3DF3-EB14-4F2B-B8C5-07A45DDF2394,10 AV,,654,6,11722,75.0,12 AVENUE
CF768ED7-B2B9-42D9-83B4-09DF9168A46A,211 STREET,,28-032,69,14195,26.0,29 AVENUE
DF9701E9-18DD-454D-960B-0BEA2D888AD3,2F,,49,76,10693,64.0,MANILA AVENUE
57A7CEA3-FF0F-4774-9CDD-7740F414FBF9,,,121,74,10369,63.0,DEAD END
A500A110-E06B-493F-A86B-E569F046D488,,,64,74,10691,61.0,QUINN STREET
0FAA5A27-11AE-4D12-A2B8-A01AA98CFF31,1f,,56,75,10370,61.0,HEBERTON AVENUE
4DDF9526-C262-43BF-8262-31471F3E1817,,,93,74,10369,63.0,BERTHA PLACE
F8672F08-D92E-440F-8AC3-6248F272F82A,,,502,17,12424,,OLD BROADWAY
90DE52FA-13A6-4A04-AC2F-A95422218204,CLINTON AVENUE,,232,55,17212,57.0,DEKALB AVENUE
DBE0640F-C125-4782-B048-F1B6D57B16D5,,,7511,41,17216,64.0,76 STREET
64D5C0D0-CC69-4EEE-9279-7F811B0FA4A9,,,22,76,10693,62.0,ALLISON PLACE
1BCDDE7F-08D2-4EC6-B92B-58D7CF57D892,,,56,74,10369,63.0,DUNCAN ROAD
4CC6367C-3F04-4DC9-971A-AF10F5BC6A39,,,91,74,10691,61.0,TOMPKINS AVENUE
F40DDA21-DC43-4245-977E-8079A179866A,,,29,76,10693,62.0,BEACH AVENUE
E7B3F678-A4F5-43CD-9011-4988F90F74EF,,,193,74,10369,61.0,ADA PLACE
45E26FD8-2C4E-4DDC-A648-04942DB80CC1,BRIGHTON 5 STREET,,2932,35,13826,45.0,BRIGHTON    4 WALK
2E5E7B9F-131F-4F9B-B528-6D42112F9A4B,,,34,74,10691,61.0,QUINN STREET
69EC1BF0-778C-4937-8B9C-3F9F47268559,,,450,76,10692,64.0,NUGENT AVENUE
87357EBA-0880-4821-A9E5-EECD8C9F15B6,,,24,76,10693,64.0,MALDEN PLACE
CA5710BC-D971-42F2-8A2F-FC38E73968E3,,,74,74,10691,61.0,QUINN STREET
36788178-EAB7-471C-AC5E-A5EB83B0B657,PENN AVENUE,,345,76,10693,64.0,ROBERTS DRIVE
BF04F7BF-5117-40EC-B4C8-8AB3991DB91A,,,2975,30,11607,83.0,ADEE AVENUE
76C52370-E446-4F57-9C59-B3D127ABE3EC,1X,,20,74,10369,61.0,DEAD END
56D26523-DCF7-4ADC-AF97-391DE3D4680C,,,70,75,10370,61.0,HEBERTON AVENUE
CC84059E-E6B9-49CF-8BF2-3105262E4509,,,161,74,10369,63.0,DEAD END
E5E11DFE-3591-46EF-B881-0851DCD5569B,,,1033,39,17621,48.0,FT HAMILTON PARKWAY
A6FB6971-5D2C-4AE1-A80D-31D18E3F8317,1F,,26,76,10693,64.0,MANILA AVENUE
64088F54-019F-48B2-9315-FB9A92ED714F,,,89-090,63,24336,33.0,90 AVENUE
57B13FE6-C02E-4863-B84F-492016E662D4,1F,,49,76,10693,64.0,MANILA AVENUE
64A60C3B-1124-4F2F-80CA-6E6EE6EC5AD4,yes,,397,74,10692,64.0,MARYLAND LANE
6D5A04A7-CF2F-48B1-92DA-77D6E0C68907,SHERMAN AV,,253,22,13092,72.0,ISHAM STREET
C6940420-C115-4016-9DAC-703A1C975E7A,1F,,723,76,10693,64.0,WEED AVENUE
46758017-0CDB-4E66-92D3-00BFC4EB05D9,,,367,76,10693,64.0,BEND
D1C8F2EE-716C-48EC-A042-A81157CCD025,1F,,199,74,10369,61.0,NORMA PLACE
AD959B8B-D2D6-43BC-A1D5-685D16865A17,21 AVENUE,,24-12,72,16862,36.0,21 AV
70B6661A-3E2D-432C-B2CA-0DF1DE267469,,,222,74,10369,61.0,ADA PLACE
649F6C82-EF73-429C-B4CB-661B0CA81B1A,,,64,74,10369,63.0,DUNCAN ROAD
A9A30460-413A-4678-8175-D97C9EC91A08,,,8,74,10369,63.0,BEND
16D637A0-4772-40FB-A1D8-2B9F33B07E34,,1.0,517,9,12078,73.0,EAST  35 STREET
F2DDE200-77AD-4F33-8CBE-D68967BB3C5D,1F,,19,76,10693,64.0,MANILA AVENUE
533E72CD-C292-419A-AB4D-B6C85EA2F9AB,,,45,74,10369,61.0,DUNCAN ROAD
3CA4C808-FA90-4C74-A322-6694F1302799,,,328,76,10693,64.0,BEND
510C45E4-5A3F-417E-B386-3B209673AECC,1f,,75,75,10370,61.0,HEBERTON AVENUE
C81DC36A-DFE1-4A18-9224-98422EBC386F,,,17,76,10693,64.0,MALDEN PLACE
222A7188-3635-43AB-89CE-3869AE355AB4,E 5 ST,,434,39,17620,44.0,AVENUE C
98F8D2E0-E2AA-4EF8-A1BE-A66D79F7B43D,,,4501,38,13825,41.0,SCHENECTADY AVENUE
C863DD22-87FF-439A-A580-D3A9F795ADB6,,,186-011,71,15313,29.0,MILBURN STREET
72A27A9A-077B-4CE9-A7AF-CAC45DCB631B,,,1505,49,17615,56.0,TROY AVENUE
78B80F2A-1251-49C8-BAD3-045DCB33DCC0,,,70,74,10691,61.0,QUINN STREET
41385F34-16D5-464A-A82F-95750240E996,VANBUREN ST,,542,52,18181,54.0,BROADWAY
18BEF5E1-52BB-4B6E-A5F5-676D4F862485,,,95,74,10691,61.0,QUINN STREET
1CB8FEC1-C93C-4EBC-97AE-0B9D2B362268,,,18,74,10369,61.0,DUNCAN ROAD
62B98FE9-98BB-4D8A-9F95-C6274F7EFE99,,,67,74,10691,61.0,QUINN STREET
E5692840-E875-4D12-8087-CCBC86B3AC9B,LUDLAM PLACE,,26,44,13509,57.0,SULLIVAN PLACE
88AD4821-72CF-4624-AA67-426E3E291665,,,343,76,10693,64.0,MILL ROAD
75EBE66E-CD5E-4D05-8682-642A703C2F23,,,63,74,10691,61.0,QUINN STREET
DD626F38-7E7F-4810-B72C-CF792ABBC76F,HOOK CREEK BOULEVARD,,147-036,63,24018,29.0,147 DRIVE
7ED8C04B-462E-461F-A55C-DF09ED43245B,,,37,74,10369,61.0,HILLCREST ROAD
A471B338-6388-4588-B652-706AB91724F8,,,364,76,10693,64.0,MILL ROAD
273F5085-D536-4714-A418-3F9633D95C98,,,9,76,10693,64.0,MALDEN PLACE
