location_name,location_code,building_name,prop_n,borough,:@computed_region_yeji_bk3q,avgofvio_n
P.S. 096 Joseph Lanzetta,M096,,1.0,M,,0.44
P.S. 223 Lyndon B. Johnson,Q223,,0.0,Q,3.0,0.53
N.Y.C. Museum School,M414,333 WEST  17 STREET CONSOLIDATED LOCATION,,M,,
241 EMERSON PLACE CONSOLIDATED LOCATION,K270,241 EMERSON PLACE CONSOLIDATED LOCATION,,K,,
School of the Future Brooklyn,K663,574 DUMONT AVENUE CONSOLIDATED LOCATION,,K,,
The Brooklyn Academy of Global Finance,K688,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,,K,,
"Brooklyn Latin School, The",K449,223 GRAHAM AVENUE CONSOLIDATED LOCATION,,K,,
P.S. 319,K319,,2.0,K,2.0,1.54
49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,K805,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,,K,2.0,
High School for Health Professions and Human Servi,M420,145 WEST  84 STREET CONSOLIDATED LOCATION,7.0,M,,1.54
P.S. 172 Beacon School of Excellence,K172,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,,K,,
Thomas Jefferson Yabc,K431,,4.0,K,,2.0
Frederick Douglass Academy VIII Middle School,K452,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,K,,
328 WEST  48 STREET CONSOLIDATED LOCATION,M017,328 WEST  48 STREET CONSOLIDATED LOCATION,,M,,
Staten Island Yabc,R607,,2.0,R,1.0,1.74
Academy of Innovative Technology,K618,999 JAMAICA AVENUE CONSOLIDATED LOCATION,,K,,
P.S. 190 Sheffield,K190,,0.0,K,,1.05
P.S. 245,K245,,1.0,K,,0.32
"East Side Elementary School, PS 267",M267,,0.0,M,4.0,0.44
Washington Heights Expeditionary Learning School,M348,511 WEST 182ND STREET CONSOLIDATED LOCATION,,M,4.0,
6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,K515,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,,K,2.0,
P.S. 008 Robert Fulton,K008,,0.0,K,,0.82
Brooklyn Landmark Elementary School,K599,251 MCDOUGAL STREET CONSOLIDATED LOCATION,,K,,
I.S. 364 Gateway,K364,104 SUTTER AVENUE CONSOLIDATED LOCATION,0.0,K,2.0,1.05
Stuyvesant High School,M475,345 EAST  15TH STREET CONSOLIDATED LOCATION,,M,4.0,
P.S. 111 Adolph S. Ochs,M111,,1.0,M,,0.44
J.H.S. 162 The Willoughby,K162,330 CROWN STREET CONSOLIDATED LOCATION,,K,2.0,
P.S. 330,Q330,,0.0,Q,3.0,0.53
P.S. 295,K295,,0.0,K,,0.44
P.S. 224 Hale A. Woodruff,K224,4200 16 AVENUE CONSOLIDATED LOCATION,,K,2.0,
P.S. 032 Samuel Mills Sprole,K032,317 HOYT STREET CONSOLIDATED LOCATION,,K,2.0,
P.S. 217 Colonel David Marcus School,K217,,1.0,K,2.0,0.53
210 CHESTER STREET CONSOLIDATED LOCATION,K263,210 CHESTER STREET CONSOLIDATED LOCATION,,K,,
P.S. 066 School of Higher Expectations,X066,1425 WALTON AVENUE CONSOLIDATED LOCATION,,X,,
P.S. K053,K053,544 7TH AVENUE CONSOLIDATED LOCATION,,K,,
P.S. 095 Sheila Mencher,X095,,0.0,X,5.0,0.44
1573 MADISON AVENUE CONSOLIDATED LOCATION,M013,1573 MADISON AVENUE CONSOLIDATED LOCATION,,M,,
100 WEST  77 STREET CONSOLIDATED LOCATION,M044,100 WEST  77 STREET CONSOLIDATED LOCATION,,M,,
P.S. 333 Manhattan School for Children,M333,154 WEST  93 STREET CONSOLIDATED LOCATION,,M,,
P.S. 048 Mapleton,K048,,0.0,K,,0.53
HEBREW LANGUAGE ACADEMY CHARTER SCHOOL (BS),K746,,0.0,K,2.0,0.44
122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,M490,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,,M,,
188 ROCHESTER AVENUE CONSOLIDATED LOCATION,K210,,0.0,K,2.0,0.53
Home Instruction,M501,439 WEST 49TH STREET CONSOLIDATED LOCATION,,M,4.0,
EBC High School for Public Service - Bushwick,K545,,0.0,K,2.0,0.44
443 ST MARKS AVENUE CONSOLIDATED LOCATION,K022,443 ST MARKS AVENUE CONSOLIDATED LOCATION,0.0,K,2.0,0.82
Institute for Health Professions at Cambria Height,Q243,101-01 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,,Q,3.0,
319 EAST 117 STREET CONSOLIDATED LOCATION,M155,319 EAST 117 STREET CONSOLIDATED LOCATION,,M,,
I.S. 340,K340,,0.0,K,,0.44
Williamsburg Preparatory School,K561,257 NORTH  6 STREET CONSOLIDATED LOCATION,,K,,
185 WADSWORTH AVENUE CONSOLIDATED LOCATION,M132,185 WADSWORTH AVENUE CONSOLIDATED LOCATION,,M,4.0,
231 PALMETTO STREET CONSOLIDATED LOCATION,K291,231 PALMETTO STREET CONSOLIDATED LOCATION,,K,,
M.S. 319 - Maria Teresa,M319,21 JUMEL PLACE CONSOLIDATED LOCATION,,M,,
P.S. 125 Ralph Bunche,M125,,0.0,M,,0.82
600 KINGSTON AVENUE CONSOLIDATED LOCATION,K470,600 KINGSTON AVENUE CONSOLIDATED LOCATION,,K,2.0,
P.S. Q811,Q811,,1.0,Q,3.0,0.32
P.S. 096 Richard Rodgers,X096,3961 HILLMAN AVENUE CONSOLIDATED LOCATION,1.0,X,5.0,1.74
850 GRAND STREET CONSOLIDATED LOCATION,K450,850 GRAND STREET CONSOLIDATED LOCATION,,K,2.0,
120 Stuyvesant Place,R077,,1.0,R,1.0,0.82
2310 GLENWOOD ROAD CONSOLIDATED LOCATION,K152,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,,K,2.0,
P.S. 139 Rego Park,Q139,,0.0,Q,3.0,0.53
650 ACADEMY STREET CONSOLIDATED LOCATION,M052,650 ACADEMY STREET CONSOLIDATED LOCATION,,M,,
P.S. 092 Adrian Hegeman,K092,,1.0,K,,0.44
P.S. 108 Assemblyman Angelo Del Toro Educational C,M108,,1.0,M,4.0,0.44
I.S. 98 Bay Academy,K098,,3.0,K,,1.74
