geocode,latitude,longitude,avgofmajor_n,community_board,nypd_site_name,council_district,:@computed_region_f5dn_yrer,oth_n
"{'latitude': '40.856669', 'longitude': '-73.897771', 'human_address': '{""address"": ""313 EAST 183RD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.856723,-73.897885,0.28,5.0,Cornerstone Academy for Social Action,15.0,6.0,3.0
"{'latitude': '40.649522', 'longitude': '-73.958489', 'human_address': '{""address"": ""911 FLATBUSH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.649787,-73.95855,,14.0,JOHN JAY HS,40.0,60.0,
"{'latitude': '40.744652', 'longitude': '-73.726719', 'human_address': '{""address"": ""74 30 COMMONWEALTH BLVD"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.745948,-73.727456,0.27,13.0,JHS 202Q,23.0,63.0,0.0
"{'latitude': '40.859966', 'longitude': '-74.130414', 'human_address': '{""address"": ""40 IRVING PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.735494,-73.987659,,6.0,SEWARD PARK HS,2.0,,
"{'latitude': '32.923885', 'longitude': '-97.07699', 'human_address': '{""address"": ""215 WEST 114 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.802207,-73.954142,0.38,10.0,PS 083M,9.0,,1.0
"{'latitude': '48.396198', 'longitude': '-114.337971', 'human_address': '{""address"": ""250 WEST 18 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.741657,-73.999307,,4.0,HS FOR HUMANITIES,3.0,,
"{'latitude': '40.695502', 'longitude': '-74.151298', 'human_address': '{""address"": ""46 35 OCEANIA STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.756139,-73.772862,,11.0,PS 150Q,19.0,,
"{'latitude': '41.71862', 'longitude': '-73.956572', 'human_address': '{""address"": ""51 CHRISTOPHER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.672462,-73.906552,,16.0,PS 328 Phyllis Wheatley,37.0,,
"{'latitude': '42.881722', 'longitude': '-78.848003', 'human_address': '{""address"": ""226 BRISTOL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.665878,-73.911705,,16.0,PS 174K,41.0,,
"{'latitude': '29.510513', 'longitude': '-90.331629', 'human_address': '{""address"": ""100 WEST 84 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.785287,-73.97343,0.28,7.0,PS 005M,6.0,,1.0
"{'latitude': '38.548289', 'longitude': '-121.457458', 'human_address': '{""address"": ""4222 4th Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.650785,-74.008105,0.64,7.0,PS 328 Phyllis Wheatley,38.0,,1.0
"{'latitude': '40.858564', 'longitude': '-73.887349', 'human_address': '{""address"": ""2502 LORILLARD PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.859034,-73.886913,,6.0,PS/MS 037X,15.0,35.0,
"{'latitude': '39.751528', 'longitude': '-104.885878', 'human_address': '{""address"": ""8787 24 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.595341,-73.993457,0.24,11.0,,47.0,,0.0
"{'latitude': '40.39373', 'longitude': '-86.884926', 'human_address': '{""address"": ""905 WINTHROP STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.65843,-73.929076,0.57,17.0,PS 226K,41.0,,0.0
"{'latitude': '41.756114', 'longitude': '-124.216226', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.716778,-73.989337,,3.0,,1.0,,
"{'latitude': '42.022116', 'longitude': '-92.257551', 'human_address': '{""address"": ""1225 69 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,PS 174K,,,
"{'latitude': '40.633516', 'longitude': '-73.916477', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.633285,-73.916735,1.13,18.0,SHEEPSHEAD BAY HS,46.0,5.0,6.0
"{'latitude': '40.860074', 'longitude': '-73.906163', 'human_address': '{""address"": ""2280 AQUEDUCT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.859686,-73.906495,,7.0,Cornerstone Academy for Social Action,14.0,24.0,
"{'latitude': '41.009317', 'longitude': '-74.667408', 'human_address': '{""address"": ""80 MAPLE PARKWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.63179,-74.156439,,1.0,IS 034R,49.0,,
"{'latitude': '38.221701', 'longitude': '-85.73224', 'human_address': '{""address"": ""1025 EASTERN PARKWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.669001,-73.934635,,8.0,IS 166K,35.0,,
"{'latitude': '40.591104', 'longitude': '-73.939114', 'human_address': '{""address"": ""2525 HARING STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.591109,-73.9391,0.28,15.0,PS 279K,48.0,32.0,2.0
"{'latitude': '39.682226', 'longitude': '-75.569652', 'human_address': '{""address"": ""74 10 COMMONWEALTH BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.746231,-73.727614,0.38,13.0,PS 239Q,23.0,,0.0
"{'latitude': '43.541643', 'longitude': '-95.470144', 'human_address': '{""address"": ""185 1 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.729636,-73.983818,,3.0,JHS 013M,2.0,,
"{'latitude': '37.250109', 'longitude': '-77.406116', 'human_address': '{""address"": ""1014 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.692126,-73.931731,,3.0,PS 025K,36.0,,
"{'latitude': '41.044852', 'longitude': '-73.793828', 'human_address': '{""address"": ""76 RIVERDALE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.660204,-73.913933,0.38,16.0,PS 180K,42.0,,1.0
"{'latitude': '40.674571', 'longitude': '-74.211358', 'human_address': '{""address"": ""557 PENNSYLVANIA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.663673,-73.893754,,5.0,PS 013K,42.0,,
"{'latitude': '33.125431', 'longitude': '-87.531042', 'human_address': '{""address"": ""421 EAST 88 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.777911,-73.947757,0.38,8.0,PS 061M,5.0,,1.0
"{'latitude': '40.817928', 'longitude': '-73.911156', 'human_address': '{""address"": ""701 ST ANNS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.81825,-73.91103,0.28,1.0,ADLAI E. STEVENSON HS,17.0,49.0,0.0
"{'latitude': '40.62085', 'longitude': '-74.029749', 'human_address': '{""address"": ""371 89th Street"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.620957,-74.03015,,10.0,IS 259K,43.0,10.0,
"{'latitude': '36.138016', 'longitude': '-95.962752', 'human_address': '{""address"": ""1875 EAST 17 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.60422,-73.955485,0.27,15.0,IS 232K,48.0,,1.0
"{'latitude': '36.941912', 'longitude': '-84.10411', 'human_address': '{""address"": ""885 BOLTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.823526,-73.859662,,9.0,MS 123X,18.0,,
"{'latitude': '33.951918', 'longitude': '-118.276016', 'human_address': '{""address"": ""154 WEST 93 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.791728,-73.970845,,7.0,PS 116M,6.0,,
"{'latitude': '40.633516', 'longitude': '-73.916477', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.633285,-73.916735,,18.0,CANARSIE HS,46.0,5.0,
"{'latitude': '43.16525', 'longitude': '-77.629754', 'human_address': '{""address"": ""121 SARATOGA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.682458,-73.917088,,16.0,PS 135K,41.0,,
"{'latitude': '42.938054', 'longitude': '-78.902013', 'human_address': '{""address"": ""240 EAST 109 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.79307,-73.942303,,11.0,PS 112M,8.0,,
"{'latitude': '40.698104', 'longitude': '-73.91946', 'human_address': '{""address"": ""1300 GREENE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.697781,-73.919777,,4.0,PS 376K,37.0,42.0,
"{'latitude': '40.061787', 'longitude': '-85.676818', 'human_address': '{""address"": ""133 EAST 53 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.657131,-73.928018,0.27,17.0,MS 323K,41.0,,1.0
"{'latitude': '32.501673', 'longitude': '-84.964833', 'human_address': '{""address"": ""4001 18 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.63228,-73.973898,0.57,14.0,SOUTH BROOKLYN COMMUNITY HS,44.0,,0.0
"{'latitude': '28.010919', 'longitude': '-80.660106', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.855954,-73.927051,,12.0,WASHINGTON IRVING HS,10.0,,
"{'latitude': '40.724557', 'longitude': '-73.809394', 'human_address': '{""address"": ""158 40 76 ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.724458,-73.810216,0.28,8.0,MS 158Q,24.0,25.0,2.0
"{'latitude': '40.663934', 'longitude': '-73.92737', 'human_address': '{""address"": ""60 EAST 94 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.663559,-73.926959,0.24,17.0,MS 391K,41.0,61.0,0.0
"{'latitude': '40.694887', 'longitude': '-73.927855', 'human_address': '{""address"": ""797 BUSHWICK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.695056,-73.92814,0.27,4.0,PS 295K,34.0,42.0,0.0
"{'latitude': '40.743357', 'longitude': '-73.870547', 'human_address': '{""address"": ""45 10 94TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.74373,-73.870642,,4.0,John F. Kennedy Jr. School (old OTC 721Q),25.0,66.0,
"{'latitude': '40.658787', 'longitude': '-73.942431', 'human_address': '{""address"": ""600 KINGSTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.658893,-73.942458,,9.0,ERASMUS HALL HS,40.0,17.0,
"{'latitude': '38.536345', 'longitude': '-98.433792', 'human_address': '{""address"": ""350 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.590564,-73.969964,0.38,15.0,IS 211K,47.0,,0.0
"{'latitude': '28.02392', 'longitude': '-81.72836', 'human_address': '{""address"": ""199 10 112 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.702514,-73.756595,0.27,12.0,Civic Leadership Academy,27.0,,0.0
"{'latitude': '40.770522', 'longitude': '-73.951072', 'human_address': '{""address"": ""1458 YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.770419,-73.951135,,8.0,PS 153M,5.0,23.0,
"{'latitude': '29.788885', 'longitude': '-95.406151', 'human_address': '{""address"": ""1001 HERKIMER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.678049,-73.92032,0.24,3.0,PS 027K,41.0,,0.0
"{'latitude': '40.785816', 'longitude': '-77.820381', 'human_address': '{""address"": ""189 10 RADNOR ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.724479,-73.777454,0.38,8.0,PS 169Q,23.0,,0.0
"{'latitude': '35.82187', 'longitude': '-79.81864', 'human_address': '{""address"": ""650 ACADEMY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.866053,-73.924835,,12.0,JHS 047M SCHOOL FOR THE DEAF,10.0,,
"{'latitude': '40.64916', 'longitude': '-73.971731', 'human_address': '{""address"": ""350 CONEY ISLAND AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.649404,-73.971736,0.38,7.0,PS 077K,39.0,9.0,2.0
"{'latitude': '42.509533', 'longitude': '-95.412355', 'human_address': '{""address"": ""100 NOLL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.701692,-73.932338,,4.0,PS 139K,34.0,,
"{'latitude': '41.044852', 'longitude': '-73.793828', 'human_address': '{""address"": ""76 RIVERDALE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.660204,-73.913933,,16.0,PS 180K,42.0,,
"{'latitude': '39.972049', 'longitude': '-80.757838', 'human_address': '{""address"": ""521 WEST 43RD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.760851,-73.99626,0.27,4.0,LEGACY SCHOOL FOR INTEGRATED STUDIES,3.0,,0.0
"{'latitude': '34.172136', 'longitude': '-118.447355', 'human_address': '{""address"": ""5404 TILDEN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.648423,-73.925948,,17.0,JHS 239K,45.0,,
"{'latitude': '39.033537', 'longitude': '-96.830213', 'human_address': '{""address"": ""116 WEST 11 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.735692,-73.999026,0.57,2.0,PS 030M,3.0,,0.0
"{'latitude': '40.60773', 'longitude': '-73.98301', 'human_address': '{""address"": ""130 02 115 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.67956,-73.8106,0.57,10.0,PS 146Q,28.0,1.0,0.0
"{'latitude': '41.986541', 'longitude': '-87.8328', 'human_address': '{""address"": ""1919 PROSPECT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.843546,-73.889755,0.38,6.0,IS 203X,17.0,,8.0
"{'latitude': '40.951427', 'longitude': '-73.690991', 'human_address': '{""address"": ""125 STUYVESANT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.691274,-73.933697,,3.0,PS 056K,36.0,,
"{'latitude': '29.791239', 'longitude': '-95.406189', 'human_address': '{""address"": ""1137 HERKIMER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.677805,-73.915843,0.57,16.0,PS 269K,41.0,,3.0
"{'latitude': '40.841311', 'longitude': '-74.26959', 'human_address': '{""address"": ""66 56 FOREST AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.706041,-73.902584,0.9,5.0,PS 082Q,30.0,,0.0
"{'latitude': '40.718884', 'longitude': '-73.806231', 'human_address': '{""address"": ""160 20 GOETHALS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.718831,-73.806499,,8.0,JAMAICA LEARNING CENTER,24.0,25.0,
"{'latitude': '39.319874', 'longitude': '-77.650343', 'human_address': '{""address"": ""501 WEST AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.5825,-73.973122,,13.0,PS 298K,47.0,,
"{'latitude': '35.885188', 'longitude': '-80.087586', 'human_address': '{""address"": ""198 FORSYTH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.72252,-73.990728,0.27,3.0,PARK EAST HS,1.0,,4.0
"{'latitude': '40.791882', 'longitude': '-73.946541', 'human_address': '{""address"": ""1680 LEXINGTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.791881,-73.946558,0.57,11.0,JHS 099M,8.0,7.0,4.0
"{'latitude': '39.861285', 'longitude': '-75.293179', 'human_address': '{""address"": ""122 AMSTERDAM AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.774351,-73.984753,1.69,7.0,JULIA RICHMAN ED. COMPLEX,6.0,,2.0
"{'latitude': '40.715715', 'longitude': '-73.843813', 'human_address': '{""address"": ""2 RUSSELL PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.715585,-73.843898,0.24,6.0,PS 091Q,29.0,40.0,0.0
"{'latitude': '40.588152', 'longitude': '-73.702658', 'human_address': '{""address"": ""130 ROCHESTER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.674656,-73.927794,0.27,8.0,PS 329K,36.0,,0.0
"{'latitude': '37.010915', 'longitude': '-86.446631', 'human_address': '{""address"": ""411 PEARL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.711442,-74.000851,,1.0,CHOIR ACADEMY,1.0,,
"{'latitude': '40.712241', 'longitude': '-73.939494', 'human_address': '{""address"": ""850 GRAND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.712184,-73.939722,1.13,1.0,PROSPECT HEIGHTS HS,34.0,36.0,3.0
"{'latitude': '28.010919', 'longitude': '-80.660106', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.855954,-73.927051,,12.0,SEWARD PARK HS,10.0,,
"{'latitude': '40.702205', 'longitude': '-73.819955', 'human_address': '{""address"": ""132 10 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.702156,-73.820209,0.27,9.0,PS 048Q,29.0,46.0,0.0
"{'latitude': '40.761958', 'longitude': '-73.914359', 'human_address': '{""address"": ""30 45 42 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.762103,-73.914227,0.38,1.0,PS 060Q,22.0,39.0,0.0
"{'latitude': '43.462658', 'longitude': '-88.843669', 'human_address': '{""address"": ""625 WEST 133 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.819572,-73.957823,,9.0,PS 191M,7.0,,
"{'latitude': '40.649522', 'longitude': '-73.958489', 'human_address': '{""address"": ""911 FLATBUSH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.649787,-73.95855,,14.0,JOHN JAY HS,40.0,60.0,
"{'latitude': '41.756114', 'longitude': '-124.216226', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.716778,-73.989337,,3.0,HS FOR HUMANITIES,1.0,,
"{'latitude': '41.943484', 'longitude': '-73.997471', 'human_address': '{""address"": ""532 ALBANY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.661886,-73.93994,0.27,9.0,PS 090K,41.0,,1.0
"{'latitude': '27.749639', 'longitude': '-82.75358', 'human_address': '{""address"": ""170 45 84 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.716617,-73.794637,0.64,8.0,PS 121Q,24.0,,2.0
"{'latitude': '40.639357', 'longitude': '-74.020072', 'human_address': '{""address"": ""6214 4TH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.639571,-74.01976,0.24,7.0,Brownsville Academy,38.0,9.0,0.0
"{'latitude': '42.661733', 'longitude': '-89.013115', 'human_address': '{""address"": ""1328 PUTNAM AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.693879,-73.913056,0.27,4.0,PS 105K,37.0,,1.0
"{'latitude': '40.697677', 'longitude': '-73.916362', 'human_address': '{""address"": ""515 KNICKERBOCKER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.697779,-73.916521,0.27,4.0,PS 115K,37.0,42.0,1.0
"{'latitude': '40.686205', 'longitude': '-73.869562', 'human_address': '{""address"": ""528 RIDGEWOOD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.68618,-73.869625,0.57,5.0,PS 167K,37.0,45.0,0.0
"{'latitude': '40.604754', 'longitude': '-73.995376', 'human_address': '{""address"": ""2075 84 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0.28,,JHS 126K,,1.0,0.0
"{'latitude': '40.701328', 'longitude': '-73.981737', 'human_address': '{""address"": ""209 YORK STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.701343,-73.982314,0.27,2.0,PS 304K,33.0,68.0,0.0
"{'latitude': '40.669572', 'longitude': '-73.961978', 'human_address': '{""address"": ""901 CLASSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.669567,-73.961962,0.64,9.0,Sunset Park HS,35.0,17.0,6.0
"{'latitude': '42.343103', 'longitude': '-83.085748', 'human_address': '{""address"": ""4200 16 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.634875,-73.981528,0.38,12.0,IS 218K,44.0,,0.0
"{'latitude': '26.777123', 'longitude': '-80.061719', 'human_address': '{""address"": ""351 WEST 18 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.742867,-74.002136,,4.0,,3.0,,
"{'latitude': '41.889272', 'longitude': '-84.042283', 'human_address': '{""address"": ""713 CATON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.64759,-73.973362,0.64,7.0,Spring Creek Community School,39.0,,8.0
"{'latitude': '40.694593', 'longitude': '-73.971146', 'human_address': '{""address"": ""100 CLERMONT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.694633,-73.971165,,2.0,PS 045K,35.0,68.0,
"{'latitude': '42.232949', 'longitude': '-71.704608', 'human_address': '{""address"": ""19 EAST 103 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.792122,-73.951961,0.27,11.0,PS 165M,8.0,,3.0
"{'latitude': '43.474466', 'longitude': '-85.953004', 'human_address': '{""address"": ""525 WEST 44TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.761479,-73.995823,,4.0,PS/MS 217M,3.0,,
"{'latitude': '35.269246', 'longitude': '-80.420034', 'human_address': '{""address"": ""285 DELANCY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.715915,-73.979893,0.28,3.0,JHS 099M,1.0,,3.0
"{'latitude': '39.798783', 'longitude': '-75.248275', 'human_address': '{""address"": ""430 HOWARD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.673073,-73.919594,,16.0,PS 012K,41.0,,
"{'latitude': '42.280056', 'longitude': '-71.13141', 'human_address': '{""address"": ""91 30 METROPOLITAN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.711367,-73.856698,0.57,6.0,Frank Sinatra School of The Arts HS,29.0,,1.0
"{'latitude': '28.010919', 'longitude': '-80.660106', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.855954,-73.927051,,12.0,WASHINGTON IRVING HS,10.0,,
"{'latitude': '40.809311', 'longitude': '-75.597174', 'human_address': '{""address"": ""787 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.691037,-73.941342,0.24,3.0,PS 024K,36.0,,0.0
"{'latitude': '40.663934', 'longitude': '-73.92737', 'human_address': '{""address"": ""60 EAST 94 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.663559,-73.926959,,17.0,MS 391K,41.0,61.0,
"{'latitude': '32.256999', 'longitude': '-101.442835', 'human_address': '{""address"": ""850 KENT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.695417,-73.959571,0.27,3.0,PS 154K,33.0,,1.0
"{'latitude': '39.006943', 'longitude': '-94.585196', 'human_address': '{""address"": ""317 EAST 67 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.765359,-73.960059,1.69,8.0,LOUIS D. BRANDEIS HS,5.0,,7.0
"{'latitude': '39.756435', 'longitude': '-94.872733', 'human_address': '{""address"": ""301 VERMONT STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.671987,-73.893896,,5.0,PS 287K,42.0,,
"{'latitude': '40.67265', 'longitude': '-73.927974', 'human_address': '{""address"": ""188 ROCHESTER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.672762,-73.927973,,8.0,PS/IS 206K,36.0,16.0,
"{'latitude': '41.986541', 'longitude': '-87.8328', 'human_address': '{""address"": ""1919 PROSPECT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.843546,-73.889755,,6.0,IS 203X,17.0,,
"{'latitude': '39.861285', 'longitude': '-75.293179', 'human_address': '{""address"": ""122 AMSTERDAM AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.774351,-73.984753,,7.0,JULIA RICHMAN ED. COMPLEX,6.0,,
"{'latitude': '40.785467', 'longitude': '-73.942065', 'human_address': '{""address"": ""410 EAST 100 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.785671,-73.942548,,11.0,PS 092M,8.0,7.0,
"{'latitude': '26.577028', 'longitude': '-80.060039', 'human_address': '{""address"": ""1001 JENNINGS STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.831165,-73.887094,0.27,3.0,PS 060X,17.0,,1.0
"{'latitude': '32.358886', 'longitude': '-89.651563', 'human_address': '{""address"": ""71 SULLIVAN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.677343,-74.011558,0.27,6.0,PS 015K,38.0,,0.0
"{'latitude': '34.66558', 'longitude': '-106.789183', 'human_address': '{""address"": ""1664 BENSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.607234,-74.007199,0.27,11.0,PS 161K,43.0,,0.0
"{'latitude': '40.637683', 'longitude': '-73.948179', 'human_address': '{""address"": ""1957 NOSTRAND AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.637711,-73.948159,0.27,17.0,MS 323K,45.0,60.0,0.0
"{'latitude': '40.661758', 'longitude': '-74.332539', 'human_address': '{""address"": ""900 ST MARKS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.674794,-73.942639,0.28,8.0,PS 284K,36.0,,1.0
"{'latitude': '58.300349', 'longitude': '-134.411862', 'human_address': '{""address"": ""300 WILLOUGHBY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.692642,-73.958794,,3.0,PS 116K,33.0,,
"{'latitude': '40.656403', 'longitude': '-73.907346', 'human_address': '{""address"": ""985 ROCKAWAY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.656068,-73.907245,0.64,16.0,IS 271K,42.0,55.0,3.0
"{'latitude': '34.8215', 'longitude': '-118.268509', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.780822,-73.976855,,7.0,JHS 172M,6.0,,
"{'latitude': '42.758357', 'longitude': '-73.677982', 'human_address': '{""address"": ""180 7 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.67146,-73.977783,0.28,6.0,PS 316K,39.0,,3.0
"{'latitude': '41.506625', 'longitude': '-81.676405', 'human_address': '{""address"": ""1599 EAST 22 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.612623,-73.951906,,14.0,PS 195K,48.0,,
"{'latitude': '33.87938', 'longitude': '-98.533097', 'human_address': '{""address"": ""3117 AVENUE W"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.596757,-73.933499,0.38,15.0,PS 190K,46.0,,0.0
"{'human_address': '{""address"": ""1010 REV J A POLITE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.823532,-73.898872,,2.0,PS/MS 306X,17.0,,
"{'latitude': '42.032548', 'longitude': '-71.192675', 'human_address': '{""address"": ""560 EAST 179 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.8486,-73.893654,0.57,6.0,IS 192X,15.0,,1.0
"{'latitude': '40.807968', 'longitude': '-74.227247', 'human_address': '{""address"": ""170 GATES AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.68505,-73.960659,,2.0,IS 055K,35.0,,
"{'latitude': '42.515383', 'longitude': '-96.414953', 'human_address': '{""address"": ""225 WEST 24 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.745156,-73.996074,,4.0,MURRY BERGTRAUM HS,3.0,,
