location_code,geographical_district_code,avgofprop_n,:@computed_region_efsh_h5xi,schools,bin,:@computed_region_sbqj_enih,bbl,engroupa,avgofnocrim_n,avgofoth_n
M520,2,,1367.0,4,1001388.0,,1001130100.0,3C,,
K821,15,0.98,30153.0,2,3010580.0,,3007130020.0,5C,2.38,1.71
K529,15,0.51,3694.0,1,3328583.0,,3055870038.0,2C,1.71,0.71
K267,16,1.72,14170.0,1,3044657.0,,3016360001.0,7C,5.77,3.02
M083,4,,23516.0,2,1052436.0,,1016590012.0,3C,,
Q020,25,,14190.0,2,4114657.0,67.0,4050470001.0,3C,,
K040,16,,15982.0,2,3041214.0,,3015180001.0,3C,,
K313,13,,16865.0,2,3331741.0,54.0,3001400010.0,3C,,
M155,4,0.63,21861.0,2,1052986.0,,1016890005.0,3C,1.67,0.9
K525,21,0.51,11346.0,1,3180673.0,,3067340109.0,2C,1.71,0.71
K133,13,0.75,17619.0,2,3413716.0,50.0,3009400111.0,4C,1.74,1.11
M104,2,0.63,2323.0,1,1081671.0,,1009260001.0,3C,1.67,0.9
M374,2,0.63,15751.0,1,1017828.0,,1008720057.0,3C,1.67,0.9
K758,15,0.75,26655.0,1,3017307.0,,3008890001.0,4C,1.74,1.11
K236,22,1.72,11350.0,1,3326821.0,,3084640001.0,7C,5.77,3.02
M145,3,,25692.0,2,1076625.0,,1018590001.0,2C,,
K025,16,,28478.0,2,3049858.0,,3017870014.0,2C,,
K088,15,,17373.0,2,3331276.0,,3008800001.0,7C,,
K201,20,1.72,13511.0,1,3162973.0,41.0,3062780022.0,7C,5.77,3.02
K178,23,0.98,20863.0,1,3038718.0,,3014400056.0,5C,2.38,1.71
K380,14,0.75,25859.0,2,3061235.0,,3022360009.0,4C,1.74,1.11
K554,32,3.63,7128.0,2,3413715.0,,3033440136.0,10C,17.44,7.16
