objectid,globalid,physicalid,r_blockfaceid,bike_trafdir,lsubsect,l_high_hn,rw_type,pre_type,truck_route_type,l_zip,created_date,streetwidth,r_zip,twisted_parity_flag
91527,bc79c784-7d03-483b-af8f-b3b0f955af10,101327,1222700227.0,,2A,23,1,,,10011.0,2007-11-29T00:00:00.000Z,16.0,10011.0,N
53869,6e73e904-5418-4735-9726-06e6d3f7a974,59148,1722613247.0,,2C,98,1,,,10306.0,2007-11-29T00:00:00.000Z,22.0,10306.0,N
51041,b5606d87-e129-4c72-8731-9956053f5366,56065,1522606579.0,,1E,1799,1,,,10461.0,2007-11-29T00:00:00.000Z,30.0,10461.0,N
4128,b3531d37-716a-4883-81ed-1c787d430d39,4878,52260492.0,,1C,89-099,1,,,11417.0,2007-11-29T00:00:00.000Z,40.0,11417.0,N
94291,2ba0e207-2ab4-4530-b83f-102a82945a8b,104458,1622611433.0,,4D,52,1,,,10314.0,2007-11-29T00:00:00.000Z,30.0,10314.0,N
7341,682f3e3e-4f35-4a97-b9f5-16c5b21452e7,8345,102266316.0,TW,3B,28-099,1,,,11101.0,2007-11-29T00:00:00.000Z,36.0,11101.0,N
67147,f5323524-361f-4807-a521-2d5fefa5ed44,73858,2022607914.0,TW,4E,1091,1,,,11207.0,2007-11-29T00:00:00.000Z,66.0,11207.0,N
75890,3dd9f7ab-feab-40f8-8818-206d1d1338a4,83851,52262284.0,,1D,95-099,1,,,11416.0,2007-11-29T00:00:00.000Z,30.0,11416.0,N
14050,b7abfafb-3f03-480a-98a7-60812fef9a8b,15760,1722609332.0,,7D,,9,,,10309.0,2007-11-29T00:00:00.000Z,18.0,10309.0,N
67771,649e55a1-4dd4-45de-96cb-6ad60ff620f0,74533,82263690.0,,4C,167-099,1,,,11365.0,2007-11-29T00:00:00.000Z,30.0,11365.0,N
132032,17f07e69-3260-48e4-8cc8-e55b85c8ae70,200689,1522613733.0,,2A,2425,1,,,10468.0,2007-11-29T00:00:00.000Z,52.0,10458.0,N
134191,f9299f60-bf92-4487-a307-3820c6efc04e,206028,1422602975.0,,1B,,9,,3.0,10473.0,2007-11-29T00:00:00.000Z,16.0,10473.0,N
120989,48218fa7-8b08-4feb-a80f-09b9bb8083d0,95652,,,3B,,1,,,11217.0,2007-11-29T00:00:00.000Z,36.0,11217.0,N
23060,bf4ec6fe-50b8-479e-8d3b-b1cd32097566,25721,112265816.0,,7D,23-099,1,,,11357.0,2007-11-29T00:00:00.000Z,45.0,11357.0,N
134107,766cb679-4350-4d47-a81a-ded8ab062245,205761,1922615846.0,,1D,,9,,3.0,11231.0,2007-11-29T00:00:00.000Z,28.0,11231.0,N
75916,f37d6fdc-b132-4e41-b49d-70889eae656a,83881,112268120.0,,6D,,1,,,11357.0,2007-11-29T00:00:00.000Z,35.0,11357.0,N
14121,a850ad49-da01-48d8-a907-0315df3e8cf0,15840,1722608281.0,,6D,,1,,2.0,10309.0,2007-11-29T00:00:00.000Z,24.0,10309.0,N
58875,c171ad09-1825-4e52-9187-2f3f3cab7f4f,64675,1422602556.0,,2C,4143,1,,,10465.0,2007-11-29T00:00:00.000Z,42.0,10465.0,N
89722,aff8f559-e53f-448e-a106-d45285e22dc8,99236,1322606094.0,,1A,98,1,,,10023.0,2007-11-29T00:00:00.000Z,30.0,10023.0,N
12400,2cd31ed9-908d-42e0-b656-5064d03c2578,13833,92266903.0,,1E,70-025,1,,2.0,11375.0,2007-11-29T00:00:00.000Z,45.0,11375.0,N
1807,117c93f6-7fa7-44e9-96e1-c1cfa64a671a,2179,1322602349.0,TF,1B,1983,1,,2.0,10029.0,2007-11-29T00:00:00.000Z,65.0,10029.0,N
36746,c945fda8-c7e8-4ef7-b2b3-33450fadea77,40508,1422605342.0,TW,1A,0,1,,2.0,10460.0,2007-11-29T00:00:00.000Z,70.0,10460.0,N
12731,c2dd7c46-03cf-4284-8d69-b15c07621e63,14236,12263803.0,TF,2D,30-099,1,,,11691.0,2007-11-29T00:00:00.000Z,46.0,11691.0,N
80326,ebdd1a1e-9eab-44cf-8227-bacf3e2d65fc,88686,1922601323.0,,,,1,,,11205.0,2007-11-29T00:00:00.000Z,40.0,11205.0,N
16025,75301458-fbcb-470d-9ee0-f05e638d79a5,17921,112268186.0,,7D,0,1,,3.0,11357.0,2007-11-29T00:00:00.000Z,35.0,11357.0,N
120002,e3a02ed5-a121-4daf-b5c8-69bd0e131c98,194030,,,2C,,6,,,10301.0,2016-09-22T15:33:20.000Z,,10301.0,N
133666,b2001fc7-3dfc-40af-a9d3-7639cad307ab,204420,102262968.0,,2E,62-099,1,,,11385.0,2007-11-29T00:00:00.000Z,30.0,11385.0,N
85184,2eac7371-a0f2-4e89-80fb-c5e9f812aaa4,94160,1722611732.0,,2E,0,1,,,10306.0,2007-11-29T00:00:00.000Z,26.0,10306.0,N
55522,f66d6cbb-ef02-4e3f-ba04-49156d11e8ea,60941,1422602565.0,TF,2A,541,1,,,10455.0,2009-06-16T00:00:00.000Z,34.0,10455.0,N
69546,3692c58e-194d-4cc1-9a0f-d5a7ae028d86,76553,2022611436.0,,2D,105,1,,,11208.0,2007-11-29T00:00:00.000Z,24.0,11208.0,N
85156,f4e1827c-1e33-43b4-9624-512532a2563b,94132,1722608178.0,,1E,30,1,,,10305.0,2007-11-29T00:00:00.000Z,34.0,10305.0,N
127063,c283634b-9a69-4ad8-9730-de79ed8807b6,196008,102268169.0,,5D,,2,,3.0,11377.0,2007-11-29T00:00:00.000Z,24.0,11377.0,N
71156,c53c1c5d-a93e-4c60-b36d-6a63af775f02,78511,1322601184.0,,3A,,9,,3.0,10452.0,2007-11-29T00:00:00.000Z,25.0,10452.0,N
30975,51d68d60-f9b1-4a3c-a152-831ea7baadbe,34123,112268385.0,,5C,126-099,1,,,11356.0,2007-11-29T00:00:00.000Z,26.0,11356.0,N
100938,9f73ab52-0550-41b3-a38c-49af6eeaf4f0,126611,2022608573.0,,4C,0,1,,,11432.0,2007-11-29T00:00:00.000Z,30.0,11432.0,N
59958,fc795749-44e7-4100-b41f-226444a896aa,65910,2022603913.0,,2D,,1,,,11236.0,2007-11-29T00:00:00.000Z,50.0,11236.0,N
90723,8ae97609-e07d-4d88-ae46-8f038b78e76e,100384,1922615443.0,,1C,131,1,,,11231.0,2007-11-29T00:00:00.000Z,22.0,11231.0,N
134265,05579b90-45c4-4213-be19-0c1ee3fc7af2,206312,102261611.0,,,,3,,,11101.0,2014-03-05T14:36:01.000Z,16.0,11101.0,N
62720,ee2a2aa6-ff37-42e3-bbd1-83fc9afd1aa9,69026,2022607966.0,,3C,137,1,,,11203.0,2007-11-29T00:00:00.000Z,42.0,11203.0,N
118571,3c30ab48-6097-4669-9a70-343cf7d689cc,191113,1222602517.0,,3A,19,1,,,10017.0,2007-11-29T00:00:00.000Z,20.0,10017.0,N
88715,772c6976-3f67-458d-9242-315eb291817f,98128,1822601424.0,,2A,1089,1,,,11235.0,2007-11-29T00:00:00.000Z,30.0,11235.0,N
56202,0bf51789-de9b-4b32-9137-d58de5fc7dfd,61716,1922601611.0,,2B,29,1,,,11249.0,2007-11-29T00:00:00.000Z,40.0,11249.0,N
79270,b8f5432f-0442-4afc-abdf-c8d165a3a516,87546,1422608796.0,,1B,479,1,,,10451.0,2007-11-29T00:00:00.000Z,30.0,10451.0,N
118554,807946cc-fcb1-4791-a3c0-141cb0e2957d,191085,2022603854.0,,3A,1569,1,,,11216.0,2007-11-29T00:00:00.000Z,42.0,11216.0,N
33156,ccb492b0-b553-4b48-a383-5806d282a190,36534,1922607553.0,,3D,4699,1,,,11220.0,2007-11-29T00:00:00.000Z,44.0,11220.0,N
85288,91b7607c-4fc3-41de-b88c-e5419a561b70,94270,1622611612.0,,3D,96,1,,,10304.0,2007-11-29T00:00:00.000Z,30.0,10304.0,N
128615,7cc3636d-e40f-4f2e-af84-0b015a1b84d5,132467,1322600031.0,,3A,,2,,,10033.0,2007-11-29T00:00:00.000Z,20.0,10033.0,N
117745,8776ea91-b503-4dad-b535-2f8d17b516ef,189939,1422601123.0,TW,1A,2767,1,,2.0,10451.0,2007-11-29T00:00:00.000Z,50.0,10455.0,N
116634,d33661a0-f937-46cc-95af-e33825e1ba10,186704,1622601168.0,,3C,1165,1,,1.0,10314.0,2007-11-29T00:00:00.000Z,40.0,10314.0,N
24505,b0344c32-1d78-4140-bc97-c456899cbc2d,27296,32262733.0,,8C,223-099,1,,,11413.0,2007-11-29T00:00:00.000Z,30.0,11413.0,N
56130,5b71cbde-ed9b-4add-a202-5a2a52212b76,61618,1922604012.0,TF,2E,529,1,,,11218.0,2007-11-29T00:00:00.000Z,30.0,11218.0,N
95216,42c3fdad-1d44-4f24-9e45-4af7cead8846,105524,1622611380.0,,4C,27,1,,,10303.0,2007-11-29T00:00:00.000Z,24.0,10303.0,N
42486,cd3b932e-42c9-4204-8ca4-206989481b95,46730,1922603533.0,,4B,2799,1,,,11226.0,2007-11-29T00:00:00.000Z,30.0,11226.0,N
120557,da7bcd6c-7902-41b4-80a2-69ab49b7e8bd,194919,2022606095.0,,2D,8799,1,,,11236.0,2007-11-29T00:00:00.000Z,30.0,11236.0,N
38739,36e4c307-2035-4aa2-b4d2-c4e959dc4b6f,42731,1922607677.0,TF,3E,4399,1,,,11219.0,2007-11-29T00:00:00.000Z,42.0,11219.0,N
62202,174493fa-cfb5-46db-ae52-c5d9c66a38d5,68492,112263361.0,,1C,42-099,1,,,11361.0,2007-11-29T00:00:00.000Z,30.0,11361.0,N
92047,d64fd9c5-1ebd-463e-a44a-e8ddfee71ca4,101889,1722601633.0,,5D,98,1,,,10312.0,2007-11-29T00:00:00.000Z,36.0,10312.0,N
99505,0336423c-69de-4b07-974a-641fc0a04bf9,116254,82265339.0,,1C,186-099,1,,,11432.0,2007-11-29T00:00:00.000Z,30.0,11432.0,N
111424,cc04403f-d132-4598-bacb-5f85e62b63d7,172605,1922601467.0,TW,3B,137,1,,,10004.0,2007-11-29T00:00:00.000Z,20.0,10004.0,N
63615,a4502868-1968-4a85-beff-d2346a389c4a,70013,2022604348.0,,3C,625,1,,,11208.0,2007-11-29T00:00:00.000Z,30.0,11208.0,N
84697,e347c716-1942-467d-809d-24260900903a,93636,1422600205.0,,2L,,1,,,10465.0,2007-11-29T00:00:00.000Z,16.0,10465.0,N
27438,0db28d61-5c21-4ad7-b6d7-df39503c763e,30380,92263027.0,,1C,73-017,1,,,11377.0,2007-11-29T00:00:00.000Z,42.0,11377.0,N
60264,5819b56a-29b6-4d78-9e5a-f97b2f05dc6b,66293,1522614444.0,,3D,,1,,,10471.0,2007-11-29T00:00:00.000Z,14.0,10471.0,N
126387,c26da018-682a-4ce1-a914-0c88c9587a45,179346,82260409.0,,,,2,,3.0,11373.0,2009-06-16T00:00:00.000Z,36.0,11373.0,N
99842,f05b3199-486b-4aba-9af7-19f037439aed,118550,,,,,6,,,10475.0,2011-03-30T11:48:07.000Z,,10475.0,N
130252,e0e3ee3b-75a1-4e08-8cee-82df9a56933f,37624,1822609827.0,,,,2,,,11220.0,2007-11-29T00:00:00.000Z,32.0,11220.0,N
119497,00711610-a7ae-4bdd-beb7-d9148fa048eb,192735,,,4C,,8,,,10314.0,2015-12-10T14:48:32.000Z,,10314.0,N
50962,d9ce8d94-ebc2-47b7-bf57-fad3416d9bb9,55984,1422600589.0,,1E,2273,1,,2.0,10462.0,2009-06-16T00:00:00.000Z,70.0,10462.0,N
28760,7a0e4004-79ce-4932-907b-cb2a6db9018b,31780,92266492.0,,2D,36-099,1,,,11372.0,2007-11-29T00:00:00.000Z,30.0,11372.0,N
4164,e8f820f6-5006-4499-8dfa-b25c7ce44de3,4916,112267899.0,,7E,25-025,1,,,11354.0,2007-11-29T00:00:00.000Z,35.0,11354.0,N
13703,ee32a113-5b61-41e8-8a2d-ea68bccdcee6,15372,1722603788.0,,8E,5434,1,,2.0,10307.0,2007-11-29T00:00:00.000Z,30.0,10307.0,N
17893,f2029909-0774-44e5-bd47-d2a49ca10390,20101,82266504.0,,1D,168-099,1,,,11432.0,2007-11-29T00:00:00.000Z,30.0,11432.0,N
21442,015003f9-3411-4f27-9093-680aab0958cc,23945,72267766.0,,2E,190-099,1,,,11423.0,2007-11-29T00:00:00.000Z,28.0,11423.0,N
88848,2ee2ae60-03cc-4fbb-ac0d-26ce1a0aa91f,98267,1722611585.0,,5D,668,1,,,10312.0,2007-11-29T00:00:00.000Z,32.0,10312.0,N
