final_address,pkc_indistrict_all,district_3,district_indistrict,programname1,nyceec_others_all,district_indistrict_1,nyceec_siblings_all,district_outdissibs_1,district_zonedsib_1,seats,iepnote,specialpriority,subway_stop,nyceec_others_none,diversity,district_outdissibs,pkc_indistrict_some
"5721 6th Avenue, Brooklyn NY 11220",,,,Full-Day Program,,,x,,,40 Full-Day,,,N R,,,,
"465 West 167th Street, Manhattan NY 10032",,,,Half-Day Program,,,,,,20 Half-Day,,,1 A C,,,,
"1771 Popham Avenue, Bronx NY 10453",,,x,Full-Day Program,,,,,,54 Full-Day,,,4,,,x,
"502 Morris Avenue, Bronx NY 10451",,,,Full-Day Program,,,,,,36 Full-Day,,District 7 is a choice district,2 4 5 6,,,,
"323 Grand Street, Manhattan NY 10002",,,,Full-Day Program,x,,x,,,56 Full-Day,,,6 B D F J M N Q R Z,,,,
"1150 Carroll Street, Brooklyn NY 11225",,,,Full-Day Program,x,,x,,,16 Full-Day,,,2 3 4 5 S,,,,
"6120 Bay Parkway, Brooklyn NY 11204",,,,Full-Day Program,,,x,,,60 Full-Day,,,F N,,,,
"610 Baltic Street, Brooklyn NY 11217",,,,Full-Day Program,,,,,,54 Full-Day,,"Students in District 15 are prioritized for two-thirds of seats and students in District 13 are prioritized for the remaining third. Within each district group, students who qualify for Free and Reduced Lunch and/or whose home language is a language other than English will have priority for 35% of seats",2 3 4 5 B D N Q R,,,,
"1123 Avenue N, Brooklyn NY 11230",,,,Full-Day Program,,,,,,20 Full-Day,,,Q,x,,,
"2950 West 25th Street, Brooklyn NY 11224",,,x,Full-Day Program,,,,,,36 Full-Day,,,,,,x,
"2074 Strang Avenue, Bronx NY 10466",,,,Half-Day Program,,,,,,36 Half-Day,,,5,,,,
"70 West 95th Street, Manhattan NY 10025",,,,Full-Day Program,,,x,,,18 Full-Day,,,1 2 3 B C,,,,
"1325 Pennsylvania Avenue, Brooklyn NY 11239",,,,Full-Day Program,,,x,,,18 Full-Day,,,,,,,
"1273 57th Street, Brooklyn NY 11219",,,,Full-Day Program,x,,x,,,32 Full-Day,"If your child has an IEP recommending Related Services and/or SEIT, contact the program directly for more information before applying.",,D N,,,,
"95 West 168th Street, Bronx NY 10452",,,,Full-Day Program,x,,x,,,"36 Full-Day, 18 Half-Day",,,4 B D,,,,
"374 Pine Street, Brooklyn NY 11208",,,,Full-Day Program,,,x,,,60 Full-Day,,,A C J Z,,,,
