school_name,se_services,partner_cbo,partner_other,longitude,overview_paragraph,school_sports,psal_sports_coed,school_type
High School for Health Careers and Sciences,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Catholic Charities, Urban Arts Partnership, New York Presbyterian School Based Health Clinic.",Pencil Inc - Business Partners offering youth career seminars. Operacion Exito .,-73.927051,"We foster a sense of community in a small learning environment, helping students to develop self-esteem and respect for others. Through a diverse and challenging academic curriculum that focuses on the basic sciences and related experiences. We support our students academically and personally to develop their interests in various sciences and health professions. Our mission is to prepare our students for higher education or entrance into the work force.","Aerobics, Cardio-Fitness, Competitive Cycling, Dance, Fencing, Swimming, Weight Training, Yoga, Zumba",,
Frederick Douglass Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.93712,Our goal is to provide a curriculum that enables our students to enter a selective college or university of their choice. All students must abide by our Twelve Non-Negotiable Rules and Student Creed.,"Basketball (JV), Capoeira, Cheerleading, Double Dutch, Indoor Soccer, Martial Arts, Step, Table Tennis, Wrestling",Double Dutch,
Bronx High School of Business,This school will provide students with disabilities the supports and services indicated on their IEPs.,"New Settlement, The Leadership Program",,-73.91091,"Through a focus on business administration and entrepreneurship, students prepare for success at competitive colleges and universities. We are committed to building a community of learners and leaders.","Intramural Basketball, Softball, Volleyball",Double Dutch,
Alfred E. Smith Career and Technical Education High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.919867,"Students can earn both an academic Regents diploma as well as a State-approved technical endorsement in the automotive trades. The ninth grade program is specifically designed to transition students into high school by providing additional academic support in both English Language Arts and Math. Students immediately begin their career sequence in ninth grade with hands-on classes in their CTE program. Our College and Career Center counsels students as they develop their post-secondary plans by offering frequent college trips, career interest workshops, and mentoring and internship opportunities.",,,CTE School
Gotham Professional Arts Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Coalition of Essential Schools, Coro Exploring Leadership Program",,-73.922264,"Gotham Professional Arts Academy is a small high school focused on the arts and arts-related professions. Students collaborate on creative projects like performances, art exhibits, poetry slams, and publications. Each semester begins with an interdisciplinary inquiry project. Gotham Professional Arts Academy uses the city as its classroom, taking frequent field work trips to museums, cultural and community-based organizations, and workplaces. The advisory system ensures that all students receive personalized support and academic guidance. Internships in the arts industries such as Music, Fashion, Design, and Performing Arts offer real-world experience and contacts. Graduation is based on an academic portfolio of student work, the creation of which helps our students succeed in their future endeavors.",,,Performance Assessment School
Frances Perkins Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Health 4 Youths, Ghetto Film School","Bio Bus, Rocking the Boat, Harlem DNA Lab, Rooftop Farms, Palo Samko Woodworking, Anthony Sisto Carpentry, Anomaly, Whistlebox, People's Firehouse, Homage Skate Shop, Marc Jacobs, Sean Casey Animal Rescue, Freedom Star",-73.953281,"Frances Perkins Academy (FPA) offers a rich liberal arts curriculum motivated by the visual arts. With a low teacher to student ratio, students receive personalized guidance and support. The visual arts focus is interwoven into a strong academic program that prepares students for a wide range of careers. All students are offered the courses needed for the Advanced Regents Diploma and can receive college credits through CUNY College Now courses. FPA’s skilled educators deepen learning by building grit, responsibility, creativity, and leadership skills among all of our students. Lastly, students participate in internship opportunities in a number of fields through artistic and academic partnerships.",Intramural Basketball Tournaments,,
Mott Haven Village Preparatory High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,East Side House Settlement,,-73.91103,"Mott Haven Village Prep provides students with opportunities for higher education and a bright future. Our caring school environment gives students immediate and appropriate attention that supports personal progress and advances academic achievement. A challenging academic curriculum inspires students to rise above expected goals and reach for excellence. A committed and energetic staff supports this embrace of distinction. Special programs in college readiness and cooperative learning, student-centered thematic units, community service, internships, and teacher-student advisories build a solid foundation for future endeavors.","Intramural Sports, Physical Fitness Team",,
Stuyvesant High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,Jewish Board of Family and Children Services,Explorer Program,-74.013748,"Our goal is to provide students with a rigorous curriculum that nurtures and rewards their intellectual curiosity. Although Stuyvesant is historically known as a Math, Science, and Technology school, we have a dynamic and diverse Humanities program, and offer unique educational opportunities outside the classroom as well.",,"Cricket, Golf",Specialized High School
Academy of Innovative Technology,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Cypress Hills Educational Choice Center, Leadership through Community Service",,-73.868328,"We prepare all students to enter college and employment after four years of a multi-disciplinary curriculum that integrates challenging academics with state-of-the-art technology. Students acquire official certifications in several Information Technology (IT) applications, participate in internships and gain the experiences to become confident, skilled and productive citizens. We continue to support our students after they graduate through networking opportunities, alumni support groups and e-conferences.",,Cricket,CTE School
Brooklyn Technical High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Brooklyn Tech Alumni Foundation, Ft. Greene Association, Fulton Area Business Alliance, South Elliott Block Association",,-73.976905,"The mission of Brooklyn Technical High School is to inspire and challenge our students to maximize their talents for the benefit of society. We educate students in pre-engineering, the technologies, the sciences, and mathematics with a significant emphasis on the humanities. With an ethical foundation throughout the curricula, we prepare our students to succeed at the most competitive colleges and universities. Relying heavily on an interdisciplinary curriculum, we prepare our graduates to become academic, business, and community leaders for the 21st century.",Cheerleading,"Cricket, Golf, Stunt",Specialized High School
Landmark High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"We have partnerships with City Kids, Art for Progress, Midori Music Foundation, Chinese American Planning Council, College Now, Baruch, John Jay, NYU, Media Impact, and Upward Bound.","New York City Department of Parks and Recreation, New York City Outward Bound, New York City (NYC) Wallclimbers Club",-74.002136,"We are a small high school that offers a challenging academic curriculum with a strong emphasis on writing, research, and project-based inquiry learning across subjects. Students are expected to be highly motivated, active learners with strong communication and research skills. Students and teachers work together to create a learning community that fosters critical thinking and analytical skills in preparation for college and beyond. Students present and defend six portfolios before a committee in order to graduate. Our Advisory ensures that all students have strong relationships with adults that support a positive learning culture.","Co-ed Intramural Softball, Flag Football, Cheerleading",,Performance Assessment School
Renaissance High School for Musical Theater & Technology,This school will provide students with disabilities the supports and services indicated on their IEPs.,"FEGS, Good Shepherd",,-73.838545,"Our small school’s familial atmosphere gives students the support and guidance necessary for success both in high school and as they plan for college and/or careers. Teachers and staff use a variety of resources and technology to address the varied learning needs of the student population to ensure that they have access to rigorous and engaging curriculum. In addition, students have access to Advanced Placement (AP) classes, the Advancement Via Individual Determination (AVID) program, student council, club activities (including Musical Theater, Dance, and Drama), and CUNY College Now at Lehman College program for enrollment in college-level courses.",,Cricket,
"H.E.R.O. High (Health, Education, and Research Occupations High School)",This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.907015,"At H.E.R.O. High, students learn how to save lives and serve their communities by preparing for a career as a registered nurse or community health worker. Students take college classes starting in tenth grade and can earn a two-year Associates Degree with help from a small school environment. Our academic program will prepare every student to succeed in college and their career through hands-on, real-world problem solving, advanced work in math and science, and challenging reading and writing tasks in every class. Start your technical training early through internships in clinical nursing and community health work. Sometimes even heroes need extra help , so we offer tutoring in every subject area.",,,NYC P-Tech 9-14
Collegiate Institute for Math and Science,This school will provide students with disabilities the supports and services indicated on their IEPs.,"College for Every Student (CFES), Neighborhood Initiatives Development Corporation, Lehman College Urban Male Initiative, Expanded Success Initiative",,-73.861006,"Our program is designed to focus on math and science education. Each student is required to study: four years of math, including Pre-Calculus and Advanced Placement (AP) Calculus, four years of science, AP Spanish, and four years of Social Studies and English including AP English Literature and Composition and U.S History. Students will be offered opportunities for off-site internships, and to earn college level credits. We strive to provide the best academic and extracurricular programs in accordance with higher education standards to develop high-performing, ambitious, and successful student leaders.","FALL SPORTS: Boys’ Varsity Football, Boys’ JV Football, Boys’ Soccer, Boys’ & Girls’ Cross Country, Girls’ Volleyball, Girls’ JV Volleyball, Boys’ Bowling WINTER SPORTS: Boys’ Varsity Basketball, Girls’ Varsity Basketball, Boys’ Indoor Track, Girls’ Indoor Track, Girls’ Gymnastics, Boys’ JV Basketball SPRING SPORTS: Boys’ Lacrosse, Boys’ Varsity Baseball, Girls’ Softball, Girls’ Soccer, Girls’ Tennis, Boys’ Tennis, Boys’ Outdoor Track, Girls’ Outdoor Track, Boys’ Varsity Volleyball, Boys’ JV Baseball",Golf,
The Michael J. Petrides School,This school will provide students with disabilities the supports and services indicated on their IEPs.,Police Athletic League (PAL),,-74.102078,"We are a comprehensive college preparatory school that offers a wide array of academic opportunities. Our students are challenged to their maximum potential and are encouraged to meet and exceed the standards in all subject areas. What separates Petrides is not only its level of academic excellence, but its strong sense of community and family. Our small intimate setting allows students to grow both academically and socially.",Cheerleading,Golf,
New Design High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Urban Arts Partnership, Community of Unity, Open Road of New York",,-73.989337,"New Design High School (NDHS) is a small school with a focus on design, located on the Lower East Side of Manhattan. NDHS uses the concept of design to help meet the academic, intellectual, social, emotional, and artistic needs of adolescents. Our school integrates the idea, concept, and process of design into a progressive, academic high school curriculum, thereby offering an innovative education in a nurturing environment. The school community believes that the design process allows students to participate in a more experiential form of inquiry-based education that is focused on understanding real-world contexts, self-expression, and problem solving.",Basketball,,
The Urban Assembly Bronx Academy of Letters,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Summer Focus at the University of California Berkeley-Coleman Fung foundation, Ramapo for Children, City Harvest, Camp Beckett-Chimney Corners, GROW NYC, Garden Cafe, Bronx Helpers,Learning Leaders Program, Rocking the Boat,Integrate NY Film workshop, Dreamyard Mosaic Project, Jumpstart@Monroe College, The Possibility Project, Junior Statesmen of America, Sadie Nash Young Women's Leadership, Stella Adler Youth program, International Youth Leadership Institute,College NOW, Let's Get Ready, Harlem RBI",,-73.925313,"The Urban Assembly Bronx Academy of Letters was founded the idea that students who can express themselves in writing can succeed in any path. In addition to the challenging academic work offered, we are committed to providing learning opportunities outside of the classroom. Our students participate in a rigorous inquiry-based college preparatory curriculum, regular field trips to arts institutions, overnight trips to universities, SAT prep, and enriching community-building activities. Our student services team connects students to jobs, internships and programs that allow them to travel all over the world. We celebrate hard work, curiosity, self-expression, and service. Our graduates are critical readers and writers, fully prepared to maximize their learning and growth.","Boys and Girls Basketball, Baseball, Girls Softball",,
International High School for Health Sciences,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Make the Road NY, Plaza Del Sol Family Health Center",,-73.874721,"The International High School for Health Sciences offers limited-English speaking students who are new to the country an opportunity to develop skills necessary to pursue college and careers in medicine. Classes focus learning on reading, writing, and communicating fluently in English while also providing opportunities to maintain students' native languages. We use real-world learning by giving our students experiences in local healthcare settings before they graduate. Students gain practical skills including CPR and first aid, explore careers through eleventh grade internships at local medical centers, and take early college coursework with our university partners. These hands-on opportunities both provide a context for language acquisition and allow students to use their native language as an asset in their service to the community.",,"Cricket, Golf","Performance Assessment School, School for New Arrivals"
Bronx High School for the Visual Arts,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Urban Arts, Creative Arts Team, Rainbow After-School Programs, The Leadership Program, Sports and Arts, The Bronx Museum, Generation Ready and Good Shepherd Services.",Bronx New Century High School,-73.865036,"We offer a challenging, sequential, four-year pre-professional art program and an interdisciplinary academic curriculum within a close-knit school community. We offer two visual arts programs: one focuses on developing general knowledge, while the other prepares students to become professional graphic designers. Both programs emphasize skill-building, student creativity, interests, and community contributions. Our cultural partners provide learning experiences and additional resources for students and their families. Our small class size and project-based, student-centered curriculum provide individualized attention and prepare students for college and careers in the arts.",Intramural Seasonal Athletic Program; students participate in the Christopher Columbus PSAL Sports Teams,Golf,
Millennium Brooklyn HS,This school will provide students with disabilities the supports and services indicated on their IEPs.,,"National Consortium for Specialized Secondary Schools of Mathematics, Science, and Technology",-73.979287,"The mission of Millennium Brooklyn is to create a rigorous academic program based on literacy infusion, the development of critical thinking skills, and project-based learning. We aim to prepare graduates for a college of choice and post-secondary options, empowering students through the setting and reaching of goals. In addition to a strong course sequence, our school partnerships provide students with additional opportunities for academic challenge. Partners are involved in curriculum development, extended day program, and parent support and outreach. Partnership involvement facilitates a community-centered environment and provides a range of learning experiences.","Basketball, Ultimate Frisbee, Girls Soccer, Running Club, Swimming, Weight Training, Fencing, Cross Country, Track, Baseball, Volleyball.",,
Performing Arts and Technology High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Groundworks Inc., Brooklyn Association of Cultural Arts (BACA), Counseling in Schools, Cypress Hills Local Development Corp.Pure Elements, Brooklyn Academy of Music (BAM), American Academy of Dramatic Arts, Community Coalition of East New York","New York City Department of Youth and Community Development, Capital One Bank",-73.894747,"Our school provides a nurturing environment dedicated to supporting and developing the talents of our students in the performing arts. Our program includes Dance, Drama, Instrumental and Vocal Music. We also offer a technology program, specializing in graphic and webpage design, and CISCO Certification Training. Our students are provided with a comprehensive education that includes core classes, specialized tracks in the performing arts and technology, and college-level classes, including Advanced Placement (AP) courses. Our goal is to prepare our students for college and career success. We actively build partnerships with the professional performing arts community, institutions of higher learning and other organizations to provide opportunities for internships or college-level study. Partnerships include Brooklyn College, Medgar Ever College, Syracuse University. SAGA Innovations, the Step Up program, the Leadership Organization, and Hip Hop 4 Life. We value a culture of collaboration and strive to instill in our students essential life skills that will prepare them to become productive members of society. In addition to our program, our clubs and teams are dedicated to developing leadership capacity in all members of our school community.",,,
Kingsborough Early College School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Bill and Melinda Gates Foundation, The Leadership Program",,-73.98577,"At Kingsborough Early College School (KECS), all students have the opportunity to earn a tuition-free Associate Degree from Kingsborough Community College (KCC) during their time in secondary school. We offer instructional supports, small class size, and access to the KCC campus as early as sixth grade. To promote higher order thinking, students learn through inquiry, enrichment, and a challenging academic program. Our focus on youth development fosters confidence and self advocacy resulting in students becoming successful adults, prepared to continue their studies.","Basketball, Flag Football, Flag Rugby, Lacrosse, Volleyball",Cricket,
Discovery High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Fordham-Bedford Housing Corporation, Hispanic Youth and Families, Mosholu-Montefiore Community Center, SPARK, Good Shepherd",The Princeton Review,-73.898309,"At Discovery, students are prepared for college and life after high school. Students learn how to reflect upon their own thinking and acquire the skills they need to be successful in the world of tomorrow. At our school, every student discovers and explores his or her potential. In addition to the strong emphasis on academics and preparation for college, Discovery emphasizes the importance of developing family-like bonds, both between the teachers and their students, and between the students themselves. Discovery strives to create a nurturing culture in which students enjoy learning and can be creative while maintaining healthy social bonds and relationships.",Our students are eligible to participate in the Public Schools Athletic League Program (PSAL) on the Walton Educational Campus,,
School for Legal Studies,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Educational Network of Artists and Creative Theatre (ENACT), Puerto Rican Family Institute, St. Nicholas Neighborhood Preservation Corp., The Leadership Program, El Puente","New York City (NYC) Justice Resource Center, The Children's Law Center, Center for Court Innovation - Greenpoint Youth Court, Futures and Options, New York Exploring Program, Global Action Project, United Nations",-73.939722,"Our mission is to guide students to become critical thinkers, independent learners, and productive citizens. Founded in 1996, we are a school in which students’ voices are heard, character is developed, excellence prevails, and parents are our partners! Using critical thinking skills, technology, and reading and writing skills, our students investigate and explore educational and career opportunities in the legal field. The families of our students are actively engaged in our culture and are encouraged to accompany our students on overnight and weekend trips such as college tours and historical sites of interest.",,Golf,
Eagle Academy for Young Men II,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.915843,"Eagle Academy at Ocean Hill is a 6-12 school that develops our young men to be critical thinkers and active citizens for life-long success through the embodiment of our 5 Eagle Pillars: Commitment to Excellence, Resilience, Confidence, Leadership, and Effort. Our scholars follow individual schedules designed to ensure they are prepared for the college and/or career of their choice. We have a wide range of courses, extracurriculars, and extended learning opportunities to ensure our scholars develop passions in and out of the classroom. What truly sets Eagle apart from other schools is our unwavering commitment as Educators. Eagle Educators understand and embrace the challenges of teaching our unique population and take strategic risks grounded in research-based practices. Eagle is more than a school: we are a family dedicated to ensuring that all of our young men reach their full potential as globally conscious, globally competitive Eagle Scholars.","Basketball, Football, Lacrosse, Tennis, Track",,All Boys School
High School for Medical Professions,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Federation of Italian-American Organizations, Global Kids, Urban Arts Partnerships, Pencil.org.",,-73.898254,"Possibilities are endless for our students. Through individualized attention, students will have the opportunity to make lifelong friends, participate in after-school activities, pursue their dreams and reach their leadership potential. Our vision is to provide all students of various abilities access to our community for internships, field trips and hands-on learning experiences while exploring interests in health professions.",,,
Clara Barton High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Positive Results in Drug Education (Project PRIDE), The Leadership Program, The Crown Heights Youth Collective, New York Congregational Nursing Center, Career Counseling and Mediation Guidance, Photovoice/HAI Program through the NYC Department of Youth & Community Development (DYCD) and Center for Economic Opportunity",MS2 (Math and Science for Minority Students) Program at Phillips Academy,-73.961962,"The primary focus of Clara Barton High School is to prepare students with an interest in the health professions for college and/or entry-level positions in a health career. As a CTE School, we offer students many career opportunities through a variety of special programs and courses. We test all students for proper program and course placement.",,,CTE School
Academy of Finance and Enterprise,This school will provide students with disabilities the supports and services indicated on their IEPs.,Filipino American Human Services,Mrs. Herrera and Mrs. Leon educational services.,-73.936635,"The mission of the Academy of Finance and Enterprise is to provide students with a challenging, student-centered, project-based, academic, business/financial and technology program. Students are exposed to the world of global business and are inspired to become respectful and successful members of a continually evolving community. Students participate in mentoring, job shadowing, community service, and paid internships.","Baseball, Soccer, Track, Wrestling, Boys Basketball",,
Kingsbridge International High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"New York Botanical Garden's Project Bronx Green-Up, CampInteractive, Sierra Club, Bronx Zoo, American Museum of Natural History, Opening Act, Publicolor",21st Century Grant,-73.898309,"Our mission is to serve recent immigrant English Language Learners and prepare them with the linguistic, academic and cultural skills needed for success in college and beyond. We integrate language development and content using cooperative learning strategies. Students work together in order to complete in-depth projects and develop their communication skills.",,,School for New Arrivals
The Global Learning Collaborative,This school will provide students with disabilities the supports and services indicated on their IEPs.,,"International Studies Schools Network/Asia Society, Confucius Classroom",-73.974614,"At the Global Learning Collaborative, our goal is to place students on a path to college readiness and global competency. Weaving both ELA and History standards, our curriculum is infused with global themes. As such, all students are expected to complete a globally-focused research project in the spring semester. We are able to provide our students with a breadth of academic and extracurricular experiences such as Model UN, Mock Trial Team, International Study and Travel, and Dual Credit CUNY College Now.",,,
"Facing History School, The",This school will provide students with disabilities the supports and services indicated on their IEPs.,"CityKids, Peer Health Exchange",,-73.992953,"At Facing History School (FHS), we graduate lifelong learners who are leaders in their communities. We are a small school with teachers who care deeply for our students and work their hardest to nurture them for the opportunities that await them after graduation. Since a college degree is an essential ingredient for success, we prepare our students academically, socially, and emotionally to meet the demands of the world through project based learning, art integration with studio classes, a College 101 course and a four-year advisory program. We foster a college-going culture and provide a great deal of support to our students for college and career readiness. In choosing FHS, you are choosing to join a dynamic learning community, to think deeply about yesterday, today and tomorrow, and to envision how to make a positive difference in the world.",Activities to be formed based on student interest,,Performance Assessment School
Brooklyn College Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,,"Middle College National Consortium, National Network for Educational Renewal",-73.971736,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from ninth to twelfth grade within a challenging academic atmosphere. We encourage our students to function independently in educational settings outside the school building and in a college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.",,,
Bronx Collegiate Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,Good Shepherd Services has been a part of the BCA family for the past two years. GSS offers additional guidance for our students and they work closely with our attendance team coordinating flag football games as well as skiing and snowboarding trips for our deserving students. GSS has become an important part of the school culture at BCA.,,-73.91091,The mission of Bronx Collegiate Academy (BCA) is to ensure that each student graduates prepared for the rigors of college. BCA is a small school that provides all students with the support and individual attention they need in order to achieve academic success.,"Cheerleading, Fencing, Rock Climbing",Double Dutch,
High School of Telecommunication Arts and Technology,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Bottom Line, Minds Matter",The International Center for Leadership in Education,-74.023849,"Our school is truly a school for the 21st century, enhancing rigorous academics in the liberal arts tradition with the most advanced technologies. Our small and ethnically diverse student body and our outstanding faculty work together to explore and maximize each student’s individual strengths. Through an incredibly rich array of programs, electives, teams, and clubs, we offer students the opportunity to find a niche and to develop into responsible and productive citizens. We are very proud that our graduates have demonstrated their ability to be successful in the finest universities in the nation. In addition to our challenging educational program, we are an exceptionally friendly school – one of the best-kept secrets in the city.",,,
Bedford Academy High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Bedford-Stuyvesant Young Men’s Christian Association (YMCA), PS 3, PS/IS 308, Medgar Evers STEP, Long Island University, US Attorney General Office, Northrop Grumman Corporation, School Construction Authority, Sports and Arts, CUNY Creative Arts Team, Summer Energy Academy-AABE, Northeast Brooklyn Housing Development Crop (NEBHDCo.),New York City Department of Transportation, Love Heals The Alison Gertz Foundation for AIDS Education, Bridging Access to Care, Brooklyn Public Library",New York State Supreme Court,-73.954302,"Bedford Academy High School's effective instruction, along with an environment conducive to learning, enables us to promote the development of citizens with strong values and technological skills. We prepare students for careers in medicine, engineering, and law. Enhancing each student’s academic repertoire impacts on their individual challenges in life so that they may become positive role models in their communities. Bedford Academy’s motto is 'Academic Empowerment is the Birthright of Every Child!'","Cross Country, Indoor Track",,
Bronx Leadership Academy High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,South Bronx Churches / Dignity Universal / NY Cares / BuildOn!,Justice Resource Center,-73.903236,"The mission of Bronx Leadership Academy High School is to educate our students to be committed to personal excellence and to improve the quality of life within their communities and society as a whole. This is accomplished by providing a program emphasizing values, education, service to the Bronx and respect for individual differences and cultures.",Ultimate Frisbee; Flag football; Flag Rugby,,
Academy for Health Careers,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Global Kids, SPARK",,-73.938843,"The mission of the Academy for Health Careers is to ensure that every student develops a strong foundation in health studies, science, leadership, communication, and other competencies that are essential for careers in the healthcare services industry. Our goal is to have students who will be college- and career-ready upon graduation, prepared to participate in the global marketplace as skilled problem-solvers, critical thinkers, and self-sustaining citizens.",Cheerleading,,CTE School
Multicultural High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,Cypress Hills Local Development Corporation,,-73.868328,"Our school is dedicated to helping English Language Learners (ELLs) develop their English proficiency. We believe that mastery of the English language is essential for college and work. Students are offered additional training in English as a Second Language (ESL), technology, and other subjects during our extended day program and on Saturdays. Classes are designed to prepare students to meet graduation requirements and the challenges of college and career. Supportive teachers will assist students as they meet their academic potential and become well-rounded, productive members of society. Newcomers are welcome.","Baseball, Football, Outdoor Track and Field, Soccer, Softball, Swimming, Weightlifting",Cricket,School for New Arrivals
M.S. 260 Clinton School Writers & Artists,This school will provide students with disabilities the supports and services indicated on their IEPs.,Unleashed,,-73.99764,"The Clinton School believes that students who are prepared for college must have an education that encourages them to take risks as they produce and perform. Our college preparatory curriculum relies on our expertise in developing writers and building a tight-knit community. As we evolve and grow, Clinton remains committed to developing students who can think analytically and write creatively in a wide range of genres. Our arts programming builds on our 25 years of experience in visual, performing arts and music on a middle school level. We are also deepening our existing partnerships with Theater for a New Audience and the Whitney, and taking advantage of our proximity to new cultural partners. We are a International Baccalaureate (IB) candidate school. The IB program is a good fit for for the creative, confident, thoughtful, and self-motivated learners that have always been successful at Clinton. Beyond the IB, we will offer opportunities to take college courses at neighboring universities.","Cross Country, Track and Field, Soccer, Flag Football, Basketball",,
Young Women's Leadership School,This school will provide students with disabilities the supports and services indicated on their IEPs.,East Harlem Tutorial,"Trout in the Classroom, New York Blood Center",-73.947428,"The Young Women’s Leadership School of East Harlem (TYWLS) opened in 1996 as the first school in a national network of excellent all-girls college prep schools. TYWLS nurtures the intellectual curiosity and creativity of young women by supporting the 'whole girl' in order to maximize academic achievement, social emotional well-being, and post-secondary success. We have a very supportive school culture that includes daily advisory, after-school academic tutoring, and regular contact with parents. Our students have opportunities for challenging work through organizational partnerships. The Young Women’s Leadership Network supports TYWLS with a wide range of programs to help prepare our students for leadership in their communities. TYWLS is also supported by the CollegeBound Initiative (CBI), which promotes college access and financial aid options for every student. We have a full-time CBI college counselor on staff who guides students and parents through the process of visiting and choosing colleges, applying to college, and applying for financial aid.","Volleyball, Running Club, Yoga",,All Girls School
Wings Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Mothers on the Move, Community Board 6, 48th Precinct, 12th Transit District",,-73.875366,"In September 1994, the New York City Department of Education, the Center for Collaborative Education, and the Coalition of Essential Schools sponsored the first systemic effort to redesign a large high school in the Bronx. Wings Academy was one of five pioneering small schools resulting from that effort, founded on the premise of helping young people use their minds well. Our primary goal is to develop students’ “habits of mind,” which will encourage respect for lifelong learning, purposefulness, and success.",,,
FDNY High School for Fire and Life Safety,This school will provide students with disabilities the supports and services indicated on their IEPs.,,Fire Department of New York,-73.894747,"FDNY High School works in collaboration with the New York City Fire Department to offer an exceptional educational institution while introducing the occupational benefits of the Fire and Emergency Medical Services (EMS). Upon passing the New York State EMS Certification Exam in the twelfth grade, our students may have the opportunity to roll into a full-time position with the FDNY. By doing so, they will also understand the benefits of a career in civil service. In addition, all students will be prepared to pursue a post-secondary education as they enter their young adult lives. Our students will study courses dealing with biology, life-saving skills, human anatomy, fire science, extinguishing agents and their chemical make-up, and official procedures for becoming a NYC firefigher. Our graduates go on to work as EMTs and firefighters for the FDNY.",,,
Union Square Academy for Health Sciences,This school will provide students with disabilities the supports and services indicated on their IEPs.,Institute for Family Health,"Cleary Gottlieb, Steen & Hamilton L. L. P.",-73.987659,"This is a small CTE high school with big dreams of helping students prepare for health careers in not only in pharmacy and dentistry, but also in many other Science, Technology, Engineering and Math (STEM) areas. The focus on STEM helps students market their skills in the growing job industries. Our unique project-based instructional approach uses activities that engage students’ interest and motivation as they solve problems using an inquiry approach. These activities are designed to answer a question or solve a problem and generally reflect the types of learning and work people do in the everyday world outside the classroom.","Baseball, Basketball, Soccer, Softball, Step Team, Volleyball",,CTE School
George Washington Carver High School for the Sciences,This school will provide students with disabilities the supports and services indicated on their IEPs.,Eastern Queens Alliance,"Educational Alliance, Foundation For Excellent Schools",-73.756839,"The mission of our school is to provide students with an in-depth, well-rounded education that emphasizes science and mathematics. Classroom teaching and learning are complemented with authentic, inquiry-based research experiences. The combination of research and teaching experience prepare students to become critical thinkers and problem solvers to pursue careers in biological sciences, physical sciences, mathematics, engineering and veterinary sciences. The physical, emotional and social well-being of our student body is nurtured through advisories, community service, and a small and personalized learning community.",,Cricket,
Francis Lewis High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Coalition for Asian American Children and Families, Flushing Young Men's Christian Association (YMCA), Chapin Home for the Aging, Queens Mediation Services, Queens Theater in the Park, St. Luke's Roosevelt Hospital, NY Hospital Queens, Stony Brook University Medical Center, Mount Sinai Medical Center, Row New York","Marathon Program, Day Care 811 @ PS 136, Queens Center for Progress, The School of Cooperative Technical Education (Co-op Tech), Vocational and Educational Services for Individuals with Disabilities (VESID)",-73.79283,"Our mission is to prepare every student for success in college, career, and life. Through a strong sense of community, students are encouraged and supported to reach their full potential. Our unique guidance approach ensures personalized attention to address students’ individualized needs. Our state-of-the-art data systems monitor student progress and achievement. As a result, our students are academically prepared and challenged for the future. In our college-bound culture, students thrive in a nurturing and secure learning environment which focuses on developing 21st century leaders.",Full program of intramural school sports,,
High School of Arts and Technology,This school will provide students with disabilities the supports and services indicated on their IEPs.,"City Kids, Peer Health Exchange, Young Men's Christian Association (YMCA) @ 63rd Street, New York City Opera",,-73.984753,"Our mission is to provide students with the academic, interpersonal, and technological skills needed to achieve excellence in their chosen careers. We prepare all our students in a caring and nurturing environment and provide opportunities for students to work creatively in the fields of art and technology.",Intramural Sports,Double Dutch,
