bis_nyc_device_id,cargovernor_tripping_speed,elevator_length_feet,glass_hoistway,travel_from_floor,cargovernor_ropes_material,elevator_length_inches,fire_rated_construction_type,atruim_elevator,contact_type,controller_manufacturer,compensation_tie_down,hoist_car_manufacturer,machine_type,machine_counterweight_ropes,car_inside_depth_feet,car_buffer_reduced_stroke,car_inside_depth_inches,elevator_operation,car_safety_type_other,load_weighing_device,accessibility_lift,overload_device,conveyor_type,car_inside_width_feet,meets_the_stretcher_car,loft_law_building,interlockin_blind_hoistway,occupant_evacuation_elevator
1P15916,280.0,160.0,No,B,Steel,0.0,Yes,No,mo,MCE,No,,Traction,,6.0,No,0.0,Power,,No,,,,9.0,Yes,No,No,No
4P12619,,0.0,No,"1, 2",,0.0,Yes,No,G,,No,,Hydraulic,,4.0,No,3.0,Power,,No,,,,5.0,No,No,No,No
2P10963,280.0,0.0,No,C,Steel,0.0,Yes,No,MOD,,No,,Traction,,4.0,No,3.0,Power,,No,,,,5.0,Yes,No,No,No
1P41196,175.0,0.0,No,1,Steel,0.0,Yes,No,POSITIVE,ELEVATOR SYSTEMS,No,,Hydraulic,,3.0,No,4.0,Power,,No,,,,4.0,No,No,No,No
,280.0,0.0,No,C,Steel,0.0,Yes,No,G,Smartrise,No,,Traction,,5.0,No,4.0,Power,,Yes,,,,6.0,Yes,No,No,No
1P29639,855.0,220.0,No,SC,Steel,0.0,Yes,No,G,MCE,No,,Traction,,5.0,No,2.0,Power,,Yes,,,,7.0,Yes,No,No,No
1P3,395.0,250.0,No,"L,2",Steel,0.0,Yes,No,MOH,,No,,Traction,,5.0,No,4.0,Power,,Yes,,,,7.0,Yes,No,Yes,No
1P629,855.0,265.0,No,1,Steel,1.0,Yes,No,GS,OTIS,Yes,,Traction,,4.0,No,9.0,Power,,Yes,,,,5.0,No,No,No,No
1P41103,337.0,0.0,No,B,Steel,0.0,Yes,No,G,Existing,No,,Traction,,4.0,No,2.0,Power,,No,,,,5.0,No,No,No,No
,855.0,469.0,No,C,Steel,1.0,Yes,No,WITTUR,KONE,No,,Traction,,4.0,No,4.0,Power,,Yes,,,,6.0,Yes,No,No,No
3P4277,175.0,0.0,No,B,Steel,0.0,Yes,No,G,,No,,Traction,,5.0,No,0.0,Manual,,No,,,,4.0,No,No,No,No
3P15898,,0.0,No,C,Steel,0.0,Yes,No,existing,,No,,MRL,,4.0,No,4.0,Power,,Yes,,,,5.0,No,No,No,Yes
2P3670,337.0,0.0,No,l,Steel,0.0,Yes,No,MO,,No,,Traction,,5.0,No,0.0,Power,,No,,,,5.0,No,No,No,No
1P13471,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1P371,395.0,170.0,No,B,Steel,0.0,Yes,No,MOVFR,SMARTRISE,No,,Traction,,4.0,No,9.0,Power,,Yes,,,,3.0,No,No,No,No
3P0995329,280.0,123.0,No,C,Steel,0.0,Yes,No,G,SMARTRISE,No,,MRL,,5.0,No,8.0,Power,,Yes,,,,6.0,Yes,No,No,No
1P43378,452.0,200.0,No,B,Steel,0.0,Yes,No,G/S,,No,,Traction,,5.0,No,4.0,Power,,Yes,,,,6.0,No,No,No,No
1P23813,210.0,0.0,No,B,Steel,0.0,Yes,No,MO,,No,,Traction,,3.0,No,3.0,Power,,No,,,,4.0,No,No,No,No
,350.0,216.0,No,SC2,Steel,0.0,Yes,No,G,ESI,No,,Traction,,5.0,No,2.0,Power,,Yes,,,,5.0,Yes,No,No,No
3P6599,,0.0,No,"B,1",,0.0,Yes,No,G,,No,,Hydraulic,,4.0,No,1.0,Power,,No,,,,5.0,No,No,No,No
4P0996296,280.0,0.0,No,"C,1",Steel,0.0,Yes,No,Wittur,KONE,No,,MRL,,5.0,No,6.0,Power,,Yes,,,,6.0,Yes,No,No,No
,452.0,164.0,No,1,Steel,0.0,Yes,No,G,Elevator System Inc.,No,,MRL,,5.0,No,8.0,Power,,Yes,,,,6.0,Yes,No,No,No
3P13534,,0.0,No,C,Steel,0.0,Yes,No,g,,No,,Traction,,4.0,No,3.0,Power,,No,,,,5.0,No,No,No,No
4P10781,,0.0,No,C,,0.0,Yes,No,exisiting,,Yes,,Traction,,6.0,No,0.0,Power,,Yes,,,,9.0,Yes,No,No,Yes
985,452.0,155.0,No,"L,2",Steel,0.0,Yes,No,G,,No,,Traction,,5.0,No,9.0,Power,,No,,,,5.0,No,No,No,No
,,,,1,,,No,,,,,,Others,,4.0,,0.0,Manual,,,Platform Lift,,,3.0,,,,
1P8361,855.0,240.0,No,"1,3",Steel,0.0,Yes,No,MOH,,No,,Traction,,4.0,Yes,8.0,Power,,No,,,,6.0,Yes,No,No,No
4p5917,,0.0,No,C-1,,0.0,Yes,No,g,esi,No,,Hydraulic,,4.0,No,3.0,Power,,No,,,,5.0,No,No,No,No
1P28681,855.0,400.0,No,L,Steel,0.0,Yes,No,GS,,No,,Traction,,5.0,No,11.0,Power,,Yes,,,,4.0,No,No,No,No
4P3262,,0.0,No,L,,0.0,Yes,No,existing,ESI,No,,Traction,,3.0,No,9.0,Power,,No,,,,6.0,Yes,No,No,No
1P33505,452.0,215.0,No,1,Steel,0.0,Yes,No,GAL,Otis,No,,Traction,,5.0,No,5.0,Power,,Yes,,,,6.0,Yes,No,No,No
2P4,175.0,0.0,No,1*,Steel,0.0,Yes,No,G,ESI,No,,Traction,,3.0,No,11.0,Power,,No,,,,6.0,No,No,No,No
,,,,Bsmen,,,No,,Electric Strike Interlock,,,,Others,,4.0,,6.0,Manual,,,Platform Lift,,,3.0,,,,
1P23366,427.0,0.0,No,L,Steel,0.0,Yes,No,G/S,O. THOMPSON,No,,Traction,,5.0,No,0.0,Power,,Yes,,,,4.0,No,No,No,No
1P26568,625.0,100.0,No,1,Steel,0.0,Yes,No,G,,No,,Traction,,6.0,No,4.0,Power,,Yes,,,,5.0,No,No,No,No
5P125,,,,B,,,,,,,,,,,,,,,,,,,,,,,,
3P8299,,0.0,No,C,Steel,0.0,Yes,No,I-Motion,,No,,Traction,,6.0,No,6.0,Power,,No,,,,5.0,Yes,No,No,Yes
2P3857,,0.0,No,G,Steel,0.0,Yes,No,GAL,,No,,Traction,,5.0,No,7.0,Power,,No,,,,7.0,Yes,No,No,No
1P3,,0.0,No,1,,0.0,Yes,No,G,,No,,Hydraulic,,5.0,No,10.0,Power,,No,,,,4.0,No,No,No,No
1E1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3P12779,210.0,0.0,No,L,,0.0,Yes,No,G,Existing,No,,MRL,,4.0,No,3.0,Power,,No,,,,6.0,No,No,No,No
1P40665,452.0,147.0,No,B,Steel,0.0,Yes,No,G,MCE,No,,Traction,,6.0,No,8.0,Power,,No,,,,4.0,No,No,No,No
1P12939,,,,B,,,,,,,,,,,,,,,,,,,,,,,,
1P29706,452.0,0.0,No,"B,L",Steel,0.0,Yes,No,G,EXISTING,No,,Traction,,5.0,No,0.0,Power,,Yes,,,,8.0,No,No,No,No
1P4727,180.0,0.0,No,B,Steel,0.0,Yes,No,,existing,No,,Traction,,6.0,No,0.0,Power,,No,,,,4.0,No,No,No,No
,252.0,0.0,No,"C, 1",Steel,0.0,Yes,No,I-Motion,Otis,No,,MRL,,5.0,No,5.0,Power,,Yes,,,,6.0,Yes,No,No,No
4P5328,,,,C,,,,,,,,,,,,,,,,,,,,,,,,
3P12156,115.0,0.0,No,L,,0.0,Yes,No,G,,No,,Hydraulic,,5.0,No,4.0,Manual,,No,,,,5.0,No,No,No,No
3P10787,,,,C,,,,,,,,,,,,,,,,,,,,,,,,
