bis_nyc_device_id,attendant_operation,device_type,new_hoistway,cwtgovernor_location,hoist_car_weight,counter_weight_guard,cargovernor_location,total_number_of_openings,escalator_manufacturer,number_of_openings_front,car_counterweight_ropes_qty,car_opening_operation,hoist_mast_manufacturer,only_elevator_in_building,regenerative_drive,total_travel_feet,top_emergency_exit_min_side,car_opening_direction,controller_location,escalator_step_width_inches,hoist_rope_qty,car_safety_type,elevator_manufacturer,occupied_space_below,destination_dispatch_system,top_emergency_exit_min_area,escalator_travel_from_floor,escalator_rise_feet,self_closing_emergency_doors,device_status,machine_model,machine_location,physical_address-pit_depth
1P48848,,Elevator,No,,,No,,8.0,,8.0,,Power,,Yes,No,70.0,17.0,Horizontal,Overhead,,4,Flexible Guide,TKE,No,No,400.0,,,No,Active,5000B,Overhead,48 EAST 132 STREET-nan
1P15372,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,80 JOHN STREET-nan
3P8311,,Elevator,No,,,No,EMR @30th Floor,31.0,,31.0,,Power,,No,Yes,361.0,16.0,Horizontal,EMR @30th Floor,,6,Flexible Guide,gal,No,No,400.0,,,No,Active,,EMR @30th Floor,84 SANDS STREET-nan
,,Elevator,No,,,No,Overhead,9.0,,8.0,,Power,,Yes,No,82.83,16.0,Horizontal,Overhead,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,#43,Overhead,362 WEST BROADWAY-nan
1P46216,,Elevator,No,,,No,,2.0,,2.0,,Power,,No,No,12.3,16.0,Horizontal,motor room @C,,,,existing,No,No,400.0,,,No,Active,existing,motor room @C,2191 FRED DOUGLASS BOULEVARD-nan
3P7349,,Elevator,No,,,No,oh,10.0,,10.0,,Power,,No,No,113.4,16.0,Horizontal,oh,,6-,Flexible Guide,gal,No,No,400.0,,,No,Active,gearless,oh,55 ALBANY AVENUE-nan
4P11216,,Elevator,,,,,,0.0,,,,,,,,,,,,,10,Flexible Guide,,,,,,,,Active,,,92-20 168 STREET-nan
1P17469,,Elevator,No,,,No,oh,18.0,,18.0,,Power,,No,No,163.0,16.0,Horizontal,basement,,5,Gradual WC,G.A.L.,No,No,400.0,,,No,Active,geared traction,basement,360 AMSTERDAM AVENUE-nan
,,Elevator,Yes,,,No,OVERHEAD,6.0,,6.0,,Power,,Yes,No,58.0,16.0,Horizontal,FLOOR 2,,6,Flexible Guide,WITTUR,No,No,400.0,,,No,Active,NMX14,OVERHEAD,114 SUYDAM STREET-nan
2P5637,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,4930 PALISADE AVENUE-nan
1P30784,,Elevator,No,,,No,OVERHEAD,44.0,,44.0,,Power,,No,No,380.0,16.0,Horizontal,OVERHEAD,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,,OVERHEAD,1 BOWERY-nan
1P13084,,Elevator,No,,,No,18TH FLOOR EMR,16.0,,16.0,,Power,,No,Yes,180.0,16.0,Horizontal,18TH FLOOR EMR,,6,Flexible Guide,GAL,No,No,4.0,,,No,Active,63,18TH FLOOR EMR,36 WEST   47 STREET-nan
1P28943,,Elevator,No,22ND FL,,No,22ND FL,17.0,,17.0,5.0,Power,,No,Yes,220.0,16.0,Horizontal,22ND FL,,5,Flexible Guide,OTIS,No,Yes,400.0,,,No,Active,155 HT,22ND FL,917 3 AVENUE-nan
1P33210,,Elevator,No,,,No,OVERHEAD,24.0,,24.0,,Power,,No,No,240.0,18.0,Horizontal,OVERHEAD,,4,Flexible Guide,OTIS,No,No,400.0,,,No,Active,EXISTING,OVERHEAD,431 EAST 66 STREET-nan
3P0995329,,Elevator,Yes,,,No,OVERHEAD,11.0,,11.0,,Power,,No,No,93.08,16.0,Horizontal,ROOF,,7,Flexible Guide,G.A.L.,No,No,400.0,,,No,Active,TPM3,OVERHEAD,88 LINDEN BOULEVARD-nan
,,Elevator,Yes,,,Yes,overhead,7.0,,7.0,,Power,,No,No,67.0,16.0,Horizontal,remote @7,,6,Flexible Guide,Wittur,No,No,400.0,,,No,Active,NMX11,overhead,1210 SIMPSON STREET-nan
1P40983,,Elevator,No,,,No,MOTOR ROOM,32.0,,32.0,,Power,,No,No,560.0,16.0,Horizontal,ROOF,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,212,ROOF,15 COLUMBUS CIRCLE-nan
1P31492,,Elevator,No,,,No,44th EMR ROOM,15.0,,15.0,,Power,,No,Yes,604.0,4.0,Horizontal,44th EMR ROOM,,5,Flexible Guide,GAL,No,Yes,16.0,,,No,Active,TGL3-8050-HV,44th EMR ROOM,572 MADISON AVENUE-nan
1P27782,,Elevator,,,,,,0.0,,,,,,,,245.0,,,,,6,Flexible Guide,,,,,,,,Active,,,2989 FRED DOUGLASS BOULEVARD-nan
4P0996805,,Elevator,Yes,,,No,EMR,33.0,,33.0,,Power,,No,Yes,335.0,16.0,Horizontal,Above Hoistway,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,MP705-0B,Above Hoistway,2-20 MALT DRIVE-nan
1P18005,,Elevator,No,,,No,,8.0,,8.0,,Power,,No,No,70.0,16.0,Horizontal,oh,,6,Flexible Guide,gal,No,No,16.0,,,No,Active,,oh,136 WEST 55 STREET-nan
2P4284,,Elevator,No,,,No,Overhead,27.0,,27.0,,Power,,No,No,260.0,16.0,Horizontal,Overhead,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,GL185-35H,Overhead,2400 HUNTER AVENUE-nan
1P37636,,Elevator,No,,,No,,1.0,,1.0,,Power,,Yes,No,52.0,16.0,Horizontal,BASEMENT,,,,DOVER,No,No,400.0,,,No,Active,DMC,BASEMENT,129 EAST 105 STREET-nan
,,Elevator,Yes,,,No,OH,15.0,,15.0,,Power,,No,No,304.5,16.0,Horizontal,OH,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,705,OH,15 BEEKMAN STREET-nan
3P13822,,Elevator,No,,,No,overhead,5.0,,5.0,,Power,,No,No,48.0,16.0,Horizontal,4th fl,,4,Instantaneous,KONE,No,No,400.0,,,No,Active,,OH,874 JEFFERSON AVENUE-nan
1P24309,,Elevator,No,,,No,,9.0,,9.0,,Power,,No,No,100.8,16.0,Horizontal,OH,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,GEARLESS,OH,410 PARK AVENUE-nan
2P5697,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,2008 EASTCHESTER ROAD-nan
1P12734,,Elevator,No,,,No,Roof,10.0,,10.0,,Power,,No,No,92.0,16.0,Horizontal,Basement,,6,Gradual WC,Gal,No,No,400.0,,,No,Active,,Basement,24 WEST 9 STREET-nan
1P47065,,Elevator,,,,,,0.0,,,,,,,,,,,,,6,Instantaneous,REPLACE 1F2780,,,,,,,Active,,,444 WEST 36 STREET-nan
2P2572,,Elevator,,,,,,0.0,,,,,,,,,,,,,4,Instantaneous,HOUSING AUTHORITY,,,,,,,Active,,,1435 HARROD AVENUE-nan
,,Elevator,Yes,,,No,,3.0,,0.0,,Power,,Yes,No,21.58,0.0,Horizontal,Lower Level,,,Instantaneous,WITTUR,No,No,0.0,,,No,Active,Orion,Lower Level,2937 AVENUE V-nan
,,Elevator,Yes,,,No,,2.0,,1.0,,Power,,Yes,No,11.0,1.0,Horizontal,Lower Level,,2,Instantaneous,Wittur,No,No,1.0,,,Yes,Active,Orion,Lower Level,252-00 HORACE HARDING EXPRESSWAY-nan
1P37080,,Elevator,No,,,No,,2.0,,2.0,,Power,,Yes,No,13.0,16.0,Horizontal,lowest landing,,,,GAL,No,No,400.0,,,No,Removed,,lowest landing,686 BROADWAY-nan
1P36633,,Elevator,No,,,No,,5.0,,5.0,,Power,,No,No,43.0,20.0,Horizontal,1ST FLOOR,,,,DOVER,No,No,25.0,,,No,Active,,1ST FLOOR,10 FT WASHINGTON AVENUE-nan
,,Elevator,No,,,No,oh,13.0,,7.0,,Power,,No,No,77.4,16.0,Horizontal,oh,,6,Flexible Guide,gal,No,No,400.0,,,No,Active,3520,oh,222 JOHNSON AVENUE-nan
1T593,,Elevator,No,,,No,,5.0,,5.0,,Manual,,Yes,No,43.11,0.0,Horizontal,Above,,,Instantaneous,PRIVATE RESIDENCE,No,No,0.0,,,No,Active,,Above,9 EAST   81 STREET-nan
3P4449,,Elevator,No,,,Yes,,7.0,,7.0,,Power,,Yes,No,65.0,16.0,Horizontal,overhead,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,,overhead,1149 OCEAN AVENUE-nan
,,Elevator,Yes,,,No,overhead,38.0,,38.0,,Power,,No,No,380.0,16.0,Horizontal,motor room overhead,,5,Flexible Guide,TKE,No,No,400.0,,,No,Work in Progress,OHGL,Overhead,41 BLUE SLIP-nan
1P9601,,Elevator,,,,,,0.0,,,,,,,,,,,,,4,Instantaneous,,,,,,,,Active,,,60 ST NICHOLAS AVENUE-nan
4P4544,,Elevator,No,,,Yes,ROOF,7.0,,7.0,,Power,,Yes,No,54.0,16.0,Horizontal,ROOF,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,44F,ROOF,75-24 BELL BOULEVARD-nan
,,Elevator,Yes,,,No,overhead,9.0,,9.0,,Power,,No,No,84.1,16.0,Horizontal,control room @9,,6,Flexible Guide,Wittur,No,No,400.0,,,No,Active,MX10,overhead,894 FOUNTAIN AVENUE-nan
1P16814,,Elevator,No,,,No,Motor Room,15.0,,15.0,4.0,Power,,No,No,315.0,16.0,Vertical,Motor Room,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,74A,Motor Room,45 MADISON AVENUE-nan
4P4538,,Elevator,No,,,No,MACHINE ROOM,7.0,,7.0,,Power,,Yes,No,70.0,16.0,Horizontal,MACHINE ROOM,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,,ROOF,86-11 151 AVENUE-nan
3P12779,,Elevator,No,,,Yes,Overhead,5.0,,5.0,,Power,,No,No,45.0,16.0,Horizontal,Overhead,,4,Instantaneous,G.A.L.,No,No,400.0,,,No,Active,Existing,Roof,128 BRIGHTON BEACH AVENUE-nan
1P26080,,Elevator,No,,,No,oh,7.0,,7.0,,Power,,No,No,0.0,16.0,Horizontal,roof,,3,Gradual WC,gal,No,No,400.0,,,No,Active,,roof,113 EAST 73 STREET-nan
,,Elevator,Yes,,,Yes,OVERHEAD,6.0,,6.0,0.0,Power,,Yes,Yes,56.0,16.0,Horizontal,ROOF,,5,Instantaneous,GAL,No,No,400.0,,,No,Active,478,OVERHEAD,2799 CONEY ISLAND AVENUE-nan
1P8661,,Elevator,No,,,Yes,,9.0,,9.0,,Power,,Yes,No,80.0,16.0,Horizontal,Basement,,,Gradual WC,GAL,No,No,400.0,,,No,Active,,Basement,324 WEST 83 STREET-nan
1F5680,,Elevator,No,,,No,,4.0,,2.0,,Power,,No,No,14.0,16.0,Horizontal,1ST FLOOR,,,,PELLE,No,No,400.0,,,No,Active,,1ST FLOOR,601 WEST 26 STREET-nan
1P35566,,Elevator,No,,,No,OH,13.0,,13.0,,Power,,No,No,224.4,20.0,Horizontal,OH,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,570,OH,484 MADISON AVENUE-nan
2P0997152,,Elevator,Yes,,,Yes,overhead,6.0,,6.0,,Power,,No,No,64.8,16.0,Horizontal,remote @1,,8,Flexible Guide,Wiottur,No,No,400.0,,,No,Active,NMX14,overhead,263 EAST  203 STREET-nan
,,Elevator,Yes,,,No,Overhead,30.0,,30.0,,Power,,No,Yes,297.8,20.0,Horizontal,In Machine Room Above,,6,Flexible Guide,GAL,No,No,400.0,,,No,Active,HW GL-185L,Overhead,1 BELL SLIP-nan
1P14614,,Elevator,No,,,No,,9.0,,9.0,,Power,,No,No,105.0,16.0,Horizontal,Overhead,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,,Overhead,200 MADISON AVENUE-nan
,,Elevator,Yes,,,No,OVERHEAD,12.0,,12.0,,Power,,No,No,113.0,16.0,Horizontal,M/R,,4,Flexible Guide,OTIS,No,No,400.0,,,No,Active,G2S,OVERHEAD,315 LINWOOD STREET-nan
1P32378,,Elevator,No,,,No,"Overhead, Machine Room",8.0,,8.0,,Power,,No,Yes,91.0,400.0,Vertical,"Overhead, Machine Room",,5,Flexible Guide,Wittur,No,Yes,400.0,,,No,Active,131HT,Overhead,1100 6 AVENUE-nan
1P46590,,Elevator,Yes,,,Yes,Overhead,8.0,,8.0,,Power,,Yes,Yes,79.0,16.0,Horizontal,PH,,5,Flexible Guide,Otis,No,No,400.0,,,No,Active,Existing,Overhead,413 EAST 72 STREET-nan
,,Elevator,Yes,,,Yes,Motor Room,8.0,,8.0,,Power,,Yes,No,68.0,20.0,Horizontal,Motor Room,,5,Flexible Guide,GAL Manufacturing,No,No,400.0,,,No,Active,54OH,Motor Room - Overhead,139-20 34 AVENUE-nan
1P17491,,Elevator,No,,,No,OVERHEAD,14.0,,14.0,,Power,,No,No,150.0,16.0,Horizontal,BASEMENT,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,,BASEMENT,40 EAST 66 STREET-nan
3P1460,,Elevator,No,,,No,OVERHEAD,7.0,,7.0,,Power,,Yes,No,65.0,16.0,Horizontal,EXISTING,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,,EXISTING,465 OCEAN AVENUE-nan
1P26568,,Elevator,No,,,No,SECONDARY,12.0,,12.0,,Power,,No,No,117.7,16.0,Horizontal,16TH FLOOR,,6,Gradual WC,GAL,No,No,400.0,,,No,Active,,16TH FLOOR,1206 6 AVENUE-nan
3F1684,,Elevator,No,,,No,Overhead,4.0,,4.0,,Power,,Yes,No,45.0,16.0,Vertical,Machine Room,,6,Instantaneous,Pelle,No,No,400.0,,,No,Removed,Existing,Overhead,700 ATLANTIC AVENUE-nan
3P8493,,Elevator,,,,,,0.0,,,,,,,,,,,,,,Gradual WC,,,,,,,,Active,,,5207 CHURCH AVENUE-nan
1P18402,,Elevator,No,,,No,Secondary,21.0,,21.0,,Power,,No,No,190.0,16.0,Horizontal,Overhead,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,70,Overhead,302 EAST 42 STREET-nan
1P718,,Elevator,No,,,No,Machine room,13.0,,13.0,4.0,Power,,No,No,280.0,16.0,Horizontal,1 floor below roof,,6,Instantaneous,GAL,No,Yes,400.0,,,No,Active,GTE427,Roof,115 BROADWAY-nan
4P0998916,,Elevator,Yes,,,No,motor room overhead,18.0,,18.0,,Power,,No,No,189.4,16.0,Horizontal,motor room overhead,,6,Flexible Guide,Wittur,No,No,400.0,,,No,Work in Progress,MX18G09,motor room overhead,98-14 66 AVENUE-nan
1P41938,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,131 WEST BROADWAY-nan
4P5917,,Elevator,No,,,No,,6.0,,6.0,,Power,,Yes,No,60.0,16.0,Horizontal,cellar,,,Instantaneous,gal,No,No,400.0,,,No,Active,inground hydro ce13,cellar,108-15 48 AVENUE-nan
1E1676,,Escalator,,,,,,,existing,,,,,,,,,,,0.0,,,,,,,6,12.0,,Removed,,,400 EAST   62 STREET-nan
,,Elevator,No,,,No,ABOVE HOISTWAY,24.0,,24.0,,Power,,No,Yes,307.0,16.0,Horizontal,ADJACENT TO HOISTWAY,,7,Flexible Guide,GAL,No,No,400.0,,,No,Active,PM023H,ABOVE HOISTWAY,730 FIFTH AVENUE-nan
4P10383,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,151-08 JAMAICA AVENUE-nan
4P1894,,Elevator,,,,,,0.0,,,,,,,,40.0,,,,,06,,WATSON,,,,,,,Active,,,66-50 KISSENA BOULEVARD-nan
4P1107,,Elevator,No,,,Yes,OVERHEAD,7.0,,7.0,0.0,Power,,Yes,No,70.0,16.0,Horizontal,OVERHEAD,,4,Instantaneous,G.A.L.,No,No,400.0,,,No,Active,,OVERHEAD,98-39 65 ROAD-nan
1P47939,,Elevator,No,,,No,OH,6.0,,6.0,,Power,,No,No,0.0,16.0,Horizontal,basement,,5,Flexible Guide,gal,No,No,400.0,,,No,Active,,basement,112 EAST 73 STREET-nan
1P36931,,Elevator,No,Overhead,,No,Overhead,25.0,,25.0,,Power,,No,No,328.0,16.0,Horizontal,machine room,,10,Flexible Guide,FUJITEC,No,No,400.0,,,No,Active,200LA,OVERHEAD,53 EAST 57 STREET-nan
4P0998008,,Elevator,Yes,,,No,,3.0,,2.0,0.0,Power,,Yes,No,10.08,20.0,Horizontal,BASEMENT,,0,,G.A.L,No,No,500.0,,,No,Active,280-46,BASEMENT,170-01 SAYRES AVENUE-nan
3C0998189,,Personnel Hoist,,,5850.0,,CELLAR,19.0,,18.0,,,ALIMAK,,,220.0,,,,,,,,No,,,,,,Removed,,,60 CEDAR STREET-nan
1P10210,,Elevator,No,,,Yes,roof,7.0,,7.0,,Power,,Yes,No,79.0,16.0,Horizontal,Basement,,4,Other,Gal,No,No,400.0,,,No,Active,,Basement,567 WEST 149 STREET-nan
1P40945,,Elevator,No,,,No,motor room,15.0,,15.0,,Power,,No,No,150.0,16.0,Horizontal,motor room,,5,Flexible Guide,gal,No,No,400.0,,,No,Active,existing,motor room,2900 BROADWAY-nan
1P45731,,Elevator,No,,,No,Mr,16.0,,16.0,,Power,,No,No,162.0,16.0,Horizontal,motor room,,7,,,No,No,400.0,,,No,Active,525A,motor room,540 WEST  120 STREET-nan
1P932,,Elevator,No,,,Yes,Roof,7.0,,7.0,,Power,,Yes,No,69.0,16.0,Horizontal,Roof,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,,Roof,31 WASHINGTON SQUARE WEST-nan
1P1809,,Elevator,No,,,Yes,ROOF,7.0,,7.0,,Power,,No,No,65.0,16.0,Horizontal,BASEMENT,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,39-MC,BASEMENT,600 WEST 165 STREET-nan
1P31754,,Elevator,No,,,Yes,ROOF,5.0,,5.0,,Power,,Yes,No,50.0,16.0,Horizontal,Roof,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,EXISTING,Roof,330 PEARL STREET-nan
3P11459,,Elevator,No,,,No,,6.0,,6.0,,Power,,Yes,No,49.0,24.0,Horizontal,basement,,,,existing,No,No,700.0,,,Yes,Active,,basement,104 LUQUER STREET-nan
4P0999712,,Elevator,Yes,,,Yes,overhead,8.0,,8.0,,Power,,No,No,70.4,24.0,Horizontal,remote@7,,7,Flexible Guide,Wittur,No,No,600.0,,,No,Active,NMX14,overhead,83-07 QUEENS BOULEVARD-nan
1P24462,,Elevator,No,,,No,ROOF,15.0,,15.0,,Power,,No,Yes,121.0,16.0,Horizontal,ROOF,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,GL171,ROOF,1270 5 AVENUE-nan
1P43008,,Elevator,No,,,Yes,Roof,7.0,,7.0,,Power,,Yes,No,65.0,16.0,Horizontal,Roof,,5,Flexible Guide,GAL,No,No,400.0,,,No,Active,Existing,Roof,112 BENNETT AVENUE-nan
,,Elevator,Yes,,,No,TOC,5.0,,5.0,,Power,,No,No,51.0,16.0,Horizontal,machine room,,4,Flexible Guide,OTIS,No,No,400.0,,,No,Active,G2S,Over Head,2325 HOLLERS AVENUE-nan
1C0999921,,Personnel Hoist,,,8720.0,,1ST FLR,15.0,,13.0,,,STROS,,,120.0,,,,,,,NONE,No,,,,,,Removed,,,280 8 AVENUE-nan
1P37602,,Elevator,No,,,No,Overhead,12.0,,8.0,,Power,,No,No,80.0,16.0,Horizontal,motor room overhead,,6,,Existing,No,No,400.0,,,No,Removed,Existing,overhead,436 5 AVENUE-nan
,,Elevator,Yes,,,No,Overhead,22.0,,22.0,,Power,,No,Yes,267.58,16.0,Horizontal,Overhead,,6,Flexible Guide,GAL,No,No,400.0,,,No,Work in Progress,705,Overhead,145 WEST 47 STREET-nan
2P4966,,Elevator,No,,,No,OH,6.0,,6.0,,Power,,No,No,60.0,16.0,Horizontal,OH,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,,OH,1010 EAST  163 STREET-nan
1P27261,,Elevator,No,,,No,,13.0,,13.0,,Power,,No,No,120.0,16.0,Horizontal,OH,,,Gradual WC,GAL,No,No,400.0,,,No,Active,,OH,321 EAST 16 STREET-nan
1P20381,,Elevator,No,,,Yes,Overhead,9.0,,9.0,,Power,,No,No,82.0,16.0,Horizontal,Overhead,,4,Instantaneous,G.A.L.,No,No,400.0,,,No,Active,#44,Overhead,55 PARK TERRACE EAST-nan
1P19799,,Elevator,No,,,No,Motor room,14.0,,14.0,,Power,,No,No,118.0,16.0,Vertical,Motor room,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,OH worm gear,Machine room,30 MONROE STREET-nan
4E6067,,Escalator,,,,,,,Schindler,,,,,,,,,,,4.0,,,,,,,1,16.0,,Active,,,257-01 UNION TURNPIKE-nan
,No,Accessibility Lift,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,Active,MULTILIFT,,155 NOBLE STREET-1.0
,No,Accessibility Lift,,,,,,2.0,,1.0,,Power,,,,4.3,,Horizontal,,,2 CHAINS,Tape or Chain switch,GARAVENTA,,,,,,,Active,GENESIS EN,,217 WEST 57 STREET-3.0
1P33129,,Elevator,No,,,No,,27.0,,27.0,,Power,,No,No,480.0,16.0,Horizontal,51st floor,,6,Flexible Guide,GAL,No,Yes,400.0,,,No,Active,,51st floor,1535 BROADWAY-nan
4P10596,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,#1334,,,,,,,Active,,,118-02 111 AVENUE-nan
3P18,,Elevator,No,,,Yes,OVERHEAD,7.0,,7.0,0.0,Power,,Yes,No,63.0,16.0,Horizontal,BASEMENT,,4,Gradual WC,G.A.L,No,No,400.0,,,No,Active,#44 OD,BASEMENT,564 PACIFIC STREET-nan
1P21922,,Elevator,No,,,No,Motor room,13.0,,13.0,,Power,,No,No,107.0,16.0,Vertical,Motor room,,5,Gradual WC,GAL,No,No,400.0,,,No,Active,37,Motor room,528 EAST 20 STREET-nan
4P0998343,,Elevator,Yes,,,No,Overhead,36.0,,35.0,,Power,,No,Yes,372.5,24.0,Horizontal,Overhead,,6,Flexible Guide,G.A.L.,No,No,576.0,,,No,Work in Progress,# 705 OB,Overhead,23-10 42 ROAD-nan
3P4472,,Elevator,No,,,Yes,OVERHEAD,7.0,,7.0,,Power,,No,No,63.0,16.0,Horizontal,OVERHEAD,,4,Instantaneous,G.A.L.,No,No,400.0,,,No,Active,,OVERHEAD,835 OCEAN AVENUE-nan
1P22152,,Elevator,,,,,,0.0,,,,,,,,,,,,,,Instantaneous,,,,,,,,Active,,,338 EAST 54 STREET-nan
4P11208,,Elevator,No,,,No,,7.0,,7.0,,Power,,No,No,112.0,17.0,Horizontal,9,,5,Flexible Guide,existing,No,No,400.0,,,Yes,Active,,9,23-21 44 DRIVE-nan
2P1813,,Elevator,No,,,No,,7.0,,7.0,,Manual,,No,No,84.0,38.0,Horizontal,OVERHEAD,,4,Instantaneous,STALEY ELEV CO,No,No,2.0,,,No,Active,,OVERHEAD,114 WEST 183 STREET-nan
,,Elevator,Yes,,,Yes,Roof,9.0,,9.0,,Power,,Yes,No,80.5,16.0,Horizontal,Roof,,7,Instantaneous,GAL,No,No,400.0,,,No,Active,GL 100-15L,Roof,70-38 BROADWAY-nan
3P10358,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,4802 10 AVENUE-nan
1P6969,,Elevator,,,,,,0.0,,,,,,,,,,,,,,Gradual WC,,,,,,,,Active,,,126 WEST 46 STREET-nan
3P7312,,Elevator,No,,,No,,3.0,,3.0,,Power,,No,No,30.0,1.0,Horizontal,1ST FLOOR,,,Instantaneous,GAL,No,No,1.0,,,No,Active,TYPE - 01,1ST FLOOR,2316 SURF AVENUE-nan
3P1909,,Elevator,No,,,Yes,Overhead,7.0,,7.0,,Power,,No,No,56.0,16.0,Horizontal,Basement,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,#44 OD,Basement,103 LINCOLN ROAD-nan
1E21075,,Escalator,,,,,,,Schindler,,,,,,,,,,,3.0,,,,,,,1,20.0,,Active,,,3821 BROADWAY-nan
1E524,,Escalator,,,,,,,Westinghouse,,,,,,,,,,,0.0,,,,,,,ST,16.0,,Removed,,,200 PARK AVENUE-nan
4P1845,,Elevator,No,,,Yes,Roof,7.0,,7.0,,Power,,No,No,66.0,16.0,Horizontal,Roof,,4,Instantaneous,GAL,No,No,400.0,,,No,Active,Armor,Roof,143-09 BARCLAY AVENUE-nan
2P10367,,Elevator,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Active,,,4132 PARK AVENUE-nan
4P15525,,Elevator,No,,,No,,3.0,,2.0,,Power,,No,No,11.6,16.0,Horizontal,motor room,,,,existing,No,No,400.0,,,No,Active,existing,motor room @ 1,121-22 ROOSEVELT AVENUE-nan
5P0997182,,Elevator,Yes,,,No,Pit,3.0,,2.0,,Power,,Yes,No,12.2,16.0,Horizontal,Remotely on Second Floor,,7,Instantaneous,GAL,No,No,400.0,,,No,Active,TPM3,Overhead,75 BENNETT STREET-nan
2P4757,,Elevator,No,,,Yes,OVERHEAD,10.0,,10.0,,Power,,No,No,98.0,16.0,Horizontal,OVERHEAD,,4,Flexible Guide,GAL,No,No,2.0,,,No,Active,,OVERHEAD,1072 GRAND CONCOURSE-nan
2P2301,,Elevator,No,,,Yes,Overhead Machine Room,5.0,,5.0,,Power,,No,No,41.0,16.0,Horizontal,Overhead Machine Room,,4,Instantaneous,G.A.L.,No,No,400.0,,,No,Active,43OH,Overhead Machine Room,1900 ARCHER STREET-nan
,,Elevator,No,,,No,,3.0,,3.0,,Power,,No,No,34.0,16.0,Horizontal,LOWER LEVEL SC,,,,MEI,No,No,400.0,,,No,Active,MEI DS-72,LOWER LEVEL SC,7 WEST 57 STREET-nan
