job_filing_number,flame_heat_smoke_protection,machine_counterweight_ropes_2,elevator_type,elevator_landing,counter_weight_buffer_stroke_1,device_confirming_with_seismic,cwtgovernor_type,escalator_capacity_lbs,hoist_model_num,counter_weight_buffer,number_of_stops,hole_less_elevator,escalator_tandem_operation,platform_lift_type,escalator_number_of_flat,door_monitoring_circuits,counter_weight_buffer_reduced,car_buffer_stroke_inches,controller_model,machine_counterweight_ropes_1,hoist_safety_capacity,hoist_counter_weighted,escalator_brake_torque,elevator_control,private_residence,cargovernor_ropes_ultimate,cwtgovernor_tripping_speed,hoist_opening,mode_of_operation,hoist_capacity,car_hoist_location,machine_counterweight_ropes_3,building_elevator_numbers,cwtgovernor_ropes_size
M00262135-P1,,,Passenger,"C, 1-12, 14-42",10.63,Yes,,,,Oleo,42.0,,,,,Yes,Yes,10.63,A-1,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,PE-3,
Q00138734-I1,,,Passenger,7,,No,,,,,7.0,,,,,No,No,1.5,,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,,
X00409157-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00271196-P1,,,Passenger,"B, 1-6",5.0,No,,,,Existing,7.0,,,,,Yes,No,5.0,,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,
M00336212-I1,,,Passenger,"1,3-8",0.0,No,,,,Dover,7.0,,,,,Yes,No,0.0,V1900012,,,,,Generator Field Control,,,,Door,Automatic P.B.,,,,PE2,
M00167173-I1,,,Passenger,21,10.0,Yes,,,,EXISTING,21.0,,,,,Yes,No,10.0,VVVF,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00171438-I1,,,Passenger,7,5.0,No,,,,TITAN,7.0,,,,,Yes,No,5.0,SERIES 3,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00346196-I1,,,Passenger,"TP,B,2-11",4.0,No,,,,Dover,12.0,,,,,No,No,4.0,Swift 5000,,,,,Generator Field Control,,,,Door,Automatic P.B.,,,,6,
B00270635-I1,,,Passenger,2,,No,,,,,2.0,Yes,,,,Yes,No,5.0,MICONIC,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00089623-I1,,,Passenger,1-7,4.0,No,,,,Existing,7.0,,,,,Yes,No,4.0,340H,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00305080-I1,,,Passenger,5,,No,,,,,5.0,,,,,Yes,,4.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00117254-P2,,,Passenger,"L, 55-59, 61-67",7.0,No,Centrifugal,,,Otis,13.0,,,,,No,Yes,7.0,TX-R5,,,,,Solid State,,,1050.0,Door,Automatic P.B.,,,,Car13,1/2''
Q00078183-I1,,,Passenger,8,,No,,,,,6.0,No,,,,Yes,No,5.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00937250-I1,,,Passenger,20,10.0,No,,,,HOLLISTER WHITNEY,20.0,,,,,Yes,No,10.0,EXISTING,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,,
X00244588-I1,,,Passenger,4,2.0,No,,,,,4.0,Yes,,,,Yes,No,2.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00982809-P2,,,Passenger,1-17,8.62,No,,,,KONE,17.0,,,,,Yes,Yes,8.82,KCM831,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,5,
B00768871-I1,,,Passenger,1-14,9.0,No,,,,Hollister Whitney,14.0,,,,,Yes,No,9.0,VVVF,,,,,Solid State,,"8,200",,Door,Automatic P.B.,,,,,
Q00971424-I1,,,Passenger,"SB,B,1-8",4.0,No,,,,KONE,10.0,,,,,Yes,No,4.0,KCM831,,,,,Solid State,,4721,,Door,Automatic P.B.,,,,2,
M00197353-I1,,,Passenger,16,9.0,No,,,,EXISTING,16.0,,,,,No,No,6.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
B00113572-I1,,,Passenger,BF-1-2-3,5.0,No,,,,HOLLISTER WHITNEY,4.0,,,,,Yes,No,5.0,SOLID STATE,,,,,Solid State,,"14,500",,Door,Automatic P.B.,,,,na,
M00398924-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00071381-I1,,,Passenger,30,6.0,No,,,,Hollister Whitney,30.0,,,,,Yes,No,6.0,Solid State,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00270838-I1,,,Passenger,12,,No,Centrifugal,,,,12.0,,,,,No,No,0.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,3/8
M00381250-I1,,,Passenger,"SC, C, L",,Yes,,,,,3.0,Yes,,,,Yes,No,3.0,Solid State,,,,,Solid State,,,,Door,Automatic P.B.,,,,SE4,
Q00687882-I1,,,Passenger,"C, 1-5, R",2.5,Yes,,,,Schindler,7.0,,,,,Yes,No,2.5,3300,,,,,Solid State,,21KN,,Door,Automatic P.B.,,,,01,
M00346022-I1,,,Passenger,"F,V,L,1,2,3",,No,,,,,6.0,No,,,,Yes,,5.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,412132,
Q00213796-I1,,,Passenger,7,,Yes,,,,,7.0,,,,,No,No,9.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00041054-I1,Yes,,Escalator,,,,,8000.0,,,,,No,,1.0,,,,,,,,48.0,,,,,,,,,,53,
B00793815-I1,,,Passenger,"C, 1-4",,Yes,,,,,5.0,Yes,,,,Yes,No,2.5,V2,,,,,Solid State,,,,Door,Automatic P.B.,,,,PE-1,
B00141684-P1,,,Passenger,"C,1,2,3,4",,No,,,,,4.0,Yes,,,,Yes,No,0.0,HYDRO,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00474388-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00262817-I1,,,Passenger,"L,19-30",,No,,,,,13.0,,,,,Yes,No,7.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00401841-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00257988-I1,,,Passenger,16,9.0,No,,,,Otis,16.0,,,,,Yes,No,9.0,M400 AC,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
B00146213-I1,,,Passenger,17,,No,Centrifugal,,,,17.0,,,,,No,No,8.25,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,3/8
M00287648-I1,,,Passenger,7,4.0,No,,,,eXISTING,7.0,,,,,Yes,No,4.0,VVVF,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
Q00379250-P3,,,Passenger,"C, 2-12",2.83,Yes,,,,OTIS,12.0,,,,,Yes,No,2.83,GCS,,,,,Solid State,,3600LBS,,Door,Automatic P.B.,,,,659505-C1P1,
X00374860-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,Constant Pressure,,,,,
X00615700-I1,,,Passenger,"B,L,2,3,4,5,6,7",,No,,,,,8.0,No,,,,Yes,No,5.0,Hydro,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00282244-I1,,,Passenger,7,,No,,,,,7.0,,,,,Yes,No,4.0,,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
M01093267-I1,,,Passenger,20,8.0,No,Centrifugal,,,OTIS,20.0,,,,,Yes,No,8.0,TXR5,,,,,Solid State,,14500,1020.0,Door,Automatic P.B.,,,,,1/2
M00233189-I1,,,Passenger,8,,No,Centrifugal,,,,8.0,,,,,Yes,No,2.5,KCM831,,,,,Solid State,,,,Door,Automatic P.B.,,,,,3/8
M00677876-I1,,,Passenger,"1, 3, 4",2.83,Yes,,,,Otis,3.0,,,,,Yes,No,2.83,GCS,,,,,Solid State,,3600,,Door,Automatic P.B.,,,,N1P164-A1,
M00026326-I1,,,Passenger,10,9.0,No,Centrifugal,,,HW,10.0,,,,,Yes,No,9.0,existing,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,PE1,
M00269437-I1,,,Passenger,1,,Yes,,,,,6.0,,,,,Yes,No,8.5,TAC50-03,,,,,Solid State,,,,Door,Automatic P.B.,,,,P45,3/8
M00545719-P2,,,Passenger,B-18,0.0,No,,,,HOLLISTER WHITNEY,20.0,,,,,Yes,Yes,0.0,TX-R5,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,B1,
Q08034742-P3,,,Passenger,"C, 1 to 15, R",8.62,Yes,,,,Otis,17.0,,,,,Yes,No,8.62,GCS,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,N1W953-PE1,
B00158026-I1,,,Passenger,9,9.0,Yes,,,,exist,9.0,,,,,Yes,No,9.0,vvvf,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00084762-P1,,,Passenger,"SB, C, 1, 2, 3, 4, 5",3.0,Yes,,,,MLB,7.0,,,,,Yes,No,5.0,5500,,,,,Solid State,,21KN,,Door,Automatic P.B.,,,,01,
B01022101-I1,,,Passenger,,,,Centrifugal,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2
M00017490-P1,,,Passenger,7,5.0,Yes,,,,hw,4.0,,,,,Yes,No,5.0,MCE,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,PE5,
M00201246-I1,,,Passenger,2,,No,,,,,6.0,No,,,,Yes,No,2.5,,,,,,Solid State,,,,Door,Automatic P.B.,,,,1,
M00393892-I1,,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00077819-I1,,,Passenger,"C,1 to 23",8.0,No,,,,Thyssenkrupp,24.0,,,,,Yes,Yes,8.0,TAC32T,,,,,Solid State,,8220,,Door,Automatic P.B.,,,,PE1----PE2,
M00166408-I1,,,Passenger,ALL,0.0,No,,,,SERGE,20.0,,,,,No,No,0.0,IMC-AC,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00817765-I1,,,,,,,,,,,2.0,,,,,,,,100,,,,,Solid State,No,,,Door,,,,,,
X00554868-S7,,,Passenger,"L, 2-8 ,R",4.0,Yes,,,,AMERIVATOR,9.0,,,,,Yes,No,4.0,MICROPROCESSOR,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,PE1,
M01013991-I1,,,Passenger,B-5,4.0,No,,,,Curtis,6.0,,,,,Yes,No,4.0,VVVF,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,
Q00114410-I1,,,Passenger,"C, L, 3, 37-66",8.0,Yes,,,,OLEO,33.0,,,,,Yes,Yes,8.0,VERIDIAN,,,,,Solid State,,,,Door,Automatic P.B.,,,,PE5,
M00032941-I1,,,Passenger,11,6.0,Yes,,,,OTIS,11.0,,,,,Yes,No,6.0,I BOX,,,,,Solid State,,"14,500",,Door,Automatic P.B.,,,,PE1,
X00153039-I1,,,Passenger,3,2.5,Yes,,,,KONE,3.0,,,,,Yes,No,2.5,KCM831,,,,,Solid State,,21kn,,Door,Automatic P.B.,,,,,
M00416649-I1,,,Passenger,b--14,,No,,,,,15.0,,,,,No,No,0.0,,,,,,Solid State,,,,Door,Constant Pressure,,,,,
M00979765-I1,No,,Escalator,,,,,4800.0,,,,,No,,2.0,,,,,,,,100.0,,,,,,,,,,,
Q00092681-I1,,,Passenger,7,4.0,No,,,,EXISTING,7.0,,,,,Yes,No,4.0,,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
M00055305-I1,,,Passenger,All,6.0,No,,,,Surge,27.0,,,,,No,No,6.0,IMC-SCR,,,,,Solid State,,,,Door,Automatic P.B.,,,,PE1,
M00133209-I1,,,Passenger,7,4.0,No,,,,exisit g,7.0,,,,,Yes,No,4.0,HMC 2000,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
Q00159525-I1,,,,,,,,,,,2.0,,,Vertical Platform Lift,,,,,,,,,,,No,,,Door,,,,,1,
S00142719-I1,,,Passenger,7,,No,,,,,7.0,,,,,Yes,No,4.0,,,,,,Resistance,,8200,,Door,Automatic P.B.,,,,,
Q00340668-I1,,,Passenger,10,,No,,,,,10.0,,,,,No,No,4.0,,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
Q00897345-P2,,,Passenger,"C, *L, 2",,Yes,,,,,3.0,Yes,,,,Yes,No,2.5,HYDRO,,,,,Solid State,,,,Door,Automatic P.B.,,,,P3,
M00299019-I1,,,Passenger,4,6.0,No,,,,Hollister whitney,4.0,,,,,Yes,No,6.0,,,,,,Solid State,,14500,,Door,Automatic P.B.,,,,,
B00360891-I1,,0,Passenger,"C, 1*, 2-6",4.0,Yes,,,,AMERIVATOR,7.0,,,,,Yes,No,4.0,A-1,0,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,CAR-1,0
M00178721-I1,,,Passenger,11,,No,Centrifugal,,,,11.0,,,,,No,No,5.0,,,,,,Multi-Voltage,,,,Door,Automatic P.B.,,,,,3/8
M00189110-I1,,,Passenger,"G,2-15",,Yes,Centrifugal,,,,15.0,,,,,No,No,11.0,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
M00349810-P1,,,Passenger,5,2.0,No,,,,Exisitng,5.0,,,,,Yes,No,2.0,Resolve,,,,,Solid State,,8200,,Door,Automatic P.B.,,,,,
M00151042-I1,,,Passenger,20,3.5,No,Centrifugal,,,LB32 SCHINDLER,20.0,,,,,No,Yes,3.5,TX-GC2,,,,,Solid State,,"14,500",1233.0,Door,Automatic P.B.,,,,7F,1/2
S00090544-I1,,,,,,,,,,,2.0,,,,,,,,,,,,,Solid State,,,,Gate,Automatic P.B.,,,,ARSAW114,
B00045277-I1,,,Passenger,B-6,4.0,No,Centrifugal,,,Existing,7.0,,,,,Yes,No,4.0,,,,,,Solid State,,8600,,Door,Automatic P.B.,,,,,
B00282740-I1,,,Passenger,2,,No,,,,,2.0,,,,,Yes,No,1.5,,,,,,Solid State,,,,Door,Automatic P.B.,,,,,
B00214205-I1,,,Passenger,"B, 1-6",4.0,No,,,,Existing,7.0,,,,,Yes,No,4.0,,,,,,Solid State,,"8,200#",,Door,Automatic P.B.,,,,,
